policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
handoff,0,fell,15.68,4,63.2367,27.8078,2.32115,2.59164,280.991,81.4072,23.9731,23.6217,7.90211,25.8995,23.2749,7.39951,25.1087,24.5511,204.284,57.0975,27.9447,58.2754,7.88681,20.6153,17.2167,5.49205,26.7852,25.2263,521.726,208.838,57.7075,49.269,7.83335,51.4893,51.5741,12.8211,33.0602,24.488,348.736,22.0936,46.7775,72.972,32.9709,11.2384,6.09976,3.2161,14.9613,15.6651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,1,fell,19.24,4,141.528,14.0802,1.59673,4.25079,255.744,112.861,22.417,19.9676,8.13623,26.1647,28.6262,6.9949,26.1267,24.5668,545.523,424.494,76.4806,31.9988,8.46144,58.907,83.5267,15.8436,33.8774,26.3488,684.992,208.741,60.7026,36.7135,7.93532,64.7382,61.5815,14.7684,30.6463,25.9812,643.569,121.426,60.1316,30.69,7.56743,38.3347,35.382,10.7306,23.6349,23.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,2,fell,24.1,5,40.3003,21.926,0.949103,0.421161,298.062,172.42,38.6832,26.8518,8.18739,31.8302,37.2649,8.15243,28.3331,25.8862,211.718,79.8223,28.2211,27.1849,7.70771,24.3014,22.1073,7.50177,25.9689,24.3155,358.408,116.281,37.0987,28.4637,9.01271,37.7518,37.6717,10.702,29.9791,26.5659,278.628,87.5125,35.0393,53.3822,22.0007,27.429,28.613,7.15437,24.5198,26.7353,573.426,113.642,65.3906,59.3862,11.6321,38.2512,26.4114,11.4159,32.2395,26.6056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,3,fell,48.46,10,200.827,15.6055,2.66674,3.86924,296.028,97.016,46.1955,71.7662,8.46438,28.1791,27.6396,7.80257,29.7136,25.7438,295.515,82.0596,20.3556,27.357,8.16559,27.4698,27.2694,6.64657,26.0142,24.9265,636.817,142.205,60.3001,51.1835,20.2751,52.6121,39.4997,15.0319,40.7145,30.4521,1001.16,123.366,75.4799,57.7053,7.87766,76.3839,43.2694,22.1959,40.609,26.155,509.09,171.981,39.4881,28.377,10.2496,40.5184,44.3042,9.91504,29.729,26.7293,735.522,250.848,82.9684,50.4747,11.2238,58.3324,57.7343,16.4101,35.3257,27.8116,558.669,337.041,69.0012,33.6543,8.02751,48.0602,60.0412,12.6724,30.9181,28.2193,302.991,102.237,50.8284,35.3149,7.74579,36.6117,33.0233,9.44291,28.0337,24.8196,377.796,110.568,34.3105,39.5046,8.2841,36.2549,28.0427,8.99255,26.8792,25.3736,573.565,136.124,77.6054,54.5094,5.55069,49.0113,41.4634,12.6907,26.1597,17.1893,,,,,,,,,,,,,,,,,,,,
handoff,4,fell,19.76,4,206.312,30.0086,3.99532,3.98011,305.189,108.373,40.556,42.5012,8.17238,29.6126,28.3864,8.19151,27.3679,24.767,289.677,127.392,27.8199,23.1865,8.53831,32.0216,33.3302,8.39013,20.0898,23.8154,453.958,237.255,40.6466,24.6907,8.17286,45.8385,54.297,11.3444,19.668,25.182,1968.04,990.314,248.802,59.0719,9.70696,78.1008,120.074,23.1655,40.5352,27.5673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,5,fell,28.94,6,130.136,23.4203,3.54376,4.06687,303.783,80.5002,27.5682,29.8494,7.27943,33.7108,27.7253,7.80677,26.1603,24.1711,391.945,99.9495,22.895,41.3958,7.93604,29.5539,24.7027,7.07238,25.4161,24.7762,644.806,192.484,39.3312,50.8871,6.95523,56.6988,45.0258,13.5286,28.1509,24.8573,733.589,219.39,59.5031,62.3562,8.65001,68.3411,58.0723,15.1074,33.1084,24.8493,540.935,169.676,53.5167,83.6628,8.80273,35.8768,38.0191,8.08766,32.826,27.8135,1989.35,951.658,209.445,140.116,30.3473,92.9223,117.748,26.7728,52.4472,32.8794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,6,fell,10.88,3,194.993,33.8435,1.15894,2.89881,341.868,111.49,30.455,30.7686,8.24361,33.7313,30.5212,8.93469,27.1124,24.9042,820.111,197.774,71.9416,48.4938,7.48915,70.2194,49.3812,16.5169,34.953,24.5055,2124.85,123.239,449.336,220.578,45.9725,57.0891,27.7282,18.4489,35.8595,17.7006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,7,fell,16.06,4,47.6207,7.03511,2.09007,3.45102,204.719,72.836,15.188,24.011,9.82362,23.4172,22.4616,6.38682,19.143,25.4089,382.404,76.7093,31.8564,81.545,17.4515,32.7692,29.9717,8.73939,29.4102,27.5488,272.381,73.8619,16.283,45.8305,7.97978,25.0497,23.7639,6.34354,13.8777,24.4421,97.9845,19.8971,7.37684,7.12561,2.27035,5.44197,4.46949,1.34286,2.92964,5.54873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,8,fell,10.82,3,126.486,15.1136,2.42509,3.72838,237.548,71.0922,18.9237,17.1629,7.82934,22.4442,21.1284,6.43324,23.8113,24.9766,363.843,103.356,28.5987,27.4165,7.78529,34.6456,31.5242,10.6172,30.2353,24.6039,1052.72,54.8859,118.256,52.6707,3.00896,29.8643,14.0349,7.23678,18.5296,6.47479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,9,fell,23.54,5,126.332,28.4869,3.5939,4.40084,209.72,58.5856,17.4533,29.8253,8.11485,27.5281,23.7961,7.80016,26.3373,24.4313,308.326,163.021,50.3781,69.7458,8.07563,30.2187,35.6318,7.83222,29.1677,25.3587,272.671,139.511,38.7621,20.8492,8.94016,29.1287,33.1992,8.28404,20.8717,25.1914,345.94,111.655,38.2243,41.4931,9.83006,31.3456,31.1768,8.15323,26.7472,26.3723,2090.18,1007.47,263.895,110.002,12.3017,81.3974,116.617,27.9592,44.2401,29.3942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,10,fell,14.16,3,121.176,25.6977,2.14902,3.5118,288.996,83.4499,30.1075,28.8193,7.10688,37.8384,31.2669,9.22606,28.4413,23.707,446.454,110.484,34.7445,39.1936,8.19929,38.5224,31.5409,10.8449,30.1,24.2374,602.187,135.246,54.6323,40.6144,6.24156,45.7434,37.3429,10.4525,26.4911,19.8704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
