policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
mimic_lite,0,fell,56.04,12,54.7138,21.9422,0.115216,0.0417763,453.779,127.54,30.3818,26.1144,10.2149,40.0367,27.4021,10.8707,33.7847,41.3364,442.455,82.2989,28.8864,67.6959,10.0171,42.4782,23.5453,11.9272,41.9459,43.2992,416.374,99.9994,34.321,44.2178,9.72042,31.4003,21.9452,9.28938,40.7747,43.0128,495.617,78.9677,32.7247,35.6304,9.15637,35.3763,21.4967,10.8911,38.816,40.7032,485.362,95.3152,34.6151,32.481,11.4826,35.1895,28.4058,10.4849,37.1519,41.7071,452.357,148.51,32.7057,34.9548,9.42063,35.3407,26.3253,9.89391,38.5094,37.9919,363.236,55.4761,29.2216,38.0654,9.93386,39.0595,20.2801,10.1681,38.1269,41.7908,584.769,194.508,55.0229,46.9317,9.79331,43.0503,33.8761,12.8588,34.5804,41.0915,834.355,253.132,69.0373,52.2584,8.83092,71.6277,54.1778,19.0658,38.8398,43.4834,1755.51,511.632,221.652,90.1041,9.40308,132.613,106.059,39.4028,61.083,42.0013,767.502,196.285,143.205,123.013,10.7787,61.092,43.7254,21.0969,42.9912,43.3862,50.9468,9.82605,11.9892,13.9152,2.18461,10.0638,6.50966,3.13428,6.91853,8.61878
mimic_lite,1,fell,46.46,10,83.7239,12.3069,0.780712,0.464874,343.362,80.6612,21.4035,22.5348,9.94747,28.0857,18.8685,7.50151,34.6309,41.1689,620.205,153.788,45.1722,33.4292,10.8273,58.4335,42.019,14.0179,38.2243,44.0481,384.132,76.6729,21.625,30.7323,10.4135,32.8102,20.3287,8.49565,31.804,43.0493,753.739,319.295,52.3344,36.8351,10.2276,68.3073,56.3212,16.8925,38.4816,43.5726,357.783,117.382,29.3091,47.5035,10.0981,20.3387,12.9434,6.21671,36.3327,42.4077,686.478,187.323,46.5468,53.1283,10.8434,55.1231,41.943,14.6222,40.8752,41.8779,1015.36,367.02,77.5658,47.479,8.84483,75.4758,60.3093,19.1275,43.9663,41.3825,1813.68,656.321,213.064,183.649,24.9212,112.082,101.447,33.1181,65.2129,53.187,1259.23,416.265,144.108,80.3442,10.3451,85.1135,74.4168,23.7602,47.3068,40.7958,727.061,232.942,138.606,150.225,15.1093,53.5885,38.032,19.9901,40.1422,18.1185,,,,,,,,,,,,,,,,,,,,
mimic_lite,2,fell,34.22,7,72.796,7.99334,2.3085,2.53657,300.492,61.7319,14.752,27.9408,10.5259,19.9452,12.6589,5.59322,31.7974,42.3267,280.092,69.3668,20.9947,29.48,9.93986,16.5588,10.2687,5.57063,30.5722,42.6687,647.768,168.608,58.3799,31.5807,11.118,54.1102,41.3361,14.2647,38.4416,43.6777,845.714,175.473,66.223,57.9201,13.6173,77.9198,54.2988,18.781,39.5876,42.7773,736.012,307.603,50.7589,38.1485,10.1213,63.9879,53.9319,16.0166,36.813,42.1423,677.484,289.338,59.4065,89.3427,11.5905,49.1342,42.2393,13.9588,41.7833,41.287,1615.57,558.094,101.602,67.6339,17.5274,122.653,90.5607,28.4109,41.8194,43.3026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,3,complete,60,12,9.95837,5.1873,0.703495,0.678828,773.151,131.206,62.3773,94.2897,10.6038,63.9014,39.1862,18.5794,43.9387,44.9271,478.539,74.3127,26.146,31.9719,10.8757,34.8724,18.4544,9.04514,34.5803,43.9717,793.187,171.129,82.9474,87.4781,11.2294,70.656,47.4866,21.5698,46.4294,42.3768,778.72,199.012,62.8712,44.5789,9.4909,67.9792,48.8218,19.7311,43.1876,44.8668,488.095,98.5392,39.8987,23.7344,12.0637,43.6861,27.0823,10.8016,34.4932,42.4013,488.727,109.458,62.0001,51.0234,10.856,51.2198,29.4284,15.1039,43.1741,45.0306,477.131,148.024,49.6953,41.3239,9.73901,35.891,26.2837,10.3862,34.2459,41.9923,539.419,133.861,57.037,42.6032,9.79233,49.8451,29.7883,14.0888,37.8947,41.8127,435.845,99.1324,29.4296,39.6576,10.6177,37.6343,22.2073,10.573,36.4227,42.9645,379.592,97.0813,56.314,48.552,10.7933,38.8485,26.6192,10.0523,36.5111,43.2646,431.273,99.7853,83.5318,60.2119,10.2926,31.6037,23.1563,11.2898,41.3491,43.0425,856.958,376.38,73.1452,68.0045,10.6153,64.2463,56.6153,16.2509,45.3648,42.7151
mimic_lite,4,fell,39.42,8,139.587,11.9103,2.62518,2.98359,416.769,86.248,24.6715,56.2854,9.65927,31.1634,21.8715,9.92946,33.8487,42.8077,502.677,118.556,30.5488,31.2936,10.7939,42.7201,28.4923,11.0062,34.4864,43.2607,1008.06,157.541,49.0645,43.1072,11.4152,74.9576,47.0805,17.6811,40.6361,41.948,555.486,115.316,43.7554,31.4374,10.1156,47.2193,34.5769,13.852,39.674,42.9273,434.874,148.986,39.7449,37.2682,8.36499,29.3462,23.7249,8.25716,35.4759,41.2292,1180.28,376.295,136.227,209.345,12.7495,92.6536,87.7209,27.917,58.0094,47.8119,731.225,236.141,63.0661,39.4073,11.0726,56.749,49.7349,14.7174,37.5304,45.0057,1276.07,558.64,153.88,92.0848,15.4717,80.8657,74.2898,23.6359,45.9715,43.8766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,5,complete,60,12,149.084,5.4141,0.908527,1.05364,373.661,78.0163,21.4868,30.6513,9.2117,27.099,14.9462,7.29736,30.6751,42.3392,692.22,138.105,53.169,43.8485,10.2043,42.9531,31.7715,12.7387,35.4563,45.0628,419.73,117.208,34.7897,40.2647,8.57768,33.1543,28.7887,9.87203,35.3585,42.2412,170.821,19.7927,17.6128,36.9833,10.6358,16.1235,6.81365,4.97375,31.9105,42.4937,354.425,100.259,34.946,101.739,9.73293,35.613,27.8722,10.9839,37.546,45.3268,615.252,136.246,66.4587,81.7056,11.7171,55.2111,32.1514,15.7734,43.8884,43.438,778.342,195.664,61.0728,50.9259,9.53123,59.5372,43.8801,16.3045,38.5424,42.6581,918.048,331.854,70.0576,64.1448,11.2826,80.8467,64.9913,19.7129,40.6329,40.811,1209.9,572.642,89.3096,52.4948,10.1031,89.3061,86.2235,22.0816,40.2732,44.884,2297.69,846.169,188.66,53.9519,10.1381,165.077,150.918,44.9167,52.1684,44.6638,1284.8,380.417,145.365,77.0926,15.1948,103.526,71.5289,28.7666,47.4891,45.6707,836.678,183.13,41.2591,32.981,9.70312,38.2089,33.3753,11.2834,33.7446,44.4644
mimic_lite,6,fell,55.8,12,52.4154,19.1763,2.58796,2.28564,205.847,44.2819,19.3012,26.9907,9.86455,16.8287,7.99344,4.96324,28.7548,43.0365,646.442,148.752,43.1388,30.9501,9.17226,43.0804,28.2593,11.9075,30.9733,42.4855,673.223,134.952,46.0206,36.8641,9.57756,56.4567,41.71,14.8461,35.168,44.7906,453.427,71.3936,25.59,41.047,9.79264,35.0734,22.1758,10.3706,34.617,41.5662,529.889,118.212,30.9029,42.7382,9.71203,44.7363,29.0103,12.0954,35.7524,39.6507,1351.16,310.44,120.375,82.5493,10.7322,118.063,76.9656,30.9821,51.382,42.9103,245.213,61.2057,24.7179,42.9012,9.87828,39.9168,22.5833,9.92266,36.561,42.2704,1204.26,349.447,96.8803,64.9539,9.94786,103.109,71.8708,25.9831,50.1866,42.5674,486.575,177.422,58.0248,39.5583,9.31723,42.4179,34.0397,12.4995,37.7928,42.6175,874.607,457.552,108.134,58.3942,9.92792,82.4742,80.0218,21.6029,43.6864,41.8575,1324.43,544.275,148.781,70.0898,10.3434,113.528,98.2402,28.7959,48.9974,41.4426,332.74,109.325,105.471,302.492,26.479,30.7481,17.9438,13.1411,50.0262,25.583
mimic_lite,7,fell,25.54,6,79.4447,29.8085,1.14566,2.93441,586.127,139.163,35.35,29.9031,10.115,43.854,33.2591,11.5912,32.5328,43.5468,963.225,171.965,62.0222,97.5536,15.8305,71.8198,39.9542,18.7352,42.7881,45.7998,712.304,339.581,47.9798,31.0411,10.4079,63.4201,54.8867,14.9237,34.109,42.4767,496.675,125.815,29.4346,26.4816,11.2256,30.2499,21.9271,8.43388,31.5253,42.3438,779.536,150.284,46.6655,31.1512,10.2247,58.4253,40.8176,14.6696,34.5781,41.3199,187.414,29.6027,34.6692,4.76945,0.967445,9.85347,5.3595,2.43345,4.90723,4.72708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,8,fell,29.64,6,101.905,8.59454,1.46509,3.7849,597.096,147.192,32.2009,29.6611,10.2793,60.7182,35.4707,13.5174,36.9559,43.0834,658.264,117.746,36.3196,34.0061,10.0697,54.997,33.8783,14.4869,34.7082,43.3376,944.84,174.937,66.6731,83.3165,10.7878,74.9932,46.2544,22.1487,46.4593,43.8005,1108.79,252.565,83.2142,34.7036,10.6857,91.3309,56.4781,25.3578,40.7774,41.6334,413.807,101.48,25.0732,29.8834,8.81835,54.5262,30.6747,12.9642,33.7718,43.2736,2428.4,473.846,116.097,97.5369,10.4864,141.668,100.373,34.0221,56.9391,40.3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,9,complete,60,12,14.3981,5.53998,0.334713,0.153587,230.508,27.6846,12.3964,25.9377,10.0567,22.9709,9.85935,6.18595,32.2384,42.7937,284.089,53.3393,19.9576,74.5665,9.75426,24.6798,14.8906,6.52314,31.9951,44.2983,429.055,101.943,24.0114,47.8507,9.75227,32.7712,24.0508,8.71904,31.722,43.4751,541.968,88.5641,31.0258,34.3389,10.3075,41.3266,28.1009,11.3125,32.207,42.999,591.411,149.223,77.7868,70.323,9.85492,53.654,35.6991,16.7576,42.0027,44.1096,650.818,167.675,48.5397,49.3942,8.71335,52.8745,34.6437,13.5891,38.9378,39.9796,783.725,137.629,42.0893,33.9564,9.81582,60.9609,39.9247,15.3041,34.9886,42.565,458.718,116.495,43.5225,33.004,9.80871,33.9255,22.6934,9.63992,30.2852,42.0553,374.983,47.9604,17.3142,29.5976,9.55516,20.6937,12.2213,6.81804,30.5313,42.4698,339.762,65.6367,21.5379,24.9889,9.2475,21.9719,14.1361,6.49951,28.8046,42.3525,322.679,49.536,18.4483,27.3164,10.0429,23.0904,11.7925,6.37955,30.3413,43.5844,660.334,191.584,59.0473,34.0254,10.4394,52.4743,39.4993,14.1146,34.8463,42.6534
