policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
openwbt,0,fell,26.1,6,27.0372,59.6747,2.55503,3.58111,284.873,126.243,24.2146,23.3321,8.58019,82.1246,55.8679,26.7448,38.5038,42.7488,240.584,129.606,19.2629,65.0984,7.80007,74.3842,49.497,25.3357,43.0688,41.7855,209.701,103.426,12.7576,39.8929,8.32883,54.1023,38.0453,16.3727,38.9728,40.6523,263.895,127.023,20.8863,28.5548,7.14619,77.1557,51.935,26.9212,42.6662,40.2201,234.801,134.319,16.1029,28.0744,8.96256,63.3671,48.1025,18.3676,38.3916,40.8989,326.902,28.7979,19.5779,19.0184,1.84225,34.8789,14.0403,10.0185,11.8869,8.10509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,1,fell,26.34,6,25.8702,49.4098,0.713081,0.381435,260.767,129.306,15.6729,21.6565,8.06006,72.5916,57.2319,20.9087,38.7999,41.4111,185.246,91.4028,13.4514,23.5141,8.37929,60.2095,38.7458,21.258,36.6601,43.6123,233.183,128.277,18.1619,30.3136,8.04416,69.4287,48.5712,22.5748,34.5277,40.8688,204.83,107.838,13.3514,31.4846,8.21031,60.4286,44.4132,17.9328,35.685,43.3943,199.723,107.529,10.5814,40.027,8.44569,63.2666,43.1065,16.915,38.3758,43.0969,309.701,65.9763,62.7025,163.566,22.724,33.9809,17.8611,12.877,35.5032,28.8788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,2,fell,46.32,10,29.4078,48.177,0.451161,0.214123,197.958,88.3547,18.4741,27.2977,8.74535,59.0398,37.8566,19.7124,38.1991,43.468,176.631,107.875,15.7982,29.6929,8.32836,56.1697,37.7194,18.2516,33.8947,41.9828,358.128,125.65,19.5427,25.5192,8.97637,81.1636,54.37,25.8259,39.507,44.7264,240.082,127.346,23.6649,56.2059,12.2189,68.1716,47.9775,21.6308,36.6522,43.2074,221.352,123.209,12.5301,28.2187,7.94125,58.4272,47.7556,17.1838,33.8687,42.5267,309.752,150.267,22.3166,58.2784,9.12517,74.2876,54.832,22.6118,41.2196,41.0026,244.322,110.673,9.53279,38.5226,9.00783,65.9813,46.3856,17.8777,35.545,41.5974,282.759,151.657,19.6835,34.6819,7.89281,68.3772,53.2734,21.3825,38.4739,40.1167,310.628,193.144,38.0938,39.6252,7.9267,86.4279,63.9287,32.325,42.5599,41.6968,415.582,119.661,43.867,170.736,14.6847,48.9941,25.5778,16.3297,37.0766,21.1167,,,,,,,,,,,,,,,,,,,,
openwbt,3,fell,1.02,1,156.79,5.30488,2.19582,2.68513,519.495,53.9219,33.7028,74.7061,2.0917,34.8891,22.38,8.80006,16.2101,7.84139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,4,fell,26.58,6,19.8158,35.5024,2.65455,4.01467,292.337,139.056,19.7609,45.3497,7.93791,76.136,60.5375,22.5995,36.1417,40.601,214.303,118.427,11.3937,31.9558,8.84368,59.8164,46.3418,17.9536,33.9627,43.2298,166.205,76.6644,14.6462,38.628,8.50142,47.3399,28.0523,18.0417,39.4924,40.7835,208.509,118.599,11.7733,29.4011,8.22357,63.5494,43.8348,18.6251,38.3873,41.9,221.846,117.242,11.7574,33.5524,6.71134,62.4857,46.037,17.3631,39.5837,39.5524,761.089,307.722,100.82,168.253,4.45121,80.3856,52.435,24.4102,30.0629,15.9376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,5,fell,26.06,6,31.0954,29.1486,1.19463,0.826154,257.728,128.974,19.355,30.2303,7.83307,72.8432,55.5794,21.461,35.5284,41.3697,259.413,109.559,16.0801,39.9825,8.39748,75.8765,46.9293,27.6332,37.3093,43.4481,269.522,134.678,23.9465,38.1606,7.03426,90.9362,56.8806,34.1264,40.1003,39.6246,122.782,64.9238,8.31403,36.6108,8.81439,41.8914,26.3511,13.8354,33.4644,40.5594,270.065,165.249,24.4386,92.577,7.62295,74.4537,57.5844,24.0559,40.4356,42.5988,534.548,233.747,51.2653,69.9512,4.59201,47.5507,31.3883,12.5972,26.072,13.3581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,6,fell,26.1,6,31.1583,46.0844,0.881427,0.717392,189.506,83.3491,17.4326,27.0179,8.63786,60.5063,39.7217,19.8626,34.0706,41.6542,252.213,107.846,16.0121,27.2307,7.53733,73.8089,47.1799,26.1531,34.4921,41.7015,218.334,99.5207,8.07188,30.8901,7.55648,61.8361,41.18,16.5534,30.1976,41.6392,188.272,87.021,17.2555,36.0796,7.91267,54.0884,35.7828,20.274,35.2508,42.1311,311.694,138.021,29.2743,37.6524,7.53842,87.1468,55.4836,32.9167,41.9221,40.1705,632.062,195.178,47.2847,118.319,5.6613,48.9986,32.7957,11.1329,29.5194,14.8539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,7,fell,51.16,11,32.0891,40.174,1.089,2.53416,268.773,119.65,12.5945,26.6492,7.98349,73.3921,55.902,20.7627,32.8065,41.0377,263.754,115.715,20.1193,64.2201,10.9241,85.6097,52.3747,31.9678,41.8805,42.8834,227.926,100.934,9.2722,27.414,8.60889,66.8659,47.4638,19.3732,34.375,44.0772,225.618,90.5927,6.94676,27.1226,9.17019,54.7095,40.1238,14.971,32.2655,43.0446,225.298,111.205,10.8472,24.5028,7.95881,62.4866,48.8613,16.7386,31.8673,40.7721,331.552,220.349,20.7229,31.5996,7.41152,75.4268,66.2472,24.3947,38.7436,40.265,224.218,104.424,14.3211,28.7579,10.1237,68.9324,49.0071,21.0381,39.1573,43.8569,409.334,131.815,22.8324,35.8134,7.76991,86.576,64.119,25.566,43.6561,38.6988,627.871,248.025,47.6201,161.454,19.5302,110.708,80.8597,29.7903,49.9341,44.5697,216.041,103.699,9.74121,21.6994,8.11102,57.7248,40.1618,16.2875,36.3429,39.3457,342.632,169.989,36.204,97.1714,5.47014,45.0053,32.3731,11.1221,25.9458,11.0316,,,,,,,,,,
openwbt,8,fell,11.88,3,103.126,72.0756,1.11881,3.23033,247.939,118.888,16.2742,23.8815,8.29803,75.9314,55.3559,23.7107,38.9338,42.0723,305.189,137.533,23.7759,30.5815,8.277,80.8182,54.7033,28.8489,38.5237,43.4295,562.577,143.489,36.0518,66.15,3.4398,82.1573,53.8262,23.0279,29.2286,16.5814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,9,fell,22.46,5,48.2584,50.5466,3.44755,4.27972,251.54,127.304,17.4632,28.6042,8.7626,79.1644,56.2508,24.5702,38.9828,41.8886,69.2341,36.2919,9.34695,68.3801,8.02717,22.8857,13.7879,9.25085,30.4261,43.7443,298.357,156.703,20.7437,45.1027,8.23479,84.5326,62.332,26.969,38.0816,42.4634,234.506,127.193,14.9118,30.6797,8.42465,68.9366,46.8483,21.6743,33.0169,42.7462,808.385,732.714,122.032,95.4155,5.11544,158.841,128.127,53.2532,50.9069,22.1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
