policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
rl_gym,0,fell,7.24,2,111.287,26.201,2.06091,2.69078,877.406,107.851,212.197,28.3551,7.89686,328.579,49.7379,128.956,84.1442,26.9139,668.255,233.648,91.4805,84.6822,31.2072,128.77,43.6481,48.595,41.2954,16.5219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,1,fell,28.2,6,59.4604,4.48969,3.18689,3.15382,922.139,209.788,143.472,27.7252,8.13912,316.394,59.9159,110.592,84.9802,30.25,870.201,108.871,194.901,27.8707,8.46329,334.89,45.5041,128.37,94.5042,31.6617,771.07,186.018,168.289,34.6948,7.88719,281.723,54.5104,115.035,85.725,28.0812,688.44,162.688,154.284,28.6952,7.81149,278.019,48.4969,107.922,79.1501,30.7597,1219.42,125.66,218.743,59.7626,8.04662,389.078,55.5494,135.989,122.454,28.886,1046.9,327.344,184.481,50.531,11.8164,231.116,57.83,84.2569,63.1613,21.5105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,2,fell,11.48,3,107.134,24.1815,1.5313,3.18647,841.902,111.982,166.601,30.7151,8.40641,348.321,43.5402,120.911,98.9859,31.9834,852.399,279.16,152.286,33.1964,7.65777,293.908,55.8925,107.614,92.6359,27.3252,736.485,175.611,59.6212,15.9857,2.81539,112.333,42.0097,29.0066,27.8124,9.58515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,3,fell,11.96,3,151.802,21.7104,3.59102,4.66675,938.88,149.303,159.199,74.3901,10.002,323.768,56.1801,117.76,96.2801,31.489,1003.63,272.665,197.02,34.8721,8.2288,325.533,64.4882,123.28,95.3367,28.2337,2045.27,196.34,124.363,45.9923,28.3253,151.488,54.6491,42.6381,43.1538,22.5967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,4,fell,25.9,6,57.3061,18.4269,1.46469,0.272221,945.927,116.043,221.322,52.707,8.03289,323.769,49.8416,128.271,89.1167,28.5963,1135.43,114.476,188.51,31.8226,8.83789,396.344,53.5269,136.691,105.788,40.5959,904.788,295.142,149.715,31.6085,8.66012,290.389,68.4848,103.606,64.7074,38.7862,711.399,95.3121,156.567,26.8763,8.51665,277.492,39.503,110.27,84.6423,29.9999,899.05,166.543,152.577,24.4238,6.87828,307.775,48.199,113.561,74.4239,35.6859,367.799,143.386,79.0875,224.919,4.12829,36.5688,26.2317,11.2818,26.1997,8.12184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,5,fell,26.98,6,67.6207,19.9847,1.65856,1.83038,922.644,89.1478,222.947,35.3396,7.30315,345.919,48.6656,135.42,102.691,28.7658,910.601,193.314,210.543,42.2895,8.04028,327.773,58.8455,131.682,83.4002,26.4266,896.681,98.2704,232.591,47.1686,6.93221,341.526,48.2974,144.997,62.3239,28.5529,1574.48,176.26,272.694,69.1713,8.68322,408.756,65.8658,156.687,100.119,29.4404,716.221,147.417,186.115,87.2553,8.00546,277.455,47.3456,114.831,91.1745,27.9953,576.802,209.171,52.0077,50.0939,20.5957,91.111,43.6118,27.9336,29.7458,14.3682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,6,fell,25.5,6,223.203,15.0766,2.69343,2.5437,725.471,110.547,175.661,31.4223,8.25231,299.768,45.457,116.453,83.6195,26.9944,1112.05,339.238,176.554,41.0858,7.47872,328.19,73.0371,119.026,93.1537,27.3759,1517.8,417.14,256.037,58.2862,7.91855,329.481,87.2975,116.315,101.169,30.6877,1381.83,163.93,194.47,55.5425,7.76216,348.213,65.3568,121.518,111.695,29.3421,1245.61,589.196,196.096,50.0226,7.7025,326.854,100.163,119.235,90.0139,26.9764,236.134,130.638,19.4769,37.8651,4.36336,25.9028,18.6649,6.51631,13.9335,6.07992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,7,fell,42,9,60.5134,8.09103,2.00338,2.59924,861.125,104.539,136.285,30.5344,9.70038,336.066,49.0409,113.243,83.5553,34.8307,856.22,126.881,173.978,83.2481,22.9346,332.313,47.4267,124.967,84.9428,35.6898,775.595,80.6628,131.557,48.6587,8.19139,332.753,40.7387,113.368,53.75,38.7525,1031.63,120.884,133.054,39.1167,8.95324,334.228,49.4263,108.176,53.6298,38.0525,1338.4,149.058,160.454,40.1681,8.00304,372.022,58.5248,117.6,88.654,39.7786,1202.51,239.287,260.466,39.8686,7.76522,266.704,60.3605,95.258,50.8431,41.9521,916.104,226.135,154.66,33.1336,9.27224,281.156,60.247,104.324,51.4613,42.7452,1068.9,116.659,164.524,29.8465,7.78819,356.337,52.2776,122.813,68.6629,48.4599,713.998,297.298,66.9539,135.673,51.3607,86.269,45.5799,25.8305,28.8886,16.2546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,8,fell,16.48,4,107.068,24.6457,3.0238,3.67428,665.801,97.2894,153.567,25.07,8.35703,267.198,42.3922,105.853,74.3363,29.2829,1952.91,215.433,246.405,41.5311,8.08784,416.964,72.9152,141.026,114.231,30.8583,985.418,123.252,161.868,38.7976,8.34991,353.525,51.1409,123.792,111.135,29.423,709.407,306.213,40.5518,21.0073,6.91221,67.9031,43.3207,18.643,20.9336,9.67342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,9,fell,50.62,11,32.7682,11.7525,1.28958,1.43698,884.203,73.9946,218.525,32.7245,8.07702,325.876,45.4733,133.956,88.0375,27.7144,1080.18,130.047,205.096,78.1261,7.92297,344.537,56.5695,130.315,91.5677,30.166,998.977,209.752,151.507,36.5383,9.06795,328.309,54.7339,112.68,84.7063,33.5832,917.349,121.089,200.204,40.4901,8.8939,339.536,54.7926,136.334,104.944,29.4866,734.114,218.76,149.634,63.2642,9.1135,285.81,51.5093,109.557,93.8678,32.2049,793.714,95.0117,208.793,43.1485,6.94806,315.225,46.0821,130.448,103.796,29.3423,734.811,185.893,168.816,34.9976,8.65035,293.732,47.722,117.299,86.1981,28.6172,918.674,172.873,200.496,37.2016,7.8981,315.82,55.7239,125.827,99.047,27.8501,798.883,97.0973,197.207,35.4262,8.27467,323.453,45.5523,124.307,95.1205,28.0091,894.819,182.379,207.849,30.9279,7.57219,335.502,50.4891,133.898,96.7021,30.1409,191.116,28.5056,24.0002,8.02258,0.924805,26.9093,10.0392,8.73325,8.39456,3.09088,,,,,,,,,,
