policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
run_residual,0,fell,2.66,1,123.222,9.3688,2.52608,4.06188,929.84,139.369,110.963,32.8152,5.87819,42.4797,32.3751,10.5816,21.788,21.2941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,1,fell,51.18,11,729.106,14.2943,2.25817,3.01798,475.043,94.076,58.1758,27.986,10.0588,37.8179,30.6954,11.5038,35.8431,41.256,383.934,94.8874,57.1951,36.348,10.4752,31.6147,31.4271,8.84214,35.1581,43.5266,592.862,117.075,106.92,36.7462,10.2542,44.5799,35.427,13.2465,35.0724,43.0869,1303.09,222.364,161.697,46.2429,10.4603,63.6095,60.0948,16.4873,37.7382,43.575,455.062,113.513,45.2489,44.7778,10.1783,34.263,32.8912,9.62972,38.5697,42.4552,828.978,150.638,110.782,65.4841,11.9921,49.0659,36.2613,14.6971,42.119,42.6372,581.64,147.956,79.2197,40.2893,8.75357,40.159,36.2682,11.9368,39.3765,41.564,1836.06,330.194,254.88,182.835,22.8912,78.346,61.7334,21.6382,62.9664,51.5475,1067.2,267.06,144.828,67.5227,10.2366,60.1607,57.3496,17.1345,43.5615,40.6917,1338.27,236.743,241.168,195.402,18.909,69.9562,58.1672,21.56,60.1259,47.0248,526.704,48.5879,65.4456,78.086,5.21915,23.4163,16.0796,6.45831,19.7209,12.7676,,,,,,,,,,
run_residual,2,complete,60,12,428.614,9.52497,2.50834,2.16565,521.685,121.309,70.0099,33.9064,10.5071,42.7427,33.1227,11.5454,34.9376,42.4084,530.967,137.452,63.9186,36.9957,9.83584,41.3537,37.1002,10.7855,34.18,42.7403,483.386,90.4695,63.8753,30.9614,11.167,35.7851,29.3707,10.5872,35.1976,43.8458,892.576,151.246,131.637,66.8775,14.1425,48.7116,43.6513,13.8303,37.2269,43.2671,1306.38,249.456,140.469,45.0913,10.2983,64.6119,62.7072,16.2353,37.014,42.2086,711.047,136.437,99.6146,121.404,12.1915,44.9778,35.5435,12.6964,42.8738,41.2825,505.852,103.977,65.78,42.6601,10.56,38.4572,26.5737,11.6481,35.9317,42.0134,1370.43,225.11,168.04,51.8371,9.58494,64.8405,58.9042,15.5755,36.7261,42.0781,953.064,192.128,150.095,48.9032,9.35799,57.8373,53.0575,17.4342,37.9842,41.8398,770.293,156.994,151.808,197.839,20.7779,51.4162,34.4324,16.3086,50.7093,43.9971,769.957,147.933,154.898,55.2974,9.58382,51.8657,39.9308,15.7645,41.9892,43.5218,2631.11,385.23,400.291,133.214,11.0524,112.034,74.9992,29.4033,65.1802,43.9996
run_residual,3,fell,2.12,1,178.672,48.099,2.91591,3.42419,497.62,81.5208,76.2223,76.3914,4.59325,24.0801,19.177,6.84121,18.9931,18.6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,4,fell,31.62,7,631.783,7.89767,0.1134,0.271024,455.297,93.7753,57.3241,57.9787,9.86973,38.8415,31.8652,10.8993,34.6028,42.9295,741.072,145.639,90.8261,38.4023,10.9364,44.7672,36.1757,13.7034,35.9618,43.3643,492.681,106.593,58.9279,43.8907,11.5163,36.4083,32.9321,10.1492,37.3025,42.014,506.596,111.405,67.5121,35.4974,10.131,38.4059,34.3598,12.0655,38.5251,42.7712,481.402,97.5941,55.0287,40.0882,8.28091,36.0873,30.4622,10.1621,36.2703,41.2211,1091.53,259.957,210.027,222.003,11.8516,60.712,48.7503,18.6332,57.0489,46.3274,529.954,56.4878,79.1697,26.9095,4.31932,22.0995,10.7775,6.04262,13.561,14.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,5,complete,60,12,773.619,3.54554,0.774612,0.676567,475.357,118.007,52.1158,35.16,9.27656,37.4921,33.1079,10.5438,33.1152,42.3861,452.752,107.806,46.4848,44.5636,10.1528,36.0033,32.0383,9.89833,33.9893,45.0311,602.268,156.842,64.6711,49.0582,8.64648,44.8322,33.3745,12.6035,36.5466,42.329,667.595,115.009,72.6108,46.965,10.6872,43.3012,29.2991,12.4487,38.9035,42.7017,576.372,122.395,80.4308,96.1889,9.50954,43.0364,38.2187,12.926,40.1501,45.2229,643.647,145.572,78.8446,72.812,11.3395,40.7337,33.0454,11.5179,40.5043,43.56,640.403,177.247,89.0125,45.7212,9.56541,48.7906,39.6084,13.0042,36.6615,42.7787,1422.94,285.678,163.625,73.4027,11.2086,69.812,66.6524,18.6122,40.486,40.5644,1452.85,306.979,164.673,47.5865,10.1352,71.6271,67.7841,18.2079,39.2267,44.8773,1199.73,232.706,156.554,45.8182,9.70466,63.939,51.6827,16.7696,38.2628,44.3164,801.793,158.711,114.261,81.2067,14.0382,50.5019,34.8024,15.8522,42.7426,44.8558,641.833,130.482,61.0042,31.9601,9.80521,40.8927,35.9997,11.8484,34.4212,44.6736
run_residual,6,fell,28.82,6,256.847,13.5947,0.339807,0.308877,451.304,93.9165,49.6876,33.4451,10.0373,35.7854,29.8141,9.63762,32.0327,43.0657,858.499,166.795,76.873,36.5685,9.26561,47.1209,43.0877,12.2602,31.9414,42.3639,816.454,178.764,75.8608,40.3005,9.64633,46.8151,44.2266,12.9657,33.7412,44.7833,514.042,131.111,69.5536,45.0718,9.52651,38.2857,33.4919,10.3145,35.1641,41.3642,600.089,124.124,76.4672,41.3181,9.78596,41.3717,35.2009,12.3212,35.0763,39.8978,1451.79,174.199,227.05,153.944,20.0674,52.9765,24.0094,13.0039,47.0579,31.4812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,7,fell,10.78,3,342.732,11.4101,2.4915,3.42889,385.118,74.9153,41.3995,30.0439,10.2479,32.6637,25.1243,9.91198,29.0855,43.339,450.245,98.3856,52.1269,91.2557,15.111,33.5561,27.4976,9.84673,36.418,45.4531,215.456,42.2907,38.8421,10.4593,1.68497,10.918,8.50594,2.88291,6.2996,6.7138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,8,fell,55.74,12,417.485,6.32544,2.56237,3.95201,470.576,87.8762,58.4809,30.0752,10.257,35.4808,28.5061,11.1697,33.2828,43.0895,362.845,84.2932,49.153,36.1243,10.0625,33.6629,25.5338,9.62263,31.7607,43.2183,510.263,139.325,56.9759,77.2668,10.6123,40.7468,29.8668,11.3251,39.3578,43.4353,643.896,129.625,107.136,42.4669,11.0118,43.2116,31.2327,12.2081,33.4746,41.5307,1038.92,212.738,112.701,41.8563,8.91899,54.2436,48.2956,15.3367,34.4278,43.1093,894.241,211.85,123.249,117.887,15.8621,49.2423,44.502,14.7672,55.9717,47.3783,1193.83,193.593,153.162,53.4669,8.93858,62.7244,49.4431,17.5012,40.1277,42.927,1132.32,202.063,165.852,175.349,17.7159,67.8448,52.2274,19.5222,54.9653,46.2424,845.572,188.823,142.23,72.9828,9.79959,50.0421,43.2892,15.5153,44.9188,41.9902,765.75,145.708,146.395,48.7576,9.91613,51.729,43.3422,14.6836,39.0603,43.7766,1262.61,248.416,203.28,163.028,17.1874,67.6381,59.7626,19.2548,57.8487,46.7369,318.021,66.3323,29.4122,15.1212,1.63824,13.2683,7.39084,3.86437,8.25491,6.3905
run_residual,9,complete,60,12,897.454,3.74313,1.43022,1.44262,441.122,92.5721,54.2803,33.3917,10.0495,37.2216,28.4727,10.6454,35.1427,42.7787,504.032,96.8348,52.4738,83.614,9.81041,35.097,31.3211,10.0184,34.7856,44.3857,963.945,162.294,136.594,63.6339,10.0214,56.5289,43.6901,14.4295,37.6985,43.5804,1006.31,237.772,111.355,44.8126,10.5786,56.6871,50.3383,15.1718,36.2666,43.074,979.981,200.821,164.15,81.5769,9.99894,55.9652,35.0427,15.189,41.9274,44.0839,776.153,180.188,92.4927,56.1583,8.62792,45.9267,41.4796,13.1639,39.1932,39.8225,909.298,189.243,99.4085,41.5779,9.99445,53.4635,43.439,14.7771,33.736,42.5149,645.071,153.088,90.8559,37.0419,9.81509,42.5288,38.5258,13.1779,34.4656,41.8972,564.104,105.806,66.7404,33.5155,9.55652,35.8668,30.8083,10.8489,34.0454,42.1568,948.851,164.326,151.948,52.128,9.57591,52.2155,38.8424,14.2314,36.2559,42.5418,727.684,134.459,112.93,42.9084,10.0351,48.3501,39.7074,12.3369,34.255,43.6825,1462.42,289.619,191.622,57.9623,10.6449,74.5586,67.3448,19.3329,39.5262,42.5527
