policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
falcon,2048,fell,26.1,6,52.4197,21.4392,2.6902,3.90884,297.465,46.2655,11.7721,21.2925,2.20481,24.8066,38.4109,5.20871,12.7302,4.83159,296.532,33.2156,9.11292,25.1438,0.949836,21.5512,25.3906,4.17461,9.43522,2.04727,276.844,37.9401,12.5978,24.5991,1.85909,20.7181,21.1243,3.98396,8.46401,1.49862,238.189,26.0716,14.1225,50.9137,3.0076,19.9486,23.968,4.48352,11.8004,3.428,329.782,38.6924,16.3887,60.6749,3.82551,23.4314,25.4134,5.29627,16.5309,5.97115,178.753,17.676,11.9169,105.997,14.6482,6.3863,8.23647,1.79631,12.267,4.76655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,2049,fell,16.58,4,71.3724,10.8608,3.04999,3.57244,247.663,35.195,12.2632,20.5205,0.975366,21.1781,26.3567,4.69752,8.93507,1.69119,336.668,39.4655,16.0228,17.0403,1.99453,22.9533,36.3018,4.93822,10.052,3.76449,285.734,41.2701,9.34696,18.2845,1.02141,22.0155,30.703,4.48374,9.58311,3.58564,1482.84,123.682,149.472,29.3222,0.934611,55.0669,72.9067,10.2667,18.017,4.56591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,2050,fell,46.84,10,45.893,16.6756,2.2675,1.20744,271.041,31.0624,10.1752,14.7567,1.10612,21.6719,28.7001,4.59302,10.2979,3.19821,339.067,41.5157,18.5125,33.7312,1.60243,24.1189,29.5264,5.72416,9.28766,2.65633,297.692,64.8628,21.1579,40.5591,3.84328,21.0588,27.3676,5.56821,13.5941,5.85167,386.691,90.2887,31.9544,24.0844,1.22752,26.2646,49.0251,6.79077,7.78748,2.17539,275.386,41.876,15.2535,22.0974,1.78608,22.4997,24.4156,5.3198,9.8763,3.36039,435.567,85.7687,41.8261,60.4093,2.39069,32.3806,54.3027,9.27025,16.0362,4.61268,301.457,37.822,19.0883,31.2393,1.33464,23.0628,21.7048,5.51087,11.1043,3.77717,224.906,33.3261,20.2958,28.7043,1.10865,20.6266,24.5448,5.2119,6.91423,1.88302,275.091,43.487,25.9231,33.9302,1.3824,24.0908,32.8525,5.99589,9.22016,2.74955,2656.76,116.582,317.846,84.1563,23.4945,72.3922,69.8025,19.1476,35.9951,16.3748,,,,,,,,,,,,,,,,,,,,
falcon,2051,fell,20.96,5,32.4234,8.73136,1.399,3.77554,222.516,32.4773,11.9994,20.4926,1.79686,17.4336,22.0135,4.09374,7.70483,2.94695,380.776,76.5394,34.3694,112.925,2.6013,26.7854,42.3388,6.83655,13.8384,2.59855,278.01,38.0396,14.9292,17.4955,1.37672,20.7872,23.0349,4.30346,6.41253,1.29558,321.247,38.2412,20.0295,51.9612,37.265,23.3772,28.8128,5.35685,13.8532,10.3541,145.833,28.1944,148.591,177.475,5.34423,33.1383,20.0622,18.9158,27.8498,10.0076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,2052,fell,30.98,7,75.1363,28.8751,2.86615,3.80427,247.351,27.7499,7.33958,17.4773,1.46944,18.8682,19.8782,3.5087,8.0855,1.41888,423.908,56.7135,16.1879,29.3329,1.13109,26.0693,36.7174,5.53576,12.656,1.7727,383.212,38.7857,15.184,26.7197,1.01759,25.6018,23.4161,5.33613,11.9097,1.85244,427.188,57.6845,16.1886,25.3092,1.52491,28.4149,36.3962,5.90385,10.0757,1.98383,371.698,41.8266,15.3466,24.4922,0.823962,26.0467,37.4033,5.5583,11.1324,2.50564,415.633,46.6232,15.5733,23.6955,1.67427,23.8941,36.0595,4.57407,9.05776,1.46769,431.766,52.7063,46.2264,90.0771,1.50397,16.7555,37.1729,3.98651,13.3681,2.21346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,2053,fell,10.38,3,62.2777,29.8674,2.64649,3.72305,170.508,18.4086,6.83597,19.2878,0.818067,14.7598,21.4291,3.1216,6.60348,1.15274,549.586,63.2224,18.8827,29.1629,1.56017,32.3809,45.7703,6.45115,12.1285,1.7063,291.398,50.896,37.6031,15.4908,0.280407,14.9538,24.7966,3.92681,9.28735,0.676737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,2054,fell,11.76,3,63.4796,19.9377,2.19425,3.42735,406.878,57.3709,16.7246,20.7862,1.64026,29.4883,37.5947,6.95337,11.514,2.11608,303.556,48.6477,12.7099,26.5851,1.48328,21.6243,27.1597,4.40521,8.64894,1.50292,922.881,87.3906,90.7215,45.0898,1.02462,32.4153,52.8999,7.73477,13.8692,1.92993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,2055,fell,45.84,10,23.4486,16.9281,2.6869,3.95586,245.365,34.7168,15.4498,22.82,1.11532,23.924,33.9766,5.46118,9.96031,1.56966,180.27,19.022,6.48938,13.0733,1.62521,15.7447,15.5954,3.11903,8.44317,1.71038,278.972,32.9544,8.99445,16.4393,1.32828,21.402,23.298,4.03172,6.92576,1.75667,302.005,32.4445,9.89094,20.7177,1.31281,22.7847,23.2485,4.45584,6.35708,1.87062,184.724,16.1606,7.54264,19.0971,1.75124,17.8642,18.7597,3.59639,5.84106,2.10422,257.543,37.3781,13.3513,28.4645,1.90907,19.7271,24.8259,4.42796,11.8864,3.26828,491.012,85.3115,36.2501,22.2688,4.37656,36.5574,66.0718,8.37226,13.6243,5.38941,237.608,25.0344,13.5141,13.2076,1.79382,20.8439,22.3739,4.07399,6.37767,2.23212,329.223,47.9987,17.1754,16.3891,2.42529,23.5098,34.6645,5.13284,7.19172,3.00283,138.756,53.1219,8.48537,1.71492,0.31237,7.81059,15.26,1.90132,2.46627,0.94143,,,,,,,,,,,,,,,,,,,,
falcon,2056,fell,31.18,7,20.8548,12.2219,1.07623,3.46374,209.637,25.9988,6.99353,15.0123,1.1277,16.4249,19.9491,3.35419,6.86229,1.56848,272.706,32.2905,8.17236,9.07998,1.68718,19.0541,20.3889,3.95102,6.31298,4.09791,269.399,43.3853,10.9382,12.9448,1.65815,21.6385,37.1452,4.73638,6.73002,3.79447,645.811,50.5287,41.7738,39.3966,1.70522,35.6961,46.099,7.37611,14.5485,3.58116,291.805,40.7708,14.7161,13.4754,2.61375,23.5095,27.5886,4.64048,7.58363,2.83921,217.165,22.6138,13.411,10.0904,1.09292,19.0488,19.9254,4.26308,6.67639,2.45593,514.384,65.3326,41.9342,9.08971,0.443649,21.6766,44.6602,4.89988,7.65221,3.19093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,2057,fell,22.58,5,35.4017,17.1136,1.50947,3.52115,238.156,20.7746,8.70729,24.6072,2.09216,20.1644,20.508,4.20648,10.9635,2.61477,239.654,20.4486,11.8423,44.601,1.63284,20.4045,25.0795,4.23688,9.36449,2.04585,322.706,44.1211,13.4404,28.9708,1.88118,23.3261,23.2844,4.99844,7.82637,2.20169,176.798,22.4669,6.31609,22.5494,1.44192,12.7596,15.0003,2.64629,5.30788,1.16188,718.286,94.1394,44.167,50.7568,1.14841,36.6878,64.6052,7.56585,17.8497,2.69869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
