policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
gr00t_wbc,1024,fell,30.6,7,8.78702,12.968,2.1334,3.02975,317.623,22.856,10.4921,39.4674,9.078,54.8406,18.1424,12.2727,38.1067,40.2477,329.006,29.1764,10.2339,27.439,8.8187,61.8823,18.7949,13.8518,30.508,40.8799,219.206,25.3708,9.30816,27.1083,9.49197,31.0072,17.7984,6.76445,28.3815,43.2126,412.756,80.4849,22.3113,57.0925,9.91856,59.0106,27.0028,12.6418,41.4352,43.772,151.959,14.2401,6.70778,29.5377,8.24933,22.2647,9.09379,5.46943,31.356,41.6292,299.443,34.5536,13.2206,39.2577,8.72627,53.6932,21.622,11.0058,36.7917,41.2882,923.953,37.397,50.3378,74.4456,3.69445,41.3013,10.6463,7.23058,20.1257,7.69309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr00t_wbc,1025,complete,60,12,9.24707,3.33305,0.01579,0.0211123,330.587,27.8415,9.80181,30.524,8.50202,54.6181,18.1106,12.2986,34.1652,42.1994,261.842,27.6885,9.74625,32.5577,8.05922,47.1807,15.6053,10.3391,34.1195,38.5658,479.56,41.7444,21.0886,76.1762,9.43805,59.7115,23.393,12.7991,43.159,41.3492,223.568,24.158,10.5907,50.1584,8.85952,37.3569,14.625,8.76669,36.8661,40.2397,352.741,38.8655,12.6858,42.5786,8.29636,49.2005,21.6437,10.0894,40.3376,40.9817,241.109,24.0201,8.94561,37.048,8.43908,40.6464,16.3744,9.00426,33.9047,42.0014,573.099,67.4021,28.4668,74.8859,9.603,89.9962,34.7146,16.8921,46.1559,45.4815,411.833,54.2869,17.2685,83.5552,10.0951,64.4543,24.3715,15.132,39.5444,42.8062,69.125,5.88681,2.83974,25.4367,8.5807,15.1595,5.45594,3.95405,29.4693,40.1047,496.536,50.3183,16.1628,40.3372,9.51857,50.6765,17.1928,13.3286,42.1086,42.8703,483.07,55.344,20.7227,60.8086,8.85897,48.119,21.5235,11.2961,39.845,43.2218,323.191,41.1901,11.1907,27.5221,10.0669,49.6616,19.8707,11.893,32.0147,42.0523
gr00t_wbc,1026,complete,60,12,7.58685,3.23508,0.0219297,0.0358807,344.165,31.1505,10.6664,28.8682,8.48489,59.4941,19.5594,11.8634,36.4013,40.753,313.682,30.541,9.72989,35.8395,8.92968,55.4226,19.9861,12.4938,35.4119,42.9654,223.217,30.129,8.56827,34.2752,9.01526,32.0675,16.7368,7.76499,32.8836,41.4102,90.0316,15.2549,6.09278,35.6748,9.05968,15.8945,6.35869,4.40641,33.8901,41.5458,285.797,26.758,9.4001,22.1712,9.63306,47.9821,15.2581,11.2069,36.4477,43.254,287.274,26.3735,7.11748,24.6374,9.27425,48.3228,17.395,10.2019,34.3593,43.624,163.633,18.2672,5.23395,31.9473,8.81706,25.6372,7.2554,5.77198,33.832,42.8869,245.778,29.8645,16.2541,78.5576,9.59119,31.5628,13.0672,7.82038,38.1836,41.7297,327.557,38.6472,10.2609,34.5157,10.1471,53.0559,19.6778,12.9111,35.7421,43.2743,411.611,46.291,12.3179,35.1964,9.50421,46.908,20.6371,11.3642,39.1224,43.0231,150.881,14.7728,6.8939,35.2893,9.10637,18.7377,7.81381,4.45886,34.2652,43.3088,694.887,99.3099,30.9939,58.9459,8.73813,76.815,29.7009,15.6645,41.2365,38.8554
gr00t_wbc,1027,complete,60,12,11.0209,3.04401,0.0351462,0.0536682,347.283,41.0274,9.67436,27.7176,7.57945,56.4643,26.0804,12.174,31.5921,39.7226,375.919,32.3516,10.4314,31.9358,9.30683,64.0274,26.2443,13.832,33.284,43.2775,270.555,26.3626,11.4034,99.8967,11.2013,44.5881,16.0232,10.0868,38.3104,41.1065,676.638,69.686,20.3238,42.8694,8.74562,86.3442,29.3958,18.3903,36.9906,43.0306,368.682,42.2649,12.2871,52.923,9.6562,56.2314,24.0552,12.6798,38.6624,43.5343,817.85,85.9419,23.8409,52.0579,9.37359,104.324,33.8366,23.5716,42.9901,41.9042,335.556,29.2847,12.4202,87.8557,10.0714,56.7666,25.3427,12.2644,41.7472,44.8422,583.608,79.3452,19.0657,144.064,10.1997,73.4726,35.1058,16.4781,51.733,44.6662,493.943,81.5682,17.658,129.039,9.68312,63.3851,25.1568,14.4881,47.1036,42.9061,396.013,49.6407,12.4383,40.529,9.35062,43.6253,21.5833,10.0787,36.2428,42.6696,284.989,30.0331,8.42212,30.7238,9.23866,26.3902,11.2737,6.98652,31.9084,41.7103,275.073,26.8904,11.348,30.1751,8.63157,40.6374,13.9457,9.5962,33.2606,42.9661
gr00t_wbc,1028,complete,60,12,19.3925,2.17585,0.391493,0.349075,300.515,31.5299,9.3093,26.4415,8.30964,55.0656,19.5985,12.3035,34.0917,39.7674,468.011,48.9856,16.1286,40.8895,9.8877,64.2081,23.0156,13.9591,42.047,40.7235,209.605,23.7655,14.5858,61.2013,10.6758,29.4389,12.4983,7.38124,39.2814,42.1854,425.033,39.9847,15.4301,47.0964,8.83546,64.122,20.6663,13.7617,38.7498,39.518,401.557,37.0482,20.932,120.641,13.4345,49.2822,20.1222,11.2272,43.7595,42.0815,249.167,17.225,9.50049,37.1339,8.27898,37.3924,14.1736,8.92706,37.2169,41.4598,330.261,39.6049,14.9667,39.2145,8.88214,52.2015,23.9442,11.5634,38.9338,41.1914,681.36,78.1984,39.0696,135.378,26.6606,83.5004,33.9651,17.7993,51.6013,44.5054,736.258,126.572,39.442,169.338,22.5953,79.225,37.7218,18.5368,55.5718,48.8284,452.617,70.9057,19.8304,107.58,10.2089,51.4744,24.8562,11.22,39.78,45.2134,616.138,70.3931,29.7068,94.8022,10.3143,66.6553,28.9224,13.6958,47.8231,43.6747,995.376,105.574,41.4474,66.7162,9.20114,111.794,45.183,20.1604,55.9872,42.9628
gr00t_wbc,1029,fell,35.8,8,11.1367,11.1396,1.41595,2.30956,432.822,44.3168,13.412,30.8625,8.49294,60.0171,24.2283,12.1853,36.1617,39.461,479.891,63.4662,20.4613,64.0824,9.26792,81.6528,30.7944,17.0655,42.943,41.5588,315.834,39.5619,19.8864,106.882,10.1673,44.6785,19.1309,11.2172,39.0147,44.2091,162.142,23.8519,15.1999,70.9039,9.32185,24.2935,10.3373,6.3068,34.2296,38.4933,202.673,17.6814,8.98879,42.1721,8.2107,32.494,13.0698,7.93564,32.0114,41.2074,250.614,23.3337,10.2402,39.9195,8.28336,42.1092,15.5548,10.284,31.8966,40.7803,322.504,32.7451,12.6888,46.5748,7.91238,52.1927,16.5278,11.8207,35.7455,39.3803,1265.73,75.0975,67.5157,76.5329,2.24004,73.0945,24.7994,11.4597,24.5396,8.09369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr00t_wbc,1030,complete,60,12,15.1001,2.6279,0.0641529,0.0384676,334.682,37.0482,14.1944,70.3101,9.97465,51.7357,19.1629,11.1934,35.2026,42.3213,215.942,27.4494,7.2138,35.0318,7.83695,35.949,15.5074,8.37191,34.9805,42.0738,324.39,46.498,11.8398,34.3641,9.17457,49.3814,21.495,10.7915,34.9153,40.2482,423.721,51.7733,13.652,42.0941,8.52165,64.3607,27.2914,14.5052,41.1311,42.6506,469.741,48.3765,16.0451,39.7709,8.3859,68.0217,26.1427,15.0495,41.7668,39.9326,172.041,16.265,17.0091,39.8509,9.32424,33.1668,10.4773,7.71596,28.3015,43.0239,272.783,22.7626,12.196,34.2747,8.25402,54.2301,16.0268,11.7919,33.7466,42.117,425.084,46.661,19.5585,44.7962,8.28011,57.9688,22.3566,12.6158,38.3912,42.4579,557.607,83.4535,32.6997,67.7614,8.88329,69.9449,34.823,15.6127,42.2791,43.1991,254.708,37.904,10.7536,36.6585,9.61287,30.8503,12.3273,7.64086,34.0096,41.7323,447.13,48.1258,30.3654,35.4399,9.12767,45.5481,19.1649,10.7589,37.3519,38.9257,759.35,80.1002,26.7802,41.7053,8.60646,88.9609,32.4797,18.1149,44.0362,39.0272
gr00t_wbc,1031,complete,60,12,7.69759,2.53134,0.0237757,0.0542294,328.766,44.0871,9.98764,30.469,10.0127,50.9344,20.4271,11.4692,33.6113,39.7706,369.002,36.609,13.8656,54.3828,9.66542,61.7838,25.544,13.7063,36.5265,41.071,363.944,30.7432,14.1868,77.9428,8.58603,55.8394,20.7796,11.9622,39.4473,41.1213,251.912,26.7526,7.58065,29.8641,8.62577,39.0938,12.7005,8.77509,33.5328,43.0474,416.848,80.2048,26.9204,44.0786,8.42356,60.5493,32.2805,13.0065,36.6414,41.4354,535.192,60.4078,18.8689,39.8531,9.27605,61.2402,29.4258,12.351,37.2643,41.6136,872.291,68.2452,51.2688,191.633,19.961,101.351,30.9392,22.0326,55.6005,45.3638,340.293,65.236,44.1328,140.536,18.9793,46.6623,18.6719,11.9852,45.055,44.9717,201.623,25.4274,9.86983,40.1705,8.46174,28.8377,11.9499,7.18203,35.925,40.2532,299.631,36.4808,9.1778,34.6957,10.2695,35.2699,15.5665,8.82518,38.3345,40.5648,497.552,53.978,15.4278,38.8311,8.22636,57.2713,22.6979,13.2692,39.66,43.9312,832.615,155.909,29.4318,57.1309,8.20866,99.3178,48.6062,18.9928,45.7345,40.8193
gr00t_wbc,1032,complete,60,12,12.088,3.10682,0.0241433,0.0328584,191.184,21.8878,5.50962,31.6702,8.74439,30.1216,12.8674,6.37971,28.1963,39.7235,247.217,16.0633,7.28376,29.397,8.9193,40.597,11.8157,8.69181,31.1757,40.6061,179.549,17.0554,5.49846,23.2568,8.53931,27.7465,9.91294,6.02862,30.4917,43.298,416.8,31.3184,14.4917,32.6591,9.04343,56.6539,20.6456,11.9214,34.1934,42.2732,340.889,28.415,14.6983,36.8535,9.20625,57.373,18.51,13.1222,38.4477,43.1775,294.59,28.3079,8.56436,26.3662,9.34811,50.5641,19.1918,11.2934,30.3981,41.0902,338.743,41.8601,15.7793,60.699,9.12763,53.6088,19.8384,11.9604,35.9354,40.6818,328.798,30.202,9.77185,23.7494,7.30419,52.0773,20.7943,11.7378,31.6067,39.8976,492.427,55.2836,17.9746,158.847,19.7702,62.8973,20.7527,15.5514,57.3353,52.7339,471.212,59.6559,14.3289,36.1544,10.1539,51.2386,21.1195,13.4386,37.4608,41.8344,1169.42,199.354,58.0234,147.349,13.7604,91.9544,43.6602,18.55,61.2871,46.7829,229.697,17.645,14.0837,48.9261,8.38373,39.0074,13.388,8.75426,39.5428,39.5162
gr00t_wbc,1033,complete,60,12,21.6351,2.78538,0.514268,0.490671,141.235,21.8684,6.51757,34.0694,9.46966,24.8163,10.7407,6.01941,35.1882,41.0725,288.473,27.2252,9.89539,30.63,9.28041,52.0684,18.5266,11.8109,32.7726,41.6248,437.464,45.8582,11.078,31.1581,8.05898,65.404,23.423,13.3677,37.0232,42.4623,381.239,44.0192,13.6813,54.6522,8.3144,48.7689,19.2481,10.8877,39.5867,38.8566,300.328,29.7367,10.8921,41.5362,6.76289,48.5949,16.456,10.8815,38.5724,39.683,751.359,111.852,25.1811,34.1592,8.52431,93.6206,44.0457,18.277,38.714,41.8988,531.967,43.8816,15.2293,68.3319,9.69346,69.4259,24.6832,14.5096,44.438,40.6591,402.374,52.1747,43.035,124.34,11.8693,62.846,26.3225,14.7495,49.2196,43.6058,313.712,40.0266,15.5736,34.1094,8.94109,45.2479,22.5214,11.283,38.1303,43.8309,393.333,57.0716,20.4215,61.7473,11.266,45.9144,20.8247,10.7882,36.8643,42.6179,623.731,74.874,16.5728,39.4155,9.6931,56.0242,27.6545,10.8208,39.9066,42.6428,1221.93,148.161,53.7895,98.9633,11.3693,114.999,47.7048,23.1644,55.4721,41.7318
