policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
gr00t_wbc_h066_p000,2048,complete,60,12,12.7876,5.85088,0.064902,0.100793,241.688,41.8419,9.40937,16.3269,2.45329,18.1504,9.51856,2.70442,7.9542,4.93877,314.359,45.1293,12.9803,22.7328,0.913802,23.5316,12.6266,3.21551,6.73614,1.24367,324.129,39.1219,14.9493,22.0704,1.87265,24.8035,13.7077,3.33143,6.23013,1.1211,145.509,24.5657,13.8664,46.7714,2.9692,10.142,6.50292,1.81196,6.68686,2.19258,307.258,46.4276,17.4535,48.1654,3.43011,21.2013,15.2661,3.67683,11.761,5.20589,403.115,61.1271,23.511,112.541,17.2705,31.0107,20.8845,4.92299,18.7848,7.14649,245.924,37.3893,21.6465,36.9639,2.11038,18.1579,12.5545,3.00311,11.1368,2.41505,242.536,21.188,13.503,23.975,1.62293,21.1173,11.897,2.67349,5.21015,1.16151,244.704,31.684,13.43,23.9382,1.46629,18.1575,10.5518,3.04315,6.23448,1.21873,229.653,36.2787,11.701,33.5856,1.36082,13.0349,8.65812,2.06979,4.78373,1.22909,310.115,41.1827,16.0861,25.5013,0.920406,21.3775,12.5879,3.10915,4.79793,0.902943,771.161,111.651,71.9021,240.954,3.04429,54.0636,33.4367,8.63562,21.4161,3.7659
gr00t_wbc_h066_p000,2049,complete,60,12,14.9886,10.7412,0.125712,0.122913,231.216,38.5311,11.5825,14.4429,1.05448,16.0541,9.82538,2.68503,5.26967,2.01394,181.18,37.0177,7.66518,14.8414,1.4589,13.4015,7.66116,1.70718,3.92347,1.0857,221.293,29.5948,14.2093,18.0541,0.775166,16.2413,9.72188,2.53906,7.52813,2.35021,291.081,42.5409,14.9342,14.4946,1.31519,22.0195,11.4894,2.9918,4.49653,2.30802,367.019,59.5067,25.7128,28.5405,1.4374,27.3792,16.8979,4.45225,7.20149,1.96946,348.648,69.6188,15.9586,23.5306,1.30435,28.3816,17.94,4.59514,8.06718,2.22034,320.604,41.2854,12.5363,11.5149,1.04794,21.2258,14.2893,2.99231,4.31646,1.41743,199.061,35.3967,8.46493,11.0443,1.33946,14.7285,8.87586,2.15005,3.35565,2.03931,223.462,31.2829,8.96012,17.1988,3.35067,17.4373,9.49063,2.34422,5.16531,5.38346,435.745,48.463,17.2129,22.7301,2.03261,30.8492,15.5282,4.52015,8.71941,4.84433,262.298,32.482,9.04907,20.1625,2.39003,17.8693,8.99625,2.39242,6.14553,3.56262,956.93,84.874,29.3883,21.6122,1.99488,53.9435,24.8032,6.94947,15.0683,6.36971
gr00t_wbc_h066_p000,2050,complete,60,12,18.7229,8.06568,0.0930947,0.165767,298.138,43.2966,14.6568,11.1536,1.07889,24.6954,13.3525,3.4255,7.22813,3.40274,307.742,55.5183,22.0774,32.9746,1.61191,21.2068,12.4358,2.95722,6.17269,1.75267,97.6273,10.04,7.98755,31.8619,4.30108,7.66491,2.73667,1.70696,8.04186,5.31959,379.802,43.3519,19.8426,23.2083,1.60277,26.3206,12.3682,3.90265,5.95834,2.67396,339.478,43.9761,14.1315,21.7359,2.73399,22.3394,11.7883,3.31081,6.09317,3.49199,441.984,115.593,27.6009,59.2325,1.94563,33.2499,22.5675,4.89666,11.2361,2.75958,213.151,28.3031,20.2444,37.7888,2.51667,16.9077,10.0938,2.87208,9.18424,4.55343,140.348,17.5495,15.9083,32.081,1.11007,10.9821,6.88566,1.85708,3.5659,1.04618,316.961,33.4903,19.3802,33.43,1.65215,20.2806,12.0692,3.17659,6.43377,2.94586,454.494,57.9278,27.5035,23.774,3.45659,32.4485,17.4214,5.45276,8.57776,4.51713,296.225,66.9856,22.6442,25.2401,1.60207,19.7918,14.644,3.5773,4.6159,2.43066,500.104,99.2498,36.5463,43.4571,2.19529,35.2673,22.6572,5.72045,13.9793,5.5404
gr00t_wbc_h066_p000,2051,complete,60,12,14.5978,6.23943,0.130362,0.173787,219.105,41.9519,10.7635,21.5308,1.8739,15.7299,11.269,2.29013,6.36553,3.481,432.878,73.9149,35.2785,101.494,2.64824,30.5799,20.1138,4.60201,10.9914,2.15956,265.409,35.3525,12.3735,17.7091,1.38955,18.3889,11.9724,2.73809,3.62693,0.91096,269.667,32.0472,18.6593,50.6269,10.5506,21.1676,11.8352,4.01701,13.7795,6.77703,514.629,111.373,45.2394,150.781,6.93232,36.9514,25.5363,5.60938,16.4834,8.41276,263.103,43.4821,14.6397,13.7162,3.9342,22.9329,14.5415,3.62277,6.2335,4.17968,326.277,48.3905,18.7981,25.4016,4.97244,23.2327,13.5951,3.39259,5.98118,3.81423,314.944,70.4481,16.0749,21.7241,3.19038,24.6759,16.6991,4.22117,6.21863,4.02391,274.476,36.7663,16.5339,23.9229,1.57098,21.4679,13.5895,3.26343,6.05895,1.87703,133.452,18.375,12.0411,22.8475,1.08608,9.71813,6.89872,1.4966,2.61452,0.747812,240.356,27.6696,17.9497,21.0685,1.14882,21.5657,11.9486,3.35616,5.82265,3.21836,332.4,70.0892,22.0973,38.8517,1.30153,26.0778,17.6024,3.89339,5.73205,1.81922
gr00t_wbc_h066_p000,2052,fell,45.82,10,15.7157,16.1673,2.44956,3.35015,278.703,29.9762,15.2399,17.9297,1.42752,23.3472,14.1539,3.41621,5.37186,1.04409,250.261,24.6339,11.4043,19.7517,1.06526,19.0903,9.02449,2.58612,5.26706,0.874132,276.085,38.1112,14.7694,21.6955,0.91115,19.7076,12.2887,2.85288,5.91493,0.99473,268.602,47.5536,17.2461,16.4882,1.38017,19.559,10.9521,2.68872,5.71425,1.33885,504.682,68.9748,30.1005,18.9389,0.752803,38.0439,20.383,5.33864,9.71863,2.01924,306.3,55.9442,18.0343,16.4577,1.62217,23.5854,12.7561,3.39813,6.09705,1.18301,1396.39,190.652,72.8083,120.461,2.6005,72.0432,46.3168,10.1702,22.6857,3.35578,732.387,153.748,35.4609,37.3472,1.37568,49.5886,34.1198,6.90168,15.1092,2.16478,431.663,80.0303,36.5077,111.723,1.22449,27.9465,17.4253,4.52733,15.8209,2.16314,1407.94,57.224,64.3747,16.3653,0.316615,40.789,18.9885,6.61617,9.68349,1.52676,,,,,,,,,,,,,,,,,,,,
gr00t_wbc_h066_p000,2053,complete,60,12,14.2992,6.40992,0.258757,0.273815,223.116,27.0748,8.9785,17.831,0.76329,13.9739,8.00897,2.07927,3.7534,0.774876,274.854,30.7916,11.6259,18.9422,1.53595,17.6275,10.0366,2.39839,5.28829,1.04583,228.969,22.8565,14.9154,12.9664,0.999147,16.6558,9.57978,2.67416,5.82141,0.884862,570.086,58.4791,18.1114,19.7849,1.72778,35.3478,23.4434,4.94657,8.6012,1.20183,542.502,84.5,34.9044,59.233,1.92303,40.139,24.4933,5.8555,15.1011,1.94716,404.867,66.7114,33.1634,28.8612,1.70785,34.1949,24.0121,5.42269,9.74453,1.75191,354.088,48.7473,19.4637,21.1109,1.22573,25.5836,15.3166,3.85357,6.65185,1.13119,278.323,58.6059,23.2563,57.8985,42.3736,19.5077,11.9855,3.29781,10.9143,5.80091,182.62,25.1633,15.7836,51.4452,1.64239,12.2764,8.32266,2.10608,8.00139,1.70458,202.666,39.4308,13.1151,21.603,1.45601,15.1483,10.0205,2.16445,5.32641,1.03846,262.563,39.8656,10.8743,18.1591,1.03064,17.2484,10.2066,3.05692,5.60611,0.784777,351.282,41.9122,16.178,22.9254,1.2418,27.2842,15.8231,4.02706,7.18348,1.37859
gr00t_wbc_h066_p000,2054,fell,45.6,10,26.5523,13.7038,2.33815,2.01159,225.526,42.6487,9.49844,15.1837,1.58453,17.7432,10.7221,2.62124,4.8653,1.07969,412.411,62.1545,13.2055,20.2638,1.43994,26.8837,18.698,3.64313,5.84649,1.16503,300.089,50.8903,17.9432,45.7434,1.79105,21.7391,13.3441,3.16467,7.58736,1.86047,289.456,37.7061,15.2173,22.5307,1.04937,20.8509,11.7125,2.87064,4.52942,0.88445,243.367,43.6404,12.5519,26.7218,1.16015,16.5462,11.1943,2.9236,5.64189,1.0626,476.808,60.6799,30.0386,84.3784,2.44413,35.6837,18.6162,4.9694,15.8516,4.11454,459.003,59.695,16.8178,19.7496,3.50635,32.0807,18.1713,3.98606,8.00275,2.60689,382.766,72.9014,23.534,22.4696,4.37811,27.1435,17.9303,4.69777,8.72348,5.28806,117.145,18.3273,6.30542,9.03915,1.03267,9.00753,4.98714,1.60255,5.3452,2.58283,2243.74,152.821,119.897,35.705,143.061,52.7624,19.9565,8.67662,14.8559,9.37384,,,,,,,,,,,,,,,,,,,,
gr00t_wbc_h066_p000,2055,complete,60,12,34.0861,5.74173,0.221112,0.263803,178.247,33.87,13.2308,17.2655,1.10647,15.226,8.05266,2.30835,5.18323,1.31636,212.717,24.2802,8.30264,10.6542,1.55313,14.8371,7.96414,2.14983,5.36373,1.33297,202.17,20.329,7.84998,12.7317,1.27166,14.6199,8.73746,2.1227,3.65321,1.36712,244.07,40.0079,12.9853,19.1553,1.30001,19.9709,12.5268,2.89119,4.23047,1.31536,80.8616,9.66049,5.15042,16.8335,1.5387,8.51873,4.64754,1.37345,2.87738,1.83778,443.303,48.6042,15.0503,25.0104,4.14013,28.9029,15.4867,4.15372,12.4356,6.35555,273.188,57.9888,17.7739,16.1545,3.83423,19.5322,13.5388,3.68598,7.26832,3.16196,273.34,24.7039,18.0028,14.2107,1.73753,19.1165,11.5052,2.8282,4.11189,1.60124,390.935,61.4706,19.4159,15.637,2.36113,28.5163,17.0887,3.7016,5.76525,3.11872,498.497,59.321,25.3354,25.1983,2.06318,33.5192,17.8886,4.92237,6.68776,2.73013,334.228,72.1512,28.7571,21.2379,2.40592,24.6443,17.2328,4.73109,8.6529,5.72449,1271.84,138.564,56.8645,20.7924,1.38749,75.426,37.8832,9.70339,9.21936,4.58662
gr00t_wbc_h066_p000,2056,complete,60,12,14.2502,8.77694,0.0508235,0.0646091,193.88,41.0968,9.36561,13.1848,1.63388,16.8472,10.1714,2.34085,4.6174,1.69675,255.009,32.4707,7.29274,9.24609,4.07974,20.1328,12.0464,3.06023,6.86084,6.18817,200.231,24.5449,7.50242,11.6671,3.42708,14.6815,7.24292,1.92838,3.95903,4.81901,508.424,58.4829,30.1624,18.8954,4.29062,30.5298,16.2809,4.42237,7.191,3.4638,247.5,27.9032,22.8524,16.38,28.0724,19.7975,12.2107,2.58365,5.91688,4.66656,155.834,19.6902,11.9559,14.7588,34.762,12.69,7.16914,1.52023,5.19489,3.94062,648.062,79.7669,29.9748,21.8422,47.1424,40.1734,19.4916,5.40811,9.56521,9.52435,349.366,47.4625,28.5993,15.2358,0.885727,21.2873,12.1125,3.23248,5.13711,1.91614,315.981,35.4584,17.1366,14.7625,1.78252,22.6733,13.3064,3.31215,6.86535,1.84374,344.618,37.7376,13.4946,17.6862,1.26846,24.4151,11.0291,3.58935,7.14434,2.85788,224.755,16.5481,15.3488,21.0286,1.27913,13.9914,5.28283,1.94632,4.00533,1.28121,378.807,62.753,24.8797,21.2557,1.79947,25.8114,15.7794,4.05666,7.55533,4.91775
gr00t_wbc_h066_p000,2057,complete,60,12,29.7789,6.57461,0.107515,0.120186,207.556,19.9847,15.8309,24.3157,2.3587,21.3044,12.1202,3.52666,7.66831,2.43626,117.407,18.5072,10.7022,42.6611,1.56192,7.76718,5.60114,1.36207,4.58105,1.27474,292.895,48.9014,17.145,26.8081,1.82462,20.4413,13.4351,3.08419,4.94871,1.40483,141.483,27.4292,8.29612,22.0735,1.39731,10.0431,6.27714,1.49541,3.46463,0.945338,304.538,32.268,12.9912,46.7548,1.47153,19.4782,9.53549,2.85462,9.47018,1.81521,243.945,64.6572,12.9157,14.1212,1.36894,17.6562,15.1008,2.74087,6.64572,2.82075,113.112,19.4883,6.79758,7.5616,3.1146,8.75032,4.41629,1.39203,3.21495,2.47502,354.915,49.1083,12.5986,10.8456,1.19402,25.1132,14.4199,3.47743,5.6425,1.59359,272.728,50.7188,15.9854,11.9613,0.81658,20.994,12.8727,3.31216,4.98325,1.66042,420.122,45.4683,26.34,115.672,23.213,29.4941,15.1486,4.69535,20.6294,11.3483,427.445,65.8413,25.6487,43.7373,2.72739,27.3114,15.8907,4.39112,11.2335,7.34386,724.05,90.968,41.9302,39.5294,1.77974,41.3211,22.5439,5.97179,9.77295,2.6829
