policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
rl_gym,2048,fell,32.7,7,43.9654,8.6771,1.56516,2.41076,893.298,134.582,232.055,30.6833,1.65255,284.43,70.4344,118.584,90.7435,9.41088,792.668,164.431,194.282,31.8038,1.59469,251.446,75.6659,103.939,88.4619,8.50324,765.201,113.633,190.889,31.3871,2.32051,257.067,66.6492,105.717,86.6535,11.6806,968.141,118.52,288.655,57.2972,3.61935,313.989,75.2779,135.579,106.555,17.1091,916.671,127.314,219.524,68.6978,4.18521,297.16,71.9768,118.607,97.7672,21.8699,1011.84,161.149,222.159,117.244,9.6263,313.757,77.7878,118.697,105.285,25.741,1225.5,193.188,215.93,91.8492,12.185,237.335,87.1058,78.7548,82.6711,17.2836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,2049,fell,21.76,5,81.5072,5.31166,1.5701,1.1457,881.783,141.117,245.765,27.6366,1.29203,286.877,82.3342,125.014,90.4298,10.3323,847.448,161.008,229.342,27.6412,1.8038,266.212,74.5865,117.433,81.2578,11.5889,796.151,102.059,223.61,46.2734,0.913154,254.954,61.2963,110.527,68.8426,12.6987,948.108,243.802,240.724,42.7911,1.27163,241.297,79.443,101.783,73.5531,9.62569,753.637,248.101,86.1062,23.4099,2.46573,114.88,53.1123,32.8933,27.76,6.83192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,2050,fell,8.46,2,101.044,33.8734,1.22561,2.28648,1006.57,148.471,198.883,24.8215,1.3158,310.985,81.6923,115.512,91.4189,11.9207,1242.74,536.587,206.139,87.9613,6.41591,219.373,94.104,76.6472,63.2667,16.2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,2051,fell,8.78,2,212.309,84.9746,1.11319,0.443516,927.458,121.651,296.872,34.2219,2.35582,303.51,69.6605,136.477,95.7938,12.3567,2272.83,654.088,367.796,221.858,27.7751,289.326,121.294,107.578,101.159,30.9486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,2052,fell,31.1,7,62.4262,21.1476,1.17041,1.7501,1154.86,94.1948,283.292,34.7048,1.88439,337.563,74.0031,140.143,109.569,13.3287,1067.75,94.4924,229.805,41.1818,1.77799,322.364,73.2589,126.946,110.504,14.2862,1411.56,206.956,249.51,59.9361,1.3379,366.115,101.873,130.93,118.707,11.3959,1040.98,167.602,299.28,38.0674,2.48024,304.062,74.7845,133.156,89.4228,12.1515,1132.26,233.359,239.527,42.5855,1.34427,301.05,86.1139,115.228,82.9318,13.447,1376.18,294.186,291.743,51.5862,2.48363,334.9,106.232,133.282,91.6772,11.1141,834.154,138.736,109.976,131.19,10.003,134.207,44.5697,38.4035,44.875,12.1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,2053,fell,5.76,2,54.3522,19.7858,1.27922,0.828057,839.302,101.905,215.029,29.7169,1.26289,294.144,67.1357,120.857,98.5079,13.1071,420.308,77.6435,29.4563,47.4609,2.23385,50.436,20.218,10.5918,16.5818,5.78385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,2054,fell,35.8,8,100.476,18.8437,2.94553,2.98921,877.492,81.3648,238.065,26.2374,1.99945,287.58,66.129,124.447,90.8311,11.5812,1598.73,261.624,291.389,54.3144,2.10183,349.536,101.675,135.28,99.796,11.3373,1090,148.935,165.278,81.5981,2.5856,289.269,79.7255,96.1707,86.1672,10.9596,861.564,226.582,250.682,44.8169,1.75662,266.262,80.6084,114.422,88.2418,8.71083,845.607,128.152,234.688,53.846,2.25911,276.712,70.0579,117.918,82.6995,6.91692,1644.72,608.402,249.896,99.358,2.02156,308.897,128.733,111.279,100.356,9.17007,1147.9,162.021,237.734,40.8658,2.39415,326.113,80.5858,129.624,84.7717,18.0136,535.924,179.547,55.0178,26.3891,3.22666,42.1475,35.8714,13.0649,17.8927,6.96454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,2055,fell,27.78,6,70.747,13.8338,1.94966,0.624229,847.626,100.225,239.27,29.1019,1.40288,282.094,65.1543,121.975,87.18,8.70044,973.385,86.9786,269.365,25.4442,2.14588,315.879,71.5993,137.986,92.8646,9.98925,948.956,162.411,190.278,31.0685,1.58777,270.761,71.3228,106.327,70.0904,9.59193,1120.68,273.077,273.083,43.3106,1.60366,311.372,103.067,125.66,82.5281,10.2866,662.424,100.395,207.581,30.0082,1.68674,247.891,63.2103,109.701,70.2513,7.93718,2492.45,320.567,232.936,100.1,11.5544,267.609,103.433,79.2812,58.4396,14.6145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,2056,fell,56.18,12,38.8254,7.78083,0.64079,0.561898,1031.1,215.132,238.773,26.4188,1.65781,303.643,82.5169,124.8,86.2465,8.90355,898.947,107.384,241.463,31.6975,1.3338,293.373,67.9425,127.35,80.7608,9.6724,611.214,72.246,162.037,62.0904,2.41421,214.546,53.0114,91.8201,62.5577,9.84618,893.562,143.681,217.719,30.904,1.63829,266.223,76.4849,113.532,73.6711,10.0667,1252.27,162.777,314.614,42.4841,3.35165,337.071,96.6508,142.002,88.8843,10.5068,601.935,108.968,184.439,28.7422,1.51812,231.449,56.6451,103.158,55.0486,7.38595,1071.96,178.133,269.776,32.1317,1.75176,315.426,94.6918,131.355,72.6732,8.93688,804.398,153.834,204.229,29.5224,1.12626,255.315,75.0429,105.318,68.7611,7.27336,951.977,170.048,295.357,36.764,2.77792,295.843,82.5454,131.93,81.1682,6.96107,812.741,187.159,229.172,24.8195,1.69862,265.856,76.0043,114.564,66.5595,6.0832,771.319,168.137,239.915,39.2208,1.81574,247.75,68.6294,109.102,62.2455,6.40957,523.309,192.028,73.293,58.8878,13.7192,63.3695,34.8957,24.8034,30.0633,11.5997
rl_gym,2057,fell,50.8,11,19.8369,4.10834,2.76286,4.12554,1021.29,108.444,247.363,54.6598,2.47439,306.897,66.1084,125.038,91.4662,11.8543,771.99,108.932,194.865,55.9023,2.1138,262.582,62.5141,105.882,84.4266,13.3571,969.566,152.705,235.773,48.1217,2.72001,301.755,73.7161,123.313,87.9923,17.558,750.135,114.529,241.638,32.8495,2.06111,268.499,65.828,120.417,82.2538,9.8689,935.407,170.754,231.03,58.8792,1.96569,282.898,82.4945,113.519,83.7386,9.78171,880.307,308.723,210.09,33.9736,1.61005,248.256,80.9592,103.878,65.2784,10.7144,1172.57,119.284,267.227,32.6445,2.60497,327.213,76.1139,129.268,75.8759,20.5434,664.265,134.805,166.325,35.7404,1.96348,221.113,59.8995,94.1221,63.6977,13.2031,816.186,161.199,229.4,31.1285,1.32407,274.724,75.5041,120.305,79.3468,12.1311,830.135,177.731,226.415,115.148,3.70622,257.827,76.4929,111.762,76.8537,14.4821,377.479,76.0223,34.0613,36.0714,0.77018,56.402,22.7892,15.0709,13.3584,2.88558,,,,,,,,,,
