policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
rl_lab,1024,fell,17.2,4,69.7286,82.4085,2.87807,3.48942,176.272,47.3508,14.8467,31.6024,8.01975,27.8463,19.6918,6.29084,29.5313,23.7517,30.9243,9.28703,3.26795,22.2983,7.80045,5.45286,3.44556,1.51463,21.6887,24.1955,101.457,29.1565,11.8113,31.8368,8.06679,14.8697,9.25861,3.80499,24.4885,24.5018,677.476,193.043,38.1651,111.575,36.4675,39.6233,32.5434,7.55886,26.07,16.0696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,1025,fell,17.06,4,50.8299,104.868,2.53072,2.42809,189.998,50.2658,15.1417,25.9967,7.3693,29.7903,22.2115,6.56546,27.385,25.3174,254.051,94.6765,22.494,26.5246,7.34731,30.5394,26.5185,6.66279,27.7196,24.7429,160.635,51.9436,16.4293,53.8197,7.76172,19.2243,14.8826,4.58635,31.5557,25.5698,524.603,152.188,26.6028,26.1871,116.616,30.2064,28.8786,7.21383,18.5626,18.4702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,1026,fell,12.72,3,66.5782,35.8948,3.24119,3.1364,243.221,61.787,15.5743,26.2305,8.78191,32.5067,24.2657,6.96302,26.4902,24.5934,189.859,72.947,22.0866,25.2722,8.19307,29.2626,23.4224,6.78035,25.4941,26.2985,463.314,125.306,22.4475,21.183,4.73662,32.0718,28.5673,5.77215,17.7491,13.5505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,1027,fell,16.18,4,101.944,64.8661,1.68584,2.49389,208.803,50.2065,14.6192,22.838,6.99675,25.7691,19.2544,6.10961,25.4246,24.1096,342.75,71.2268,18.419,25.047,9.35019,39.0316,30.6095,8.44213,22.5833,26.2024,337.999,98.1003,23.5623,78.8489,9.09263,38.4111,30.6504,7.87748,26.9065,25.8566,1027.2,165.714,53.3477,34.8433,72.1046,40.5134,31.6168,9.33462,16.9108,14.7237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,1028,fell,20.08,5,69.1312,88.65,2.98462,3.76817,114.869,45.4545,11.0246,23.173,7.92535,20.4654,16.2521,4.25011,24.7069,23.3164,251.572,68.359,18.005,37.1454,8.75498,31.785,24.3385,6.87413,30.2636,23.4612,170.411,40.1176,15.166,46.272,11.119,16.6159,12.2182,3.61791,28.6969,27.677,456.776,163.847,33.2486,39.4043,7.85116,41.9324,36.6444,8.53606,27.4778,25.3027,19.2546,2.55603,1.96848,8.57742,15.5577,0.88368,1.03616,0.281455,2.1108,2.3715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,1029,fell,18.16,4,49.324,77.0722,2.30116,4.13372,283.19,50.9729,17.2587,34.8447,9.14233,28.3341,19.7136,5.8121,29.7271,25.5712,313.909,96.2576,27.3947,54.591,8.37039,35.198,29.9233,7.83648,30.789,26.5575,222.071,70.7943,31.197,69.1474,8.78206,32.6617,22.7736,7.74734,29.0244,25.265,478.711,134.184,34.5635,45.8868,7.23841,36.4681,30.1822,7.13272,24.4671,16.1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,1030,fell,17.76,4,64.2609,53.8581,2.82329,3.92161,266.342,52.0732,26.8138,61.438,10.2826,37.023,25.1579,8.50236,32.9604,27.1991,92.3596,32.5515,8.93797,29.6769,7.55114,12.5266,7.59597,3.51455,23.8218,25.4358,73.3464,28.135,9.1359,23.5443,7.82425,10.1139,6.83868,2.65101,22.6472,25.8629,747.136,195.691,33.0126,30.1489,9.59821,42.0442,35.297,7.10634,21.1961,14.6997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,1031,fell,8.26,2,92.4958,52.0543,2.97629,3.97316,156.491,39.7952,11.2324,22.7235,8.73633,22.9542,17.1459,5.97949,22.9266,25.0414,500.741,143.766,24.8329,42.9834,6.09611,35.1166,31.2914,6.72086,21.3143,17.1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,1032,fell,44.28,9,34.4596,54.6011,3.18378,4.23126,143.961,54.0694,14.7159,28.7544,7.77991,28.3975,22.9315,5.99648,24.4879,24.2647,45.3654,17.558,2.95463,24.7982,7.45738,6.38452,3.49145,1.60397,21.4986,24.3658,427.405,119.741,27.9644,28.0901,7.51804,39.1276,31.0026,8.34464,29.7938,25.9266,314.293,54.0616,24.4899,27.7157,8.03289,31.4531,18.8274,7.68061,27.903,24.934,155.164,56.2517,17.3747,49.8531,8.83967,22.8676,16.8001,5.95319,30.089,27.0782,224.794,61.8061,10.2552,23.3481,8.42122,22.0814,16.9991,4.6925,22.5659,25.0155,598.855,105.257,67.2091,58.5782,8.9333,44.1962,33.6518,10.2152,30.8385,26.6339,246.8,45.9409,11.6133,24.1568,7.49295,23.0983,17.2205,5.07996,25.4575,24.4331,624.495,168.787,33.3822,50.1917,18.433,47.4671,40.0883,9.81896,35.4388,29.6508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,1033,fell,7.66,2,119.01,88.8137,3.02525,4.56242,176.424,37.0752,13.7994,32.3369,8.5496,23.1985,15.6706,5.21183,30.1925,26.0069,707.108,177.378,33.6448,23.0909,4.81979,40.5664,34.0906,6.85259,19.8924,15.1353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
