policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
rl_lab,2048,fell,48.36,10,38.0194,83.9037,2.75232,4.24642,323.215,69.1035,16.9774,20.8488,1.6504,28.558,21.1758,6.21045,12.8162,2.00726,257.044,82.6713,25.0752,21.1707,1.62862,31.2017,22.9902,7.0193,12.9866,2.11928,453.739,162.993,37.937,22.7,2.51341,42.7631,36.0946,9.1803,15.9356,2.73213,266.836,60.4509,33.1976,45.7166,3.8882,32.8904,20.3576,7.53237,17.0043,3.85993,341.486,96.8094,24.8805,43.8418,3.49154,33.2841,25.0356,7.75447,18.4699,4.61546,301.088,90.1859,34.3238,60.2704,5.49125,34.3539,26.6231,7.85314,19.584,5.53192,290.312,53.2108,21.0117,48.9327,2.16203,25.601,19.8781,5.19998,17.5692,3.26692,81.4194,28.9478,8.35486,16.9124,2.18101,10.4137,7.12905,2.6521,5.67088,1.31895,372.531,100.405,31.1388,26.5688,1.84764,36.1177,29.6669,7.38532,15.1856,2.79999,562.837,179.529,34.5791,27.0568,1.44613,45.9295,35.597,9.3362,15.6637,2.54796,,,,,,,,,,,,,,,,,,,,
rl_lab,2049,fell,15.86,4,39.2759,104.993,2.23736,4.01994,267.329,72.3198,22.1887,15.4651,1.30411,28.8122,19.1343,6.63687,11.6227,1.77641,150.675,40.6781,15.177,10.7863,1.74337,20.3916,15.3865,5.00073,7.25755,1.66983,386.509,107.453,32.2603,31.9001,0.968784,37.3655,32.7784,8.33432,11.0265,2.69721,1332.57,122.225,118.355,37.5499,0.548776,47.7919,22.1663,10.6736,9.5179,1.85608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,2050,fell,3.9,1,356.493,168.475,2.44426,3.98702,928.455,333.402,76.0371,32.081,1.78271,71.1812,48.5461,15.2888,27.0466,3.52496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,2051,fell,6.1,2,63.7837,11.328,0.893869,0.393947,801.577,196.531,53.0198,30.3196,2.48314,63.9437,44.7449,13.6134,19.6667,3.56527,833.869,95.5881,65.9124,123.644,3.72704,34.3608,20.7607,9.65236,30.0291,8.67815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,2052,fell,38.78,8,39.793,70.5239,3.20202,3.64658,166.709,46.7924,17.469,14.7939,1.76657,29.2859,21.3307,6.13563,11.1867,1.74133,345.197,102.365,25.1213,28.5216,1.58926,36.7433,30.2335,8.28934,18.09,2.26136,389.53,115.325,27.4893,31.2078,1.35505,37.2091,30.5829,8.8532,18.2991,2.21515,138.015,32.3696,9.79794,17.0039,2.47932,20.5503,14.6853,4.18256,9.20875,2.32079,340.617,95.3024,37.5344,32.1942,1.21519,34.2463,26.7563,8.36132,16.2833,3.12192,241.879,76.6334,19.2166,22.8352,2.65329,29.8686,24.6763,6.60062,13.3697,1.91621,386.549,74.6135,35.7388,57.9693,2.15868,34.0372,23.0551,7.24185,18.7675,2.87123,731.697,268.741,56.422,65.8143,1.34923,50.5778,38.9915,10.689,23.9956,2.82707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,2053,fell,16.04,4,30.0873,69.5745,1.9697,3.27886,233.439,66.8806,17.7394,16.5294,1.28005,30.7409,27.0399,5.97723,10.9917,1.61642,318.268,105.469,22.3481,21.8175,2.52835,32.5643,26.1825,7.20721,14.6548,2.04607,147.843,50.2307,22.1605,12.2714,1.46374,22.3762,16.9791,4.94674,9.55265,1.36575,667.248,87.0108,38.817,25.1132,0.702993,23.5306,17.4945,3.5524,8.46533,0.970035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,2054,fell,25.7,6,52.0519,76.8518,1.46188,1.66383,332.727,76.1203,20.1754,15.1164,2.07959,30.4165,21.2926,7.28356,12.0455,2.05097,322.138,97.3154,30.4186,21.9277,1.93346,30.65,23.5516,6.96506,11.9417,2.05521,446.881,94.6829,38.452,74.1825,4.54643,38.9451,28.515,9.58746,20.0809,3.69137,324.496,87.198,31.9905,26.4599,1.76046,38.8556,26.584,9.20462,14.735,2.32441,610.886,196.258,47.8657,44.1323,2.24776,55.385,43.6155,12.3053,22.4617,3.19539,101.213,19.3789,24.3543,60.4731,7.0902,7.94973,5.45267,2.95722,15.7128,5.65317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,2055,fell,2.34,1,262.237,45.8297,2.87376,3.74558,895.586,282.224,84.9919,40.0697,4.0571,57.8779,45.2193,13.2422,23.7889,3.58852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,2056,fell,16.18,4,12.9143,55.8126,2.21919,3.06422,250.939,69.9906,15.831,12.2921,1.61969,28.7826,21.2083,6.14617,9.35248,1.51801,213.017,60.4261,24.6459,18.2745,1.25528,33.8263,24.6715,8.46153,9.51558,2.09535,326.925,83.0065,25.5171,56.4159,2.40497,32.2016,22.6736,7.27871,12.4135,2.6826,918.735,175.358,80.1837,39.0727,8.81132,47.9444,29.75,11.147,18.268,6.9059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,2057,fell,13.48,3,65.9993,104.461,2.00017,4.01686,84.6524,24.4077,9.55725,37.5896,2.59642,17.3072,13.7442,3.70111,8.42772,1.79131,64.091,17.8415,5.93557,25.1558,1.49407,8.69799,5.61707,2.32001,5.14772,1.44994,703.86,217.436,45.1746,39.0318,2.324,49.966,40.5448,10.6882,17.1286,3.51286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
