policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
robomimic,1024,fell,15.9,4,69.9283,21.8393,2.80035,3.99132,222.606,52.9391,16.6464,33.4366,8.07728,27.1807,18.4365,4.97346,28.9798,23.7668,162.524,34.1225,15.2461,25.6192,7.84237,23.6697,14.8413,5.08846,25.11,24.1804,151.932,57.7621,18.1454,33.4974,7.96988,14.0579,11.7782,3.16875,24.6521,24.6409,393.645,132.589,46.0615,48.5324,2.98094,16.6419,17.232,3.70948,14.9478,6.06549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,1025,fell,30.8,7,158.285,25.3545,1.19049,2.95703,238.136,53.8869,14.8099,26.8487,7.35779,26.8506,18.7456,4.61811,26.2482,25.1697,510.787,322.731,60.0016,54.3861,7.66637,49.5003,53.9423,10.1347,32.8091,25.1913,921.589,535.505,89.5827,120.49,9.63442,65.1276,75.6981,13.8396,44.7143,27.014,347.843,184.641,35.293,41.7161,8.25846,39.7438,34.013,7.46054,29.3263,26.6124,370.986,121.789,29.911,37.61,7.68052,36.873,31.1821,6.22387,28.8587,26.6419,430.297,117.05,37.066,50.4348,7.57628,39.6512,35.615,7.25084,31.9536,25.6848,362.714,94.8923,34.501,52.383,2.83845,16.9707,14.9175,3.85719,12.9342,5.45473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,1026,fell,15.72,4,232.124,10.5383,1.90237,4.47519,266.325,52.8742,15.1671,27.4348,9.07866,30.3837,19.1428,5.48099,25.4513,25.1806,256.053,74.7189,20.2347,24.6648,8.14063,28.9716,19.1509,4.97195,26.1018,26.0105,641.922,455.079,71.4813,77.5708,8.54193,53.8137,64.0645,10.4729,32.6582,24.7617,160.883,115.194,24.0772,28.7286,1.06227,13.3094,13.1255,2.60744,6.50368,3.59277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,1027,complete,60,12,116.031,5.9313,0.354359,0.419212,306.151,71.0492,23.6141,25.927,7.14984,29.7924,23.2623,5.90904,28.0871,25.172,406.444,57.8428,17.8903,21.7378,10.6265,37.8269,26.3705,6.18674,20.7241,26.2649,264.173,124.113,32.5669,79.2049,13.5383,28.8024,27.1772,6.19884,26.6948,27.4671,373.241,117.582,34.7371,32.9008,7.34705,41.3365,27.3642,6.87238,21.1443,25.3776,222.756,74.996,24.8593,46.365,8.65903,20.2583,19.8503,4.08007,18.9152,27.6866,243.264,70.443,19.3597,46.2557,8.41685,23.0441,14.5173,4.98485,15.1126,24.959,245.614,90.2321,26.0381,80.5887,10.2674,25.3701,23.0307,5.46384,25.7217,27.1268,477.687,204.785,48.5532,269.156,8.42384,45.5729,37.3864,9.5337,39.2747,27.5649,2193,908.863,214.136,215.96,9.94391,125.945,107.148,23.1786,60.5766,27.5347,536.265,211.469,48.5409,50.9544,7.97229,43.4097,40.1469,9.23799,19.7144,26.2372,374.137,122.116,23.6376,44.873,8.14913,39.119,31.591,6.12297,15.4286,24.4897,332.795,110.241,27.5513,48.4677,8.06712,36.6751,27.5312,5.80714,14.8954,24.6096
robomimic,1028,fell,18.3,4,189.443,16.7273,3.42237,3.6485,217.687,55.5225,17.7269,28.8996,7.87709,28.2194,22.837,5.91365,26.2297,23.2631,346.83,98.9034,27.3619,49.0845,8.77991,28.9335,22.8966,5.73435,31.5958,23.5693,197.956,149.93,31.3646,57.5513,9.17112,23.5328,24.0484,5.53414,28.4364,25.7661,1561.36,873.21,178.247,162.571,109.977,78.7258,93.7037,18.2973,40.5214,27.9512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,1029,fell,15.56,4,420.591,34.3151,3.10686,2.64205,255.728,59.1599,18.4269,35.5174,9.38365,24.6874,19.2714,5.37424,29.0302,26.7341,343.963,244.416,38.5929,61.4425,8.36874,36.4546,38.8179,6.9413,31.1358,26.2975,1302.02,939.933,143.274,145.872,19.6087,85.1969,98.998,17.2534,46.7001,32.4029,336.527,175.102,59.2778,69.6705,55.436,16.4116,16.8317,5.3058,18.0336,14.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,1030,fell,41.04,9,126.564,16.3603,2.61559,4.48797,299.74,60.884,25.0153,67.9189,10.7497,32.1327,21.3178,6.27613,29.9276,28.1749,127.502,57.4793,11.5857,31.9829,8.11606,16.69,11.0316,3.3804,23.849,25.9062,469.057,483.978,56.865,44.7768,7.837,45.8159,63.3284,9.73464,34.1228,25.7417,475.154,177.429,37.5867,44.5213,7.94127,38.281,34.095,6.73776,30.9257,25.5539,606.328,229.774,44.7917,54.1936,7.44101,46.6768,40.4963,8.26347,33.3009,25.6161,542.73,347.815,56.9237,49.5522,9.39447,49.9067,52.237,9.13214,31.47,26.272,1077.36,595.57,96.135,68.2493,7.89684,66.9025,63.4689,13.3736,38.8689,25.7857,528.345,182.611,45.8753,41.873,7.55379,44.3302,35.1521,7.83546,30.0161,24.353,522.587,145.381,74.6298,55.4396,2.0416,18.7994,14.4917,5.41168,15.8306,6.00942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,1031,fell,20.98,5,276.086,37.9971,3.14917,2.94028,175.013,41.3192,10.5047,21.9862,8.70129,19.8386,13.3723,3.80186,21.8715,24.6952,583.689,345.373,62.8223,64.6008,8.33843,49.1421,56.6269,9.58905,32.9559,25.1944,929.639,539.767,85.0805,86.6252,7.84712,66.2673,73.5882,13.2048,44.409,26.2578,388.012,136.835,29.3409,27.8329,7.77266,37.4968,29.5888,7.15119,29.0302,24.9323,409.061,111.653,42.3236,37.7554,3.19685,15.9954,18.7106,4.28745,14.8753,7.14756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,1032,fell,50.96,11,18.1756,13.1566,2.74571,3.51753,175.091,49.0109,10.4545,28.8826,7.78974,22.7122,16.8579,3.68532,23.2217,24.301,88.0823,12.9627,6.90028,27.4123,7.47092,13.1851,7.94183,2.64175,22.7213,24.3763,155.348,41.8237,13.371,25.4477,7.46137,15.0708,11.2823,3.24484,25.1462,25.782,613.59,111.8,53.1361,40.8816,8.19137,39.8418,28.9749,8.014,29.8703,24.8388,223.173,60.5423,22.0701,32.0182,8.0247,25.2286,17.0733,4.8067,28.7158,26.5613,164.538,30.1362,13.1016,23.977,8.38834,18.8002,11.7507,3.41553,23.2598,24.968,368.036,162.128,35.3859,63.9526,8.64516,30.6457,28.9229,6.6015,29.8613,26.2897,241.266,40.5268,20.1306,26.9191,7.4732,23.5248,14.6299,4.82862,26.7496,24.4036,324.022,129.433,33.8265,57.2427,17.1884,36.8621,30.0169,7.92125,35.9095,32.6511,339.782,110.192,25.085,34.7906,8.16518,40.2768,24.7603,6.06588,27.7017,24.8278,270.784,109.88,45.4444,123.415,30.3228,17.4888,15.715,4.56333,22.788,8.59386,,,,,,,,,,
robomimic,1033,fell,38.2,8,88.6456,19.7573,2.96885,3.15798,175.186,39.1461,13.063,31.7217,8.53521,17.6823,10.708,3.31182,28.5666,25.9045,380.601,236.56,35.8019,33.6945,8.39454,38.4152,38.7577,6.73093,27.036,26.8027,268.157,49.4531,21.3621,30.0203,7.08677,26.7888,18.3508,4.33497,27.768,25.6559,321.606,196.9,30.1317,57.8708,7.5439,37.6505,32.2179,6.91992,32.9544,25.086,233.115,60.2075,20.338,30.3641,5.97064,29.0142,19.0414,6.06358,28.8274,24.821,566.243,436.628,51.7588,39.0264,7.19965,53.1273,63.2521,10.0314,31.1372,25.4663,465.177,110.559,36.2224,74.4391,8.744,41.6404,29.4084,7.86461,38.223,24.8278,926.217,599.311,124.396,187.067,28.1747,51.6889,66.1716,13.4548,53.2906,22.4649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
