policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
robomimic,1024,fell,31.28,7,175.387,27.4184,1.38572,2.56596,232.135,57.5935,18.7643,33.8525,8.79155,48.3269,31.2596,10.0477,38.7486,40.4525,189.207,49.6936,17.7451,25.816,8.94853,45.4402,25.1223,10.2437,30.1498,41.5996,160.433,53.258,17.4488,25.8189,9.10203,26.9199,19.9138,6.60058,29.6591,42.6634,657.32,236.821,58.6419,66.6527,9.21046,76.9716,61.04,18.1149,47.5511,43.6069,166.681,100.758,17.9863,27.5243,8.14861,33.8359,29.3356,7.67543,34.549,40.9408,796.593,571.91,91.7275,82.4048,8.72235,98.3113,134.56,24.1878,55.0049,40.3801,913.525,111.871,92.9252,144.534,7.79163,38.8859,26.2678,11.1178,27.4038,16.8063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,1025,fell,19.1,4,532.402,7.04927,2.81425,2.98147,230.326,59.9987,15.5655,27.6351,8.11157,42.7225,28.8949,8.01933,33.6232,42.8137,487.859,297.935,58.4633,47.3272,8.79137,75.3496,75.3534,17.0355,43.3764,41.2098,1975.61,878.147,157.659,125.078,9.71744,148.275,146.21,36.7695,64.8905,43.098,1778.75,796.243,179.383,192.257,11.4791,138.795,162.303,32.6577,66.7928,38.2107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,1026,fell,15.12,4,236.476,24.449,3.239,1.74289,256.04,63.7157,15.8935,26.5448,8.53155,47.1226,28.0399,9.58849,35.8705,42.2156,289.903,85.9171,26.6604,28.7655,9.07772,49.8804,30.6021,11.0532,36.8947,43.9879,954.624,534.147,99.3533,90.9821,9.42392,88.4005,98.1766,21.0471,50.1039,39.5036,31.5475,14.9764,12.8741,10.7666,11.311,3.08964,3.10841,1.01118,3.24615,4.53909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,1027,complete,60,12,57.8135,4.23062,0.040686,0.0605244,335.26,75.8307,24.6563,29.9992,7.50615,52.6918,36.1062,11.7111,34.1308,38.1926,387.134,63.9336,18.1197,33.7403,9.17194,57.3043,36.2142,11.3501,34.5373,42.1258,190.285,91.8662,22.7422,91.9115,10.8798,40.0681,28.3712,10.4113,37.6979,44.3732,575.436,343.016,62.6202,48.1851,8.36121,74.8586,72.3707,17.5071,41.2049,43.2566,158.488,42.4637,15.0142,49.6264,9.70366,32.6631,15.3268,6.77516,37.482,43.2427,316.721,54.9211,22.5629,49.7407,9.23919,38,19.9186,8.84989,36.5477,40.5598,241.251,86.5887,25.6953,92.2132,10.4807,41.1736,32.5092,9.93901,41.7235,43.036,459.509,418.642,62.4379,134.566,11.0913,68.3697,86.5719,18.668,55.5791,45.5742,526.957,322.983,46.0254,160.018,9.82268,74.391,66.3484,17.6038,53.1871,44.2023,477.966,177.721,38.2095,43.893,8.63109,56.351,51.4083,15.3283,40.1934,43.4473,147.08,43.3243,10.6588,29.8287,8.77998,24.3446,16.3032,5.30416,31.8652,40.8951,124.005,27.7607,10.3624,30.1143,9.16006,22.0044,14.5152,5.40155,31.9368,42.219
robomimic,1028,fell,20.08,5,353.765,29.4702,3.5976,4.0012,214.046,57.4752,18.0043,28.3867,8.75545,46.6716,33.8052,11.021,32.6961,41.8436,387.102,111.636,31.3663,48.8237,9.90843,52.8524,38.452,11.9276,40.2738,41.2048,238.112,182.781,33.2816,54.707,10.0437,41.4427,41.7562,11.2525,40.1865,41.935,1965.25,796.884,190.465,133.189,9.23943,163.158,185.948,35.6269,63.5071,39.8149,5.59814,0.649048,0.830719,15.0246,9.84703,0.506906,0.330531,0.264117,2.63395,3.18962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,1029,fell,11.74,3,122.11,19.479,2.10182,1.81965,264.8,65.2245,22.3452,29.2151,8.32227,41.1374,29.3404,9.21308,35.6244,41.2994,372.466,249.449,40.7261,65.7716,9.69439,56.1287,52.4943,12.2685,41.6634,43.9845,764.503,282.45,95.3468,129.712,32.882,60.8778,56.6005,16.7756,35.7025,44.7868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,1030,fell,41.1,9,265.746,10.4244,3.24216,3.20607,275.938,53.7856,21.4134,71.6972,9.43762,48.7268,28.6457,10.3743,35.1652,43.7643,195.724,167.218,20.1643,33.1681,8.22683,38.8012,38.7964,9.40854,33.5711,40.9443,904.212,642.835,98.5668,66.8463,8.65437,105.992,131.972,24.9772,52.5707,42.2424,535.855,182.485,42.1969,43.8287,8.3713,75.4198,55.732,16.5015,43.8646,43.1338,459.688,204.221,39.2269,46.9035,8.50921,69.2235,50.6302,16.0405,42.5845,40.0004,722.057,555.19,84.3502,60.5183,9.41205,100.908,112.293,22.7631,49.1059,44.9845,931.917,636,91.8152,63.4014,9.49016,101.84,121.181,22.2569,51.6116,43.5155,507.789,180.785,45.3044,40.0849,8.33757,75.6903,53.2323,15.3832,40.9084,40.6094,734.394,142.842,63.5294,61.3659,2.45219,39.7056,25.3432,8.49263,19.5059,10.5936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,1031,fell,20.92,5,192.719,37.8406,2.30715,2.81585,178.12,40.8573,11.7326,29.2285,9.67139,37.0708,22.4434,7.57654,30.9645,40.7346,576.903,364.911,59.4126,61.0849,9.42578,76.1515,84.7113,17.1621,42.5846,42.5584,727.812,495.734,76.6472,100.424,8.62346,84.8077,93.1442,19.821,51.1245,41.2257,420.144,149.174,34.0564,29.2761,8.57863,65.4888,41.4975,13.7022,37.8153,40.9052,280.546,116.068,44.0715,33.5607,4.77652,20.6613,23.6611,6.18579,15.986,10.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,1032,fell,51.3,11,29.4887,11.8536,3.67638,4.13581,163.929,41.5662,10.9134,30.418,8.62522,34.3118,23.8751,6.70089,29.6266,43.5474,99.7522,20.8385,7.71901,27.4553,8.46763,23.8391,12.8751,5.46868,27.4056,41.2042,148.085,45.7819,10.2941,23.384,8.62933,24.2866,18.1719,5.97798,30.9565,43.5432,495.956,89.2969,39.1427,35.3985,8.72411,71.6056,40.1678,15.0247,34.7361,41.1175,321.624,143.193,41.8292,40.3556,9.52258,63.4052,40.23,15.9646,40.7358,44.8106,174.289,35.4971,12.4034,25.812,9.36848,33.481,20.1721,7.17969,29.9236,43.7365,397.298,160.677,29.3881,64.8515,9.26359,57.0559,49.2994,13.5312,38.2818,41.0371,217.395,61.5451,17.8735,24.2157,7.30922,40.3053,28.8388,9.67209,32.0287,40.2519,458.917,165.035,47.6333,193.18,22.1632,63.1463,48.878,16.1744,64.6574,49.3627,349.679,98.5844,28.395,34.072,9.20013,59.391,29.3453,11.09,36.1642,42.9667,714.893,213.648,78.1858,121.892,12.6517,46.3572,40.2672,11.474,34.8557,18.5748,,,,,,,,,,
robomimic,1033,fell,48.18,10,142.281,9.50356,3.16075,3.31364,163.106,31.5596,11.558,33.9978,9.12886,21.3588,13.8974,4.74826,33.4241,42.9699,386.629,203.761,34.5955,32.9026,10.0171,57.727,51.4126,12.2899,35.2673,44.1404,280.731,64.1584,21.5869,30.1927,8.16217,47.8871,29.5205,9.92703,36.7883,39.8058,311.312,165.913,30.1624,55.5491,8.25003,56.2578,39.2138,11.0237,40.4809,40.8697,177.485,54.9004,20.312,35.919,6.72446,45.1428,25.4262,10.5075,35.0329,40.4593,811.688,470.417,86.4783,69.0271,8.35516,87.6017,100.815,23.1427,46.693,40.7651,447.921,100.22,37.3876,79.7615,10.0656,62.7811,38.8892,14.2852,45.8359,43.5569,1017.72,545.166,122.166,159.892,12.1332,101.577,104.922,26.0398,66.6494,45.0468,430.622,347.066,47.3323,41.5218,9.06093,67.7085,85.0108,17.0632,44.4983,42.0614,1918.47,710.968,197.829,150.593,25.5701,108.585,124.114,26.394,49.6202,39.2583,,,,,,,,,,,,,,,,,,,,
