policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
run_residual,2048,fell,51.76,11,372.582,5.67999,1.83132,0.831489,412.554,107.508,44.5378,25.907,2.188,36.1121,31.6069,8.0177,18.2469,6.48046,489.82,141.231,47.9216,28.199,0.924698,37.824,35.429,8.37755,15.5058,2.21509,619.703,158.231,62.9273,32.286,1.92714,43.7231,37.3667,9.52727,16.8089,2.51774,316.786,104.776,47.7273,50.1848,2.93907,29.8466,29.0261,6.29296,14.5732,3.38616,308.199,104.489,45.378,55.6635,3.72964,28.5494,27.8394,6.83591,18.2628,6.52595,993.565,202.584,113.997,128.509,21.7796,61.2219,49.873,11.9404,32.0334,10.0444,440.685,109.04,50.9039,51.5578,2.33955,37.5423,30.1181,7.83821,20.3229,3.64693,485.514,153.185,44.8655,35.8056,1.86303,40.2632,35.5659,8.82876,16.5126,2.75046,816.521,168.445,89.5582,65.0467,2.11889,49.9449,40.3098,11.1594,23.1685,3.45113,358.723,126.94,41.3192,35.2772,1.34887,32.6074,32.082,6.98728,12.5571,2.0856,1104.13,110.937,126.146,91.0228,1.75351,36.2791,24.2283,10.3774,26.2973,5.22454,,,,,,,,,,
run_residual,2049,fell,17.08,4,433.42,46.7915,0.637207,0.374217,368.264,102.918,41.7013,18.3344,1.02346,34.0797,28.5425,7.9457,12.5076,2.67246,391.215,93.3932,45.8385,15.6342,1.59348,32.8251,25.5258,8.09618,11.6645,3.7753,426.458,102.521,52.5616,23.7146,1.05377,35.5084,27.7736,9.1502,13.7114,4.8524,565.75,95.0692,82.1113,38.8087,4.14465,28.8486,19.5277,7.55587,17.6353,7.0617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,2050,fell,56.34,12,449.905,3.17547,2.28179,1.72994,376.153,84.0452,38.8304,17.1089,0.934907,36.6958,26.8906,8.11237,14.4415,2.2866,928.699,230.891,130.688,60.1096,2.00307,55.5519,48.9574,12.0031,18.3782,4.07041,414.979,135.361,63.6142,42.0571,4.11411,37.8978,30.1846,9.3459,16.3736,8.32274,447.962,140.374,62.8173,27.3372,1.40307,38.8044,31.9098,9.23224,12.8264,3.686,988.603,226.57,110.717,39.1457,2.52888,61.2359,53.7584,14.5722,22.8086,6.82036,962.13,234.282,142.973,124.378,2.93653,52.9918,49.0148,12.6987,25.3518,5.05778,458.003,139.083,57.3209,35.8667,2.26134,37.8431,30.9591,9.24863,13.8183,5.14162,460.4,141.104,62.5791,40.6029,1.23446,40.4653,37.1947,9.78184,11.6091,2.73543,825.506,158.387,80.6923,43.0442,2.30651,53.6965,44.3584,10.3455,14.9102,3.67728,583.512,177.21,88.0982,35.1055,85.8521,45.804,36.9505,11.8285,17.382,16.5381,640.811,202.274,96.6981,15.7357,1.57394,49.2136,43.1701,12.496,8.52814,4.84298,915.936,108.203,129.446,80.2418,100.792,31.3061,21.3377,8.74576,27.7713,23.396
run_residual,2051,fell,46.1,10,924.756,2.96991,2.63649,3.64787,445.273,131.274,51.184,26.7639,1.81688,37.4633,33.9322,8.63597,11.9887,2.96743,903.583,195.095,130.002,134.739,2.49977,58.0802,47.1674,13.8607,23.3663,3.5328,440.757,132.154,59.9388,18.5037,1.36233,38.6638,34.9722,9.11071,9.91849,1.60851,579.155,119.008,70.5013,51.2977,36.8923,41.3619,33.0092,10.1063,18.9235,13.1063,984.232,255.312,156.633,207.143,6.32595,61.711,43.915,15.6924,32.4706,13.1986,477.729,105.375,61.861,15.2447,3.40255,37.0721,29.5322,9.55071,10.3868,6.4579,472.14,117.003,77.4338,25.319,4.90285,36.9297,30.3592,9.63313,9.15302,5.78018,734.815,163.042,98.2405,24.6072,3.80523,48.8515,40.5676,12.2968,12.6735,7.65763,557.43,166.182,79.6956,35.5096,1.69378,44.3305,37.7258,10.3377,13.5367,3.78144,288.534,44.4802,43.3181,36.0901,2.56802,14.4729,10.2984,3.75498,7.82677,3.38871,,,,,,,,,,,,,,,,,,,,
run_residual,2052,fell,31,7,227.905,26.0838,1.63861,3.32323,324.737,84.6598,33.4227,22.0674,1.41477,30.2801,25.6928,6.44304,11.5752,1.6955,292.711,82.8089,25.7867,28.2151,1.11473,29.5158,21.6582,6.35919,14.022,1.83443,629.976,153.071,55.537,45.1129,1.0163,45.5866,40.2658,8.0121,16.9543,2.07067,446.14,92.9394,47.3593,40.7062,1.54738,39.3926,30.5889,7.96341,14.9456,2.38992,635.234,145.729,57.2988,36.4444,0.923268,45.7515,39.6495,8.73762,15.6199,3.11037,324.821,77.2701,33.2254,35.019,1.77977,28.667,22.8234,6.08694,11.733,1.96769,173.661,22.8069,35.0314,109.595,59.9991,9.40323,6.48523,2.46007,13.9844,8.72159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,2053,fell,25.96,6,269.894,28.6291,1.95512,1.74872,277.275,88.041,24.2529,20.3533,0.832416,29.4361,24.4485,6.22199,10.6404,1.5762,294.533,94.5054,27.9786,24.625,1.55089,27.2202,26.2509,5.50737,10.8395,1.64663,310.151,83.4964,34.0223,17.081,0.965725,29.4664,24.6813,6.58699,12.8037,1.47194,1161.62,230.434,124.405,76.4856,1.95469,68.2513,52.7614,12.2352,25.0061,2.50239,1144.84,272.971,155.35,118.712,2.11998,58.9009,44.3865,11.7856,29.7553,3.30744,396.888,68.1818,93.4261,48.4477,43.942,16.1457,12.7784,4.57475,16.1586,16.1559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,2054,fell,35.7,8,368.676,4.47908,1.74113,2.03648,376.633,108.513,43.816,19.5832,1.58844,35.3032,31.4137,8.18142,12.7245,2.2194,416.686,110.099,49.4539,23.5433,1.46086,34.1057,30.734,7.8159,12.4576,1.96337,306.456,90.5606,37.9962,64.5805,2.2535,31.5334,23.7812,7.26324,13.7368,2.52025,794.07,164.561,93.546,52.1208,1.31388,51.6476,42.9228,11.498,17.8909,2.30522,381.342,122.414,40.039,42.6162,1.2991,34.3333,30.6402,7.24019,13.11,1.85209,767.866,186.176,99.6253,98.1649,3.43336,52.2438,46.3818,11.1199,27.281,5.21164,370.008,104.244,45.4015,19.0862,1.79595,32.0049,27.5193,7.08248,11.051,2.94181,382.76,37.0468,74.1971,20.2401,20.818,15.5437,10.0496,4.80505,10.8698,12.8127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,2055,fell,46.22,10,883.884,12.4862,2.05935,1.62554,359.787,103.002,40.2479,22.0229,1.15263,35.1528,26.8763,8.25288,13.6014,2.0222,298.47,86.0348,28.7782,12.3874,1.54822,27.5242,24.3195,6.43026,11.3111,2.20377,352.062,83.9329,32.9384,18.7089,1.25987,29.0962,26.6142,7.0169,9.47632,2.29112,417.113,89.9738,43.3807,29.2198,1.42779,33.0068,25.2903,8.03895,9.93574,2.42309,331.767,84.4177,28.3873,23.4592,1.29594,29.3245,28.8094,6.96268,10.3724,3.15311,1003.9,190.748,123.262,35.2346,2.18928,63.0643,49.1937,13.7692,21.1551,7.05541,372.775,122.516,52.8373,21.556,4.09225,36.7551,30.1672,8.2594,12.0936,4.38903,472.664,110.62,48.2441,17.7397,1.92542,34.2762,28.6886,7.47218,9.58283,3.38768,442.829,109.274,46.4317,26.1553,3.56202,37.9402,29.936,8.583,13.018,6.94779,339.533,48.8641,41.6942,16.0786,2.20139,14.2283,8.41428,3.94927,8.34894,3.37007,,,,,,,,,,,,,,,,,,,,
run_residual,2056,complete,60,12,687.101,5.20134,1.5065,1.47463,327.333,90.6453,35.9828,17.4633,1.15654,32.722,27.6905,7.89321,11.6064,2.11252,243.586,66.5351,26.7582,7.49483,1.89566,26.543,22.3526,5.88972,7.6047,4.5415,302.32,84.7701,27.5488,14.2493,2.53417,28.2873,24.6267,6.40582,8.54629,5.46037,814.518,194.071,108.585,47.9417,9.36302,48.4225,42.2559,11.148,22.4255,11.1341,1184.98,246.009,126.849,43.3419,7.31661,75.4663,61.0437,14.0123,24.6743,13.5131,434.729,112.061,59.295,12.4666,1.17212,37.86,34.1757,9.3333,10.581,3.85632,622.561,162.628,80.5616,19.2662,1.21871,50.2336,36.013,11.712,15.5241,5.64626,528.791,129.232,93.4948,20.9778,1.01752,41.7994,33.8295,10.1206,11.7965,3.46107,773.228,173.314,85.0851,28.7189,1.81317,50.5648,43.8167,12.0645,18.0927,4.1245,569.898,145.157,73.2982,24.4552,1.11938,43.9961,39.1523,10.8346,13.8838,2.59424,416.432,144.961,88.5096,29.1227,1.15129,36.2148,31.9221,8.29117,10.2775,3.0805,1582.52,277.422,203.062,65.2863,3.61986,83.7768,66.8095,20.7013,33.01,15.1874
run_residual,2057,fell,36.12,8,595.366,9.22961,2.00121,2.80487,332.144,87.6301,32.4395,25.1605,3.56922,30.8873,28.2408,6.97608,13.2251,4.43254,409.382,106.231,49.359,48.0647,1.6007,36.0345,27.2052,8.49477,14.5561,2.85737,633.64,124.46,57.4103,43.9322,1.93145,39.8432,35.6969,9.26007,13.7507,3.63783,696.652,157.143,71.1276,47.2238,1.6066,47.9837,42.4483,9.81723,16.8062,2.35569,348.474,105.532,47.0352,47.9455,1.41283,29.8673,28.3097,6.86531,15.7291,2.61504,406.252,129.328,51.4476,21.564,1.63238,40.3015,34.6642,8.72129,12.5613,4.49538,345.482,99.06,43.0738,9.09995,3.4934,32.0914,26.1993,6.88109,9.39898,5.17489,389.196,34.0323,35.853,20.3824,67.2248,16.105,11.4001,2.98339,9.54037,15.1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
