policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
wty_cpp,1024,fell,30.58,7,11.4322,7.81182,3.15099,3.44746,127.195,38.8359,17.5558,34.1743,8.0532,16.1847,13.726,4.39756,27.5029,23.7678,110.184,38.7433,15.8374,24.336,7.83218,14.2084,12.0281,4.82128,22.8313,24.0954,53.4721,34.0599,27.4639,29.8019,7.9653,7.20517,8.74111,2.88655,22.9209,24.6433,313.124,151.857,58.9429,63.5814,8.44337,27.9186,33.5159,7.54332,33.1118,25.3083,84.4284,48.8559,18.8545,25.3253,7.57584,9.41508,12.234,2.85109,24.4121,25.0716,164.624,91.3085,39.7172,34.8221,7.75453,17.3263,21.0362,4.96308,26.6927,24.4471,158.699,11.6938,35.269,92.1009,6.08009,6.5632,4.44824,2.49501,11.164,5.54855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,1025,fell,8.02,2,23.1894,25.9781,0.359905,0.232137,215.875,88.965,25.9618,28.4589,7.39405,29.43,25.2877,7.39571,27.7235,25.1416,947.72,155.135,335.391,203.197,129.592,46.5132,23.2568,24.8768,50.1549,34.3951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,1026,fell,6.44,2,23.8228,35.963,1.41076,0.847039,254.612,68.1012,38.5886,31.1013,8.44382,26.361,21.9678,7.72182,26.9422,25.2253,832.845,168.319,204.522,108.269,19.5201,40.7174,29.8155,20.9233,34.82,18.1501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,1027,fell,31.58,7,35.5003,8.36347,2.46819,3.62418,220.665,93.8768,30.0378,21.3165,6.89771,21.4709,21.3674,6.13126,24.7847,23.9129,395.024,118.602,37.3129,25.2708,10.1059,37.5877,33.6233,10.1568,24.9006,26.2983,108.782,94.6377,23.6228,79.7757,11.1262,14.4555,14.9097,5.14599,24.3122,25.6721,366.569,136.115,69.463,37.2404,7.32496,37.7418,37.1162,10.7237,22.223,25.9504,505.432,212.095,85.3358,54.9837,8.9426,47.0724,42.5112,11.8124,21.8295,27.9568,250.708,101.24,32.2383,44.0473,8.27578,18.2532,20.7426,6.30525,15.4826,24.9024,123.704,42.4033,25.2957,62.4908,4.92845,10.4439,12.1069,3.03049,14.2933,9.45209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,1028,fell,5.8,2,40.2729,34.032,1.25737,1.31618,156.031,75.0581,20.529,25.1432,7.90915,18.375,18.659,4.83093,24.4695,23.1813,642.954,102.21,155.418,58.6501,9.72195,33.1241,17.7077,10.6114,26.9194,6.45113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,1029,fell,17.66,4,61.5325,21.6932,1.64262,0.981368,211.957,73.9493,25.9507,36.382,9.29686,21.7153,18.477,5.89215,27.8649,26.1926,370.972,181.677,64.3915,62.6803,8.44351,35.7511,35.2985,9.78069,31.3371,26.3272,464.755,206.734,94.723,86.3012,11.5779,46.6897,45.6455,11.5083,33.9878,27.3054,1454.87,352.73,299.102,170.517,114.518,79.9492,54.8954,24.8141,56.9279,45.4426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,1030,fell,20.94,5,35.6077,25.7612,0.852803,0.714856,448.989,152.519,54.85,72.1938,11.2165,44.4473,43.1403,11.6727,35.6212,27.5775,204.657,68.9371,30.6371,33.7221,7.93163,21.9452,19.8846,7.05795,26.6107,25.4666,185.43,101.388,31.8982,23.9638,7.77593,18.6426,19.7506,5.87137,24.3431,25.7378,385.942,173.941,58.8497,43.0532,7.96114,38.4853,45.2152,10.6264,30.3332,25.4769,783.148,101.571,163.184,78.3103,25.5868,34.6386,14.8224,12.9455,31.1727,19.2684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,1031,fell,6.8,2,41.8409,7.79551,0.964275,0.561363,182.962,69.4199,18.3393,23.5159,8.71321,18.3953,18.1613,5.19845,20.8831,25.169,1234.12,184.645,263.555,140.261,47.2996,62.3159,31.5432,20.6908,43.3286,24.2215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,1032,fell,15.88,4,9.63875,28.0302,0.966577,0.803581,256.661,107.638,26.7153,34.5468,7.79995,27.6337,27.2418,7.06574,25.9641,24.4605,40.3516,25.3979,7.90673,25.6803,7.46974,7.09593,6.5821,2.49871,21.7049,24.3417,242.456,140.378,35.018,27.701,7.47924,25.3552,24.9611,6.89846,26.3487,25.7606,786.664,89.9555,176.38,87.6035,13.2035,38.1689,14.3791,12.9417,33.9976,12.4671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,1033,fell,31.12,7,31.6833,28.218,1.63575,3.12865,153.715,56.5953,25.0051,35.3345,8.43505,19.3043,17.8969,5.35236,29.1934,25.8997,209.116,96.1786,36.8384,31.2932,8.28286,21.0554,22.4735,6.35859,25.2921,26.5465,329.261,146.877,39.5687,29.5789,7.112,31.946,36.2623,8.96579,28.6593,25.7649,173.959,98.6038,37.1661,55.8168,7.61421,20.7405,19.0247,6.04256,31.3524,25.068,197.656,72.6024,32.6281,33.1411,5.98042,20.144,15.7729,6.15142,28.44,24.7041,741.288,202.309,98.9796,42.7512,7.53244,54.639,47.5835,13.8286,32.2065,26.0014,320.258,50.9579,25.5655,41.626,2.61174,12.9242,13.3693,4.2329,14.1912,7.19705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
