policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
amo,4096,fell,46.44,10,41.4428,9.80805,1.53022,1.17369,360.827,76.1474,28.9183,20.1384,3.09313,37.7568,24.4404,5.3092,13.8993,3.57604,233.617,47.742,13.6969,28.9287,1.1805,24.6655,15.1144,3.54323,9.02383,2.06444,264.58,105.151,48.1562,61.674,1.95482,33.2803,24.3566,5.10272,15.1686,2.45885,205.895,68.2562,23.1221,32.9668,1.08607,21.2881,14.8539,3.61951,8.82496,1.53818,258.812,68.8197,21.3127,39.7452,1.32329,23.1126,16.505,3.27585,9.72446,1.49339,268.382,72.6617,19.6148,39.3186,1.84763,29.2232,22.3041,3.82475,9.70321,1.95094,350.713,53.8232,24.0652,31.0488,1.25106,30.6564,21.6384,3.45516,8.23303,1.7035,484.697,143.603,25.9146,40.6357,1.28554,39.9494,33.4777,4.66341,13.0985,2.84296,270.313,52.9042,17.1933,20.2961,1.60323,23.456,17.1023,3.15809,8.62063,3.82526,4174.41,667.103,480.058,146.248,55.7813,101.226,60.9225,16.5758,49.8297,17.6038,,,,,,,,,,,,,,,,,,,,
amo,4097,fell,10.76,3,60.8026,70.069,1.08585,0.82042,205.594,41.7917,16.7462,19.2052,1.30707,21.4189,14.14,2.60712,7.43948,1.7708,350.455,53.8179,17.8783,66.4943,2.42463,30.2754,22.9662,3.28974,13.9945,2.71198,1963.45,112.072,190.527,42.6714,0.439756,49.265,29.4635,7.67984,16.8592,1.99819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,4098,complete,60,12,29.9383,2.91326,0.369971,0.372672,294.63,54.7651,18.1211,21.6436,1.49086,31.2751,22.1987,3.53481,9.83971,1.66369,216.518,57.5601,14.2393,30.4654,1.67351,21.686,15.2114,2.80267,5.92037,1.15284,117.623,21.3351,5.52385,16.1836,1.88495,12.3274,8.75182,1.59535,4.0987,1.101,252.338,33.8902,10.7564,22.1772,1.03958,21.0698,13.8623,2.32585,8.62663,1.84948,344.052,49.2579,12.9658,20.7446,1.21668,29.6426,22.2235,3.45202,10.507,2.02113,503.587,71.1693,17.7373,95.2745,126.17,39.8877,24.5724,4.09913,23.9148,11.5773,232.336,34.9684,11.3067,17.34,1.49896,22.093,15.7697,2.6528,6.17645,2.22625,463.808,70.3408,20.3152,90.1465,59.1257,38.6111,32.3879,4.02084,17.5343,15.0497,387.97,68.5403,17.9733,32.7669,1.38373,31.5383,22.6267,3.44314,11.302,2.04268,563.791,66.248,45.5845,68.3636,2.36671,40.9874,26.9987,5.07839,19.2191,4.29529,403.787,56.9459,19.5805,30.8584,2.02652,33.6665,24.1904,3.97908,13.0441,3.51607,1206.62,455.686,92.9926,53.728,2.162,74.1661,80.5266,8.36381,26.533,4.16493
amo,4099,fell,55.76,12,18.4061,6.07561,1.8648,2.00596,358.799,50.8404,27.4871,51.5486,1.49135,31.4485,21.5952,3.65388,10.5121,1.93288,328.693,49.9895,17.0477,31.5962,2.09959,28.5259,21.506,3.58822,10.6111,1.7634,355.224,55.9294,13.1402,31.8385,1.91441,31.0807,21.0876,3.70499,11.0722,2.62966,244.549,53.3458,13.6527,30.727,1.69701,24.6365,17.5178,3.1231,8.18991,1.85841,349.538,67.314,21.125,42.5688,2.00347,32.3184,23.0743,4.06203,11.7336,2.85695,311.712,47.0642,16.9661,50.8848,2.10555,28.9694,19.8959,3.23064,9.33633,3.26155,281.694,49.0277,34.0131,43.422,2.11015,27.5643,20.5101,3.87308,10.1965,2.65081,871.14,108.216,49.2578,39.2469,1.69773,57.8579,30.9867,6.91367,15.186,4.66602,129.88,28.6688,10.2822,19.156,1.80503,14.6617,10.2846,2.06238,5.28467,1.87905,284.302,94.3744,25.1034,22.5867,2.43377,32.3292,23.6069,4.41296,10.0728,4.16336,380.946,70.1174,35.4176,26.5945,1.54212,32.7785,20.8242,4.60727,10.0393,3.62554,4207.47,152.104,563.124,64.4359,1.87719,102.942,22.5547,12.9008,25.405,5.38394
amo,4100,complete,60,12,30.4198,12.1043,0.266596,0.264254,256.895,53.531,18.6451,20.8755,1.26532,26.2953,20.1995,3.23789,9.22718,2.41946,254.234,83.7345,22.0774,53.9492,1.12398,29.7359,22.3633,4.31887,11.3749,2.30965,238.551,80.0135,22.0249,24.8726,1.68326,27.9948,20.0929,4.21276,9.58663,3.91438,467.009,100.639,34.7669,28.3161,3.3575,39.3007,24.1322,4.50675,12.8977,6.1398,339.253,183.573,36.2503,54.2972,1.947,35.9252,24.6319,3.43246,13.4752,4.40116,408.864,95.4132,37.2828,56.9309,19.0077,40.2628,26.9284,3.73488,17.5733,5.79482,980.538,206.739,100.447,200.092,16.5967,59.7761,39.7711,5.93178,20.5075,6.44609,1448.99,512.091,113.336,108.849,3.00746,93.8787,75.5039,7.00163,26.2057,5.75395,387.337,134.714,35.646,42.1314,1.73069,36.9596,27.259,2.95148,10.7505,3.05512,422.368,123.134,35.917,34.9533,1.4426,38.8696,24.1673,3.59554,12.5833,2.88274,533.316,148.028,43.7339,38.0222,1.66428,39.5057,24.725,3.59542,12.0054,2.12316,562.804,133.478,130.632,41.0193,3.18915,41.7767,28.4218,4.80815,13.9213,4.48298
amo,4101,complete,60,12,12.1943,3.51822,0.0732134,0.0698755,400.823,71.8523,23.6506,19.9416,1.3949,39.578,26.2357,4.90845,13.7604,3.04348,437.884,64.4158,15.7624,17.6555,2.29449,33.7755,20.9001,3.89173,13.6636,2.70058,371.36,106.653,22.316,16.014,1.01474,32.2848,20.2759,3.48472,7.53918,1.80348,305.203,100.887,20.4397,13.5552,3.90763,27.7496,21.3133,3.72227,9.65544,5.26465,262.63,40.5602,11.3577,33.6947,2.7766,24.3028,17.3246,3.10526,16.1792,7.27423,267.291,53.239,14.1817,29.2024,1.58141,26.2915,21.147,3.21073,7.67244,3.84105,425.429,96.6791,25.2809,63.6373,2.40678,41.2113,31.331,4.65842,16.2604,5.05141,375.127,47.9692,12.3572,17.6427,1.50228,30.9564,18.7327,3.75195,10.9564,4.73346,228.854,87.6335,17.5294,37.5442,3.35816,21.8501,19.0298,2.83765,14.2686,7.941,292.297,53.3013,18.3893,57.5268,61.3343,23.4207,15.9058,2.76014,12.8624,9.51053,429.097,66.9942,20.3036,37.1186,1.86268,36.2997,29.8026,4.22125,12.7078,5.66823,325.573,61.0959,16.8039,33.2465,2.78343,29.512,21.5109,3.70971,11.383,5.41965
amo,4102,complete,60,12,26.6537,12.4539,0.099928,0.132086,325.368,67.4787,20.8048,25.3136,1.46451,36.1941,26.5429,4.63158,9.68056,2.62635,403.038,58.3627,21.1227,26.279,1.14851,35.912,25.9323,4.05157,9.80051,1.99879,249.2,67.9987,13.4673,36.7796,1.58965,26.8243,20.3303,3.72558,8.19274,1.47914,294.773,51.8797,13.1223,26.9355,1.45082,25.4861,16.7025,2.85521,9.95041,3.36989,282.712,59.4338,17.9257,77.3122,1.71217,29.7333,20.0497,3.56012,14.1605,2.44649,239.544,45.2233,11.1996,39.0557,4.75518,24.0506,13.598,2.75512,12.0363,5.45562,292.078,59.0527,12.163,30.2982,1.38468,29.0783,20.5922,3.54258,9.75727,1.8726,369.382,112.985,24.9628,46.1908,1.84464,31.0079,26.8559,3.79632,12.2902,2.81548,396.951,88.8914,21.648,46.2279,1.06873,34.0066,29.0113,3.93646,12.1227,2.24437,416.828,65.5205,22.6591,79.0268,33.5618,34.3308,24.6659,3.93078,17.0326,8.09894,223.787,42.056,16.6264,41.6319,1.37744,21.2313,17.5287,2.57218,6.95051,2.2829,1387.18,165.272,115.168,86.4985,41.5487,82.8755,54.2255,8.95759,31.3272,14.409
amo,4103,complete,60,12,44.4655,20.17,0.105615,0.127868,292.349,54.8454,21.3833,29.8728,1.6574,29.8447,22.7552,3.66438,10.3123,1.70526,225.438,34.852,8.4662,29.5649,1.91713,19.399,15.4652,2.38113,8.31314,1.78857,320.906,69.0479,18.6845,146.773,31.0128,30.7676,24.3227,3.88285,20.5154,6.95624,405.167,66.623,13.4946,20.7837,1.43518,32.7011,26.2678,3.88194,13.0412,6.77074,334.405,51.0448,15.276,31.2463,0.77248,26.859,22.0806,3.05658,9.67401,2.58818,332.464,44.6082,27.5776,126.875,52.4015,28.745,20.7824,3.76671,18.771,6.10724,377.739,79.6463,19.6877,39.7755,1.80931,32.3048,27.5846,4.39876,9.26998,1.58819,113.844,52.3902,11.9509,30.8055,1.69188,12.9959,10.6846,1.55947,8.13973,2.52443,179.809,37.723,11.1747,30.8399,3.14716,16.6976,11.5914,1.97323,7.03773,4.26172,1426.05,403.688,195.168,71.9837,4.26893,87.1044,68.472,10.864,33.7198,12.7966,492.502,56.2159,21.5297,133.689,10.756,39.8697,24.7767,4.68406,26.1568,11.7909,326.19,55.4609,12.8932,12.4485,2.44192,28.3101,21.7042,3.44538,9.52092,4.4754
amo,4104,fell,57.02,12,35.335,9.60028,1.94141,1.15381,263.592,75.5233,21.4687,52.9946,2.18375,29.1187,20.9772,3.61146,10.8337,2.04388,376.854,64.7605,16.3458,31.6002,1.31197,34.1624,23.9342,3.88362,13.487,2.04269,311.848,80.7673,11.609,27.9536,2.12026,30.6315,22.887,4.02162,12.6192,4.13036,283.377,71.1439,13.1124,21.4143,2.45662,30.1642,20.8889,3.89599,12.1383,5.58239,266.405,40.7311,10.9321,11.8128,2.96177,23.975,14.8049,2.81463,5.05394,4.30854,295.419,49.8474,12.0614,16.5744,1.20236,28.7304,20.2191,3.76788,6.48859,3.57875,457.229,66.8645,14.238,8.97937,2.46906,36.3286,23.9949,3.88018,4.20246,4.46579,500.952,112.85,22.6039,204.398,13.6504,44.7243,29.9346,5.12682,21.4741,11.1599,325.688,58.9558,14.9679,17.3148,4.43501,27.5492,17.9635,3.39617,3.81414,3.9803,401.166,64.0889,15.3259,24.2852,11.5876,33.4513,25.2887,4.13486,3.64516,6.83454,227.073,40.2696,8.68401,17.9848,14.065,19.9757,14.55,2.49994,3.4056,5.18537,11761,905.092,2830.08,237.912,44.4493,251.254,96.5856,40.065,79.5939,41.809
amo,4105,complete,60,12,25.6598,16.8965,0.0158301,0.0191917,324.66,53.0438,19.0292,13.2368,1.58764,32.9936,23.8953,3.82027,11.0785,2.33761,322.473,78.1541,11.8054,17.7923,4.74463,31.5477,19.7812,3.92447,11.3019,5.8435,317.226,48.0131,13.6649,20.3731,2.58738,28.2612,19.6328,3.57278,11.2334,5.93796,401.189,66.7895,14.381,25.6615,1.70853,35.04,25.9464,3.93533,12.6036,3.89886,334.435,54.0333,16.3759,42.594,3.57879,28.9874,24.1741,3.60936,14.5892,5.54336,479.841,64.2678,19.596,39.8203,1.34074,37.1784,27.0845,4.08624,17.1797,3.63796,420.85,52.0717,18.5413,28.9739,1.13352,34.2281,23.0585,3.89661,13.5327,2.16908,399.467,57.955,17.6912,154.735,29.3234,35.4386,23.9935,4.27745,23.3428,13.0459,377.036,58.0194,17.9094,22.1038,2.5625,33.6054,22.301,3.7055,9.9815,5.89144,391.263,63.7462,19.7598,16.0384,1.66365,34.2068,22.1765,4.42373,11.0095,4.19641,536.4,90.7424,137.109,164.604,8.83606,41.2942,29.0079,5.6565,27.6218,12.0039,367.81,92.698,25.6291,17.2534,1.48786,28.7657,21.4497,3.51404,10.0223,5.37833
