policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
asap,2048,fell,26.04,6,178.669,41.1194,2.83688,3.09423,303.973,27.0946,8.10511,32.3853,8.35985,25.9471,23.277,5.47978,27.2732,25.4858,431.767,42.0614,11.0595,34.0514,7.95494,24.0571,27.0367,5.35765,26.7133,26.9824,351.17,35.0137,13.7852,47.672,8.34606,22.6743,22.9692,4.97111,25.4462,26.5196,461.688,55.7764,25.2198,70.132,9.63128,30.9487,39.0518,6.77251,30.3896,26.2987,914.582,86.5559,33.7984,69.2755,8.3406,46.2068,59.8864,9.84716,33.3565,26.5529,1765.73,72.9926,36.8931,86.8035,7.14006,46.8363,52.7668,7.44879,20.6659,9.76205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,2049,fell,35.7,8,67.1639,31.0266,1.51442,3.33589,228.957,19.2464,7.69968,25.8347,6.69174,25.7518,23.2846,5.01404,26.7112,25.7599,290.763,38.1284,9.88578,26.2389,7.56786,24.2192,24.1503,5.17469,27.4379,26.3677,302.799,33.3019,10.0613,31.8403,9.29751,23.3262,26.2517,5.54863,28.8001,25.6006,444.036,37.7596,8.90346,38.4879,9.35431,29.1837,34.077,5.85442,26.6975,26.566,759.304,82.3159,30.7827,36.1744,8.55708,43.8769,54.201,10.1679,26.4775,25.0848,560.452,56.3592,19.1303,36.0787,8.53696,37.1397,38.7009,8.3503,23.9763,24.577,1339.54,94.131,37.1183,35.54,8.5768,65.3692,73.5488,13.279,22.3703,25.5332,593.524,14.076,38.5842,17.3884,1.46083,24.393,16.2334,4.07612,6.09858,3.82581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,2050,fell,25.66,6,109.812,44.7117,3.22542,4.06582,296.744,24.3464,10.8051,27.4877,7.22662,31.0238,31.0464,6.5143,26.5547,24.7256,458.386,29.8989,19.043,43.0294,7.94973,29.4119,27.708,6.67149,27.8827,26.5632,313.222,26.2191,10.0761,54.2407,16.9037,27.4653,26.6103,5.77589,30.5597,28.8327,313.149,22.4508,13.5805,43.9631,8.80322,25.1582,22.3164,5.51391,26.4342,26.0151,538.49,52.1931,20.8006,37.4815,8.25632,30.9853,39.6658,7.41973,29.0489,27.2579,289.831,12.2842,13.038,33.784,1.38833,14.5906,11.8089,2.20476,8.88438,5.13878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,2051,fell,51.56,11,50.02,22.9077,1.76204,3.46412,278.29,28.7636,7.88391,38.7149,8.15539,25.303,27.5187,5.32363,25.9293,25.3454,421.93,42.8135,26.5998,120.42,9.17058,31.236,32.942,7.22953,32.0995,26.1977,246.327,25.2269,8.91698,31.3683,8.01499,24.9695,23.6537,4.98145,25.6909,23.8508,477.787,32.2423,15.2192,111.148,10.6979,31.7554,28.5615,6.98723,31.755,26.5188,680.629,76.9483,29.3081,131.812,11.2295,37.2139,39.9693,9.58106,37.3996,31.5248,253.335,26.4149,9.0547,21.7187,8.48018,23.034,23.5403,5.1718,19.9255,24.9126,410.133,30.3146,20.5426,22.0306,9.29699,28.0237,26.9761,6.61936,18.9133,25.4021,678.739,48.778,19.7438,36.0039,8.10715,34.7542,36.574,7.83245,25.0184,27.5855,333.849,28.8181,15.2128,41.998,7.86564,27.3403,25.9985,6.73357,26.1124,26.6543,245.675,19.6605,10.2475,21.2632,7.96717,23.1689,22.3158,5.56652,18.2049,26.0955,2845.97,126.468,455.213,100.265,22.8918,93.5952,86.4865,20.1494,35.5228,19.6672,,,,,,,,,,
asap,2052,fell,40.62,9,27.6124,38.2792,2.40007,4.06291,286.323,25.309,6.8828,31.8161,7.40625,29.3674,26.6277,5.76947,23.8132,24.0361,287.024,23.9315,7.74488,29.1973,7.75927,24.5767,27.943,4.93156,23.6797,24.6697,313.385,26.4546,6.15221,36.2017,7.69529,26.4614,25.3551,5.02882,25.4265,24.9486,265.726,21.8003,8.32962,34.6807,8.25455,24.2021,22.1446,5.25483,26.2189,26.0778,467.179,46.5201,15.1011,93.5597,7.97728,35.1456,33.8271,7.23295,35.6308,25.9668,303.598,27.8103,9.12138,43.1586,8.5003,23.3337,22.1312,4.32471,25.7652,25.6415,1142.01,91.6693,59.3947,195.451,44.4379,59.3887,67.2449,11.8224,42.0415,30.378,407.957,62.2057,18.9462,74.5403,7.84814,27.0282,34.4849,5.73679,30.2835,25.7047,266.036,20.5508,18.0627,76.1932,4.88319,14.5475,20.5027,3.11303,10.0447,4.72109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,2053,fell,16.06,4,60.2775,56.5658,4.03954,2.16338,272.412,24.1116,9.06252,29.1447,7.93355,26.2697,24.8118,5.52899,24.3904,24.772,509.96,38.3373,15.0257,38.3045,7.72031,23.5041,28.6069,5.41597,24.3495,25.1426,425.052,48.4382,15.6288,51.268,7.56822,23.1453,25.5033,5.01047,28.955,24.7383,1941.3,83.9018,94.5011,52.7604,1.57211,48.6182,47.1268,8.81818,17.7406,5.2914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,2054,fell,45.56,10,406.358,44.2909,1.45113,0.50102,299.195,35.0146,8.3572,26.5451,8.2122,25.5813,32.9302,5.45351,26.9103,24.8998,508.183,60.0649,11.6718,41.9398,8.07978,32.626,45.2822,6.97648,26.6899,25.8023,357.926,48.1759,12.763,85.6047,8.81525,26.1404,39.7691,5.3888,25.7935,26.5109,1137.69,136.865,25.346,66.6223,7.22311,68.2135,88.2791,13.3695,33.1761,25.0634,559.722,54.6607,22.9662,69.1412,7.71812,35.8108,50.4455,8.13393,29.8704,25.5559,1313.41,116.249,31.2543,113.495,37.9016,72.9524,87.8024,14.64,43.4782,33.7713,1289.76,163.637,36.2704,58.1084,7.80178,76.7754,102.471,14.2824,37.0907,25.9229,1036.32,91.8153,45.2591,65.9751,11.2915,58.3263,77.319,12.663,35.9186,27.1217,600.44,63.2007,17.9132,43.404,7.51553,33.7285,47.5588,7.45536,27.1098,26.6205,1768.63,108.831,204.906,24.2581,17.6145,46.2343,46.1136,8.46906,12.7218,9.70636,,,,,,,,,,,,,,,,,,,,
asap,2055,fell,55.8,12,52.2987,28.8154,2.51811,4.48286,263.601,20.9298,8.85646,36.8587,7.84018,26.4935,24.8627,5.13515,25.1193,24.9283,265.318,23.0056,11.2867,26.8162,7.56717,21.9243,21.2446,5.18684,20.0091,24.0907,267.914,29.2328,9.80898,21.6903,8.01388,21.3254,24.6507,5.03105,15.2714,24.168,182.069,17.7793,9.93069,20.0698,7.82835,21.5354,21.453,4.7824,13.4804,24.7558,204.872,28.3655,12.0846,21.956,6.7279,21.7731,22.8691,5.27583,11.7944,24.0848,271.396,29.1832,14.3659,24.7477,7.92722,24.0805,19.8508,5.76015,17.3293,26.4438,310.897,28.3872,14.7732,26.2037,7.50111,23.3235,23.0921,6.32817,21.9043,24.4687,246.014,22.9341,13.0464,20.7427,7.3381,24.3761,21.6018,5.38825,18.3175,24.8386,419.443,50.4902,23.4798,26.0892,6.79952,27.2153,29.3861,6.16749,19.539,24.9189,353.387,39.702,21.2447,23.5586,8.34965,29.3911,28.5351,6.67432,15.4398,25.2856,966.205,81.1646,40.1786,31.5884,8.11002,55.8121,66.3646,12.0114,21.4542,25.6015,1365.49,46.137,34.8001,17.3676,1.83233,41.7706,40.3966,6.45633,11.376,6.35588
asap,2056,fell,21.04,5,30.2349,25.767,2.06783,0.896298,276.415,28.1495,6.50361,27.7722,9.05252,24.0752,28.057,4.77562,24.7826,25.3578,278.467,33.1278,6.83793,24.1662,8.23317,25.3532,21.8459,5.85147,23.2575,26.1531,283.348,28.9174,13.297,29.6735,9.74622,27.5417,26.4694,6.44091,23.9875,24.9486,570.916,43.1694,19.3542,32.4486,8.03965,39.6596,43.7063,8.68607,27.7893,26.9364,547.292,38.667,37.0512,28.0514,108.281,28.8766,35.4464,6.39493,18.6184,13.9317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,2057,fell,56.38,12,55.8099,31.9247,0.99949,0.727021,290.646,23.9931,10.6575,45.2446,8.12893,28.32,27.7613,5.93646,29.5481,25.3096,213.205,23.3748,9.26914,58.6398,7.81327,21.0935,18.8071,4.92008,27.4761,26.1895,313.543,45.179,10.29,40.5764,7.04869,22.6816,27.707,5.11916,26.5075,23.8305,265.684,59.538,9.66046,46.7286,7.31322,15.9522,23.1068,3.9183,26.6727,24.5089,607.958,55.571,30.123,121.187,10.0256,41.3457,49.7201,8.5262,35.0356,27.4597,309.953,36.8464,9.04941,34.9713,7.38503,22.7284,27.9791,5.27046,25.1577,26.1493,220.005,22.0062,8.81294,25.7457,8.73083,19.9588,28.9158,4.34575,25.7994,27.5943,318.503,34.3696,11.3388,29.8751,8.19238,23.6388,31.2698,5.99921,29.8092,27.0317,421.361,36.8891,18.7711,25.8291,11.0314,31.0208,35.067,7.77308,23.4861,26.6717,1070.64,75.9514,24.4215,80.6703,33.799,66.4429,76.4052,12.2115,41.8069,33.305,1016.57,72.6692,21.8257,32.3826,7.25366,50.8597,64.5768,10.0933,32.2475,25.783,2517.83,113.592,320.851,118.015,6.89935,92.7572,88.4332,21.975,40.1153,12.7896
