policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
decoupled_wbc,2048,complete,60,12,11.6313,4.28027,0.679357,0.749137,348.44,66.0069,24.8144,34.6764,8.90655,48.9503,43.5862,10.6496,35.5064,41.7461,444.128,95.84,33.1949,34.2034,8.51156,60.8559,55.2375,15.0662,41.3209,43.3618,325.566,60.1962,36.3934,41.738,9.2044,50.8018,38.0765,12.5508,39.6201,44.6733,251.253,50.2831,32.6798,57.3107,10.0929,37.5438,36.3347,9.11398,39.0229,43.9273,306.573,51.1619,39.8597,57.4768,8.6941,45.5615,35.4153,11.0792,36.7953,40.5973,309.856,51.7058,28.4903,103.37,27.4705,51.1451,36.6534,13.2659,42.7452,46.6895,258.872,49.2634,27.8031,100.712,10.3981,37.7304,30.1045,9.89445,46.0788,42.2295,250.257,57.2014,16.1163,34.6387,8.79989,39.7238,33.2607,9.36913,39.4587,40.0778,163.149,22.8549,22.3307,36.3192,7.2827,27.2877,16.177,7.76756,36.7268,40.54,180.016,33.0337,11.7232,35.7456,7.92493,28.2848,25.1562,6.25862,37.6232,43.1661,277.412,46.1746,20.988,40.902,9.14843,42.2864,30.5966,9.8245,37.3769,42.0557,1080.64,254.586,83.2836,195.202,11.5303,124.534,96.5294,25.1624,67.487,45.5993
decoupled_wbc,2049,complete,60,12,6.6647,3.19245,0.0172744,0.0194984,220.846,36.753,18.339,26.5214,7.28457,31.5925,25.7728,8.32896,37.486,41.9675,233.265,50.5666,24.9899,28.038,7.8396,40.7882,43.1514,11.6349,40.7192,42.7967,351.01,67.7437,30.591,32.3744,8.55883,50.8285,44.4953,11.6603,40.712,40.8071,480.489,85.5693,31.8719,36.3449,7.43526,66.3204,53.9531,13.4058,39.0799,42.9011,523.497,170.507,58.4417,40.1909,8.5674,82.2042,74.1482,20.0067,44.2255,41.1154,332.94,64.7783,26.9795,27.3186,8.66174,53.0263,38.4387,14.1312,34.1536,41.7726,438.709,65.2803,24.6669,85.4319,8.94968,61.3302,46.5029,13.7052,47.1296,43.5716,331.728,46.3397,24.9174,21.8701,7.97305,46.8034,38.3989,12.6535,31.1267,40.9464,254.52,41.4022,18.4037,24.2954,7.21194,41.0662,30.7906,10.4857,30.8946,40.4164,347.323,63.6346,31.3503,30.2258,7.70911,53.917,40.4712,14.1504,34.1233,41.5986,382.99,66.9069,31.7869,150.916,10.4821,58.0268,47.2857,13.8648,55.4955,45.9415,639.801,95.9825,38.3708,68.5164,7.94621,87.6333,62.8466,20.0378,45.5956,40.8932
decoupled_wbc,2050,complete,60,12,5.81251,7.24737,0.0411647,0.0465318,350.483,86.5273,30.5322,29.4708,7.849,57.1846,45.3244,14.1026,35.4799,41.5324,459.666,83.007,44.1593,42.3543,8.76261,69.8092,59.6041,15.9767,42.9056,42.3532,258.657,64.8873,38.0141,86.575,10.3878,45.6249,41.3454,13.372,41.8882,41.3857,436.28,159.707,49.6,39.4552,7.75364,65.5588,64.5754,15.8906,39.7125,40.343,217.972,41.1062,24.0504,28.1812,8.36172,36.0585,24.5679,9.65249,36.8744,40.3715,355.314,155.457,41.3417,74.3394,8.09911,58.2314,59.5684,13.3456,45.0541,40.5537,164.379,28.8311,18.6223,40.681,8.34085,31.8231,22.0329,7.54934,37.2079,40.965,116.893,20.5695,18.1773,29.8338,7.8526,21.2903,15.591,5.96852,35.9457,39.3442,181.706,34.2721,20.2202,39.0825,8.54375,34.2627,27.6289,8.01156,37.5065,42.7731,602.699,119.583,51.9683,114.266,9.64819,89.1011,64.7908,20.3708,50.4537,41.799,406.016,111.257,51.3927,44.0182,8.72877,64.6446,51.8241,15.1259,39.5403,39.851,355.673,141.829,41.7097,56.9965,8.15993,57.5605,52.6003,13.3064,41.9413,41.8695
decoupled_wbc,2051,complete,60,12,8.3379,3.95588,0.0143656,0.012871,308.294,55.4418,36.5391,35.9439,9.45031,44.2862,37.7884,12.4621,39.9416,44.3718,557.744,123.638,62.5467,126.93,9.75535,76.4205,66.2418,18.0346,50.3482,44.3692,318.112,49.2145,25.9189,26.5593,8.70044,45.7071,32.7118,11.5169,37.8755,40.5781,534.787,115.124,57.6493,95.8133,10.5568,70.1174,57.7183,18.4695,46.899,43.8624,357.246,55.4225,37.3318,152.351,9.81714,53.0785,41.8938,11.6969,45.5842,46.1823,163.209,33.9962,16.1046,34.2099,8.51099,33.9843,22.9021,10.1132,35.2423,42.5853,310.219,68.5764,24.1474,33.6103,8.38381,44.0521,41.5029,10.3505,38.272,41.2203,201.053,47.1468,28.3801,47.1165,8.49483,39.1376,29.8157,12.6442,39.8995,41.257,237.946,39.4513,21.4069,36.1212,8.5898,37.1592,28.5194,9.0333,39.0831,42.3613,126.87,23.584,10.653,31.6942,8.01357,21.3931,18.5127,6.24894,35.1439,43.3643,406.251,99.4725,40.558,46.0937,8.43552,63.334,49.6624,14.3556,39.2959,41.0743,331.331,131.672,37.6087,35.4911,8.47095,58.0876,56.4673,14.3273,42.5136,41.6248
decoupled_wbc,2052,fell,46.22,10,15.4153,15.7954,1.89311,1.62186,307.499,54.2634,30.9518,32.4896,8.25884,47.5349,36.9216,12.5082,34.2224,41.1505,196.016,29.4423,14.9762,28.51,8.74301,32.6914,24.343,8.05237,30.0385,41.5861,335.338,62.0056,34.5707,36.5057,8.71108,55.6844,45.2534,13.8664,36.8863,42.8146,256.7,33.3616,13.8186,34.4833,8.67129,38.162,28.974,7.79278,35.8762,44.7467,506.541,93.2926,45.7286,92.17,8.4044,67.4934,54.1146,16.8215,48.6665,42.3513,376.594,86.4937,20.9698,45.7073,9.1467,51.349,45.5422,10.7129,40.3584,42.9135,367.649,67.6313,43.7372,141.819,17.6403,50.69,40.5865,12.5921,46.2335,45.433,306.13,67.431,27.6386,66.4049,8.17152,49.1262,40.8874,10.4071,45.1372,44.1152,344.986,133.525,61.9194,112.589,10.2536,52.7361,45.6658,12.4484,44.7895,42.5245,3520.04,306.389,310.775,169.68,31.7222,181.38,73.7525,33.5311,52.4172,25.0608,,,,,,,,,,,,,,,,,,,,
decoupled_wbc,2053,complete,60,12,7.91197,3.30438,0.0386024,0.102622,201.438,31.3885,15.6621,27.7658,9.15541,30.6455,24.4456,7.60819,31.3007,40.9205,324.647,42.3296,23.8138,33.9845,9.28562,51.4246,38.4822,11.4992,36.0078,46.7333,305.858,51.5799,31.5586,46.3102,8.03216,48.8104,39.902,12.283,41.488,41.5154,1387.97,296.56,193.447,89.6613,8.25388,130.983,111.097,32.0825,70.3102,40.6279,490.085,158.802,44.9897,72.8582,7.89902,73.9784,69.0738,17.0112,45.6126,39.9226,326.664,121.76,52.2916,56.0357,9.16324,63.2544,55.3787,17.2551,41.8377,42.7964,245.583,57.5563,16.2994,35.4341,8.63068,38.4844,35.5378,7.91142,35.0294,41.81,245.623,37.4185,22.4505,77.7013,9.71509,33.2571,25.0474,7.47489,43.4271,40.965,261.424,47.4413,29.1441,49.7389,8.50394,42.2998,32.2683,10.2016,45.5921,41.8654,273.49,48.9119,15.6453,34.9836,9.1826,47.6394,35.2024,10.5318,37.8315,42.9297,271.016,40.2149,21.8784,40.7255,7.94712,42.1373,28.9422,10.3541,41.8155,42.1714,331.885,70.1299,28.0468,40.2808,8.72785,53.0571,41.587,14.0633,36.2773,41.0194
decoupled_wbc,2054,complete,60,12,8.52078,3.47908,0.00460593,0.0545259,260.466,55.9149,23.5248,24.069,9.08805,39.0971,38.1939,11.1145,40.6834,42.3362,398.501,73.572,37.2439,35.1462,8.72659,56.17,43.5496,15.0747,41.1727,42.2122,473.341,91.6363,47.6481,76.7493,9.11878,69.6373,66.3077,16.4914,45.3156,44.13,345.057,83.3356,24.3712,42.0074,7.62281,50.4769,45.6568,11.2175,43.9561,41.4761,109.35,18.1002,19.5877,50.1871,8.23943,16.1785,12.9605,5.98115,35.769,42.3767,359.164,95.0576,43.5634,84.6268,8.88525,52.8758,43.4016,12.4783,44.2217,41.5251,444.547,79.0612,26.0825,38.3266,7.90826,55.4267,45.7357,13.2567,39.8936,42.6133,504.084,121.146,47.4895,38.3171,7.65098,72.8937,70.882,16.6146,44.5813,40.986,143.941,29.8527,17.633,37.1269,7.88933,23.8662,18.8926,7.52784,35.0808,41.7793,358.64,114.18,33.2693,44.8096,7.78426,47.4041,42.4203,9.60425,38.0262,41.202,309.581,56.5811,28.4705,30.7105,8.4549,44.5654,31.7292,10.9223,40.001,43.4674,160.121,22.5182,17.8744,43.6969,7.21149,25.6444,17.1855,7.0381,34.7912,43.6477
decoupled_wbc,2055,complete,60,12,8.92727,4.32208,0.468866,0.495466,203.259,45.2007,22.3075,34.2349,8.78686,32.7441,28.42,9.03749,32.8776,42.8386,196.843,22.5021,15.2896,30.2722,8.51466,32.5561,24.6264,7.55532,32.4553,41.0192,219.127,31.429,21.1711,31.9254,9.09654,38.879,28.4379,10.2727,35.4446,41.1934,225.836,63.7787,31.872,35.0882,8.54428,37.6195,30.6721,10.25,41.7736,43.5491,75.4144,9.7588,6.76096,29.6958,7.23739,10.8952,8.03153,3.7819,33.7739,40.15,295.802,47.0241,24.5236,32.4832,8.37899,45.5831,31.1001,11.5895,38.1117,44.37,315.928,67.2345,24.7935,39.5556,7.84986,50.0197,49.9459,12.4944,45.2896,41.9564,176.975,30.6685,12.6086,32.9014,7.48809,33.496,23.1611,7.39656,37.626,42.2017,431.291,80.6562,27.0842,34.2203,7.40437,68.3094,62.6858,13.8522,38.8417,40.1994,512.069,105.323,36.0671,32.3234,8.85727,73.422,59.5408,16.051,39.8819,43.5769,519.362,115.253,47.9057,31.9368,8.56893,73.0717,60.6639,20.1185,45.4113,40.1286,781.075,134.588,65.3079,52.1798,7.74395,94.8896,80.9182,23.5783,49.1404,41.0673
decoupled_wbc,2056,complete,60,12,9.15604,4.41034,0.283492,0.391947,265.393,63.8669,23.2855,28.3635,10.0151,37.2124,37.9576,9.88125,35.5948,42.4327,228.571,42.7139,23.4406,35.2515,9.13342,38.2175,29.6735,10.8824,36.329,43.0144,178.175,37.0792,17.4763,62.0089,8.87998,30.4104,25.6654,8.61909,44.9877,40.9257,1253.13,266.213,134.556,43.7092,8.56139,118.662,103.453,31.7688,49.8941,41.9631,443.902,64.4657,32.966,41.6548,8.56665,57.5517,42.22,14.062,41.0434,43.3009,160.306,34.1167,10.1718,28.2411,7.70487,27.058,24.2307,6.05498,36.4707,40.2375,388.526,84.4763,27.0468,24.8461,8.91584,56.0107,43.6313,12.4151,38.2526,42.337,328.234,69.2881,48.0027,28.3624,8.36266,50.1211,37.673,13.0686,37.1284,43.3917,233.833,37.3221,17.2733,28.2369,8.76363,37.5615,29.995,9.93395,36.6209,42.2385,405.12,74.4685,28.0752,22.3761,8.15828,58.6353,46.6122,13.6591,38.2094,42.9101,170.035,23.8363,25.2807,33.3545,7.73241,28.4393,19.5949,7.29886,36.4675,42.6738,605.774,186.187,67.4939,38.662,8.81693,90.8137,86.0022,23.0296,48.3548,41.4841
decoupled_wbc,2057,fell,57.54,12,30.1498,15.7943,1.092,1.19824,284.824,53.4359,26.31,58.3533,9.70629,42.3998,34.0371,10.7104,39.3916,43.977,181.65,42.131,19.0515,53.0952,9.20327,30.6032,28.4823,7.16096,37.7142,43.3591,302.728,74.5849,34.1229,37.6563,7.93722,50.1529,41.2509,13.239,42.1794,39.6206,220.973,67.1205,29.6812,42.6576,8.29072,35.5343,34.4154,9.41565,42.6942,41.5227,165.231,23.353,23.8939,59.3701,8.89534,25.9414,20.2301,7.60971,38.6721,44.4563,236.79,58.4275,19.892,32.7681,7.94013,36.2567,39.9651,10.5471,36.7052,42.4333,80.7975,10.9378,8.26944,20.9283,8.8629,15.7375,10.2383,4.48998,33.9433,43.424,303.336,46.9464,26.735,42.6581,8.76096,44.8587,29.8441,11.6571,42.8098,42.1151,340.65,72.3995,33.5798,33.9652,8.99068,52.1615,53.7532,13.6362,40.3738,43.1583,380.508,73.5861,39.7077,101.186,9.7582,54.3488,40.316,14.8381,45.9827,41.4869,407.013,80.8692,37.4128,52.5684,7.7135,57.9682,53.854,15.0995,42.4959,40.5733,4289.62,769.277,601.787,147.719,21.8674,258.986,166.735,81.1506,92.4947,39.2652
