policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
falcon,4096,fell,45.74,10,47.9184,19.2471,1.47961,3.48264,283.077,40.2975,10.2992,23.8054,1.99074,21.5616,32.9986,5.46544,8.57342,1.55938,356.777,38.8081,11.3941,31.0007,1.81612,22.9008,29.9515,4.83967,8.69613,1.65721,388.739,53.3817,26.2011,57.8772,2.66859,24.4984,38.6905,6.20528,12.6049,2.28956,495.005,75.647,26.1231,29.7187,1.61683,29.0221,32.5497,7.65022,11.5292,1.89282,320.797,44.1939,14.6308,28.7798,1.8813,26.8145,31.4413,6.05893,11.4671,1.85555,308.277,54.5995,13.849,23.9806,2.52587,22.5575,26.5257,4.94562,8.741,2.43702,313.67,46.0171,11.8049,20.9411,1.67394,24.1687,36.1232,5.7552,7.60976,2.22796,430.716,71.7122,20.7642,30.6111,1.82607,36.1606,51.4397,8.88182,14.9886,4.29067,263.995,26.6769,9.5981,16.5312,1.94289,23.0719,23.1061,4.83097,7.13312,2.30147,203.854,82.2304,30.4561,38.3707,0.766836,17.2809,19.2853,5.46359,10.5631,1.76816,,,,,,,,,,,,,,,,,,,,
falcon,4097,fell,45.54,10,27.7198,7.23636,1.2825,3.36239,253.014,32.9377,11.7422,20.7523,1.80958,22.5731,29.8588,5.82495,9.89402,1.68779,435.938,60.4756,20.1887,64.9967,3.29526,28.6283,37.0953,6.79609,15.0207,2.98389,369.119,39.749,10.6257,21.8196,1.28047,22.4087,26.4457,4.59877,8.79762,1.46768,226.923,21.0616,6.81492,13.0509,2.18018,15.5885,14.7277,3.50087,6.23357,1.51445,315.043,47.1632,8.49744,15.0782,2.84617,20.805,24.9103,4.36259,7.5476,1.86091,425.046,46.7095,33.2142,122.826,9.43197,32.2703,45.3155,8.29641,24.2794,6.91014,438.797,60.192,10.5755,20.2144,1.63645,28.1348,37.0493,6.15196,10.2854,2.61942,269.374,24.3473,7.84022,14.9245,2.20976,23.9332,22.2892,5.48184,9.36266,4.18483,432.965,72.3983,15.2048,16.2264,2.12426,30.944,51.4164,7.1823,13.2497,2.4056,375.532,36.221,56.3596,10.2248,0.368797,24.8969,23.1053,8.51177,10.4477,1.30458,,,,,,,,,,,,,,,,,,,,
falcon,4098,fell,26,6,60.5048,28.5154,1.54809,2.35498,325.73,36.9444,8.43674,22.8063,2.0226,21.6504,31.3065,4.92413,8.98275,1.63989,317.384,59.2709,11.3688,23.0069,2.19209,20.9637,28.8175,4.49263,6.69192,1.34146,284.809,36.575,8.40767,19.407,2.54527,21.5262,24.8659,4.72854,7.5911,1.77552,361.207,45.2227,13.9801,24.8097,1.22825,25.4021,41.0213,5.68282,11.6761,2.31584,404.336,62.1361,12.6034,19.3287,1.33226,24.4406,35.5786,5.93726,10.3904,1.85877,658.864,33.5134,48.2687,153.065,17.8253,25.6688,30.8093,7.24007,25.4764,10.4379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,4099,fell,16.92,4,63.688,24.3317,1.04739,1.13387,329.84,46.4639,12.848,53.7719,1.927,30.0644,37.8277,6.91501,13.3687,2.48299,383.482,34.5608,12.6129,27.531,2.72287,24.3148,24.7905,4.81917,8.73525,1.59328,381.263,50.2826,11.839,30.0394,2.11439,24.6765,33.2657,5.21608,10.0028,2.33997,3033.99,120.67,341.769,212.267,4.23315,100.748,82.6468,27.6167,54.6192,11.6724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,4100,fell,11.18,3,73.3459,45.7804,1.54477,2.55671,329.668,43.3905,11.4103,22.8558,1.76676,22.6165,30.6262,5.13609,8.14947,1.63449,292.951,41.1928,15.0666,35.1545,1.37525,19.8302,22.3426,4.52327,8.46723,1.63054,235.7,55.5509,34.65,18.8441,0.823183,16.4453,25.9656,5.71249,10.1177,2.02576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,4101,fell,31.24,7,28.8768,21.1615,2.64177,1.25264,302.852,39.1079,9.26455,17.3148,1.62197,20.7896,29.2863,5.18388,9.02239,1.72294,395.1,44.7714,12.6271,19.0778,3.60598,23.3059,31.7978,5.2722,8.8707,1.74647,337.817,44.8156,10.4965,20.8111,1.41174,24.0437,32.1711,5.37718,7.52437,1.71694,400.11,60.3519,12.6723,22.4853,2.02778,25.0123,32.8554,5.67469,8.21461,2.08818,320.608,36.5466,11.5106,58.1825,3.56172,24.6133,27.5339,5.83973,12.1437,2.9632,264.471,29.8688,10.3297,19.0814,1.60355,20.8339,19.8605,4.34376,5.8504,1.83806,2702.16,99.0775,388.953,202.829,12.0314,120.884,85.5971,38.8726,48.3263,20.0276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,4102,fell,11.26,3,66.1565,17.2712,0.9045,2.67077,316.747,46.5268,9.46939,17.1201,1.90238,22.0718,25.1929,5.33273,7.39536,1.37357,494.508,56.8927,14.4068,30.5948,1.75556,28.1316,34.285,5.75429,9.76203,1.9393,121.265,14.7863,7.45394,14.1238,3.70871,5.19029,7.98708,1.80363,6.16869,2.62457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,4103,fell,27.28,6,54.2863,27.1644,1.3256,3.42729,325.743,38.9936,10.2026,27.0285,2.35201,24.5877,29.2644,5.3996,9.58064,1.68963,328.468,49.9049,13,30.2009,2.41378,22.1815,28.4896,5.54992,9.1529,1.87601,380.987,44.8747,18.7045,124.595,9.63616,23.7868,34.5558,5.73018,18.9059,7.37192,403.803,50.1128,11.665,17.0289,1.32821,23.7518,25.0501,4.99642,8.3145,1.43665,524.271,57.3822,29.3016,21.9338,1.23302,34.8273,32.5018,9.0167,11.8868,2.02756,694.261,111.057,57.2978,88.6098,3.03464,48.413,55.057,14.4094,22.8082,4.37561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,4104,fell,36.58,8,52.3158,9.18036,0.634712,0.765113,364.472,47.7683,15.4529,46.7235,2.38885,27.7703,35.8288,6.96687,13.2888,2.23768,351.286,53.4488,13.9098,29.5044,1.65971,22.064,32.3416,5.36791,11.6,1.86418,370.11,41.7999,9.04136,31.7011,1.93959,21.9669,25.1964,5.16355,11.1691,2.26512,302.397,34.4126,6.68692,17.6044,2.06926,18.3722,19.4377,4.32567,7.95695,1.63092,431.832,51.0473,14.125,22.5378,1.77598,24.4451,36.4939,5.96387,8.90025,2.35185,262.453,23.7358,7.83646,24.5938,1.21005,23.851,25.5895,5.34833,8.28131,2.01338,529.14,77.9604,16.729,26.0905,2.16765,32.5163,49.565,8.43938,11.3253,2.08436,3697.34,164.169,247.254,160.158,9.44061,139.598,116.058,36.1388,56.6095,13.5486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,4105,fell,37.58,8,57.1881,3.38362,2.86503,4.05797,323.689,34.8273,8.15648,12.8351,1.98399,19.234,26.1822,4.34054,7.79024,1.46279,382.16,44.7693,8.86989,18.4485,2.15653,20.077,24.8673,4.80488,7.73037,1.69375,320.998,35.8901,11.0498,15.3936,2.05399,20.0694,26.6693,4.65391,8.60991,1.939,343.841,37.1889,11.5214,19.7514,1.68247,24.1845,29.3193,4.83763,8.7355,1.48787,399.576,66.4173,21.5194,67.6346,2.03921,25.3205,40.1276,6.25101,13.0071,2.08999,340.566,38.7762,14.4756,37.2862,1.90434,25.561,30.0311,5.36441,12.7655,2.59131,385.101,44.6303,15.1707,23.7408,1.59203,26.482,33.2402,5.9492,11.4836,2.21088,853.051,119.598,61.7976,135.969,4.77092,57.1045,67.0008,17.4822,28.9996,5.74688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
