policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
gr00t_wbc_h066_p012,2048,complete,60,12,24.1776,6.79356,0.357893,0.390672,288.989,20.6569,10.6676,37.5789,9.68557,26.7858,12.7993,5.65081,31.9877,44.1618,330.104,22.6974,10.1474,32.4976,9.58607,27.369,12.9008,4.95378,32.6071,44.9292,311.049,28.0621,14.3189,40.2425,8.91728,35.3394,14.5791,8.49192,33.2307,42.4969,133.02,3.73322,16.2515,53.1972,10.3785,23.012,6.84704,7.25912,34.8349,41.885,405.116,43.584,28.7297,57.6891,9.5146,44.9934,18.8458,11.2934,36.1934,42.3218,438.654,43.9338,21.4611,99.0281,29.0014,48.9766,19.2873,12.3744,41.179,44.8686,420.388,37.3686,25.1138,99.0769,12.452,46.1293,17.8608,10.6671,43.0579,44.2102,309.229,18.178,13.2456,35.2621,10.0653,35.9771,13.0673,8.13111,37.7382,41.9177,251.539,22.7112,11.8971,39.2372,8.24689,35.0663,11.4554,9.26245,38.7373,38.9861,185.85,12.1632,8.99043,36.545,8.65576,23.6124,8.78281,6.3812,34.9822,43.7369,421.082,45.0373,12.9968,40.0394,10.6328,37.1176,16.7325,8.01609,36.4412,40.8561,844.363,87.3613,44.0874,188.314,13.4836,65.7533,34.7776,13.7354,54.032,45.783
gr00t_wbc_h066_p012,2049,complete,60,12,29.7533,5.71447,0.0517067,0.0335928,364.456,55.0865,11.6494,29.1116,8.1293,32.4452,14.9596,6.48516,36.0565,44.4549,375.928,47.2374,12.4998,30.2112,8.6841,29.6864,15.6466,5.55354,37.9551,43.2861,241.361,13.8308,15.2888,32.1752,8.64449,33.7497,11.8386,8.85036,36.2789,42.1227,318.036,22.0488,13.0793,37.4089,7.83453,43.6314,16.5005,11.2118,35.7518,42.5422,455.121,43.1106,25.1325,40.4551,9.13976,45.3438,19.2649,11.7178,36.406,43.912,544.45,83.1734,19.8355,28.1641,10.6407,56.4104,24.5273,14.3691,32.9979,42.496,412.227,21.2547,14.9328,92.2822,10.1973,43.4833,19.4083,10.1493,45.0589,41.0877,233.405,26.8897,7.888,21.7266,8.65876,25.401,13.4792,6.96595,27.4078,41.5277,260.992,16.8543,10.1508,24.109,8.26408,35.2912,12.8285,9.17837,26.9436,39.8577,777.615,64.726,27.2043,31.9202,9.39452,72.669,28.3199,15.2601,36.0613,43.452,542.532,62.141,20.2571,148.185,11.2765,49.5391,22.2169,11.601,54.5301,44.4372,614.472,56.9195,18.4888,62.6121,10.0821,53.0317,21.1515,11.4567,40.1721,41.663
gr00t_wbc_h066_p012,2050,complete,60,12,30.7632,10.5179,0.0451609,0.105552,538.975,70.8669,15.2117,30.0081,9.08516,43.2371,22.3563,7.98446,34.0212,41.1982,308.764,28.5241,16.2093,40.8044,9.97844,24.3003,12.1501,5.00035,34.7688,41.4472,230.314,19.2859,14.8816,94.065,11.541,33.0218,12.9328,8.55062,37.8875,42.8288,418.698,43.1975,17.5395,41.8754,8.42504,49.1116,21.7368,12.2631,35.3219,39.617,298.719,32.572,15.508,33.1196,9.4839,35.4617,13.7651,9.0134,34.003,40.0692,650.056,151.767,22.5051,76.8989,8.92529,60.8013,34.5368,13.0941,44.0187,39.7584,260.795,21.3584,18.9259,50.1131,9.41024,29.8022,14.099,7.47965,37.0983,40.8937,169.241,13.6813,12.6541,34.6722,9.05389,18.8675,10.4946,5.17643,33.1683,38.7851,187.668,8.16113,14.7347,44.9971,9.17931,26.1926,10.7621,6.86652,35.7821,41.7908,331.911,34.5455,22.6773,120.593,11.506,37.4543,15.8845,9.68766,41.8354,40.9325,375.804,58.9573,18.7513,42.4025,10.5112,32.8607,21.5687,8.40151,33.4938,40.6007,460.416,54.8267,21.3428,71.1119,9.80656,45.2524,22.3006,10.3517,40.0453,41.8061
gr00t_wbc_h066_p012,2051,complete,60,12,125.751,5.9682,0.206217,0.160617,230.182,35.3878,9.09379,35.8323,10.6179,18.7014,12.2068,4.12657,34.9867,43.4636,983.89,188.782,44.3114,125.275,10.6912,71.6728,41.2982,12.2487,48.8506,45.4679,329.028,34.8708,13.9836,30.0874,8.4963,43.2203,17.4672,9.83143,35.2106,41.947,502.813,53.5501,21.4529,86.2953,10.4442,61.9086,25.4916,15.2155,41.724,42.5715,467.393,57.1212,25.4652,154.934,10.8926,47.171,21.8598,12.0219,43.7655,44.634,479.372,59.9644,15.6476,42.6435,9.7308,49.8492,20.0866,11.3553,39.9173,42.1523,205.538,11.0425,11.2997,38.538,9.33119,28.4044,9.03369,7.804,37.3328,42.9392,421.257,63.9194,15.8583,49.8024,9.84689,41.2632,17.9587,9.46192,39.4678,42.9376,514.114,73.2434,15.3748,38.7604,9.28656,50.01,22.6469,11.2716,38.4213,39.4173,724.999,108.639,15.937,36.8674,9.3736,62.8852,30.0512,13.4883,41.5802,40.0922,451.271,48.6829,20.597,50.2778,9.81757,42.3571,16.4482,8.63563,33.3713,41.2917,342.508,18.7633,15.4392,40.4148,10.0973,36.8546,13.5074,8.67883,35.446,41.9687
gr00t_wbc_h066_p012,2052,complete,60,12,74.1935,12.7033,0.101438,0.0700511,281.439,24.1611,11.5527,31.4402,9.34837,30.1191,13.9332,6.31841,29.9426,41.3438,416.91,39.1019,12.9092,29.6995,9.93625,36.3508,15.2945,6.9148,30.8238,44.2044,322.57,38.5205,13.2125,33.059,8.66451,44.4838,20.01,10.4653,31.6514,42.4295,254.033,24.7641,10.4809,32.5797,9.42975,36.3126,13.1345,9.71664,31.8514,45.0391,573.343,71.7456,23.0479,76.7582,9.01617,64.196,30.1066,15.1866,45.664,41.404,289.537,14.9237,13.091,40.4263,10.3727,35.7107,12.9371,9.55135,37.4248,44.1415,1361.52,180.63,71.3191,156.119,20.0737,108.4,53.6309,22.2618,55.0958,46.3471,1397.72,410.017,49.4004,106.878,9.58611,89.7343,71.6139,17.5254,52.9331,43.8212,484.51,83.4561,53.6398,121.99,13.6863,52.394,23.9459,13.1416,43.3028,44.5425,2016.74,164.897,52.531,67.1912,10.5052,126.089,49.3389,25.6195,53.5721,42.7551,878.479,137.2,18.7385,45.2158,9.68592,64.0705,38.2156,12.4252,41.7494,42.7608,477.548,66.3602,43.2188,107.526,10.4923,45.0378,21.1953,10.3406,43.9278,44.4248
gr00t_wbc_h066_p012,2053,complete,60,12,42.6526,7.39387,0.279914,0.291202,246.041,18.3288,7.93815,28.7172,10.484,20.4057,11.395,4.41014,29.1983,40.7425,356.795,14.9415,13.1902,34.3025,10.2257,30.9379,11.7648,5.65049,31.3188,43.1782,248.531,16.2039,17.8809,41.1947,8.15743,36.8878,13.5216,9.42637,35.2322,43.1864,534.301,36.3604,17.1981,32.9173,8.16691,56.7779,18.6015,13.3497,37.7019,40.0076,317.485,33.9086,24.3288,71.0991,8.2755,41.9365,18.5534,11.5105,35.2652,38.5307,530.643,78.5643,28.4907,47.9827,10.2606,52.5626,27.2105,12.7146,37.7059,41.3444,517.674,68.5377,15.3444,39.0243,9.83332,53.1686,28.6883,12.2984,36.1044,42.7808,629.107,70.0665,33.3196,80.3437,11.4871,51.1541,26.224,11.8724,44.4123,44.149,498.476,56.298,23.8952,47.9362,9.76087,49.5635,25.9347,13.3593,43.6633,42.3294,258.821,24.5604,8.86298,32.6812,10.7466,30.2522,13.685,7.72901,34.1544,41.7722,353.5,51.9517,17.73,40.2212,9.41322,35.1233,22.1529,8.31955,37.3025,42.4753,323.474,28.2187,20.0235,36.2823,10.0145,31.9592,13.23,7.47547,31.4383,42.7735
gr00t_wbc_h066_p012,2054,fell,45.76,10,32.3186,20.7187,2.09737,1.77056,212.348,38.9249,6.81106,23.972,9.8059,18.1849,12.9519,4.40165,36.0782,43.2356,713.882,81.2398,19.0919,33.9373,10.0371,47.4963,24.5599,9.15861,39.0008,42.5244,272.14,21.684,16.5952,73.2968,9.47821,39.3726,13.1328,10.1378,39.6874,42.7366,228.873,14.27,15.4847,40.0611,8.36354,37.8448,13.2659,10.2276,38.0228,41.1852,255.721,30.8011,18.3281,57.0048,9.49169,33.4955,15.1291,9.35389,37.5369,44.5717,576.423,81.2729,36.2113,84.0195,9.975,54.1037,27.176,13.2162,42.3105,43.0144,527.714,63.5359,16.4478,33.8988,8.83702,52.5494,26.2001,11.6529,37.8812,41.2775,428.488,62.3904,21.9736,42.8079,9.02678,45.5186,22.7735,10.5775,37.0445,41.3123,297.42,37.1105,13.4775,42.6671,9.51756,33.5218,14.8317,8.76978,34.809,38.7688,2141.07,211.7,156.616,41.6887,2.30775,85.7952,32.1003,16.8846,18.3476,7.90566,,,,,,,,,,,,,,,,,,,,
gr00t_wbc_h066_p012,2055,fell,51,11,102.063,12.1348,1.46606,2.58051,228.814,38.884,11.777,33.793,10.0316,20.9991,13.6034,5.21936,29.6363,43.1066,195.3,6.43231,8.89713,34.507,9.51476,19.6267,9.27849,4.07183,30.5653,42.8913,204.647,17.9402,9.83832,34.603,8.84624,32.1624,12.8524,7.9106,32.1943,42.4889,530.953,88.6274,17.2685,37.905,9.1682,62.4967,29.886,14.0862,38.3834,42.9917,347.74,23.3252,9.35388,29.7269,8.10213,37.2297,15.3639,8.84422,34.6703,38.3953,619.544,73.0309,18.5312,38.401,10.4129,58.5436,26.2616,13.6903,38.1025,44.9722,214.289,30.3123,11.316,39.5502,8.8627,24.5586,11.2126,6.92315,40.7965,42.0971,660.189,95.7165,15.9998,35.9451,8.48009,57.2325,27.2105,12.6639,39.2903,44.6069,395.711,47.8411,15.0972,32.8531,7.98339,43.4324,23.1962,10.3084,33.6628,42.2543,582.64,84.8255,20.7772,36.3121,9.68455,57.4243,27.5738,14.3147,37.7558,43.2032,1837.23,173.632,107.147,23.5476,6.01369,77.7642,35.9849,14.1795,18.4017,10.7307,,,,,,,,,,
gr00t_wbc_h066_p012,2056,complete,60,12,39.4406,8.51508,0.111175,0.185648,257.219,25.9144,9.58364,30.1567,11.9017,22.4163,15.9428,4.8278,32.1246,42.1577,429.549,55.047,12.6793,40.921,10.0591,35.4306,17.5404,7.21058,35.6191,43.0515,192.998,17.5534,11.6553,64.3712,8.54129,26.8773,11.1119,7.47948,40.9115,42.0643,512.122,59.801,30.3676,37.9357,8.62216,58.4776,22.0495,13.4188,36.8894,40.8163,220.596,11.0055,11.4943,40.2848,9.73566,32.5969,11.2339,8.02502,37.5167,43.0704,204.752,11.3559,9.29193,35.4546,9.6787,29.6429,12.4761,7.80698,35.5491,41.1193,986.318,100.039,28.9575,29.5708,10.1746,83.6019,31.4173,17.6891,40.2894,42.0299,563.289,69.8048,32.4726,31.4303,9.96815,46.2612,22.0469,10.482,36.6622,43.0475,327.427,43.9894,12.5345,35.0829,9.92991,39.4919,17.634,10.2074,34.9406,42.6992,484.396,57.5942,14.2444,24.9215,10.2308,49.4927,18.8084,11.4394,35.4306,43.0871,468.591,25.5853,23.7731,43.5181,9.24048,36.9613,15.1354,8.54385,36.0322,41.5684,525.257,92.9182,22.0656,34.2442,9.77231,45.3203,25.5928,10.8456,38.2331,41.5586
gr00t_wbc_h066_p012,2057,fell,50.96,11,55.3895,12.5513,1.48296,2.87425,272.892,19.9793,11.6948,62.2163,10.4423,28.6058,14.1712,5.97618,35.7877,41.6673,226.212,18.0243,14.0641,55.0959,9.84073,22.333,12.499,4.15779,35.6739,44.0558,314.172,42.4128,17.3843,39.8462,7.98068,40.1161,17.0683,10.205,37.9618,40.8999,166.189,13.6373,11.2595,38.4082,8.40555,27.7637,10.9524,7.84434,38.2584,42.6834,408.254,32.8978,17.4904,60.7452,9.9981,42.6898,16.0271,10.9908,39.7146,42.6492,223.956,31.8596,8.02567,32.7805,9.1636,26.5123,13.6628,7.03536,33.0674,40.0801,122.99,6.20378,8.86449,28.9846,9.4316,18.204,7.44813,5.1166,33.1752,40.5122,659.438,62.784,19.979,50.8886,9.83586,50.3794,20.8153,11.7447,42.3084,42.3247,172.047,9.09395,12.1708,37.0348,10.7872,24.3944,7.65671,7.65752,37.3167,42.1159,419.761,49.7138,21.7757,107.603,11.0239,43.8669,20.5253,10.1789,42.9329,42.005,1566.65,104.802,44.6902,37.7545,2.99283,75.7109,26.4471,12.1979,21.5984,8.3425,,,,,,,,,,
