policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
holosoma,4096,fell,12.06,3,72.55,21.5522,2.04419,2.21247,225.732,31.6888,13.9452,14.7612,1.9153,13.6436,8.86453,3.39063,7.35579,2.73009,610.154,104.454,58.7911,34.8848,1.4836,24.4109,21.8181,5.3671,11.489,3.37148,1248.31,190.002,160.556,98.1112,59.0871,51.024,31.4378,13.0482,20.9893,7.2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holosoma,4097,fell,5.42,2,104.949,71.6767,2.80663,3.29443,301.105,52.049,18.6367,17.9882,1.08065,19.8447,11.6548,4.15628,6.79875,1.1605,153.456,26.7955,16.847,36.8165,0.807084,8.15727,6.18114,1.47711,5.21176,1.15503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holosoma,4098,fell,7.24,2,89.9821,58.2437,2.04254,2.47248,355.171,48.2735,23.359,25.85,1.20077,21.6108,14.5098,4.73681,7.96774,1.22391,513.663,75.1811,75.1739,35.9305,0.992531,22.859,18.4243,4.65363,6.12533,1.98854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holosoma,4099,fell,5.12,2,77.4574,127.968,2.71637,2.59754,1085.1,101.85,89.5288,93.8781,30.138,45.75,28.2661,9.55658,18.3058,8.60587,73.7742,1.38071,8.31795,20.0056,2.07223,4.03415,1.53038,1.43164,4.93452,1.68201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holosoma,4100,fell,4.12,1,109.381,7.20051,0.666176,2.15715,897.021,139.922,69.5376,39.1096,0.957996,37.3769,27.4914,8.1067,11.6021,2.3249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holosoma,4101,fell,8.3,2,249.54,40.6593,2.41875,2.70676,1290.27,174.39,62.6674,34.2188,1.41358,57.2168,43.07,11.114,20.1554,4.58166,1055.54,159.804,62.6768,28.4344,1.9072,43.0485,33.4529,8.5147,16.1176,4.20505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holosoma,4102,fell,6.06,2,53.2376,10.4124,1.44036,1.64042,332.18,45.6218,20.2961,19.3502,1.2501,18.8276,11.8226,4.02492,5.96283,2.11686,485.765,54.4312,71.0358,39.877,11.632,21.8674,15.374,5.92137,12.7841,6.45096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holosoma,4103,fell,6.94,2,193.35,8.96259,2.36775,2.61194,523.188,105.305,29.0352,41.4086,1.3636,32.3703,27.6197,6.74688,10.7322,1.45741,361.97,63.4151,51.1213,59.0456,11.0218,19.2995,12.8977,5.15752,10.0974,6.52027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holosoma,4104,fell,6.28,2,73.2992,63.1295,1.01362,1.11564,388.308,61.0733,24.3343,49.0418,1.7391,23.8269,15.212,4.83876,9.15224,1.54512,441.6,83.6832,43.3469,20.6638,0.550403,17.1435,16.9949,3.45202,5.82182,0.986051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holosoma,4105,fell,6.84,2,88.8028,16.901,1.05441,2.23416,359.636,43.1897,16.7467,15.3048,1.2194,20.5143,16.5671,4.09932,8.14124,1.53699,653.205,39.9725,29.4249,10.6404,4.78115,25.1217,14.0549,5.72209,7.58995,6.52078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
