policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
wbc_agile,2048,fell,55.98,12,20.774,17.9199,3.20028,4.2515,269.531,51.5107,18.4582,32.2564,8.08674,22.0789,34.3482,4.49455,27.3223,26.4023,332.65,78.3429,22.2218,33.8789,7.75485,22.9677,34.5774,4.97369,26.8035,26.6676,263.53,61.6915,28.6437,55.1489,8.28764,21.3806,42.4936,4.52243,25.8804,26.8328,145.301,24.9874,16.3631,54.0603,9.2963,8.5411,13.3779,2.25008,26.6818,25.9862,265.85,43.2233,69.6238,63.8447,8.73197,17.6502,28.1751,4.31842,27.6195,26.3695,371.429,65.8397,27.5685,55.105,16.0278,26.4648,42.0333,5.70973,30.1661,29.5025,231.196,51.8527,26.8985,111.705,10.3657,16.5476,27.3416,4.21987,34.2582,25.3702,196.125,35.8466,17.6461,36.5819,8.38961,15.1791,21.9611,3.0512,25.6563,25.0128,207.792,29.1417,17.4786,41.292,7.11236,16.8271,22.3812,3.77165,26.9482,25.7272,212.776,37.6138,11.3808,40.0841,7.15034,12.9649,17.5434,2.78885,26.5394,26.5936,301.135,56.4436,24.953,48.0057,8.21867,23.8323,34.8174,4.79551,27.3441,26.1594,789.81,250.742,61.4961,227.46,6.51559,40.3673,87.6169,6.58897,29.8607,7.97459
wbc_agile,2049,complete,60,12,6.26929,2.84821,0.0447123,0.0790539,193.629,39.1846,12.7225,24.4351,6.58665,18.6272,23.6116,3.23854,26.1939,25.8247,202.232,33.7544,10.462,27.5386,7.46639,10.3526,15.2809,2.4012,25.7348,26.0326,284.84,58.2013,29.2927,32.538,8.99238,18.1048,31.4311,4.59155,29.2688,26.5931,346.507,72.7941,27.1753,46.2951,11.0737,23.362,43.0969,5.01911,25.3445,25.6838,650.897,128.896,58.3312,39.4059,8.57236,36.1777,65.4856,8.51745,28.4187,24.8166,418.831,145.433,41.4901,38.6124,8.46185,30.8415,54.5894,7.50768,21.9371,24.9707,256.224,60.976,20.2982,25.8102,8.16055,15.8422,29.7063,3.60297,13.3582,24.6998,843.87,238.099,66.5432,35.811,7.82893,46.8145,89.6351,10.8511,19.4453,24.3138,194.854,51.822,17.6343,20.5522,7.26958,15.7235,25.5644,3.9091,18.5583,23.195,555.51,107.92,43.3051,28.4482,8.69221,36.9734,57.4366,7.58277,20.2472,24.4324,287.676,43.8427,28.6841,32.0208,9.17292,19.911,32.5318,5.34186,21.1419,30.3748,720.275,128.638,41.3158,88.4831,9.54144,43.5703,78.8053,10.056,26.9343,27.6871
wbc_agile,2050,complete,60,12,7.66799,4.48521,0.0388108,0.045478,247.248,42.9077,17.9335,27.3611,7.11502,23.562,28.7421,4.22177,25.761,23.8523,369.479,70.885,32.2558,45.1765,8.00922,21.476,35.3771,5.06386,27.017,26.2037,141.07,27.0712,15.4957,57.041,20.8016,14.8402,17.5846,3.45938,26.1942,25.6632,664.951,130.119,50.0622,56.9408,9.16928,43.8684,81.4401,8.6511,28.4946,26.7717,271.502,42.1033,27.9735,35.9565,7.94107,20.5548,28.0776,4.56389,26.5979,26.187,761.343,371.467,66.7306,90.9309,8.96448,52.6056,99.7557,11.5974,36.9918,29.7213,162.49,29.328,20.0622,41.8232,9.58892,16.2624,22.9753,3.88539,27.4312,27.7018,93.1753,16.8157,11.2478,31.4203,9.28509,8.96498,11.3192,2.19807,23.0665,23.1016,183.667,33.91,23.1936,54.0349,7.93226,16.5412,24.5063,3.84162,25.3641,25.5179,250.582,38.5851,31.8778,141.503,10.303,21.0416,30.8438,5.08811,29.7434,25.2125,383.176,147.188,48.4095,69.4495,9.16492,32.4335,53.5123,7.36678,29.0949,26.0858,584.005,297.775,65.8677,56.4143,7.81161,44.348,85.9313,11.2305,35.3479,27.8795
wbc_agile,2051,fell,23.6,5,126.438,31.351,2.29754,2.03716,192.846,33.368,12.8072,33.3845,8.09791,15.1112,22.9992,2.83549,25.015,24.8381,362.392,87.797,45.4393,133.754,11.2332,26.5325,50.7168,6.27045,32.6937,27.3175,238.764,38.8216,23.8928,31.0179,8.00193,17.3359,27.2075,3.73516,25.3063,23.7658,225.746,41.0728,27.5138,80.5765,10.7943,19.675,24.8732,4.64123,31.3069,27.3664,1539.8,1027.85,130.38,189.962,61.383,95.1342,237.797,21.5621,52.4282,34.8755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,2052,fell,32.68,7,62.4849,3.79268,3.3094,3.37055,207.091,32.8453,17.4019,29.4433,7.30406,20.9212,26.1772,3.55651,23.0522,23.8199,272.437,52.0482,23.3287,31.437,7.91397,18.874,29.6483,4.24862,24.1658,24.6669,303.083,43.4072,20.2655,40.8614,7.76866,19.4883,31.3601,3.92618,25.1139,24.8845,196.314,32.1304,14.0216,34.6172,8.25411,14.2683,25.8952,3.11732,24.6663,26.2116,377.045,62.6481,38.2872,91.3046,8.0084,25.4272,37.0562,5.82912,34.6088,25.8766,294.627,84.107,22.3767,53.3224,8.50349,23.0762,37.4176,4.96837,27.5587,25.7703,1099.75,554.48,91.3573,202.417,167.882,65.1659,142.644,12.2595,37.1458,32.8591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,2053,complete,60,12,27.4175,4.9135,0.0164943,0.042631,119.402,19.6016,8.87282,24.505,7.96889,13.9124,20.2621,2.26536,22.6947,24.8862,322.695,35.9083,18.2034,34.0143,7.75469,17.3225,29.4375,3.35226,24.9833,25.1068,234.697,47.8567,16.3601,46.7472,7.45535,17.7268,28.3035,3.5092,28.3377,24.7494,869.654,186.846,134.47,57.6956,6.95742,44.1021,69.7292,8.09892,32.1915,24.0659,363.096,124.807,36.6945,81.6774,7.12046,23.9912,36.12,5.86593,30.4898,23.8118,286.206,62.1144,37.7582,55.2124,8.44278,22.7464,32.5626,5.15612,28.527,24.227,1018.99,538.441,107.153,84.8494,8.8255,59.9849,135.161,11.3392,34.917,23.7852,649.999,109.418,45.9828,101.832,9.56505,35.0834,67.7007,7.76868,34.9147,24.888,360.763,61.2122,35.5343,61.864,8.22456,22.9736,41.0089,4.96535,32.4386,25.8496,279.866,48.4639,15.6989,39.8627,8.57512,18.4647,27.4331,4.03723,26.7522,25.4912,364.502,65.1163,31.9023,50.5951,7.69653,23.6437,37.7902,5.59734,29.3807,25.3779,323.927,43.4437,31.7586,55.4095,9.92067,25.4186,37.7617,5.85322,27.4173,25.115
wbc_agile,2054,fell,45.66,10,12.0578,15.9754,3.64878,2.06305,307.308,37.8211,17.2398,23.926,8.20436,20.5023,27.7189,3.73617,26.3531,24.946,285.167,44.5588,24.8027,40.8544,8.03135,21.1334,32.3281,4.69115,25.2978,25.7577,267.776,37.3187,20.2511,52.7056,8.20551,14.9884,23.339,3.54882,26.7595,26.9821,245.966,52.404,26.408,44.1561,7.15051,18.0877,30.0399,4.31242,27.2825,24.9014,91.3005,14.5239,10.3704,50.587,7.55397,9.68634,10.1705,2.28477,24.3818,25.3828,462.968,175.129,46.5176,124.834,9.69026,32.903,69.8707,6.52768,30.1563,25.2038,472.342,76.6234,42.0465,49.0664,7.5896,32.6211,50.9864,6.80711,29.4677,25.2939,485.764,155.562,125.068,58.8291,12.1548,30.2452,50.9383,7.97668,32.2543,27.7186,152.988,26.256,17.257,30.4392,7.66154,16.2978,17.32,3.98419,24.7074,25.8177,812.125,144.318,95.1822,46.9076,3.60948,23.6651,36.0195,6.14975,13.2454,7.91928,,,,,,,,,,,,,,,,,,,,
wbc_agile,2055,fell,55.68,12,14.7774,17.1419,2.76208,4.15817,132.695,24.1776,11.184,32.8123,7.85067,13.3937,16.2626,2.53303,23.7345,24.7082,179.277,38.4579,18.2937,28.7935,7.6218,13.843,26.816,3.71907,20.367,23.9323,205.927,36.4947,16.7494,20.9989,8.04966,15.9932,21.6836,3.54861,13.8253,23.8991,162.045,32.6884,16.7747,20.7764,7.71489,11.5143,17.2648,3.02466,13.6036,24.7986,93.8721,16.109,8.23954,22.4459,6.73401,8.24493,8.15733,2.00272,10.7139,24.0482,283.612,57.2066,26.133,30.8051,8.01283,22.2666,37.333,5.27686,19.6373,26.7422,279.311,41.7282,23.6878,47.0079,7.29734,15.697,22.8158,4.33935,23.9726,24.5391,297.753,61.8014,29.6159,28.797,7.40456,24.2263,43.3562,5.01942,18.9773,24.9084,445.534,143.32,28.1922,27.426,6.85896,28.265,47.4702,6.47733,21.1463,25.334,771.448,194.963,64.8092,43.2739,8.49997,49.1587,95.7728,11.3084,24.5119,25.9237,442.446,163.093,52.0822,37.5851,8.03181,29.1323,56.8262,7.04351,18.2185,25.7675,84.8035,15.7908,13.2509,6.88959,1.31856,6.27139,9.17316,1.82511,5.90669,4.35712
wbc_agile,2056,fell,16.82,4,70.8362,42.5704,4.35179,4.90841,186.912,33.3203,11.3763,27.7373,9.0879,16.8257,22.7841,3.05912,24.5654,24.6265,205.27,42.436,19.3008,35.4608,12.1256,20.0923,31.522,4.73996,25.5171,27.0539,252.69,62.1332,27.3254,32.91,11.8365,18.0166,30.3688,4.54389,23.3898,26.9765,1307.01,669.989,50.9055,30.078,3.04858,59.3099,141.672,11.1833,20.7396,11.3888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,2057,fell,55.82,12,19.8325,14.2441,1.83095,3.49143,210.159,38.3528,20.0897,42.1792,8.07969,22.0937,29.3072,4.23719,29.3295,25.4745,123.588,16.5449,13.5637,57.4844,8.03493,7.69083,10.3515,1.88576,26.0338,26.2943,381.458,110.594,28.7853,44.4077,7.08879,25.3353,42.4404,5.77391,27.1223,23.7486,165.554,22.8148,9.8316,42.5356,7.36459,8.33583,11.1679,2.14277,25.8654,24.5011,223.065,39.427,15.5177,64.3003,8.16929,13.5591,25.6565,2.47284,28.08,26.8673,257.167,38.8612,13.265,34.963,7.42141,13.4814,20.962,3.09594,23.9326,26.1598,130.105,19.7437,12.372,24.249,8.50874,10.5653,12.107,2.6745,24.5703,27.4943,812.768,120.47,44.5369,46.0328,8.62897,41.0559,75.0937,9.33814,37.2899,28.1778,388.52,64.0732,30.3967,28.3506,10.407,23.3402,41.5535,5.96518,25.0396,26.9613,604.828,77.834,39.1346,96.5242,10.1485,37.1372,55.4548,8.02363,39.8906,28.308,420.859,42.8412,29.4403,34.6288,7.08434,23.0678,31.8103,5.80155,29.9654,25.9363,1127.25,348.337,59.6555,24.5587,1.7437,34.4837,69.8984,6.90517,15.4909,5.46097
