policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
bfm_zero,6144,fell,13.06,3,128.916,26.4907,3.07125,4.00889,409.129,70.2734,33.1968,36.6076,2.24491,23.0142,15.2956,5.53855,12.4668,3.73264,618.954,65.5138,33.5122,36.6987,1.46729,24.6888,15.5772,5.81864,12.124,3.47297,864.717,216.952,112.396,86.1453,2.58291,43.4719,28.0719,11.4883,25.4743,4.37788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfm_zero,6145,fell,8.8,2,313.091,71.6586,2.72129,3.78916,1415.09,140.702,75.2523,42.581,2.47453,74.9537,43.9981,18.0223,28.1501,7.41368,839.255,116.183,49.2819,16.8851,4.47917,61.3245,37.049,13.527,14.4183,5.42669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfm_zero,6146,fell,13.94,3,836.355,43.4797,3.58136,4.49304,505.173,66.4974,30.2951,31.3704,3.76629,24.2677,15.5729,6.26124,17.2884,6.29055,2029.95,490.874,159.897,86.7513,2.34764,93.5764,65.723,20.3328,38.8646,10.084,1913.52,469.766,164.84,67.193,34.0173,82.2515,62.8034,22.2089,37.3707,12.5518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfm_zero,6147,fell,15.4,4,148.943,43.9895,3.84293,3.85367,527.69,71.618,31.2092,22.3963,1.37899,26.7335,16.7718,6.82724,14.0564,4.62449,723.032,80.622,35.1771,30.0318,3.47688,32.7672,20.8932,7.3186,15.195,10.4419,265.106,68.0921,37.2022,63.2585,1.63611,9.79368,6.45289,2.92034,8.5139,3.12424,158.053,33.0353,40.3713,32.8757,14.2838,10.208,7.61424,2.70765,5.91914,2.64115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfm_zero,6148,fell,53.72,11,537.082,27.908,3.94704,4.60472,1025.77,106.446,70.9952,51.7695,3.7918,45.9493,28.8213,11.1641,21.688,8.60405,492.021,49.9467,40.242,66.6438,1.64499,25.6715,17.5834,5.42185,12.6387,3.46922,485.417,74.5195,37.1422,47.2356,1.0499,17.733,13.5175,4.7525,8.22813,2.16294,1194,129.77,88.6767,82.9134,1.29234,63.4749,40.9421,15.5594,25.8627,3.37096,1266.7,76.1031,74.4733,95.6789,1.79613,57.4878,32.4801,14.537,26.2577,4.60396,1575.71,148.854,84.1453,110.379,1.94532,68.6034,36.3003,16.1822,28.3013,4.54929,964.537,82.0847,62.8306,86.3167,1.18511,46.6565,29.329,11.026,18.6999,2.33838,1138.05,82.2883,59.4059,118.779,1.47792,48.8575,27.0027,11.9523,25.6327,2.73139,1166.37,95.3541,60.2834,71.7863,1.20854,48.9744,31.5511,10.231,20.7079,2.9427,1152.47,95.5356,102.932,142.542,3.80012,60.4021,36.1153,15.3343,32.0965,4.60286,871.278,261.25,80.3717,64.9227,1.30579,46.183,31.8626,10.7907,19.1548,2.65254,,,,,,,,,,
bfm_zero,6149,fell,4.8,1,597.422,152.218,1.43399,1.81311,1532.01,315.4,127.117,85.3394,97.0106,62.472,43.5964,17.2487,36.8144,19.3414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfm_zero,6150,fell,28.98,6,393.629,43.2419,2.59567,2.23212,104.3,27.9687,9.10713,12.3403,1.76367,9.77766,7.27762,2.29995,6.78031,1.72007,1348.72,122.421,93.9239,60.0335,2.25437,85.5736,46.6066,20.4938,30.3819,5.15255,1142.51,93.1217,78.7036,58.9113,3.59763,57.3247,34.4165,13.7363,29.9392,9.70377,1144.73,78.085,62.5691,44.9051,1.75914,50.143,25.0331,12.7069,23.7438,4.00546,1119.78,100.073,58.9978,58.5383,2.23093,55.6914,33.6492,12.7672,23.8644,4.14888,1263.52,241.903,121.254,74.0378,27.4589,64.713,39.9928,15.9423,27.0996,7.70759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfm_zero,6151,fell,7.66,2,941.668,32.8289,4.10613,4.3915,1193.65,129.818,69.054,37.8205,4.58382,67.7802,40.411,17.5519,34.3792,17.3825,1654.15,220.272,94.3146,45.7573,1.68967,65.555,45.277,16.0953,30.5819,6.73262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfm_zero,6152,fell,4.2,1,497.94,63.3812,3.59772,4.68767,1249.75,277.769,107.057,59.2047,2.45836,53.4272,34.8751,12.4269,20.5062,3.35351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfm_zero,6153,fell,6.86,2,225.864,79.5885,3.06999,4.87426,161.808,26.6261,9.10369,14.8573,1.2992,14.3191,10.6862,3.45621,6.24887,1.78938,703.516,194.343,69.3619,33.9343,63.3879,32.9882,20.789,8.76326,16.5458,10.0897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
