policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
clobot_with_arms,6144,fell,40.62,9,34.0376,20.5166,1.60504,0.378182,278.683,39.6124,25.2641,15.7816,1.07424,25.6656,14.4597,6.07251,10.0429,3.43768,260.213,39.3432,6.8179,4.01494,0.142568,17.8125,13.663,4.02026,5.11527,1.14795,408.059,61.3248,25.7967,27.327,0.742638,33.5265,20.3053,7.32552,13.4854,3.02416,251.304,31.9388,9.26949,5.57934,0.146819,21.0749,15.4025,4.67375,6.1098,1.30613,520.977,92.6476,21.5085,15.4468,29.675,38.4826,22.7935,7.68726,12.8917,6.76207,265.808,31.1656,20.0966,8.04844,0.235321,21.1093,13.3834,5.29618,7.37254,1.66941,276.015,35.3924,10.2559,9.75294,0.698082,20.4019,13.8729,4.26672,7.93948,2.54856,456.79,69.444,44.8552,79.0825,2.40723,35.8602,23.9292,8.94457,20.2417,4.97577,810.128,38.854,49.8723,84.9458,8.07392,32.5218,12.7329,5.21679,20.436,8.15007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,6145,fell,25.82,6,36.2945,7.22805,2.54857,3.68675,268.796,35.1656,12.6986,6.04578,0.351718,23.6902,16.1872,5.64521,8.03939,2.00283,271.53,25.5165,5.82059,3.60918,0.153115,21.1974,11.3995,4.33902,5.6912,1.29827,129.604,15.98,2.96026,2.12303,0.0803033,10.3082,6.83644,2.36233,3.03122,0.745069,485.819,80.4924,28.343,13.5397,6.01476,35.9909,21.0327,7.42572,12.3956,5.59595,529.267,82.9354,21.4008,19.059,12.6952,39.3087,22.9874,8.14468,13.5012,6.93473,428.068,43.2221,72.1584,51.3238,6.38163,20.3526,12.1538,6.18158,14.4267,5.19472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,6146,fell,35.82,8,32.1046,2.27438,2.85638,3.38667,303.427,41.6696,19.4702,13.9125,43.9974,20.6661,15.5311,5.12738,10.2698,8.97287,305.097,38.2411,18.4315,14.8633,0.74968,23.5738,16.2693,4.92005,8.2738,2.72111,292.056,34.7021,7.59358,4.56585,0.185059,23.8972,13.3946,4.95907,6.24345,1.52006,207.504,23.6771,7.68338,4.16349,0.163307,17.7714,10.1474,4.03598,5.56354,1.2295,271.377,27.1897,14.7613,6.59193,0.211948,20.7143,12.7728,4.78476,7.09451,1.53207,255.035,23.349,15.2865,7.90288,3.45847,17.7104,11.0641,3.96908,8.56296,3.44297,573.699,74.5924,19.295,21.5775,0.639652,39.5061,22.9431,8.63956,11.708,3.21273,300.239,25.3756,48.2892,48.0234,39.8164,21.348,12.0948,5.04508,10.7872,8.38134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,6147,fell,11.24,3,34.7907,4.86865,2.83655,3.73932,220.592,22.5653,7.1617,3.81785,0.303611,19.2404,10.957,4.36457,6.18668,1.73125,250.008,42.0151,4.88266,3.61217,0.126346,19.2903,15.6428,3.89735,4.84352,1.17693,861.151,81.422,46.1548,45.819,7.18004,40.0011,24.9858,8.00529,13.0536,6.5869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,6148,fell,41.12,9,30.1284,8.95711,2.44334,2.37579,275.435,32.6827,10.2042,5.36031,0.32042,21.1021,13.1163,4.75505,6.80867,1.85353,566.942,96.7652,27.6206,30.336,1.16087,38.157,25.3306,8.02013,11.9257,4.00826,290.037,45.7318,12.2613,5.79809,0.159294,19.5376,16.2246,4.27228,5.98057,1.28864,246.552,28.3616,15.7987,6.23921,0.175958,20.9585,12.0453,4.76863,6.58887,1.36301,353.848,53.3072,14.2863,7.20814,0.271231,24.7438,17.556,5.26057,7.22193,1.77318,376.471,25.8444,19.8255,9.0494,0.259146,27.0277,15.0091,5.43808,7.38545,1.90084,292.381,40.9034,8.42908,4.71124,0.175378,18.1969,14.8762,4.15567,5.2094,1.24626,320.268,58.0319,24.7054,23.0405,3.63837,28.8793,15.7011,6.64307,12.5516,4.56213,554.894,61.4865,57.6511,22.4392,2.38233,22.2678,14.6877,6.6417,9.0151,3.28459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,6149,complete,60,12,19.1085,5.41569,0.074658,0.102702,176.619,31.9649,10.2819,10.3181,0.351676,15.377,11.7914,3.82283,6.114,1.64554,190.057,22.6323,6.25398,3.24317,0.13636,16.5241,11.7596,3.36625,4.37593,1.10015,217.413,23.2443,7.73645,3.23621,0.132878,15.5821,10.9843,3.47996,4.85918,1.06465,170.259,20.0866,4.27129,3.24583,0.109523,11.9171,7.63961,2.63354,3.46207,0.788548,243.845,26.7259,6.84115,3.69667,0.125413,15.0939,10.8298,3.85581,4.72241,1.02078,232.524,29.5113,9.97119,4.49519,0.16783,20.6264,12.3627,4.19641,6.04508,1.36152,449.444,41.2178,32.1528,10.4862,0.392235,29.9382,16.791,6.17367,8.63884,2.48998,414.875,42.6969,21.5859,10.6586,0.382967,25.1329,16.4976,4.97581,7.82611,2.49398,234.212,31.9801,11.2101,12.3542,0.484174,20.5372,12.0422,4.20711,8.65623,2.36926,498.001,61.1009,15.5776,8.09068,0.34835,28.7723,19.4381,6.05147,7.9019,2.39773,363.889,38.8643,18.3989,8.56421,0.247888,25.3162,13.7596,5.73558,8.33281,1.79648,388.677,47.3199,43.5424,12.7314,0.383659,25.5415,16.5724,6.11854,9.02713,2.67962
clobot_with_arms,6150,fell,30.72,7,15.8716,9.5893,2.28881,2.55372,229.883,26.0379,7.93904,4.7725,0.326966,22.2883,11.6992,5.20884,7.535,1.99676,284.284,32.0486,7.97245,6.35202,0.203411,16.7166,12.2555,3.81813,5.72718,1.48643,219.472,32.1171,12.1353,8.83177,1.41104,19.4124,11.2505,4.4564,8.65493,2.90122,113.44,13.692,4.71133,3.20532,0.0950755,8.19972,5.1035,1.78481,2.4192,0.658388,259.754,31.2156,12.9341,6.03802,0.222845,22.7769,16.2209,4.72288,6.05229,1.60682,276.621,31.8388,5.67924,3.30775,0.180504,19.5291,10.1582,4.3488,5.52547,1.26131,99.277,20.2421,62.3944,62.2731,1.38234,9.59462,4.91487,5.12559,13.1908,2.58435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,6151,fell,11.18,3,59.243,45.5034,2.93212,3.90506,203.666,27.7474,6.08983,4.01484,0.257623,15.2001,11.001,3.49087,4.91135,1.41614,217.369,19.5717,7.09014,3.44604,0.139602,17.7995,9.09654,3.51628,5.09277,1.10315,556.433,77.9275,33.7941,41.818,33.0143,35.7753,21.7819,7.38905,15.4145,13.6494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,6152,fell,40.78,9,27.2482,19.3362,0.995729,0.506689,233.303,41.9817,6.90581,4.33768,0.259892,17.3762,14.1326,3.98317,5.49647,1.50145,292.555,34.0795,20.2727,24.28,0.403252,20.4576,13.2437,4.76089,7.98855,1.70682,234.652,23.2493,6.46556,3.43207,0.153881,18.0486,9.62894,4.26558,5.50529,1.18146,429.207,34.5665,17.562,7.18956,0.379164,27.5553,17.576,5.66882,6.95964,2.06549,296.883,41.8163,9.50255,6.28504,0.187458,24.579,17.8688,5.09761,6.47408,1.58841,225.621,23.1879,6.52048,3.21669,0.139112,15.5192,11.8002,3.3113,4.57973,1.10385,323.881,52.2358,14.7811,7.7295,0.281082,25.7977,14.4223,5.17872,7.45517,1.90349,239.32,28.0663,13.7688,5.15346,0.181324,17.673,12.0596,4.5335,6.2125,1.39718,286.358,38.9201,107.941,82.2192,19.417,22.615,11.7422,7.98665,18.0438,8.36709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,6153,fell,35.8,8,28.6941,19.7138,2.86658,3.52785,239.8,25.8366,7.17648,4.4692,0.303474,22.0995,14.4064,4.69932,6.42164,1.83616,226.185,24.6189,7.80216,6.15442,0.213666,20.4161,11.8399,4.30922,6.61527,1.58481,293.247,40.7813,6.07119,3.65174,0.164169,18.3469,11.8006,4.10616,5.23475,1.23269,268.158,39.9037,10.5556,5.18418,0.141842,16.7943,12.6184,4.26273,5.66522,1.17219,382.586,50.4037,20.6088,12.795,0.472561,27.018,16.2009,5.7894,9.69412,2.3513,539.523,93.2697,28.1589,18.9955,0.861909,37.7887,25.3032,8.04964,13.6924,3.38004,658.513,76.8711,31.7248,12.1663,0.427905,36.7534,24.1442,8.27311,10.4946,2.96245,291.771,59.9033,70.9167,209.224,16.775,17.5365,16.3435,6.78463,25.1208,7.70568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
