policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
dm_agile,6144,fell,1.24,1,47.8172,50.4014,2.02621,1.30284,271.704,64.4393,45.3864,47.0013,9.83592,17.2813,11.0828,4.58681,15.7412,4.85754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm_agile,6145,fell,1.48,1,123.313,74.6064,0.39214,0.196128,457.42,46.8284,65.0859,70.6386,2.30457,24.9369,14.1581,6.55624,19.3006,3.36484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm_agile,6146,fell,1.72,1,19.7975,143.748,1.21094,1.05737,159.803,49.9116,37.4679,24.1332,1.89827,16.8326,9.97347,4.36356,12.6897,4.60447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm_agile,6147,fell,2,1,52.9646,159.813,1.82277,0.923914,184.158,65.8415,51.4211,29.2813,1.49601,16.0495,12.7619,5.43956,12.8919,2.07942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm_agile,6148,fell,1.32,1,40.7514,55.9741,1.78167,0.890741,334.156,123.876,41.0861,43.4703,1.77377,20.4974,9.40857,4.58071,13.6439,3.45116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm_agile,6149,fell,1.44,1,53.5273,115.816,1.83771,1.17764,409.745,89.8149,57.3627,46.9301,1.41236,18.5291,12.6897,4.9248,16.5372,5.08215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm_agile,6150,fell,20.7,5,89.8277,41.385,0.708725,0.813458,312.264,71.5622,73.4832,58.2726,4.18302,21.287,14.0726,6.96195,21.0973,5.66042,10.8051,1.66848,6.08698,23.5127,6.7101,0.624045,0.122367,0.196064,2.54081,1.66691,12.936,1.78648,6.98644,29.8274,10.5454,1.37124,0.201683,0.452902,6.29477,6.1444,19.3227,2.44159,12.9275,16.0461,5.87039,1.87048,0.365558,0.67163,2.4354,1.78275,85.7426,9.39035,37.4216,8.3236,0.578934,5.3614,3.7023,1.60971,3.31835,1.36109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm_agile,6151,fell,1.46,1,28.2931,121.878,1.88064,1.61054,416.446,73.9541,55.4816,51.6433,3.29165,20.2031,10.6272,5.35619,17.5368,4.21851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm_agile,6152,fell,1.82,1,94.6409,50.4481,1.13229,1.54592,515.23,84.5244,75.9612,101.208,59.9758,29.635,15.2538,7.61158,23.334,13.5719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm_agile,6153,fell,40.46,9,81.8782,74.961,0.58626,0.392411,47.8737,36.3138,15.8084,8.84963,1.11357,7.54426,6.69869,1.45374,2.7948,0.834979,257.493,66.3603,77.8099,80.5551,6.63361,19.3823,11.2549,5.94447,21.3874,8.29411,23.4671,2.16741,6.75842,24.6901,5.9996,2.01938,0.693459,0.436938,2.83094,2.6969,23.3237,3.14292,17.6989,14.3718,5.32302,1.96024,0.987898,0.694321,4.1647,4.61449,15.7059,1.46334,10.6876,17.6529,8.1315,1.57977,0.288824,0.828161,3.07453,1.6411,13.5246,1.72386,8.46846,33.944,19.8204,1.18884,0.361705,0.574073,6.28345,5.1113,29.9904,3.76386,18.4584,22.2618,7.92891,2.37679,0.711293,0.945926,3.1428,1.96035,56.6842,8.03419,22.2802,35.239,93.7021,6.71202,1.52281,1.94769,12.9417,14.9051,32.1709,2.2973,10.1988,4.72725,0.604843,1.94185,0.338092,0.715569,2.88861,2.64444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
