policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
handoff,6144,fell,32.3,7,160.991,21.4772,3.24664,4.06405,324.604,106.152,51.485,21.7581,2.21226,41.1982,32.903,14.1354,14.1434,2.37852,346.789,92.041,35.7173,23.0012,1.53363,37.1139,31.7431,11.7368,12.9989,2.05883,619.093,150.467,71.0734,57.6947,2.20728,66.2045,49.9789,26.0548,25.6026,3.47003,648.941,151.467,80.583,30.4866,1.87849,64.3295,51.7955,23.3275,21.1984,3.73483,678.91,191.96,124.494,77.9359,2.85284,76.9761,54.5881,28.5289,25.3313,5.5454,711.884,183.582,74.7884,37.3659,1.01215,70.7199,62.31,24.1421,20.3893,4.3461,1296.57,634.327,220.49,85.4381,8.81494,74.7973,90.6033,22.0515,22.5436,5.79962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,6145,fell,7.12,2,34.3554,31.1084,1.72419,0.875888,315.034,62.6724,32.0682,18.0063,2.06615,37.1893,26.7519,11.2689,12.1882,2.11529,989.118,51.3794,115.982,19.2525,0.963322,27.2429,10.6601,9.85458,10.8737,2.02679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,6146,fell,35.48,8,86.397,12.9488,1.34645,3.79336,393.921,86.947,50.9284,61.6433,2.60224,44.2386,35.09,14.5407,14.9593,2.8098,596.098,193.461,88.0379,53.4557,1.762,70.9789,59.9277,26.804,21.8423,3.44346,804.563,203.998,131.235,32.5627,2.73615,66.5636,54.0321,26.4895,23.6839,3.47184,882.145,222.352,155.071,33.7765,1.43632,86.3973,62.4452,33.4784,28.1082,3.74067,998.941,222.486,165.468,31.9978,1.78716,98.7948,66.6265,34.7435,32.1935,5.36165,480.847,152.484,88.418,53.1154,1.73908,56.9334,43.7878,19.4168,23.3786,4.18261,626.588,217.73,93.0267,80.9086,2.86626,73.1849,55.5016,23.2263,25.2046,4.65362,188.012,20.6016,49.1638,89.0216,3.55142,7.59772,6.54575,2.78125,9.93216,2.64815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,6147,fell,16.12,4,205.739,31.9397,2.21061,1.19554,386.453,110.695,48.046,16.6808,1.6003,44.3476,35.4655,14.059,12.4917,2.10042,421.82,118.448,51.7693,22.9879,1.61783,41.3601,37.3557,11.5462,9.69952,1.62636,614.985,414.389,172.932,88.264,2.26362,73.0658,66.4509,25.6808,18.9252,3.30019,3327.05,646.099,654.074,168.989,39.9027,118.799,105.171,50.5653,55.9066,36.0549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,6148,complete,60,12,174.943,38.7589,0.0323788,0.0200267,452.362,146.557,62.7546,22.7076,2.03716,56.0685,46.1217,17.9123,16.2582,2.75718,779.605,168.323,149.863,72.7886,1.7178,84.1614,59.5173,31.5887,27.1744,5.23613,311.593,86.42,40.1155,37.1049,1.34578,48.0372,35.9456,16.6863,13.7424,2.53531,2498.6,556.201,497.792,245.144,27.3582,139.666,106.209,47.8659,78.008,21.764,213.066,7.55865,39.2577,21.67,4.25303,23.6771,10.4579,6.85752,10.3286,3.70718,66.5527,2.48383,15.3099,19.9383,13.7836,6.75428,2.72709,2.09071,5.53605,4.37155,22.3062,0.201721,9.62451,10.652,4.60221,2.32431,0.976766,0.859891,2.28592,1.51846,21.1064,0.333069,8.04907,14.6356,2.91855,1.51291,0.874156,0.865828,4.9703,1.8713,37.4004,0.972534,14.8185,9.37451,2.42697,2.26056,1.38422,0.802188,2.48078,1.835,182.922,4.59198,68.7263,119.064,13.7419,11.2399,3.64181,5.56768,24.1954,13.3954,149.155,6.28265,48.6091,35.9155,5.76229,8.82638,4.12022,4.4187,10.2799,5.90604,167.319,3.55585,39.6484,33.4781,4.23077,14.3776,4.59678,5.22202,12.6494,4.28391
handoff,6149,fell,51.56,11,66.7582,10.041,1.95101,3.09377,342.955,87.3951,52.6329,30.9897,1.74482,40.1186,31.0408,11.9241,13.6598,1.99235,674.095,271.066,129.55,34.2087,1.64568,84.5137,64.8969,27.9223,22.3185,3.56317,377.498,146.094,63.3608,35.1383,1.49703,44.487,41.6981,15.5197,15.3242,3.33016,329.301,110.573,80.6053,40.2987,1.57646,46.0423,33.6208,15.5204,14.179,3.1709,466.385,161.098,71.7273,43.7064,1.8403,62.8022,51.9459,21.2133,19.903,3.63607,1175.16,397.636,236.93,85.8276,1.46761,120.869,92.8919,45.2054,40.9487,5.69414,852.772,373.547,157.358,49.0072,1.61892,100.776,82.5093,36.0445,34.6709,4.35914,1088.82,378.83,219.31,46.1292,1.95902,115.069,80.5458,41.2811,42.8058,3.38607,338.419,169.778,84.0764,43.0103,2.33724,50.2754,43.4096,17.0076,19.2655,2.46146,404.443,257.529,89.3944,21.5864,1.67777,61.9627,60.8542,21.0563,17.7907,2.62006,1494.89,274.876,325.779,78.5072,6.47265,61.9649,55.1223,22.2245,21.3044,4.09357,,,,,,,,,,
handoff,6150,fell,31.42,7,79.9967,6.23585,1.84287,2.74904,349.249,137.797,57.9866,15.4188,2.26953,45.5433,38.1826,16.5653,13.2812,2.02076,425.594,140.831,67.5719,25.7148,1.97482,53.1228,44.3986,18.1278,16.5928,2.64618,1038.12,493.69,178.045,63.7289,2.5564,92.9146,85.495,28.2464,30.3988,4.56136,423.788,226.976,54.1364,16.2487,1.88579,50.915,48.5425,18.6782,19.2145,2.70037,508.207,136.323,59.0846,22.7443,2.35754,50.7416,43.1326,17.0501,17.5373,2.88964,615.205,214.735,62.8333,24.2805,2.0158,61.2783,54.0701,20.5054,18.8121,2.57236,1608.7,154.691,440.81,239.757,13.4761,80.3549,32.179,32.0677,38.6543,9.34934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,6151,fell,11.82,3,83.6328,49.4112,1.16287,1.22546,364.222,161.85,54.1426,12.9038,2.34125,50.5828,39.3013,17.1438,14.8023,2.12895,249.322,169.413,78.6003,18.2948,2.03256,39.6589,39.9261,13.5891,11.0922,1.70282,1595.5,136.214,238.907,116.672,5.32023,54.7151,26.856,17.9127,31.4433,10.1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,6152,fell,12.06,3,227.37,39.2149,2.80011,4.08993,878.529,159.382,96.8218,35.0298,2.96185,75.1516,57.1167,23.175,23.942,2.90397,1076.25,246.588,180.742,79.6521,2.0079,94.3639,70.5896,35.3082,36.7442,4.8597,1697.86,208.49,126.033,45.8657,0.610469,71.5072,49.2134,19.954,18.2848,2.12577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,6153,fell,27.88,6,122.812,73.999,0.0537553,0.043275,287.659,101.807,30.1408,14.9781,1.61158,37.6257,29.1136,13.0703,13.0285,1.85296,506.561,147.83,64.0067,21.8837,1.42192,62.6925,53.0609,21.1535,18.9221,2.36054,525.193,52.3011,65.4927,81.7604,13.95,36.191,16.7789,12.4189,25.6899,9.61887,9.16028,0.320343,1.63873,9.38776,2.91524,1.0683,0.628367,0.396457,1.58887,1.22145,12.4312,0.899658,1.99071,12.034,3.11548,1.45292,0.843297,0.576527,3.2358,2.25461,3.43958,0.193909,0.793839,7.44443,4.37272,0.932828,0.718641,0.384055,2.18044,1.5297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
