policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
handoff_with_arms,6144,fell,40.62,9,13.8815,15.2236,2.08846,3.19221,203.784,67.7225,32.3451,20.0646,3.73099,18.7181,18.6221,5.08427,11.1536,4.57736,209.826,59.2216,14.5921,8.6412,2.82508,18.2652,18.5601,4.10863,8.02916,3.35995,252.459,81.57,23.8218,31.4998,3.15901,21.8488,21.9226,5.90015,13.8542,5.15772,261.187,69.403,21.6009,13.9922,3.59466,26.9644,20.4283,5.65275,11.2485,4.68709,257.351,108.042,15.0502,18.6581,6.78386,21.6286,24.5221,5.61815,12.8598,6.3383,233.109,76.5885,32.4122,16.7747,3.10345,21.1523,17.9061,5.53809,11.9435,5.025,334.867,91.9606,25.1113,18.1684,3.17039,31.3917,28.9757,6.35772,14.6983,6.3266,423.598,130.805,48.513,121.958,4.85597,40.8446,37.3729,9.7091,24.1975,8.14416,1124.33,37.6083,51.4092,63.6165,3.38096,25.529,13.8691,5.8401,11.7983,3.94008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff_with_arms,6145,complete,60,12,8.05202,2.29746,0.00407036,0.00359632,202.709,59.4418,18.0913,12.5652,2.98846,22.4906,18.8887,5.66516,11.8803,4.46242,248.557,53.8677,14.4328,9.73989,3.24359,24.6959,19.1183,5.431,10.3286,4.46533,95.9448,24.5765,7.71778,4.30267,0.860711,8.94357,8.01696,1.95767,4.37083,2.12752,298.284,67.193,38.2348,23.7911,7.46097,25.0634,18.5463,6.58474,14.5994,7.84432,272.499,61.1463,20.196,19.1978,11.9169,27.2898,20.2383,6.07141,14.0556,8.43181,369.003,91.0749,56.4578,46.0892,20.853,33.0649,26.1119,8.78069,23.0034,12.0402,267.29,88.3009,21.6159,15.7374,3.5634,27.6667,21.0892,6.82537,14.6221,6.2823,383.502,131.66,49.638,60.9543,5.0088,35.0306,29.2662,8.72791,21.7322,8.98155,337.822,109.404,29.8487,12.5246,2.72709,29.014,28.2804,5.91559,11.9972,4.9611,236.481,91.8597,15.8042,12.1025,2.64731,20.6805,22.429,4.9072,9.61466,3.75403,409.996,75.0186,90.8234,26.3042,4.49828,31.0717,23.3306,9.21741,15.76,6.37893,381.196,91.4424,29.0438,22.8051,2.52193,22.5476,17.1438,5.57881,9.88472,4.77109
handoff_with_arms,6146,fell,36.18,8,20.3539,2.30779,2.49659,3.42792,231.146,68.7411,16.7839,29.0471,30.7832,25.5151,22.3281,5.54158,15.747,12.2571,192.346,59.5352,23.1568,16.9721,3.80181,19.5696,17.4474,5.23282,10.3766,4.66837,221.69,64.0603,17.208,10.1552,3.06796,20.9819,20.0967,4.67254,9.61484,4.85803,199.465,41.0882,21.5466,8.98185,1.9502,18.1703,11.6157,4.66341,8.46354,3.24918,178.236,39.8022,14.6237,10.667,1.84341,16.3665,13.1864,4.11026,8.57833,3.81386,241.09,53.2496,36.7379,32.0308,10.1693,25.6868,20.9292,6.77797,13.8563,8.79692,290.178,87.6535,21.0223,29.3005,4.26235,25.2744,23.7795,5.97529,13.1398,5.86052,1076.43,113.07,183.612,77.404,12.4544,38.4022,22.7182,12.0797,20.8549,9.32339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff_with_arms,6147,complete,60,12,7.92903,3.09854,0.0513965,0.0886082,155.264,47.8362,7.82788,7.46449,1.63421,15.0739,15.1179,3.46744,7.57183,2.86214,369.93,103.168,28.5414,22.8766,4.62976,30.9631,26.4493,6.19028,13.5553,5.61276,224.55,60.9488,39.3932,43.0886,3.80585,21.5818,17.4387,6.16864,12.7568,4.77257,199.316,68.845,40.2585,26.1357,27.9343,18.4374,16.7141,4.31992,12.5578,10.8707,283.018,82.6494,16.9844,11.5244,3.55566,24.3571,24.6779,5.80381,10.7712,4.94603,229.781,72.5695,17.1157,11.6267,2.13657,20.8738,18.0704,4.61258,8.61548,3.49006,331.766,86.135,35.2775,50.4052,5.27898,33.45,26.1584,8.44927,20.3448,7.90289,1245.09,220.917,168.063,243.975,14.4692,69.7604,60.1259,17.8241,42.3688,15.3033,211.85,47.201,12.4352,9.21777,2.41867,21.5847,17.7088,5.36384,9.45125,4.02859,518.157,128.39,52.1559,19.7799,4.0502,40.5337,35.2178,9.54521,17.6668,7.51443,485.755,89.9521,45.977,28.9199,6.75262,36.196,27.7217,8.82089,17.4745,7.00664,339.5,98.3674,65.0952,219.293,7.30193,31.6589,28.103,9.18789,28.4071,9.61018
handoff_with_arms,6148,fell,40.84,9,12.7248,5.26264,1.86258,2.86384,218.617,67.0861,13.1587,9.93544,2.79031,20.9919,20.6238,4.37394,9.39131,4.05561,235.227,57.7151,26.3448,28.3897,3.3178,24.0703,18.4504,5.73097,12.8914,5.7767,154.674,53.3063,13.5823,7.32204,1.7354,13.6233,11.994,3.06901,6.19897,2.5724,281.327,82.5765,24.0399,13.7559,3.08468,23.1513,23.0064,5.43553,10.9341,4.85443,406.985,78.2922,34.7338,21.2682,4.06481,32.5447,25.5947,7.21747,14.8713,6.20425,169.271,36.5044,23.572,7.29463,3.34138,17.0851,13.0014,4.05146,7.67623,3.62534,374.484,102.584,36.9891,25.2257,4.45157,34.631,26.2942,8.43495,17.3275,6.94676,230.874,67.5059,34.9324,45.5639,4.1504,18.8547,18.9282,4.86259,13.8236,5.7033,1571.93,430.881,190.158,201.466,16.7996,54.4843,44.6177,17.6227,33.2106,11.4477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff_with_arms,6149,complete,60,12,7.96637,3.09313,0.0155012,0.0254818,118.549,32.0412,9.08429,14.4382,1.40208,11.7948,9.08662,2.78813,6.80888,2.37459,161.411,34.6628,11.5348,7.05655,2.23926,16.8588,12.9392,3.87068,7.51876,3.26513,306.75,73.2706,23.9825,12.4236,4.52626,34.7132,27.9538,6.91461,15.7943,7.64565,95.3266,34.0517,10.0685,6.78597,1.16781,9.7366,7.97784,2.76442,5.61953,2.55815,225.062,51.0126,15.6448,9.59349,2.873,24.7113,20.0954,5.13525,11.3832,5.23955,151.254,59.774,17.4609,8.5122,2.4912,14.9376,14.1074,3.47786,7.49743,3.32602,624.371,166.823,58.0997,27.5201,7.73342,43.8915,37.2647,10.2724,20.3311,9.12938,358.162,87.7155,23.0356,16.469,4.17441,31.952,24.8829,6.41387,14.9664,6.38765,248.096,58.1453,18.7721,16.8912,3.52147,24.5998,19.2021,5.5829,12.6988,5.88643,377.741,81.1458,23.1977,21.0099,3.34783,29.1934,23.1183,7.13978,12.5334,5.20624,473.475,100.31,37.2124,18.8178,5.11097,40.4435,29.7887,10.5003,18.8645,7.42469,234.755,91.6196,43.1436,13.2452,2.13121,17.6905,16.8552,4.91007,10.5816,4.11158
handoff_with_arms,6150,complete,60,12,10.0844,3.44072,0.0801165,0.11046,215.857,69.9803,19.9868,13.0801,2.78024,20.3769,21.1746,4.98235,11.3096,4.86573,222.763,50.3307,16.2276,11.2339,2.61168,21.0712,16.989,5.11338,9.57963,4.11985,166.405,67.8128,14.3961,14.0115,12.7839,15.154,14.3901,3.63084,9.71721,7.06049,249.43,54.1106,18.3509,11.0382,2.51665,25.5915,16.6438,5.95981,11.3106,4.78948,127.446,24.7907,10.3859,5.10352,1.61978,13.6284,11.045,2.75718,5.10209,2.62683,251.749,77.0982,15.5313,10.5956,2.62037,23.9386,21.4943,5.6294,10.5654,4.47739,307.182,62.609,52.5007,168.271,4.13691,25.8303,19.5918,7.30403,17.9439,5.51678,281.309,80.545,25.891,12.408,4.38317,26.2365,23.6196,6.51327,12.6952,5.55816,443.197,124.845,32.1051,19.7046,3.59488,35.0313,28.7614,8.64836,16.7897,7.11223,340.192,134.489,26.724,17.7289,4.00708,32.7668,34.758,7.68529,14.5134,6.18726,402.973,71.6864,35.3078,18.6834,4.95292,36.3778,26.3938,9.14662,15.5107,6.48624,490.96,107.253,41.6031,27.2634,4.96827,44.6789,36.4266,11.3229,19.8573,7.52709
handoff_with_arms,6151,fell,56.1,12,13.5888,15.8831,1.66001,3.74486,149.069,52.6799,9.15452,8.0065,1.74055,15.0446,15.1616,3.631,7.91398,3.09286,160.187,44.8334,14.7369,7.29863,2.27116,13.7369,14.1479,3.2107,6.42439,2.95849,313.214,69.6937,24.6611,23.7303,9.76575,31.3897,23.9267,7.33588,15.695,8.44257,240.148,58.6518,16.7066,9.88863,1.85545,19.477,16.7585,4.42626,8.16568,3.48951,301.864,79.5711,33.3381,13.6277,3.10389,28.6055,23.7331,6.32292,13.6874,5.92951,1347.39,270.912,160.562,118.177,20.9866,64.5161,51.5609,18.5779,32.9524,13.9969,222.694,45.1382,40.8517,111.541,4.84208,21.6633,17.5649,5.87829,13.9566,6.22748,263.253,57.02,21.3423,10.1918,2.47768,23.4378,19.8032,5.92874,10.1411,4.75648,288.242,53.7594,19.106,13.5003,2.22089,24.2348,17.2833,6.11691,11.2688,5.11537,329.967,80.9688,31.5707,14.7186,3.36412,29.7755,21.174,7.86229,13.1563,5.16731,411.607,131.889,47.7838,25.7099,4.07798,35.2832,35.7782,8.41662,17.1914,7.14357,657.016,168.95,102.769,169.214,5.75751,36.0536,32.9015,9.97032,26.8528,8.43924
handoff_with_arms,6152,fell,16,4,13.3652,34.4042,1.06132,0.888007,419.945,103.289,33.1784,27.2416,4.27307,34.2667,24.4284,7.23806,15.1712,5.53212,196.176,39.8119,25.0861,27.9473,2.77783,19.3238,15.1696,4.79249,10.1248,4.08143,198.986,40.3424,15.24,8.14108,2.28752,20.7915,16.5801,5.18751,9.75127,4.30646,1910.62,132.952,265.155,155.368,21.8058,57.6581,31.4865,15.8188,33.7249,16.2867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff_with_arms,6153,fell,35.66,8,14.4598,22.2174,3.58956,3.66874,157.593,33.359,10.6595,10.5939,1.47507,17.394,13.8684,4.15653,9.42876,3.80081,174.582,55.4247,16.3808,10.3899,2.49621,18.6428,16.6251,4.94488,9.44245,4.04985,350.954,108.877,22.6859,14.7857,3.73691,34.9034,33.3166,8.65426,14.5328,6.35306,344.521,99.357,25.8272,13.7326,3.36467,32.0066,26.866,6.48686,13.2626,5.95089,469.741,104.282,44.7634,35.2072,5.94956,40.5606,35.2126,11.3758,20.658,7.99531,369.294,115.049,30.4964,22.8884,5.02015,30.8152,28.385,6.88246,16.5935,7.47256,530.098,135.507,45.6903,25.496,5.71555,38.2248,36.0694,8.43111,17.0134,7.42521,1550.89,129.654,323.677,379.444,87.5156,44.2411,20.8051,15.0879,40.2438,15.8949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
