policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
handoff_with_arms,3072,fell,55.52,12,14.2573,10.7835,3.02508,3.40573,235.054,48.3182,16.9773,11.605,2.78311,24.9982,22.4772,7.22882,13.8208,4.72877,443.388,173.291,42.1094,27.1375,7.3209,46.2145,38.1641,16.47,29.1429,10.3663,447.596,154.815,52.2267,40.4328,5.74839,43.9294,40.2253,13.9588,26.2104,9.73148,462.737,116.959,40.2071,24.3674,6.41931,45.7317,36.3359,14.3336,25.1325,10.0417,256.904,56.8465,22.3218,12.8295,2.9747,27.7621,19.5858,9.12029,15.6726,5.89539,234.952,82.1314,105.242,40.8353,5.37101,30.2295,21.9163,10.6061,20.5862,8.03436,396.472,109.585,51.4371,23.3231,4.74544,43.4655,35.3957,14.9805,25.3465,9.08172,675.038,159.287,128.737,106.118,13.1342,59.5265,42.5143,18.8946,36.1824,12.6416,215.823,49.4122,19.3506,8.86548,2.98685,24.0407,16.851,6.97867,13.4826,5.27388,329.845,92.8379,32.1659,14.3185,5.15559,36.1849,28.4436,11.9876,21.3287,7.54095,740.335,135.095,84.6117,56.0431,8.61341,61.1783,45.4016,20.6777,34.294,13.0289,1174.11,97.7938,303.733,247.713,26.856,46.0721,20.3745,18.0842,34.1643,9.51792
handoff_with_arms,3073,fell,35.74,8,13.7604,7.83106,0.776102,2.76596,148.701,27.569,12.4603,8.95171,1.80129,20.9111,14.6044,7.01257,12.3395,4.07046,319.144,69.5254,31.4886,15.1606,4.44062,36.5209,27.1513,10.1901,19.0838,7.71263,927.471,186.426,126.701,52.1445,8.2499,74.0975,53.7419,24.4924,38.3382,13.7256,150.889,38.2656,15.7785,9.94931,2.83395,18.1477,13.0501,5.92241,11.7207,4.48207,339.624,76.2043,35.9981,18.1431,4.64637,34.9039,27.0623,11.881,20.4152,7.10714,502.222,220.743,80.2898,107.014,10.1543,52.5841,46.6932,17.2076,36.4041,12.9543,222.996,52.5953,20.9681,10.0898,3.02787,22.9597,18.8263,7.04491,12.3504,4.46056,1218.37,44.9495,155.858,136.29,11.22,39.467,16.413,14.0652,27.6594,7.67821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff_with_arms,3074,fell,26.26,6,18.4814,11.4112,0.949091,1.20368,252.914,59.8484,21.6381,13.5441,3.51397,34.0977,23.3701,9.98286,19.4409,6.73114,453.904,140.686,61.1139,148.244,9.009,46.8147,36.9575,15.2866,43.1176,12.8047,383.914,81.0749,40.2555,18.3061,5.02887,47.4049,34.0995,14.4573,24.6875,9.30817,392.914,77.5992,35.875,21.1977,5.1314,38.348,28.8474,12.7441,22.4231,8.20726,256.903,65.1463,20.4885,14.0148,3.49388,25.7777,18.6502,8.17343,14.4514,5.221,1070.68,262.848,230.015,214.105,17.9027,60.5163,44.4725,25.5333,50.8216,19.1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff_with_arms,3075,complete,60,12,7.54244,1.89976,0.03242,0.0468774,161.696,67.1019,14.0358,10.3718,2.22974,19.3385,16.9718,5.97331,11.6192,3.8224,413.934,114.754,37.111,20.2196,4.93194,44.1704,40.8773,12.5016,24.2348,9.85391,337.68,56.6727,42.0157,27.352,4.85453,46.3898,27.9758,14.4137,25.2885,8.75031,341.942,101.676,44.4254,22.1106,4.86486,39.0228,31.1248,12.7076,21.657,8.21678,501.749,97.0433,62.7711,28.4498,6.01023,52.1821,34.7283,19.3762,30.4714,10.5235,447.813,144.176,57.7688,35.47,8.35199,50.5126,36.8799,17.3232,30.7549,11.4177,360.102,72.6265,40.6197,18.0875,4.81277,37.479,28.4565,13.4619,21.7916,7.62559,663.795,171.759,84.0356,44.2226,9.1164,64.6989,53.8538,22.6227,36.6913,12.6663,631.484,157.04,88.1871,44.6499,8.71442,69.8691,50.6238,24.5465,39.0438,14.1922,735.848,230.497,127.98,184.453,17.1757,72.1408,59.4998,23.5262,48.5628,18.6513,471.598,104.678,51.3635,36.7935,8.22168,50.6249,39.1604,16.7253,27.8632,11.3362,607.161,258.397,101.964,46.8358,11.7585,60.8159,49.9263,19.9381,31.7601,13.5142
handoff_with_arms,3076,fell,21.34,5,25.0571,5.81045,1.7708,3.09923,252.131,59.6814,21.5416,13.7833,3.37367,33.4565,23.8662,10.5374,18.8357,7.39308,324.35,67.7481,29.8831,14.7111,4.28055,39.5403,25.8971,11.9178,21.0777,8.32994,284.211,95.1426,33.901,16.4958,3.56501,32.7152,26.8782,9.88177,17.6701,5.93537,388.144,87.1521,55.4318,26.523,4.57382,36.2966,24.4539,11.591,19.4071,7.28359,1643.55,403.136,371.299,388.03,41.5176,85.9743,71.9593,33.5443,71.3929,23.8291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff_with_arms,3077,complete,60,12,47.3398,3.81968,0.0417093,0.0657234,73.832,26.4662,7.9742,7.28896,1.01647,10.3901,8.79842,3.30618,7.47766,1.99948,322.135,83.289,37.0891,15.5609,4.07416,34.8485,25.8578,10.1822,19.2816,7.56678,494.82,118.097,61.0974,26.559,6.64535,45.7253,36.0208,16.3354,25.6584,9.34087,235.269,55.6034,19.9002,12.0214,3.59027,22.3185,17.9057,7.30958,12.7165,4.67869,338.789,87.3926,31.0605,16.2441,5.49911,40.4494,28.7581,12.6843,23.2201,8.78024,518.221,95.7327,53.3781,25.0029,5.22741,49.4947,36.5433,16.8245,26.94,9.92648,266.329,67.1579,17.4906,12.0222,3.21252,26.7637,22.4705,8.28117,14.6701,5.13775,287.679,58.9639,23.1874,13.8941,3.23446,35.1341,27.7802,10.3712,19.8024,7.49469,631.673,111.609,84.8055,38.4631,6.70066,55.4343,37.3845,21.148,31.8121,11.9446,1861.34,865.87,335.735,192.077,21.3874,131.951,123.183,43.4862,73.8193,28.5416,466.834,231.678,48.5251,28.5491,8.2704,44.3965,40.9367,16.8274,26.1884,9.35536,697.765,135.819,93.86,44.7061,7.44667,51.3301,34.533,19.1736,27.8937,10.6608
handoff_with_arms,3078,complete,60,12,8.79375,3.78177,0.0393528,0.0527585,324.506,91.4207,35.6452,20.9903,4.4951,36.6692,33.418,10.7789,21.0102,7.27439,370.615,85.6465,38.2696,15.2794,4.03991,34.5563,29.2664,9.92667,17.8989,6.79236,571.423,139.43,73.1829,128.643,8.54609,51.9582,43.4684,17.4278,35.2561,12.1497,302.728,79.239,27.7177,14.8917,4.4174,35.9723,26.2685,12.6429,20.7708,7.81937,598.304,187.363,79.2973,31.6192,6.76564,58.1335,47.6018,22.5602,32.6477,11.8011,215.788,46.8069,40.6185,26.8498,2.91726,25.8524,18.3652,8.94389,17.1525,5.66585,342.494,108.247,35.6078,19.27,5.19821,40.4715,33.9013,13.9428,22.8253,8.49137,1099.72,228.702,176.091,81.8424,12.5423,96.3357,74.22,33.8618,54.5635,17.4506,515.257,128.433,70.1498,32.3708,5.78866,53.5293,41.7574,18.0382,28.5173,10.5346,309.421,68.7844,28.7845,15.7809,3.0577,35.7667,25.5126,10.0889,18.1644,6.51934,1012.62,183.958,201.141,170.788,12.6334,78.4179,55.0553,29.5407,52.5708,15.2698,370.814,106.064,27.5817,17.9276,4.2549,38.5845,33.2699,10.4235,18.4856,7.82678
handoff_with_arms,3079,complete,60,12,7.55873,3.56158,0.223307,0.390899,325.242,78.0862,30.6271,18.7245,5.12038,43.0648,31.8379,13.8917,26.0424,10.101,464.14,156.644,50.7972,25.1001,7.48547,46.4852,38.8712,16.3483,26.6023,10.502,386.761,97.6642,37.987,34.6287,5.09918,36.5646,33.085,9.938,20.2632,7.46515,121.41,29.8788,10.492,6.19677,2.23213,13.4919,9.85613,4.6545,7.57613,3.18743,308.696,100.517,56.1494,33.4531,5.81386,33.5447,25.5436,11.9119,23.1908,7.97198,199.798,58.8318,34.192,13.36,3.03538,18.7838,14.0304,6.32919,11.7003,4.33945,226.693,57.1251,71.0777,47.2919,4.18086,28.2302,21.4322,9.28312,19.3192,6.68378,524.958,158.34,163.547,171.058,14.364,69.3023,50.1066,29.0303,62.7233,20.3346,332.301,76.864,87.559,38.9162,5.39008,34.4545,26.1152,12.6774,23.6372,8.54883,893.56,262.381,173.769,170.365,13.1679,86.012,68.7977,29.8965,54.9535,21.0708,634.403,137.309,80.8251,39.9066,8.07402,57.5222,44.7197,19.6113,30.1121,11.5025,1900.14,307.41,254.052,123.55,15.7774,104.156,71.8659,32.5662,55.8378,18.65
handoff_with_arms,3080,fell,46.7,10,25.1599,15.2204,1.24153,3.23684,278.424,77.838,28.7731,15.2332,4.34949,31.341,29.4951,9.37039,16.944,6.4063,344.058,87.2962,95.0534,56.3612,7.48829,43.5413,30.5692,15.1108,28.3691,10.8641,263.159,70.4335,27.6384,14.9011,3.64646,29.8375,23.5591,10.1229,18.4051,6.25456,423.336,123.718,39.3072,29.0992,5.67759,44.0259,40.4163,13.398,27.0555,9.55441,395.35,130.815,46.2186,24.3824,6.97103,44.2947,34.5893,15.3523,25.6535,9.98434,285.088,109.732,30.3672,17.7653,4.09242,26.0104,20.9571,8.45384,16.0771,6.30276,665.854,143.509,61.1576,33.1096,8.01359,55.4737,41.9099,17.5061,28.286,11.3093,569.798,121.014,91.7219,52.2524,7.3252,50.8149,39.9737,17.3592,31.3957,10.3542,463.879,162.966,79.8028,31.2995,7.24105,45.9468,42.7079,15.4637,26.7909,9.19204,1847,456.139,372.676,412.612,31.4599,90.3863,79.5536,37.4653,76.9178,26.1621,,,,,,,,,,,,,,,,,,,,
handoff_with_arms,3081,fell,45.92,10,16.5259,8.35245,0.586172,2.00671,260.648,58.2506,28.7742,17.6757,4.47566,32.93,22.1339,10.1251,19.391,6.8854,344.39,102.219,26.4725,16.7212,5.45183,39.9394,30.2795,12.6443,21.5896,8.95937,306.585,75.6485,54.4785,67.7264,4.75377,33.8037,28.3641,11.8653,22.8475,8.28097,412.017,91.6598,45.3203,21.6786,6.42937,48.3409,31.818,16.1206,25.957,9.92376,599.841,172.238,78.2372,41.1248,11.1745,52.0526,39.5188,15.6889,28.3907,10.4718,229.012,78.8129,23.0834,13.1904,3.36563,27.5553,19.4983,8.532,14.6604,5.41994,766.206,255.469,156.219,72.7809,8.48951,66.3719,58.729,22.0317,38.4911,13.6376,357.211,136.957,71.8423,30.1938,5.89069,44.3412,37.5792,14.8722,26.3991,9.54202,336.233,78.153,53.2644,20.1907,5.57231,36.6814,27.4591,12.3539,22.4773,8.44961,833.077,173.696,136.285,111.975,8.45422,34.4538,32.8834,11.1548,26.7265,8.30687,,,,,,,,,,,,,,,,,,,,
