policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
wbc_agile,6144,fell,40.58,9,12.9725,8.18281,2.87417,1.60277,223.428,52.324,18.0784,27.7815,2.26898,25.3569,39.7926,4.69274,9.54276,1.7438,328.388,55.9107,20.8419,21.8991,1.52534,20.0997,38.8545,4.78831,8.80299,1.52423,272.4,39.7685,22.742,65.5295,2.2511,21.4928,32.3266,5.49304,12.5758,1.88656,187.781,41.7754,11.0336,16.6841,1.72673,13.6636,24.3008,3.18596,5.882,1.26672,289.367,48.4835,22.4809,69.9047,3.00877,22.7713,38.6182,5.57971,12.0416,3.06718,282.53,80.498,27.6126,35.396,1.00426,23.9387,39.6961,5.5362,9.05608,2.09411,336.956,76.5588,21.0974,35.5287,1.6306,19.0816,39.1862,4.0437,7.12524,1.93715,451.058,80.0309,37.6275,99.2781,2.74163,27.7132,47.5671,6.51633,16.8194,3.50731,774.395,58.2404,70.6683,54.2587,1.23338,23.2,28.7381,7.14941,13.7194,2.85819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,6145,complete,60,12,43.1898,3.47529,0.0226439,0.049108,486.276,87.1419,22.4818,20.8141,2.20468,32.2107,58.6056,5.81509,10.6287,1.97959,156.478,27.9451,11.5997,21.6267,2.21325,13.1754,22.28,3.30225,5.11406,1.12861,124.934,23.1126,5.925,16.3998,2.55777,6.76921,14.2999,1.66666,2.95658,0.740504,303.735,43.5108,19.981,46.8274,1.69275,19.5831,35.2396,4.34175,10.0223,2.03079,280.992,70.6892,15.2167,20.2799,1.36433,19.8148,35.1747,4.36419,7.6273,2.02466,1073.29,182.704,51.7337,86.2766,2.35068,63.9725,123.063,13.1559,21.5724,3.95625,337.997,109.604,27.1012,29.0308,2.01671,30.8814,59.5866,7.16471,8.43092,1.47697,266.675,80.0099,20.6037,32.2966,1.50051,22.9298,47.2163,5.28957,9.13122,2.06032,1346.6,208.782,56.9242,39.6513,2.12866,68.7671,148.952,12.6232,15.7286,3.75177,377.368,80.9603,26.6594,31.6402,1.2138,31.8606,59.0169,7.50566,9.27432,1.64853,308,49.0699,42.1659,85.2315,3.43183,26.715,38.2416,6.52963,12.8673,3.44371,1200.56,423.571,97.138,85.9125,2.12442,63.2679,111.104,13.6466,21.2733,2.52363
wbc_agile,6146,fell,46.04,10,89.9409,11.1172,2.94261,3.83349,223.366,39.4199,12.5413,62.0275,2.52832,20.9196,32.8791,3.81535,9.47949,2.17062,410.696,109.365,26.7782,59.9567,1.75884,27.5511,56.8096,6.07546,11.3913,1.96216,292.722,45.9149,16.8678,20.1921,2.64035,18.1476,33.107,4.25939,6.02142,1.40353,352.812,61.9573,25.0332,21.617,1.29993,21.4708,41.5218,4.91742,8.43797,1.53947,244.785,86.4367,20.6614,21.9829,1.70735,21.0931,34.5628,4.91891,8.23045,1.83682,362.706,76.5801,35.4862,54.2169,1.92974,23.8461,40.982,5.88318,14.4193,3.29685,450.12,68.6351,33.8024,74.7583,2.74125,29.0837,48.8801,6.81658,14.6909,3.33604,1970.6,211.951,113.177,136.717,5.84757,83.9864,165.694,16.3362,31.1922,6.65444,954.619,203.702,46.8656,47.6183,1.65338,47.8728,97.4276,10.7759,15.6401,3.39479,403.792,72.5731,20.5769,14.7551,0.322826,21.9452,39.4184,4.26508,7.09935,1.20783,,,,,,,,,,,,,,,,,,,,
wbc_agile,6147,fell,37.38,8,70.5831,6.339,4.15692,5.1481,169.685,26.9428,11.2489,15.3355,1.60485,19.5777,32.4271,3.46116,5.64719,1.23848,433.822,98.3703,22.1165,23.2897,1.57669,24.4763,47.2991,5.5747,6.91142,1.40693,347.958,51.3815,28.2962,76.6102,2.41443,23.556,38.3529,5.38145,8.56838,2.06411,911.086,337.308,87.5407,102.621,6.46183,63.0215,151.603,13.9746,20.5634,5.97271,303.351,42.8861,23.0832,24.0392,1.76466,23.9612,39.5976,5.37579,6.55008,1.4601,311.763,57.1989,17.9072,21.9217,2.80106,18.1856,30.1219,4.22654,5.68748,1.1529,314.232,40.7623,23.892,56.5055,2.66618,21.8545,35.9217,4.61889,11.7321,2.80777,1469.89,579.668,65.9479,114.372,10.5348,68.2283,163.887,12.016,29.2793,11.1698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,6148,fell,41.06,9,22.5092,19.9585,3.01186,3.92766,340.218,62.5605,18.9039,22.6961,2.10893,27.6616,46.8322,5.39778,8.47125,1.76058,198.69,39.4726,20.5184,53.6802,1.54955,11.0239,23.541,2.73715,6.79832,1.69648,267.517,44.7149,11.5274,28.1396,1.31485,13.5482,23.9347,3.26555,5.08036,1.36732,1130.11,289.349,72.7156,59.2279,1.67853,68.0469,140.692,13.9413,23.7472,3.20294,545.321,71.9116,37.0938,39.9893,1.48475,35.4215,71.39,7.73306,13.5668,2.11198,320.345,46.0929,23.8307,30.6152,1.65354,17.7405,39.0889,4.10591,7.61819,1.54462,437.269,83.239,26.9929,32.3299,1.45578,26.937,43.2338,6.458,10.2397,1.85306,377.917,70.4527,37.4027,63.1406,1.85571,27.3439,48.8443,6.89429,15.7351,2.52944,740.334,314.104,71.5431,54.4575,3.48237,35.9759,90.2373,7.61341,13.0901,4.3985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,6149,fell,36.64,8,143.785,30.4559,2.98439,3.12172,187.252,31.487,9.17905,21.8361,1.74738,16.9829,22.2763,3.1331,7.29413,1.44974,163.247,23.5573,9.77742,20.437,1.54693,12.2179,25.0874,2.55345,4.4954,1.10735,274.895,54.5079,24.9542,40.5995,1.47539,21.7109,49.0861,5.05627,8.72565,2.1208,109.095,14.8594,9.03831,28.3226,1.54637,8.36548,13.3889,1.99385,4.12587,1.24526,330.15,87.3989,22.1006,37.5632,1.80872,23.5658,40.7586,5.10648,8.98923,2.08886,198.133,26.3604,11.9035,21.9698,1.30266,13.3922,23.9965,3.26528,5.5585,1.25585,1264.35,629.794,93.6354,59.2312,1.66192,70.0051,173.348,13.0777,24.4473,3.84082,1263.61,281.253,53.9821,28.0444,0.612581,52.8303,121.558,10.6057,16.4351,1.59419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,6150,fell,42.18,9,47.796,20.6563,3.94006,4.75723,171.833,22.7443,12.094,12.3388,2.29907,21.443,29.8012,3.79538,6.01046,1.20909,339.069,92.6949,18.6819,24.5838,1.93845,22.5522,39.602,4.65244,8.51639,1.7498,254.693,57.865,19.5366,43.855,2.37154,20.4301,39.9254,4.25673,8.65881,2.11606,29.4615,5.21306,1.37157,5.47576,1.89232,2.87134,3.72981,0.618682,1.74129,0.673847,459.145,140.902,40.441,26.7677,2.50148,28.7407,61.6041,6.0528,11.4912,2.08285,386.681,61.1319,24.5215,20.589,1.91472,24.4078,48.3073,5.4673,8.90102,1.37589,299.242,60.0386,49.1445,175.317,13.2445,25.535,45.2374,6.30874,17.621,7.38084,324.878,49.0922,23.2086,22.4923,1.71825,25.8375,41.4438,5.88999,7.74569,1.41072,1575.66,621.5,66.1925,50.5333,4.41595,65.1705,167.986,11.1725,17.105,7.4303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,6151,fell,31.1,7,33.8111,8.62074,3.14296,3.33552,301.811,62.3855,15.5993,10.9381,2.32616,24.7513,45.1175,4.09303,6.91889,1.37132,159.657,23.1594,9.53558,19.3276,2.00383,12.3903,29.3175,2.69125,4.33792,1.0893,228.343,36.9483,17.3153,72.2328,2.61856,16.6143,27.0053,3.78829,9.48336,2.65229,243.26,67.7306,21.5597,32.7293,1.64691,25.2067,42.6137,5.48196,7.59175,1.73361,433.342,152.977,30.5309,28.5261,2.22509,30.399,59.8299,7.10621,9.81009,1.95981,573.159,217.738,37.2594,73.9747,2.91259,42.3096,88.0331,9.1636,14.8793,2.71417,892.066,269.468,34.5846,187.024,10.9483,38.1221,98.0383,7.42449,24.1941,10.4158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,6152,complete,60,12,43.8527,5.4376,0.971501,1.1581,393.033,60.0033,17.3026,24.5975,2.84041,26.7059,44.9842,5.06318,8.51107,1.46313,157.233,32.5841,17.6756,55.0918,1.78576,15.2503,26.5854,3.52622,9.17455,1.79292,186.653,31.9517,12.8364,21.4527,2.0355,13.3037,20.8599,3.17473,4.86584,1.00559,163.076,32.6014,14.5217,26.9161,2.04361,17.263,23.2335,4.16857,7.56593,1.84117,428.927,117.046,30.567,31.0883,2.43652,29.1485,57.008,5.94228,10.7548,2.13104,162.646,23.8809,10.2743,17.099,2.12649,10.3796,26.692,2.53955,5.63913,1.18707,224.302,46.8378,16.8888,18.8166,2.13701,21.4154,33.7704,4.84854,8.07626,1.82265,373.688,73.6134,22.8234,35.7643,2.20609,22.5542,40.0367,5.0176,10.3484,2.16765,1343.18,569.133,99.3778,188.464,8.65861,76.8506,176.011,15.4159,37.1949,8.43258,925.147,214.575,75.4477,158.989,12.4344,46.6048,80.6614,12.2664,30.8641,9.7188,670.302,135.669,47.564,56.0193,1.96088,36.0299,75.0326,8.03024,15.4258,2.28166,1169.92,372.826,73.385,55.8744,2.08822,68.7682,148.648,13.8686,19.3382,3.24016
wbc_agile,6153,fell,25.98,6,29.4931,29.2353,2.68054,3.29603,122.539,19.9007,10.8036,14.3353,1.62122,20.741,22.744,3.47831,7.34325,1.43271,192.649,46.9452,15.18,16.9902,1.39722,15.5859,29.7277,3.20146,6.67664,1.15061,539.267,142.037,27.4525,39.3918,1.76426,31.4818,61.3686,6.49771,10.728,1.43049,497.215,175.243,26.4027,34.9413,1.66909,30.4537,61.2574,6.62967,11.096,1.60491,499.675,122.098,47.4722,70.4939,1.69791,34.4013,63.6299,7.53229,16.6741,2.14958,57.7979,19.7161,6.20732,18.2532,0.282019,2.59577,6.01197,0.728918,4.83242,0.607468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
