policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
wty_cpp,3072,complete,60,12,13.1303,3.82631,0.0227184,0.0235633,170.645,74.7393,17.7194,23.4253,8.85884,18.9476,17.6612,5.12905,26.2757,42.2849,396.486,135.674,44.6104,28.4984,9.16986,41.209,32.8596,10.7848,30.6376,41.7924,585.009,193.678,61.4141,64.4143,8.97396,47.0695,40.0726,11.8836,37.8302,43.9909,312.187,131.198,49.8366,34.2,9.75677,29.8243,27.4284,7.64961,33.7044,42.9344,218.53,111.463,45.9983,34.4399,8.55677,26.407,24.4026,8.3116,38.8372,39.6203,145.217,68.8042,60.399,50.3207,10.3523,13.652,14.0021,5.59621,37.8466,42.2916,269.08,109.079,62.4471,42.8425,9.84337,24.5191,26.5967,8.5386,37.9325,42.2242,704.224,255.571,88.0776,112.444,9.26607,45.4363,45.6701,13.1146,43.9542,42.5426,571.377,152.993,63.2226,41.5954,10.2673,41.7007,37.886,11.5875,36.8489,41.9878,623.844,134.935,95.4247,37.8719,11.2503,44.4078,33.335,13.1182,36.794,41.9331,347.568,103.685,65.7175,56.8963,9.17149,36.9108,27.0571,10.8757,38.067,41.7568,350.29,114.387,38.2732,93.2584,13.6424,25.2271,24.0803,8.22789,52.2215,43.4826
wty_cpp,3073,fell,10.62,3,53.75,66.2968,1.46928,2.87885,66.1233,40.8889,12.8816,21.9003,9.38625,11.9246,10.0475,3.34836,32.878,40.8339,182.05,88.2906,34.8919,23.9959,8.98533,21.7884,23.7254,6.05879,31.2154,42.3316,662.009,32.2441,137.885,33.3069,1.65712,27.4955,9.33304,9.88799,18.3817,5.86347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,3074,fell,51.42,11,29.3877,14.5223,1.88728,3.40954,202.868,87.7111,40.4858,25.3332,9.21062,33.1735,25.343,9.33802,35.7346,39.99,520.781,104.801,64.6524,114.645,10.11,36.9188,35.1646,10.038,39.5339,42.4653,689.327,281.162,106.217,44.2784,8.33975,71.5926,66.5672,18.9787,37.1665,42.5041,425.361,182.167,69.7495,38.3859,9.32461,43.838,41.5865,12.1275,38.2975,40.7251,162.397,67.3719,35.2095,37.4753,10.6541,20.3909,16.175,6.47914,37.6384,44.5232,495.644,108.337,82.6621,181.226,17.1854,31.6563,25.6853,11.1224,46.7202,49.6503,357.106,175.256,71.1464,34.3701,10.0946,35.7612,34.3597,11.3191,36.038,42.1334,627.094,320.339,141.12,134.97,15.0313,54.923,58.4774,17.5761,48.1277,47.7548,280.302,121.099,49.9311,33.1588,9.09948,30.2155,27.3602,9.76355,35.298,43.5729,231.172,157.305,47.1992,32.7381,9.87513,29.0662,28.8329,9.04155,33.9294,39.2051,502.962,90.3042,62.7029,86.3731,3.89582,36.4509,19.9824,10.1329,18.8696,12.4825,,,,,,,,,,
wty_cpp,3075,fell,17.1,4,15.1447,42.197,0.836501,1.2958,127.797,50.4426,19.5547,22.59,11.0995,19.8685,18.2933,5.24687,33.2193,39.0854,961.888,290.638,125.858,48.736,10.372,74.3197,72.1963,19.3654,39.7143,41.58,311.228,137.553,58.1516,51.8983,8.57498,35.1715,34.0634,10.5879,36.8956,41.3533,935.688,183.804,188.676,91.4655,7.55565,59.2083,40.2008,18.9528,39.1187,22.6996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,3076,fell,49.96,10,33.5728,21.4347,1.98907,0.958088,122.727,57.9742,23.7492,21.9181,9.45843,19.7975,20.1798,5.52877,29.3412,41.695,153.37,87.0866,31.9312,25.364,9.99403,20.8986,18.9419,5.95079,25.8145,46.37,311.603,156.292,64.5492,35.2705,9.92446,38.1171,36.2103,10.7331,30.6978,42.4871,466.762,204.918,100.597,46.3892,9.44261,51.7464,46.9192,13.683,35.3653,39.7883,425.742,165.104,75.6017,72.2163,12.8321,32.0613,30.4246,10.4835,40.008,45.2622,426.46,226.439,134.114,122.572,11.6686,39.4719,41.7205,12.5557,39.935,40.0344,346.078,219.917,99.2768,35.7107,10.0255,37.4005,37.4797,11.339,35.0077,42.2177,562.318,225.232,125.229,47.3172,11.1894,55.752,51.8927,15.8805,34.8295,41.7285,371.982,149.643,88.9565,37.7142,10.0722,43.9719,39.2758,12.4723,30.9427,40.0612,1882.42,437.582,540.515,210.41,15.6044,129.411,96.2891,44.4407,83.9174,52.0479,,,,,,,,,,,,,,,,,,,,
wty_cpp,3077,fell,25.82,6,12.5289,30.9696,3.149,3.71286,82.7996,37.3814,12.5432,21.3545,8.69455,14.6192,13.8308,3.88973,32.051,41.2519,162.599,85.8313,29.7878,26.5345,10.3809,21.247,21.4015,6.17161,32.7887,42.7765,383.686,178.777,74.3728,38.7251,9.67306,43.9938,40.3967,12.6864,34.0093,41.9346,213.459,93.0705,39.5379,29.2618,9.92704,26.5804,23.5886,8.03924,34.5341,41.5025,322.03,138.143,38.276,33.5431,9.6608,35.6237,29.2471,9.11593,36.3285,40.9851,730.823,39.6413,184.532,26.2135,2.38956,31.3834,11.2084,10.2274,12.7862,8.01228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,3078,fell,35.52,8,23.9887,26.1299,1.58859,3.67045,429.405,131.963,43.2825,32.6161,10.5652,38.1234,30.3017,10.324,34.5532,42.1022,344.842,165.032,47.2018,44.165,9.92685,37.2528,38.3105,10.8108,33.1762,42.005,485.068,163.484,49.6728,86.7229,11.6731,33.5876,32.6058,8.93928,37.7936,42.8541,356.952,128.362,33.8599,41.4426,8.97701,32.635,30.1524,8.69836,31.8536,42.4759,389.786,109.678,33.3553,35.09,9.20135,32.7871,26.5498,8.47257,32.4818,41.959,332.173,194.531,55.4463,53.6845,9.36317,31.8908,33.374,9.13725,37.6372,42.8397,302.354,122.947,59.7394,33.8167,10.7909,24.7398,25.6114,7.96148,33.8452,41.8308,645.72,38.715,124.127,80.5697,2.07,31.8117,9.81753,11.5396,21.6931,5.3545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,3079,fell,35.9,8,27.8092,13.4898,2.83333,2.34411,122.597,56.2615,24.4177,24.7545,10.1615,21.6204,18.7063,6.03581,32.756,42.6441,476.177,171.238,88.9995,36.477,8.69012,53.4408,45.4555,14.7356,38.8202,43.1158,646.189,228.507,80.7235,58.9049,9.86643,50.0119,52.0853,13.5747,41.3907,43.1082,155.034,88.3333,39.4348,33.4946,10.0946,23.2725,21.1142,8.12379,35.1146,42.5649,366.297,166.327,59.9304,42.8553,9.65854,38.0566,35.5161,11.3498,40.8383,41.6735,437.194,238.72,91.2317,37.2021,11.6008,41.8083,43.8086,12.9131,38.8252,40.728,171.118,109.695,52.008,51.9923,10.1141,22.0541,22.136,7.83133,39.6746,44.558,702.357,115.214,123.448,202.862,12.5725,34.457,19.6762,13.4196,31.5575,19.2707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,3080,fell,45.7,10,15.7994,12.2995,2.25138,2.56043,215.031,113.114,28.5775,33.0925,10.4941,24.7698,21.5034,6.78779,30.2732,43.6824,367.158,91.4558,51.2802,91.1227,11.0025,36.2868,28.2503,9.64037,34.001,43.3205,129.032,71.4818,42.0795,38.4125,9.00909,19.2988,17.8409,5.74717,29.9088,40.5434,340.865,115.311,46.812,49.7797,8.8242,32.5191,28.6234,7.88094,31.4325,42.0084,536.081,190.516,58.0714,46.6666,9.73074,47.8749,45.3839,12.2088,36.8595,43.1346,744.919,322.681,113.906,54.3128,10.2801,58.0984,60.2825,16.8978,40.0907,42.9279,194.969,125.2,44.7471,35.627,10.2761,23.1523,24.2343,7.01267,35.1227,41.627,517.311,204.588,111.683,57.0089,10.385,40.8422,39.1826,12.5191,42.3103,40.4767,752.358,261.858,121.857,49.0214,10.3287,62.811,48.8148,18.3322,42.0425,43.1447,636.752,84.0833,118.965,235.31,13.6142,25.1554,20.3969,10.3633,35.9325,12.535,,,,,,,,,,,,,,,,,,,,
wty_cpp,3081,fell,45.76,10,13.6602,10.1629,1.51218,2.15239,127.32,71.0469,18.3677,30.6041,9.87399,20.6767,21.536,4.77454,30.7418,40.733,342.692,123.948,46.7795,33.0811,9.19099,41.1075,38.0981,10.3484,33.2769,43.5256,369.314,138.872,59.1662,97.3904,10.806,38.7978,36.13,10.263,37.3811,42.0026,375.059,120.983,43.7357,38.7247,9.58499,32.5752,30.3482,8.4629,34.7262,41.6222,199.723,97.4346,38.9737,30.3822,9.91129,25.4946,23.0851,6.96943,33.4034,42.8432,221.19,86.7528,32.3791,29.6979,9.43335,20.0246,19.8241,6.49318,32.8436,41.2086,453.621,164.528,111.276,67.8355,10.5017,34.5033,31.5884,10.3032,39.9622,43.7901,521.458,236.918,104.985,47.0224,9.17815,53.0208,54.6531,13.8769,34.5523,42.7165,460.659,126.031,53.9684,41.6845,10.0792,40.0801,32.0531,10.5224,33.0789,44.3822,721.864,66.2588,65.8436,14.9316,1.93359,18.8726,10.4953,5.58173,6.87716,6.01609,,,,,,,,,,,,,,,,,,,,
