policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
zealot,6144,fell,12.22,3,621.827,38.4989,3.40022,3.58586,1335.87,450.895,162.317,56.6495,2.43965,199.027,128.434,56.7644,51.6747,8.25237,1451.96,464.356,152.908,63.3777,1.27506,185.917,118.29,51.4862,47.9407,6.65207,1079.44,330.672,103.312,69.2103,14.4053,102.206,65.9466,25.1136,28.6117,7.07994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,6145,fell,15.86,4,455.098,102.497,3.3119,4.04889,1515.93,336.831,156.449,48.1195,2.11693,238.3,124.039,67.1548,51.9978,11.345,1046.26,369.381,155.912,19.4204,1.94228,183.65,114.376,56.1701,27.989,10.641,1040.66,386.116,161.706,20.468,1.47246,179.311,113.789,52.4746,30.2665,10.1336,302.021,77.9913,33.5065,18.3219,22.3911,30.8114,23.1783,8.11138,8.54823,4.67197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,6146,fell,7.34,2,364.288,101.466,0.795245,1.26382,1140.38,374.897,140.523,44.6319,3.85624,193.636,112.571,58.4039,48.4781,13.3289,769.795,231.336,78.4541,53.1944,85.4408,86.0619,59.2588,24.4552,26.101,21.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,6147,fell,5.76,2,322.702,87.597,3.35335,3.58797,1076.56,392.741,128.221,32.3921,1.66581,203.014,123.02,61.467,45.3687,8.79275,265.536,71.233,29.3688,22.6798,4.90541,32.8644,18.8329,9.86079,9.71737,4.74037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,6148,fell,4.4,1,266.555,137.14,3.3554,3.21961,1334.62,374.856,119.027,68.0808,69.2509,215.841,109.536,60.7653,48.0901,17.6649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,6149,fell,3.94,1,257.034,113.78,2.85651,3.69364,1260.89,342.684,126.667,87.9961,7.40365,151.019,98.7994,44.2151,46.4682,7.62619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,6150,fell,6.08,2,396.575,103.607,2.92492,2.26637,1255.88,408.314,141.726,41.7146,2.06932,176.851,122.421,50.1316,46.1554,8.91534,333.042,135.568,52.2237,26.7123,14.7346,47.2955,30.232,13.8172,14.2193,6.50155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,6151,fell,8.86,2,478.862,120.977,2.10016,0.874802,1338.78,378.57,140.446,34.6493,4.59051,233.217,127.293,69.0437,53.2097,15.5791,1315.35,412.941,132.63,52.0992,9.21269,150.105,97.1952,43.6074,49.7191,13.1264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,6152,fell,6.08,2,246.445,7.07149,3.56068,4.10571,1744.45,475.41,155.795,63.3709,1.84163,241.412,141.899,70.1761,53.0701,5.63095,455.579,146.134,42.5601,54.5765,4.60776,43.0499,29.3999,12.166,12.9881,3.24972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,6153,fell,6.6,2,320.598,141.459,1.25539,0.604923,982.099,360.19,115.001,47.066,1.24596,195.716,116.802,56.5844,45.764,6.51873,386.675,143.058,76.0313,28.9512,1.92921,68.9276,46.1108,22.3459,20.1087,4.72168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
