policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
asap,4096,fell,32.08,7,79.0113,30.7553,1.72644,0.790056,295.441,20.7379,7.64206,37.1216,9.63053,31.3616,25.9459,7.31939,30.4511,44.0235,261.897,18.3828,6.01322,39.1834,8.5011,25.0126,26.1215,6.15285,34.0174,43.2631,303.38,33.752,16.1816,60.3629,11.8932,26.9454,26.1417,6.81137,38.2985,45.2294,359.13,34.8009,8.07256,49.3415,10.524,29.9244,33.8657,6.95039,35.3404,42.3572,365.198,36.3866,12.7079,40.9396,10.1721,27.9458,39.0594,6.62894,35.246,43.9738,568.38,48.5693,21.4541,44.3085,9.20969,43.0206,53.8755,10.4385,35.018,42.409,296.327,41.9568,60.6973,27.1939,10.0258,35.0064,40.2664,10.1602,22.8849,20.7033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,4097,fell,11.28,3,72.4985,81.4621,1.10555,0.472367,259.541,24.6803,7.55473,28.0029,9.14138,32.5461,26.1937,7.14183,33.922,43.1354,409.099,43.8384,14.4555,86.8285,11.0748,35.6088,37.1763,8.38882,36.1054,42.828,1834.68,92.0531,178.267,81.7362,3.91313,76.9188,69.0738,15.7797,32.279,13.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,4098,fell,26.48,6,54.0031,33.5919,1.56519,1.28772,329.739,35.1897,7.23838,20.7791,10.8514,33.6076,36.6866,7.20175,32.5827,41.6163,255.466,23.4132,6.80688,31.2457,10.6329,27.5246,25.0146,6.54739,28.6287,43.192,222.567,22.5402,4.72684,25.1529,11.4494,23.4238,29.5068,5.45072,31.1734,41.5991,514.545,47.945,16.7691,28.2903,9.53941,41.5438,49.7015,9.57582,34.9005,42.4561,349.757,36.0441,8.95064,29.5762,10.3923,30.1768,43.1515,6.79858,29.0334,41.3186,1079.94,88.7952,56.1136,117.574,10.8201,48.5539,62.012,10.3242,30.1919,18.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,4099,complete,60,12,32.2151,23.7381,0.0871773,0.0826927,323.567,29.7672,9.77245,62.6636,9.59299,35.8772,33.8052,6.82914,34.3258,42.5705,322.139,31.5006,7.96246,44.4766,9.39211,28.0193,32.6914,6.2252,34.5362,43.0946,506.575,48.0048,13.0701,54.9829,9.87997,34.956,36.9935,8.53442,34.0505,40.734,277.632,25.2491,6.85937,40.17,9.58511,27.2089,31.386,6.44691,32.9671,41.2944,307.013,29.5725,11.2198,49.5054,10.1879,28.2769,37.121,6.36032,33.3705,40.2632,254.756,22.2126,9.16187,63.9757,10.8867,26.3383,34.372,5.80553,35.1346,42.141,344.312,27.2994,16.0787,49.3816,11.4707,25.939,35.841,6.21766,35.5846,40.2127,714.99,53.4457,20.7467,62.0292,10.3021,45.4955,48.0798,10.4605,42.3014,41.6753,346.336,27.6013,8.26144,26.596,9.09042,34.4831,36.6677,8.11847,36.4988,42.3428,368.349,37.9828,9.54828,32.3088,10.3528,30.9496,28.095,7.9664,34.9518,41.1847,369.476,35.3134,14.3471,32.8046,10.4282,32.9023,35.2827,8.23328,32.924,42.7953,868.501,49.2363,39.8366,63.7815,9.49697,54.4108,59.0356,12.0363,38.2041,42.7238
asap,4100,fell,16.28,4,65.9368,31.02,0.346259,1.75535,327.263,23.989,10.7119,38.9676,9.34055,34.7409,31.6953,7.76856,35.4908,42.4314,255.991,19.5143,8.50396,52.8921,9.28923,26.9327,23.706,6.32478,37.5729,42.6883,298.443,32.963,12.4517,37.4954,8.79741,24.9301,32.8052,6.18064,35.7369,41.3038,1555.36,53.9424,36.2182,29.5634,2.61824,46.3147,45.0091,8.43375,14.4608,10.9981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,4101,complete,60,12,61.0366,17.0878,0.512965,0.480151,387.454,30.348,11.3611,28.4518,9.527,34.9886,30.7783,7.51902,31.4689,42.9926,380.577,32.0115,9.80998,25.163,10.3374,31.764,31.8698,7.08708,34.4227,44.4065,398.943,33.335,10.1938,26.7388,8.79953,32.6605,42.6853,7.49611,36.1021,41.5479,324.374,27.8681,10.8209,47.9751,8.9444,24.5723,35.1669,6.55926,37.8335,42.585,287.55,30.3214,11.0226,91.6228,10.6535,24.328,30.0229,6.20535,36.8634,41.0744,832.5,61.7123,29.9455,43.228,10.9459,50.2864,50.6078,11.4719,38.5461,40.3442,661.378,54.4149,27.1883,57.5624,9.27186,40.6395,49.8559,10.2272,40.871,43.3985,412.178,41.7154,14.4753,33.6205,9.49185,37.047,35.6118,8.23957,37.725,43.5601,324.995,28.5401,9.88318,39.3026,9.45609,32.6242,29.0676,8.06054,34.1668,42.1962,512.393,52.6577,16.4438,105.726,11.6576,39.5319,52.2694,8.33023,35.4628,41.7808,567.143,71.072,24.1307,43.5868,8.96166,40.0097,53.6552,9.0883,33.5554,39.6259,652.394,64.1783,19.7287,47.4774,10.0684,39.0037,52.6091,9.76589,32.2623,42.985
asap,4102,fell,12.18,3,229.02,18.8278,1.33853,2.11283,405.044,33.181,10.295,30.7325,9.6777,37.6788,40.7594,8.16307,34.0612,41.9181,508.342,41.7159,28.8507,38.0382,10.2317,41.6838,46.9585,9.6213,34.9398,43.7105,1566.83,153.257,89.768,96.3685,32.002,67.2273,92.4426,14.7798,38.513,37.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,4103,fell,32.04,7,21.5752,27.4062,1.254,0.677189,344.543,28.9335,6.71276,30.2621,9.61372,36.5883,30.9161,7.83204,33.7057,42.3478,294.155,30.1327,9.97756,42.656,9.61332,27.4725,28.6638,6.50783,32.5368,41.0273,507.523,41.342,26.8182,112.552,28.4069,38.1665,36.816,9.55381,43.5959,46.4323,447.459,47.7123,14.6101,37.9045,9.8262,41.0596,41.3535,8.98183,36.3116,43.0024,592.677,57.366,19.7324,31.3624,9.49065,40.2936,47.3822,9.10507,38.3747,43.7084,388.166,30.3099,18.4811,80.7728,9.61629,30.905,31.975,6.98348,37.2006,42.4522,354.606,30.6479,28.9703,56.9706,16.6356,27.0108,31.0134,9.06078,27.5005,28.3668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,4104,fell,44.72,9,31.7429,31.428,0.669703,0.515595,284.182,31.9905,7.94054,60.7537,10.6267,33.0734,26.2108,7.14827,35.839,41.9737,392.347,41.2176,11.0725,42.0349,8.9236,34.6598,33.9816,7.31565,33.8789,42.3558,416.127,41.7651,14.6791,64.0835,11.2544,32.3661,36.5043,8.85609,35.1135,41.9697,282.67,27.7528,5.98417,31.5196,10.0047,31.8779,31.7755,7.26357,30.2844,44.1512,346.645,22.4089,10.5311,32.3981,9.53772,35.3874,24.9506,8.27971,30.9856,41.6335,257.251,18.8211,6.96816,25.6261,9.71581,27.6301,29.1564,6.22642,26.9107,39.8606,639.861,47.7335,19.2126,32.7554,10.5793,49.638,50.9885,11.8368,33.5267,42.3348,617.308,53.0393,22.5244,125.559,22.7891,46.2353,53.369,11.1791,49.1968,48.643,972.091,74.1213,34.9434,35.6099,10.814,53.692,61.1051,14.2773,46.2921,42.5913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,4105,fell,36.9,8,58.4063,18.2419,2.65018,3.01527,365.637,29.9316,8.73304,23.865,10.0745,36.8288,33.9646,8.12552,33.2442,43.4926,345.224,34.9498,6.27308,23.6014,9.82642,35.0836,26.9289,7.20481,28.6077,41.6602,502.553,46.2839,15.6733,25.9388,9.70403,38.2044,37.9733,8.85097,30.2291,42.831,532.962,52.3228,18.6943,33.3859,10.5108,44.4001,50.5637,10.2553,33.541,40.2339,437.651,34.5967,14.5155,79.7818,11.4016,32.7275,36.3356,7.39107,34.8079,42.4944,467.211,37.689,15.8907,50.4639,8.77438,36.3588,36.0298,8.41829,32.7724,43.849,467.909,41.7365,17.6054,36.5269,9.24526,34.1628,36.519,8.82051,31.2024,42.5498,3410.16,123.994,138.95,168.759,6.61951,117.106,97.9808,19.749,40.2256,17.4995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
