policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
decoupled_wbc_h066_p012,4096,complete,60,12,7.88414,3.97584,0.0194298,0.0206835,236.649,38.3119,13.8999,25.2623,8.27941,30.0646,20.3733,5.50407,27.7255,25.7586,160.81,28.4253,8.23383,27.4502,7.30883,21.1337,16.2041,4.20702,26.8465,24.3476,74.1812,19.2959,20.5527,33.5253,9.23849,9.71278,7.57096,2.75878,26.8997,26.0476,258.413,46.8734,14.4465,33.8131,7.8514,31.2263,23.7765,5.25082,26.6338,25.7066,193.871,39.573,15.8802,32.4212,8.07957,25.9667,19.4231,4.58026,24.8175,26.1303,273.947,53.3506,23.3867,26.7326,8.29191,35.8069,26.5159,6.46837,26.2903,26.4645,205.641,44.5114,15.3842,31.6091,7.4127,25.505,22.2638,4.05839,24.7263,26.5672,257.657,140.748,31.1081,37.2792,8.49212,38.166,39.921,7.70205,29.2096,25.2205,208.884,63.6629,18.3444,25.6067,8.0209,29.861,23.5556,5.40131,25.3533,26.2221,546.325,216.705,45.9892,61.3658,7.03111,65.2164,65.5665,10.5676,35.2917,24.1358,610.818,125.108,42.6495,116.844,8.12865,66.2617,58.0475,10.9983,39.1558,26.9256,332.649,62.343,23.7124,73.2844,7.87905,39.2753,34.0153,5.74323,32.4925,26.4419
decoupled_wbc_h066_p012,4097,complete,60,12,9.55745,3.39883,0.0351945,0.0518785,179.109,34.1717,12.0623,21.8836,7.1814,22.1335,18.878,4.43996,25.0145,25.767,267.997,41.3651,19.4804,73.0582,9.15937,34.864,22.3391,5.84053,28.4435,25.2633,345.779,77.9839,19.2028,39.9428,7.33153,41.1686,39.2517,6.14856,28.8551,25.1955,84.3625,14.5962,7.30827,29.3068,6.86899,10.8005,8.74891,2.57747,24.7319,26.2686,274.933,43.3201,14.8744,24.6043,9.01824,32.5957,22.3748,4.93171,26.7673,26.5617,175.424,36.8687,30.9022,141.988,56.4357,20.1539,15.5785,4.54098,36.7083,29.0194,327.655,62.1669,18.9955,37.2643,7.64243,39.3705,30.2722,6.74673,29.7323,26.2363,198.214,53.0067,12.4485,34.2273,7.11623,25.4564,24.4375,4.19181,27.8312,25.5147,339.21,59.5511,17.3335,25.9735,7.58443,37.2744,28.317,6.78712,27.6216,25.8218,812.715,133.61,33.4482,36.468,8.30551,86.8907,59.0754,13.9206,35.0603,23.9076,195.21,46.8535,14.8697,28.6016,8.68922,26.8183,19.5753,5.83505,25.375,24.4632,365.23,43.4465,21.313,24.9417,7.97731,45.278,26.4777,7.73214,25.9726,25.807
decoupled_wbc_h066_p012,4098,complete,60,12,8.28724,2.53665,0.00142833,0.0170293,204.971,50.2318,13.8585,13.6845,8.48715,25.6506,22.569,5.32067,27.6505,25.3413,233.189,59.9662,15.4636,28.8076,8.75505,29.0835,21.5211,5.62521,25.7227,25.8908,106.603,19.2895,7.07087,18.3533,8.95418,13.6715,11.3408,2.50075,23.5496,24.2823,246.379,46.2276,19.3412,21.9463,7.69874,28.1923,21.2145,5.61,25.9842,26.8649,261.398,64.9534,11.1181,23.9317,7.78655,30.6429,28.1979,5.29879,25.617,25.0803,596.486,99.902,30.3003,70.8295,22.5019,63.2153,43.9356,10.2431,36.3852,32.1901,170.012,24.5521,10.3183,16.0515,8.15586,20.9791,13.9585,3.47356,26.5546,25.6999,430.122,71.2469,22.8183,37.6443,12.2105,49.4545,37.0747,8.22654,33.6555,29.1118,394.491,85.7894,26.3814,44.5607,9.14121,46.8986,38.0876,7.31157,28.8611,26.6273,270.466,49.1375,35.3322,111.509,11.4442,30.9812,22.7775,5.97091,36.1318,26.36,347.885,83.9218,18.7755,44.5971,7.76846,42.8297,37.5766,6.4488,30.0063,22.9579,247.156,58.0366,14.492,36.116,8.35421,32.1368,28.3329,5.08857,27.3357,26.2474
decoupled_wbc_h066_p012,4099,complete,60,12,7.34982,4.76218,0.00934126,0.00486055,184.068,32.2575,13.6617,48.3473,8.03699,22.0581,16.8247,4.59564,28.9764,26.4159,438.225,72.2537,27.0958,50.6953,7.44724,42.596,31.281,7.36811,31.5576,23.7893,329.54,70.548,18.5257,43.179,8.13367,39.759,32.6146,6.18478,28.2937,24.3147,169.761,33.3443,9.19622,33.0334,7.72686,21.4326,14.3131,3.87946,25.0615,25.0328,310.542,51.9719,14.0618,42.7829,8.07305,32.6482,24.7495,4.76687,26.68,24.6435,157.932,26.8024,14.3666,61.5334,9.01379,22.3077,18.5153,3.76888,26.4918,25.6171,109.669,21.1067,38.1725,41.3814,8.58153,14.6956,11.1247,3.18666,24.8147,26.4389,357.404,61.8671,23.9512,41.4167,8.15538,35.3487,25.3461,6.58288,29.7512,25.0913,167.759,27.3569,9.92584,14.3627,7.20182,20.7364,13.6884,3.7974,25.4565,25.5698,177.652,41.6349,12.1559,20.6806,8.18841,22.5558,14.671,4.71663,27.3182,26.5173,253.224,51.3477,21.0766,25.4593,7.88941,29.0715,22.5019,5.50825,24.8903,26.9949,597.781,67.1614,29.0211,38.3352,7.72912,44.4934,28.0138,8.2087,28.3918,27.7956
decoupled_wbc_h066_p012,4100,complete,60,12,7.32473,5.56537,0.0279767,0.0351933,253.572,47.1284,15.7131,28.3972,7.74364,28.9125,22.9709,5.60139,27.4753,24.4665,201.043,38.6024,16.203,43.6551,7.54571,27.028,19.5785,4.68085,26.6822,25.3384,102.777,27.3544,11.2415,28.1249,6.98348,15.7745,11.002,3.28391,26.4106,25.023,429.227,87.2995,26.3844,36.9478,8.63211,49.2166,40.6212,7.2768,29.3915,27.0881,298.621,63.3252,21.8227,70.8972,13.0104,37.4346,27.2279,7.1136,31.2704,28.5482,302.038,57.5471,26.4889,38.5941,9.65854,37.3085,28.5948,6.61584,32.6918,27.5044,270.679,49.2152,38.7124,114.523,27.6538,29.8508,23.3727,7.16886,35.822,31.72,415.182,68.1974,22.8497,36.7006,8.04391,34.6477,28.5253,6.41664,27.9019,24.76,131.99,41.228,13.933,34.6342,7.69252,18.3386,15.7676,3.39932,27.0245,24.4097,317.517,57.8168,21.6218,28.101,7.86689,38.0387,25.4753,6.73586,26.3248,24.8845,393.93,67.1667,28.7241,28.1742,8.77608,36.2539,22.0923,6.60012,26.6373,28.2213,362.343,90.6791,115.896,69.0706,9.61325,41.3556,37.9644,8.40776,33.7861,29.2745
decoupled_wbc_h066_p012,4101,complete,60,12,8.63445,2.87575,0.01247,0.0210308,298.308,48.4264,13.5009,20.975,7.83312,38.0845,26.6127,6.62925,23.5218,24.8435,349.956,70.7922,16.9967,18.7697,8.45037,44.7497,38.1814,7.20968,27.1357,26.7332,282.956,59.587,15.4841,15.2933,6.9072,34.795,27.0285,6.4125,25.3565,24.0982,209.738,39.6178,14.9926,33.9408,10.325,26.7219,17.9331,5.49753,26.9072,25.193,197.327,33.9212,14.9407,92.2901,10.539,28.9264,20.7443,4.79617,29.3512,26.7679,196.321,39.1863,10.7734,18.2594,8.64842,28.3525,18.688,4.65247,27.3368,24.4736,211.43,49.7929,16.1563,47.5668,14.6453,28.5366,23.0328,5.2675,31.6435,26.5973,345.829,84.3763,17.6511,40.6378,17.4495,44.2824,43.6607,7.0185,29.2201,27.5317,131.856,34.5013,14.5612,31.2596,7.43179,16.2877,12.5375,3.93882,25.6879,24.8595,249.07,42.8087,17.97,95.0474,9.44543,29.6076,24.7573,5.42404,31.9073,26.1015,416.709,92.6279,24.1713,35.0979,6.96969,39.6776,32.4032,7.04105,27.9618,23.5119,219.197,47.7872,12.3382,31.1035,8.22487,24.4526,18.8763,4.42771,24.7462,25.8378
decoupled_wbc_h066_p012,4102,complete,60,12,8.42506,3.78957,0.0219141,0.0481991,250.782,40.0745,12.9871,21.8341,8.28176,30.0422,22.9915,6.19264,26.6976,25.2737,249.71,49.0409,12.7444,25.2248,8.5455,31.504,26.1721,5.30978,25.6785,27.1223,142.574,40.5621,13.6128,35.1903,7.94905,18.6497,13.5776,3.81165,24.4811,26.1025,267.846,60.4259,16.8314,32.6464,8.50265,35.4815,28.3187,5.77353,28.4314,24.6998,202.668,48.2272,19.9589,77.4127,9.31195,24.6423,20.2684,5.71422,29.5368,27.0437,239.586,39.3647,14.3623,49.3532,9.52145,27.8597,19.2639,4.84549,30.91,25.8642,305.266,66.8971,15.143,21.2248,7.46204,40.9971,34.7618,6.98251,27.4054,23.7882,330.477,101.654,24.1894,38.6042,7.46212,36.1774,33.4336,6.84668,31.3164,23.2374,205.664,61.2541,17.4293,45.3824,8.36003,26.3329,22.7085,4.81878,28.7801,26.1813,378.106,76.2475,28.0696,62.341,8.81506,44.4788,34.5943,6.827,30.1239,24.746,171.641,34.7491,12.1735,27.8758,7.83965,24.796,18.7106,3.60016,25.23,25.4029,240.1,45.0844,71.8669,84.9447,219.09,29.5489,20.7408,8.241,38.8829,47.6147
decoupled_wbc_h066_p012,4103,complete,60,12,8.00154,3.88016,0.0192151,0.0363217,261.173,52.6923,13.3721,24.2577,7.98256,32.4476,26.4035,6.17569,26.6203,23.8865,150.052,26.4739,11.0371,35.0189,7.43524,19.4301,15.1291,3.29744,25.9009,24.7127,176.477,47.701,28.9155,118.923,129.386,22.5632,20.066,5.2923,35.7621,30.7912,421.075,96.3439,21.927,30.4114,8.13988,50.0945,44.7948,7.81312,29.8257,24.837,336.213,58.5431,15.6175,25.1825,7.79448,36.7451,26.096,5.90261,29.0629,26.3157,194.224,55.1648,26.6895,110.044,10.9055,26.1613,21.9151,5.56465,31.7653,27.5442,280.713,68.0819,20.6672,38.4443,7.24586,33.1208,27.747,5.41713,29.1583,24.3691,120.52,35.4919,35.1432,112.423,9.35863,14.643,12.5329,3.66816,28.3843,25.0239,270.741,69.4396,19.3165,33.8251,7.51372,35.6793,30.292,5.42961,26.5437,25.843,366.741,60.6096,22.9078,34.3101,9.21317,40.6913,26.5971,7.37925,29.7596,26.4288,205.857,34.1052,16.7847,88.1915,106.46,24.0616,17.2681,4.67287,34.1318,39.3348,181.959,44.4984,12.8021,27.8105,7.85547,22.7258,16.4348,4.68201,27.5038,27.9141
decoupled_wbc_h066_p012,4104,fell,45.44,10,14.3394,19.0506,2.17307,2.06737,168.524,38.8405,17.2728,54.1223,8.59905,20.8023,17.3649,4.82343,28.0295,25.7003,314.003,72.6594,15.4875,39.9608,7.0863,36.8736,33.5002,6.20794,27.9747,25.1374,274.117,50.5895,15.5701,57.4954,8.73633,35.275,23.4249,6.26336,28.4096,25.4334,243.798,37.302,11.587,25.1365,8.25953,31.9279,17.2833,5.48246,24.1106,24.4273,252.738,56.7857,12.2116,26.8601,8.18941,34.8227,26.6617,5.1785,24.9762,23.9743,138.537,17.1359,7.00212,21.8254,8.53022,17.9574,12.6276,3.36014,21.9397,24.2759,327.571,63.8826,21.6122,22.6911,8.40861,42.0967,29.4781,7.84999,24.9391,25.5205,320.953,72.9174,44.6628,303.21,58.7614,45.4858,30.2579,11.8081,51.1674,33.4167,330.787,56.7403,13.8382,32.0725,8.20583,38.1429,27.9031,5.67676,12.7125,26.8407,1435.45,62.4202,107.822,29.2818,9.44012,26.3889,12.1337,5.35466,7.02177,4.83761,,,,,,,,,,,,,,,,,,,,
decoupled_wbc_h066_p012,4105,complete,60,12,7.21666,4.76637,0.00780901,0.0229097,293.949,58.758,12.6449,17.3875,8.30518,31.6043,30.0531,5.86048,25.6367,24.8194,273.118,52.8892,11.7262,20.7338,8.18736,32.3936,21.4943,6.01563,24.2685,24.5449,252.588,44.2416,10.0707,19.4088,8.26266,31.8469,25.2093,5.31169,21.5362,26.2473,293.493,60.7537,14.6709,24.2638,8.61306,35.8404,30.4247,5.69818,27.2792,25.3582,128.086,24.3385,10.5083,42.1761,12.088,16.6599,11.7201,3.7544,30.8919,29.1486,405.844,74.7652,20.2729,45.2795,9.0897,50.8675,37.8517,7.37107,29.3268,27.6579,214.106,45.8432,15.0388,31.3231,7.75764,26.5673,23.1415,4.62509,26.6349,24.8493,435.709,69.6544,32.0721,141.7,10.6513,55.5716,42.0162,8.09645,40.4139,28.3019,395.669,52.2354,20.4736,35.9234,7.20287,31.5205,20.8543,5.32002,28.4578,23.5653,1937.36,212.212,134.98,66.4532,15.6444,108.841,63.4338,20.3764,42.3539,25.063,267.538,46.4777,44.8521,103.623,210.14,35.3407,20.4653,8.16132,36.4983,43.6427,330.171,105.348,22.2388,48.9535,7.88873,39.8516,37.4331,7.07806,19.3004,26.116
