policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
gr00t_wbc,4096,complete,60,12,14.748,2.61042,0.0825899,0.0662241,187.369,20.0584,9.84761,28.9373,8.15425,18.7375,10.2985,3.39745,25.9186,25.6902,206.168,16.3951,11.2924,31.0225,7.29316,17.6074,8.21502,3.13992,25.0727,24.2484,102.617,13.4224,17.1345,40.387,9.19714,10.0083,5.92831,2.12825,26.257,26.0428,294.185,36.733,16.9319,39.0741,7.88675,23.9938,13.991,3.78544,24.0611,25.6554,265.645,32.5721,18.3281,40.9963,8.19937,21.3281,11.9813,3.81532,23.9837,26.1418,299.234,30.2956,21.7522,29.5693,8.38765,24.1491,12.4347,4.799,24.4451,26.0341,252.166,28.4894,18.2751,36.3899,7.72321,19.7151,11.4029,3.70263,23.9705,27.0309,320.379,57.1617,22.4267,41.1582,8.48789,24.764,13.9815,4.14269,25.3178,25.6807,678.646,171.339,35.9928,32.5989,7.91077,50.8302,34.589,7.21769,26.1718,25.708,818.984,119.252,49.8861,62.3324,6.96391,56.5364,31.8014,8.54136,31.2801,23.955,580.736,65.1192,43.3487,96.562,7.88596,40.8024,23.0656,6.64882,31.9647,26.5487,805.838,107.652,44.7641,70.8356,7.7292,57.0591,31.3389,8.40732,32.5091,26.6053
gr00t_wbc,4097,complete,60,12,11.3742,3.60006,0.0493609,0.0567483,214.993,26.7644,12.129,26.3165,7.1773,19.5383,11.0053,3.48327,24.5548,25.6714,362.009,33.0888,28.1329,84.4345,9.4078,30.7731,15.7865,5.39129,27.1464,25.2529,337.174,33.978,18.217,43.1882,7.27599,26.1668,14.6457,4.13056,25.9557,25.2213,134.178,12.9587,9.77745,34.9248,6.87589,13.2304,7.10558,2.43219,24.1049,25.8002,338.715,31.6342,15.3257,31.0926,8.19683,25.9374,12.7243,4.27471,24.6043,25.5225,351.036,63.7267,35.5749,139.609,41.6253,28.3701,17.115,5.51052,34.1255,29.814,389.581,31.5319,19.69,43.731,7.55907,30.8816,12.6892,5.11444,27.5781,25.9324,236.184,27.4946,12.2349,40.0072,7.14429,18.5495,10.1202,3.12667,25.2944,25.3076,306.479,34.6182,13.6698,25.9023,7.50082,28.333,15.1099,4.47987,25.9721,24.7765,805.555,75.617,29.7346,32.4246,8.24235,53.9774,27.5386,7.89007,27.11,23.7118,238.084,24.4909,11.8501,25.9834,8.42319,19.6676,9.64436,3.58312,22.9769,24.4258,318.638,28.936,17.0638,24.3942,8.17809,27.5368,15.5934,4.70264,21.5048,25.1212
gr00t_wbc,4098,complete,60,12,8.53122,1.99052,0.0407562,0.04333,201.179,31.4293,9.55973,16.3264,8.46566,19.7521,12.7938,3.44188,24.6834,24.345,344.223,36.9869,14.0707,30.5189,8.68734,24.2596,13.1642,4.0814,22.6149,25.5403,88.028,10.3506,6.23732,19.7954,8.93164,7.44148,4.16183,1.52944,22.6438,24.4662,358.152,37.6,18.9245,25.57,7.6555,24.3991,12.3627,4.40097,25.1358,26.8512,286.356,31.4338,12.1935,27.7044,7.81583,21.8996,11.4855,3.66367,22.679,24.8036,696.496,75.9961,27.1391,65.1021,16.3403,46.8284,27.4429,7.21714,33.2842,31.9688,205.364,16.1759,9.03931,18.2774,8.32194,15.462,9.22494,2.51212,25.697,25.9039,493.327,50.4081,20.5529,48.7452,16.4404,34.7174,16.197,6.11641,33.0157,30.072,449.323,51.7173,23.3078,48.2216,9.43867,34.1802,18.0739,5.28408,26.7085,26.98,419.906,38.2709,33.7736,116.222,11.4471,29.8487,12.0353,5.45583,35.5443,26.3205,337.074,32.1681,16.7803,42.276,7.74464,24.8261,13.0417,4.2637,26.5459,22.8509,292.606,26.7005,16.6273,37.6137,8.38888,23.1897,13.1589,3.80439,24.9655,26.1441
gr00t_wbc,4099,complete,60,12,9.58663,2.61164,0.0632281,0.0708829,412.518,45.4174,16.3794,52.4089,8.20727,32.1555,18.2704,5.08892,29.1768,26.4986,337.478,38.951,17.9429,44.9722,7.43375,27.1507,16.6606,4.32329,26.7615,23.6246,368.377,43.4774,15.8674,44.7281,8.04304,25.864,14.0137,4.28594,26.4728,24.0382,263.38,25.7212,11.0345,37.876,7.69384,19.7231,12.3527,3.22242,23.1695,24.9261,217.952,27.7279,13.0877,38.7418,8.10051,19.4211,11.0594,3.28502,23.9205,24.2951,257.628,22.9226,24.7662,60.102,8.92233,22.9173,13.3653,4.20909,25.6894,25.3411,113.776,11.6192,23.0974,45.0995,8.68175,9.05033,4.45919,2.00634,24.1654,26.5939,573.292,62.2006,39.6639,47.4903,8.16421,42.4513,20.4523,6.2473,28.7608,25.1728,215.314,16.5787,10.3544,20.1221,7.2551,19.3634,11.044,3.62271,24.8326,25.4738,285.393,31.3187,12.2145,24.9482,8.282,21.0663,9.30859,3.93413,26.0817,26.2965,293.806,29.1223,19.7224,29.1265,7.91286,23.9724,15.9674,4.04704,24.1468,27.049,1117.67,79.7468,91.4433,54.7773,7.7832,51.2526,26.0819,6.98084,30.8347,27.1013
gr00t_wbc,4100,complete,60,12,9.96234,3.35517,0.0963288,0.140136,289.346,34.9445,16.1883,36.1777,7.78291,25.716,13.5322,4.3211,25.3006,24.2824,287.203,27.9382,20.9294,46.977,7.54165,24.7686,12.1565,4.70707,25.5404,25.3889,110.028,11.979,10.4534,32.2873,6.81708,10.9913,5.44371,2.12273,25.8585,24.3834,441.439,50.9286,29.9468,37.0024,8.46282,29.4397,14.1794,5.59899,26.7322,27.1745,305.643,39.8979,20.0681,68.444,13.8775,26.4303,14.0438,5.02968,30.3964,30.4095,430.475,54.5373,31.032,46.8853,9.75911,35.937,22.5576,5.8713,32.4346,27.5357,522.064,53.5212,42.9577,132.505,31.2721,37.6657,18.7253,6.60743,34.2052,29.9797,816.264,148.718,38.5181,41.2407,8.01768,50.3153,28.4241,8.26906,26.9074,24.6822,302.792,71.032,21.95,36.5795,7.71889,23.6287,16.983,3.93387,26.6744,24.5826,286.254,28.5456,20.1144,29.6537,7.53046,24.4454,12.0482,4.61565,24.4043,26.2512,486.304,54.378,24.807,34.3249,7.7012,37.245,18.9514,6.02054,26.9774,27.9273,437.265,114.111,61.5363,53.1418,7.91195,29.1169,20.9828,4.79989,30.874,27.6547
gr00t_wbc,4101,complete,60,12,7.70392,2.79325,0.012134,0.0142734,287.161,29.764,12.6691,23.946,7.60733,24.1663,13.5677,4.00359,21.4652,24.693,333.028,31.7657,14.3225,22.8898,8.3229,26.0923,14.1598,4.38069,25.1066,25.8881,265.48,24.1648,12.7297,18.9732,6.94257,24.4176,12.5623,4.30787,25.1928,24.3732,282.242,33.4147,19.2236,26.6992,9.05684,21.7159,12.7463,4.28341,22.3119,23.2888,204.859,21.6411,14.5105,82.6066,10.0934,17.6936,10.676,4.0389,32.2687,27.0597,187.32,18.2873,10.0469,24.6606,8.40029,17.0563,8.95282,3.01967,26.8241,25.6988,269.66,54.8991,16.5699,47.5731,10.0376,22.9321,12.7182,4.18549,32.0981,29.6434,353.546,38.9792,15.2397,34.0813,7.65936,27.6672,15.7655,4.16977,26.441,26.2862,171.543,19.565,10.7259,36.9552,7.39671,14.219,6.02427,2.84354,24.8584,24.7581,453.818,83.3066,25.4783,104.962,9.40321,36.9105,22.1295,5.69703,33.0566,25.3539,416.725,57.57,16.4693,33.5125,7.03893,30.3349,16.7278,4.86507,24.6087,23.3489,238.416,22.8115,10.1677,32.5175,8.2448,18.9621,7.32597,3.50862,22.793,25.7182
gr00t_wbc,4102,complete,60,12,8.51089,2.5718,0.301618,0.428829,267.675,26.5404,11.1273,21.9239,7.90353,22.767,12.6418,4.14817,23.7435,24.9684,335.866,35.0527,15.3109,32.0472,8.60474,24.1589,15.1778,3.90468,24.4835,27.5167,270.943,31.6733,18.7029,44.1819,7.9764,22.2613,12.6411,3.99606,24.2663,26.1643,290.761,38.4646,15.8742,38.2347,8.5361,23.0955,11.7989,3.94855,27.0079,24.7156,284.68,32.7716,21.1463,68.5669,8.71125,23.9212,11.6912,4.68693,27.2774,24.7552,386.312,39.0332,16.1151,58.2266,10.3454,30.5271,15.6723,5.20358,31.6867,26.1073,347.092,37.0111,16.1338,27.3454,7.47939,28.3579,17.4807,4.76365,23.81,23.8888,267.299,54.972,15.9577,40.2296,7.46414,22.9717,15.3857,3.95603,26.7199,23.1734,294.752,61.429,17.7972,48.4706,8.33871,25.8878,17.4743,4.35918,27.0611,26.0736,655.6,125.14,41.8766,75.695,8.89333,49.773,30.2115,7.59599,29.7657,24.7904,243.084,26.5609,13.0443,36.5242,7.82327,19.2957,11.475,3.32401,24.2126,25.4513,830.136,104.283,92.9406,130.214,107.81,54.1645,34.2463,10.1867,46.5143,40.0478
gr00t_wbc,4103,complete,60,12,9.38219,2.8224,0.0211443,0.0283729,300.017,31.9168,13.0411,28.2429,7.73466,25.9339,13.3187,4.27174,25.4424,23.8305,226.086,21.0638,13.2637,40.3668,7.4577,16.2683,9.74469,3.0284,24.7064,24.7429,411.91,70.7071,36.6907,121.588,105.727,33.9881,20.7691,6.06039,37.8152,30.7491,386.864,42.7708,18.3628,37.9719,7.88634,30.5575,16.5103,4.65529,26.1778,24.494,540.502,49.7456,20.9273,26.4276,7.54086,36.2468,16.4977,5.50881,27.6377,26.2267,300.15,37.2555,31.6841,96.2014,10.1803,24.2107,12.8167,4.41276,28.2838,27.2104,347.445,46.6063,20.6557,43.2939,7.26079,24.788,15.0905,3.94596,26.3163,24.1667,306.13,44.6071,44.7296,102.384,9.2601,27.5251,12.6243,5.01149,28.6393,24.9705,296.539,48.0996,23.4304,38.8611,7.59706,24.2485,13.2994,3.61853,24.9905,25.9701,600.973,61.0905,28.2502,46.1796,8.54967,43.1308,19.6945,7.27211,28.7187,26.3588,384.595,54.3774,23.9062,106.667,78.4346,33.3227,20.6839,5.36062,37.3975,32.6808,277.45,32.5383,12.5558,29.7173,8.05884,22.6192,9.52719,3.91681,26.3431,27.7905
gr00t_wbc,4104,complete,60,12,8.67532,2.79938,0.00408856,0.0100031,228.112,33.6442,14.3498,52.3157,8.69375,21.4221,10.8836,3.85814,27.9271,25.9948,180.476,25.5298,12.7365,38.9492,7.07423,14.746,7.70679,2.63307,24.3824,25.1667,366.651,33.6094,17.6616,53.6501,8.71609,27.8199,14.1736,4.82546,26.7804,25.4539,324.875,31.7336,11.6953,26.6525,8.21435,24.185,10.8503,4.20578,22.818,24.3965,314.008,28.1659,13.52,29.2069,8.29804,25.4176,13.5118,3.79501,24.0731,23.7601,147.511,13.2246,8.03341,21.4188,8.28838,14.1934,6.75623,2.96746,20.7878,24.6583,379.497,38.2671,16.292,21.8227,8.33369,27.6544,15.2074,5.09279,21.4819,25.2582,1568.75,132.461,76.0805,297.47,71.98,89.198,44.4902,13.1737,54.3447,33.5247,374.195,45.2937,15.3041,29.6071,8.18611,28.872,17.0972,4.67435,10.9217,26.3028,1492.23,74.7334,68.2566,49.5633,13.8727,61.6529,26.0208,8.10815,9.65895,25.8775,287.547,47.2953,12.8359,49.4861,17.8499,23.9963,12.5507,3.63127,14.3323,23.7604,809.965,112.791,42.781,83.1205,21.7053,40.8193,25.5567,7.01141,18.2361,28.2367
gr00t_wbc,4105,complete,60,12,8.63171,2.58542,0.0414353,0.0445409,234.532,34.7733,10.3542,19.1608,8.34564,19.9945,10.8274,3.11944,23.0137,24.4924,252.291,27.5895,8.33889,19.9637,8.16489,19.9377,10.2458,3.64656,21.7231,24.3829,249.231,23.1489,10.7363,18.7904,8.2654,20.4379,12.5888,3.62178,18.8785,26.2691,256.235,25.0953,11.8843,26.1349,8.74039,19.9286,11.7826,3.19506,24.7884,25.1956,189.99,16.9416,16.3424,48.9414,10.2795,18.2584,8.81495,3.59712,29.5856,28.4774,303.019,31.4257,15.9847,45.6696,8.70404,23.3639,12.1891,3.76588,26.1638,27.5513,191.787,15.4803,13.4778,34.5001,7.73424,14.9312,7.2313,2.60134,24.6154,25.056,657.919,75.2388,36.3666,154.155,10.4245,47.1452,28.2615,7.23637,38.0733,28.2498,819.286,49.47,25.9442,39.6994,7.18462,42.3578,20.2349,6.64747,27.27,23.592,961.093,84.5714,32.538,36.5471,10.2899,57.1805,28.3455,8.41631,25.3698,24.8086,408.542,51.67,45.8842,105.077,102.499,30.6958,15.3277,6.1278,36.5863,41.3971,467.388,91.8525,22.3654,55.6985,10.5313,39.1704,25.0118,6.6802,20.2975,27.0774
