policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
homie,4096,complete,60,12,23.3079,27.248,0.0339549,0.044664,261.959,42.5328,28.7737,34.254,7.74283,30.2964,19.0984,5.59118,29.5258,24.6072,361.935,47.8618,40.5103,34.7781,7.32651,39.7162,26.1296,7.06481,27.6036,24.2812,265.549,48.3761,35.783,50.4785,9.22428,26.7286,13.3681,6.09315,29.4583,26.1731,469.288,72.0329,41.6155,66.1742,8.05914,45.6422,29.9677,7.97114,28.4558,25.5334,430.108,61.4693,56.1646,58.9594,8.20805,50.8558,29.3112,10.511,27.8023,26.4128,403.605,61.2588,50.7367,38.3408,9.11527,45.8468,29.4193,9.11379,26.7158,26.3162,348.81,51.8438,49.3583,50.3621,8.09515,44.2572,26.4885,8.71526,26.628,27.2579,509.882,88.5864,80.6682,64.1176,8.81413,38.8388,26.656,7.44077,28.711,26.1532,516.559,82.9918,59.4905,44.7506,7.88351,48.2527,28.7357,9.46628,27.7447,25.6876,1132.68,181.757,82.0448,87.1197,6.94943,73.1719,42.1992,13.8395,36.4138,23.8218,688.584,97.2823,61.2983,132.461,8.01571,59.7121,31.0739,9.59379,36.9472,26.8432,560.048,72.785,44.2755,83.911,7.73015,41.9001,25.8633,7.45117,32.7228,26.635
homie,4097,complete,60,12,11.124,44.5986,0.103475,0.187163,319.241,50.8831,33.9379,29.9295,7.25787,36.637,23.2562,6.42509,26.6681,25.9293,601.989,76.8132,51.8908,108.656,9.55326,55.9063,32.135,9.6183,31.9959,25.3824,459.294,54.2613,42.3884,62.3149,7.32702,46.9154,30.8809,7.60201,28.7494,25.1231,51.6682,10.4202,12.3177,35.1202,6.87172,7.38967,4.94,1.91197,24.148,26.0097,473.268,62.5775,52.7418,38.3436,8.37334,49.7886,31.0425,8.53673,27.2126,26.2763,652.537,74.2032,55.2606,58.8987,18.1651,52.0515,26.1982,9.32087,34.6277,31.029,492.009,65.7238,47.1978,58.0329,7.86528,47.6287,30.3951,8.23288,31.168,26.4005,299.077,53.0607,35.3359,49.6378,7.20842,36.8888,24.6054,6.36705,28.5418,25.3677,413.287,61.5686,40.6408,29.7122,7.47387,40.7383,26.6157,7.23833,28.6057,24.5954,892.29,96.6279,68.2271,40.3181,8.18766,68.5771,33.8725,12.0047,32.6487,23.8593,302.636,57.1147,37.097,31.743,8.49857,31.1511,19.9158,5.7585,24.4234,24.6171,548.412,69.2551,47.8039,29.5759,8.02959,49.9375,30.82,8.44585,26.4367,25.6327
homie,4098,fell,46.88,10,39.6929,24.7208,2.20397,1.2871,250.697,39.337,25.0906,17.3502,8.44005,29.3364,20.1483,5.10117,27.0525,24.5039,477.91,59.4883,48.221,41.9723,9.02417,48.682,29.9864,8.96704,27.6489,26.6174,128.362,17.6155,17.769,23.9829,9.02107,17.1848,10.1235,3.6291,23.8504,24.4905,494.614,57.7407,53.9088,29.2797,7.83867,46.4277,29.6164,8.28049,27.799,26.7762,337.199,58.2663,34.2128,35.1475,7.91153,34.9505,26.139,5.96845,25.4335,25.0307,805.655,135.183,81.802,87.6415,27.093,62.6217,36.3485,10.9709,40.7978,34.567,231.225,33.6713,25.6633,20.5084,8.44355,25.2698,17.543,5.01374,26.7937,26.0721,554.653,69.8398,47.4871,85.578,30.4088,52.5222,29.749,10.1923,37.3764,36.2733,484.92,60.0626,58.9255,52.161,9.24699,48.2668,29.1259,8.22567,28.2228,26.3416,3859.92,350.015,145.273,269.339,75.3214,127.632,47.4182,20.3411,61.1631,36.4118,,,,,,,,,,,,,,,,,,,,
homie,4099,complete,60,12,9.99485,25.4261,0.0572344,0.0513266,588.011,76.6848,51.6581,75.4971,8.51555,53.2934,32.2596,8.62115,32.3432,27.1792,429.288,57.7872,37.3464,81.3563,7.49631,43.5255,28.8045,7.18797,30.6907,23.7696,376.837,52.3958,33.4284,63.9827,8.12517,38.8172,25.2445,6.56818,28.5993,24.0024,228.825,32.1489,20.5882,50.2019,7.75858,24.1795,15.3346,4.26053,24.6191,25.097,171.173,25.5513,20.7893,50.8352,8.22112,16.9045,10.2001,3.71579,25.4458,24.5071,358.656,55.3249,37.597,86.3707,9.15501,38.2429,26.503,6.76701,28.6275,25.4081,162.448,19.8767,104.07,52.1947,8.82022,17.1817,10.1288,3.80108,25.2765,26.5716,898.989,85.7939,75.4728,71.8643,8.22701,68.6735,33.8742,12.4371,35.3994,25.3279,313.003,43.2239,36.7284,20.4788,7.2541,36.9478,23.4392,6.57885,26.3435,25.5028,489.53,67.9745,54.1412,33.8826,8.38048,50.3938,30.7779,8.82802,29.1532,26.2372,131.802,17.009,17.3295,26.2905,7.93844,14.1203,9.33505,2.90307,23.3296,27.178,3420.19,170.915,310.475,111.928,9.1423,113.512,38.8323,18.1318,42.8045,30.8509
homie,4100,fell,31.26,7,37.2461,52.2195,1.58967,1.18101,426.643,52.6281,47.6111,44.2601,7.74369,50.0826,26.0714,9.11499,28.9958,24.2343,362.837,55.575,41.797,75.3936,7.58193,39.7251,28.4298,6.81353,28.7416,25.3873,184.49,29.9308,23.7747,35.9316,6.87864,22.7359,13.9164,4.51245,27.4139,24.3602,650.958,70.0956,64.1603,43.9852,8.54128,55.6853,32.1566,12.1414,32.2833,28.3938,451.436,61.7032,46.8359,70.5764,13.7322,46.7198,26.7086,9.1627,31.9577,29.9661,728.047,121.359,71.6638,139.715,11.9575,60.7435,34.3521,11.7173,36.4413,28.9649,2925.95,203.124,178.659,202.012,35.0794,96.5241,35.8851,19.7655,45.2302,18.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homie,4101,complete,60,12,10.6722,27.7821,0.145038,0.247758,483.462,65.4616,45.1549,34.5695,7.68406,51.7628,32.246,8.26705,26.6715,24.9308,493.563,67.6716,47.8848,26.2778,8.39429,48.9678,35.331,7.7575,28.7268,26.0515,435.233,58.0166,44.2618,23.3432,6.87126,48.4979,30.0725,8.45044,29.8788,24.5375,398.422,48.7293,49.5721,33.1708,10.1523,45.9139,27.9431,8.56576,26.5819,24.7616,261.184,33.1275,27.2519,57.9353,12.3497,27.8398,15.3717,5.98914,31.752,28.7983,269.788,34.777,29.2346,26.4393,8.50945,31.4408,19.6287,5.82278,28.9323,25.7515,402.94,66.0031,42.4844,53.3702,9.73624,40.5553,21.4264,8.04823,34.1506,29.2508,431.936,66.1386,42.1021,42.2191,7.68158,45.849,31.8741,7.70029,28.6097,26.7498,327.255,72.8203,42.8396,44.7781,7.43047,35.9423,22.6316,7.37726,28.3198,24.7076,667.636,59.4182,43.1705,119.118,9.08222,45.8052,22.2516,8.36716,35.8297,25.1932,245.786,27.3317,30.7398,33.4754,6.91888,27.7713,16.5748,5.52403,24.6427,23.608,415.548,53.6266,40.6844,39.3837,9.30423,43.802,29.7879,7.82764,26.1162,27.0267
homie,4102,complete,60,12,14.908,40.5215,0.185438,0.175054,428.117,55.1835,42.7108,26.3121,8.08823,47.6832,31.9047,8.16107,28.2736,25.8524,371.372,42.27,35.0157,33.4578,8.5184,37.2396,21.473,6.66436,26.3095,27.7004,218.06,31.6289,27.6197,46.463,7.98887,23.2497,14.9056,4.87475,24.6398,26.244,459.764,68.4213,49.0292,51.1181,8.53429,48.4494,31.2691,9.07542,31.2325,24.6398,237.894,36.5202,29.3434,84.3326,8.61923,25.9081,18.4483,4.91589,28.4382,24.5085,502.78,63.5604,46.4993,80.4665,9.33735,46.4934,28.901,8.26113,32.3452,25.0432,839.719,111.313,64.87,47.2437,7.60078,66.8881,39.5208,11.2499,33.0976,23.9329,352.807,61.2674,32.6712,52.1997,7.5058,34.5498,20.567,6.03392,28.691,23.1737,310.249,69.9344,31.1335,59.0594,8.42623,29.3488,18.9145,5.80362,28.7684,26.0923,1418.47,211.351,107.643,146.672,9.67018,91.7257,46.5793,17.7255,40.2703,26.7169,425.706,58.6364,50.2544,45.975,7.77718,47.8358,27.1908,8.80292,29.0171,25.5088,954.775,131.722,103.975,89.3094,33.736,66.6677,38.0669,13.3496,37.6653,30.3588
homie,4103,complete,60,12,13.09,27.3848,0.00927498,0.015696,438.728,57.9525,47.1051,35.8427,7.66145,48.7104,30.6204,7.81943,28.718,23.5072,240.083,28.4468,19.4964,44.3343,7.52083,18.6489,9.8671,3.6665,26.0347,24.7474,430.058,51.1882,43.4776,136.894,147.126,36.7049,22.8811,7.77985,39.5513,31.3095,505.13,64.3322,51.4652,43.5794,8.05017,51.0447,32.8691,8.43034,28.4526,25.1313,502.524,51.381,48.1888,34.1299,7.68576,47.1195,28.4743,7.76859,29.6024,27.0405,408.252,52.6817,51.6234,69.4151,7.7836,47.2315,28.4273,8.96944,31.2222,25.2746,413.792,72.5388,49.862,66.3031,7.27341,47.765,29.885,9.40261,29.8265,24.2921,383.586,54.0374,65.6345,168.506,32.8232,43.663,27.0887,9.96475,39.1273,28.5387,400.421,57.0467,54.854,58.9698,7.76741,49.8638,27.2582,9.8718,27.8423,26.5089,763.168,85.9141,73.7448,60.7466,8.39433,67.9584,34.2437,12.7678,33.3322,27.2427,470.153,53.3902,39.1001,58.3553,10.6438,41.8916,21.2266,8.09272,35.668,27.7046,367.722,47.1957,37.6633,35.269,8.00816,38.1805,25.6609,7.35147,29.2688,27.6487
homie,4104,complete,60,12,23.0896,36.3437,0.0811183,0.151378,276.041,43.7896,33.9251,56.2563,8.65354,30.2198,18.544,5.0088,29.4863,25.9049,241.625,43.7614,25.635,52.251,7.15041,25.7286,16.7484,4.91325,26.524,25.1813,527.283,78.8128,52.607,63.354,8.84339,48.2489,32.1985,7.46864,30.5948,25.5696,378.891,57.4309,35.4981,31.1077,8.20716,37.3986,26.7216,6.58462,26.0625,24.6778,395.529,49.387,35.4549,33.183,8.28138,34.9636,22.8829,5.75957,26.4801,23.9193,191.597,28.4258,21.8004,25.1514,8.56989,21.3538,13.0144,4.15407,22.16,24.7645,509.254,64.8839,46.2806,27.4552,8.52316,50.0434,28.2096,9.93412,25.1534,25.9111,1471.99,191.775,100.651,178.235,28.3344,94.9099,48.5157,15.5858,48.5402,34.0883,353.517,47.5946,32.7722,34.672,8.28953,36.7691,23.5165,7.00796,12.6103,26.3908,1326.83,119.018,143.424,50.1493,9.58442,75.6886,44.7791,14.2407,20.8927,28.6661,437.072,73.4649,37.8041,32.9974,7.89999,34.7422,22.8109,6.53367,15.9075,25.4993,1245.28,124.85,120.958,47.3774,8.41522,83.0809,42.5214,16.1844,16.2316,26.0008
homie,4105,fell,36.24,8,27.433,22.851,2.72476,2.53148,284.471,43.8215,27.9533,21.1008,8.36609,30.9724,19.5874,4.81508,24.4986,24.5415,434.496,65.0487,41.8582,26.2016,8.26065,44.3476,30.8883,7.55862,25.6658,24.6128,369.202,53.7014,34.5257,24.4504,8.3528,35.5078,24.3335,7.0252,21.9699,26.681,366.954,52.8905,36.66,32.0169,9.35944,39.4631,26.8323,6.73961,27.2027,26.0814,325.801,42.0085,46.3223,58.0481,12.423,39.9688,25.2189,7.96407,33.5661,29.2224,438.327,60.1117,45.0864,55.8975,8.31918,44.4575,28.6251,7.35927,29.4889,26.4721,368.683,53.261,58.4219,52.1055,7.8393,45.1152,29.3652,8.65081,30.5786,25.2622,3200.96,249.35,224.834,248.473,39.1363,95.4763,38.0981,15.6044,47.771,25.0285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
