policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
homie,4096,complete,60,12,103.834,49.0844,0.369877,0.483381,190.196,23.0245,19.3183,41.25,8.18332,38.4912,18.4975,7.27409,33.4942,41.9498,292.36,37.6037,33.1731,40.9488,7.71222,66.774,33.287,12.4646,37.9766,42.5262,163.247,35.4361,25.3139,51.1922,10.5218,35.1581,16.363,7.52803,37.9659,45.8737,328.937,47.0647,34.949,51.0782,9.02273,63.9806,32.7011,13.0657,39.3703,41.295,325.921,45.2433,45.6511,57.7367,9.05355,68.8792,25.7619,16.9405,40.1151,42.144,333.992,44.1165,43.6616,52.9987,7.86443,69.0207,31.2345,15.4034,35.6217,40.7228,305.508,31.7388,44.5821,55.7711,8.23619,72.6313,26.9605,16.1763,39.0452,44.211,380.146,49.6502,41.9651,63.2249,9.01145,60.0623,21.7407,12.8313,37.5088,41.0103,234.695,30.6671,33.9221,41.6359,8.9426,56.5097,25.4487,13.288,34.4084,43.8952,2755.52,393.809,144.572,147.689,8.02776,192.188,93.5035,37.1129,62.0523,40.549,1531.91,110.172,96.7352,157.339,9.25213,158.214,53.7688,26.7612,56.3204,41.9762,629.52,68.2564,65.981,92.6312,8.67616,94.0999,36.0225,18.6659,47.7952,42.4504
homie,4097,complete,60,12,11.9935,50.0938,0.0633309,0.164145,223.954,24.737,30.1272,28.5834,7.80706,51.2036,20.6628,10.5604,37.9001,43.3038,427.386,47.6675,44.9307,101.301,9.93908,80.5018,33.7591,16.4892,43.5822,43.5012,1429.07,97.0543,129.459,90.984,8.27367,128.067,40.2856,23.3515,51.3757,40.1892,93.1846,17.4476,15.1387,35.4467,7.45367,22.5442,13.1599,4.55375,33.0167,43.1703,321.339,37.3404,37.6302,37.9693,8.96394,63.3361,30.5421,13.4395,37.9924,41.7508,725.28,68.4201,84.3922,152.46,11.4863,107.836,36.2082,18.1762,47.5484,41.4496,362.433,44.5542,39.9577,51.5946,8.67213,74.0907,32.8814,13.8337,40.3344,43.477,318.957,35.8282,42.8046,55.0424,8.30372,57.6696,28.5418,11.6511,39.4165,41.6266,278.576,40.8433,31.987,30.3802,8.58771,57.8232,26.5849,11.3641,34.734,43.1425,749.225,66.087,59.5522,39.2403,8.81769,101.181,35.3151,19.1806,39.8382,42.586,228.205,42.9027,23.882,29.139,8.6602,50.2913,19.7456,9.57409,30.9809,41.4439,386.085,42.1876,36.7339,30.0888,8.08197,74.2463,30.3454,14.1524,32.1678,43.2143
homie,4098,complete,60,12,17.4294,47.3579,0.245641,0.27395,210.442,36.9999,21.6156,18.8401,9.3923,42.9046,24.7074,8.44395,32.8656,42.627,386.088,43.9784,41.0817,41.5845,9.4581,80.2701,31.0515,14.7987,36.326,43.4944,146.933,16.55,20.8114,29.4049,9.93365,33.9348,14.2722,7.48588,31.4042,43.9491,480.798,67.5336,41.8975,31.3981,8.27699,77.6565,43.4288,14.8893,38.987,41.0222,275.426,31.6444,27.2376,32.6458,8.83136,50.9197,21.2326,10.7363,31.9792,42.3592,891.525,70.0257,63.1206,123.557,17.2083,114.706,34.2796,21.3495,55.7566,48.5055,218.984,28.6393,25.7035,26.6277,9.28304,42.8882,22.1226,8.51912,32.4836,41.2937,472.683,47.3383,47.5756,131.683,16.7535,73.9049,30.5322,15.1375,44.2642,46.6959,322.706,41.0583,39.5142,47.6602,8.95029,68.2387,26.4722,13.8695,36.9396,42.7213,572.084,56.6429,110.532,92.7744,9.417,87.4438,36.4803,17.8642,47.2774,43.0884,481.829,73.2744,39.9245,54.4802,8.17767,78.5641,33.8137,13.9891,39.8721,40.8053,2219.7,273.822,162.714,113.551,9.93871,160.488,70.5038,30.5337,56.4896,42.5162
homie,4099,fell,55.72,12,14.4111,29.4079,0.784657,0.802337,466.24,59.6879,43.2143,72.865,8.64088,78.4116,35.5078,13.8812,41.1133,42.5957,319.055,30.5933,34.1998,69.885,8.1021,66.2377,27.1692,12.6873,38.6382,41.3101,327.331,38.4593,35.3205,60.126,8.55834,68.221,29.0806,12.7805,36.9285,39.9104,195.03,27.313,21.468,46.4707,8.56991,44.608,20.9019,8.23466,35.0405,40.3994,173.803,19.3131,20.5541,44.2124,9.01258,30.2442,12.8532,6.76323,35.7034,41.1135,265.632,32.9774,33.6064,76.6888,10.2697,56.1264,27.3263,10.7991,39.4938,41.0352,131.342,15.8797,49.9181,55.2199,9.88921,30.2601,15.046,7.04877,36.6196,40.6589,699.602,72.5041,65.0332,64.7753,9.13996,94.2489,36.9418,17.7896,46.6489,41.1447,225.255,28.4227,25.3035,21.7893,8.18918,46.5773,21.0376,9.31373,36.6377,41.5086,348.521,42.6199,39.8218,33.4722,8.81085,65.3324,32.6374,13.544,38.3184,41.2339,127.349,19.6651,15.4778,27.0858,8.77434,26.1747,12.594,6.07002,32.3975,43.2299,1419.29,100.319,81.4258,64.6198,12.6443,59.9183,15.9066,9.98034,18.9335,19.6645
homie,4100,fell,26.48,6,52.8889,69.8114,2.63263,1.48751,319.318,35.2126,36.2412,42.4625,8.54115,71.3116,29.2519,13.3777,38.1327,43.6149,290.82,48.722,23.0607,62.6786,8.34028,49.4415,25.7172,9.45158,38.2688,41.5289,142.054,24.8624,21.9176,38.9891,7.66901,35.8416,18.1761,7.78892,36.2282,40.7036,506.679,66.0559,55.5992,47.179,8.43821,88.3913,34.11,20.0811,41.9888,43.5902,347.045,51.7036,41.4401,74.7364,9.27631,66.572,31.9315,14.1886,40.4495,42.3818,3448.57,302.354,283.574,210.524,22.0456,179.328,62.9958,33.0893,44.0354,29.3421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homie,4101,complete,60,12,8.80332,27.4731,0.0967282,0.214633,356.516,44.6861,35.7154,34.5566,8.46538,74.2522,33.0663,14,35.8971,43.4736,392.025,41.8015,39.4792,33.0536,8.5571,79.5442,33.6336,14.6099,36.2986,42.5569,312.708,33.2671,34.2936,30.1959,7.65247,67.9552,28.1771,12.9537,39.1138,42.1005,310.044,40.6758,37.4906,58.451,7.69284,67.4263,33.5618,13.5974,40.6011,40.8159,204.674,22.9989,27.907,80.1978,8.85686,44.2884,21.534,9.63642,41.6561,42.9142,206.692,23.4763,23.7762,31.4787,9.26464,43.2888,17.7814,9.37567,34.4573,42.8507,471.034,63.5475,46.4966,57.5184,8.55346,61.4867,27.1039,13.9785,41.7862,41.5046,379.245,36.8818,37.7631,39.0972,8.27579,74.0659,27.9674,15.0005,40.0354,43.6504,316.109,59.0747,38.2581,45.7719,8.0743,59.2513,24.6671,13.5038,36.3319,42.8011,691.862,97.7625,47.593,113.916,10.0298,73.5664,35.8033,14.419,41.4746,43.291,157.266,22.2756,18.9619,35.5486,7.46008,33.4451,15.8193,6.86303,31.566,36.2837,314.832,40.5054,36.6979,51.1423,8.62893,66.8682,29.7417,13.1842,34.4464,43.2216
homie,4102,fell,56.22,12,24.6663,31.1784,1.64625,1.50426,343.304,30.7525,36.5038,35.2882,8.03864,74.2236,28.0918,14.4805,36.5892,40.7798,317.8,30.6345,31.9243,38.4066,8.44064,61.8188,24.725,11.6297,36.7159,43.2962,185.391,32.7009,27.5641,48.2493,9.03686,46.2443,18.601,10.4422,34.7244,43.1638,319.43,46.4966,38.1833,44.5888,9.22207,64.9074,26.2451,14.5455,40.3128,42.0376,231.551,37.8124,28.6349,76.3125,9.25874,42.5039,22.9513,8.37886,36.9307,40.326,397.314,49.1756,38.6496,79.9205,10.3251,76.0464,29.6574,13.5093,41.1135,43.2825,518.594,37.9033,49.5419,41.964,8.17161,81.9095,30.2493,16.6472,36.6266,41.1559,341.929,56.3773,28.3706,49.1439,8.27641,41.0638,17.9261,8.4901,34.0517,41.5151,418.082,77.5959,41.2111,58.5628,8.82294,63.4541,27.4741,12.3494,41.0561,44.8955,830.985,101.526,76.7436,122.414,9.24788,96.1829,36.6279,20.7302,45.5684,41.0307,225.778,23.5079,31.8961,43.1075,8.65237,49.9543,20.4287,9.73933,34.7016,41.4714,2253.06,220.139,183.247,252.787,20.3809,100.106,37.6778,23.8659,49.2881,32.9663
homie,4103,complete,60,12,16.8499,26.3252,0.10948,0.123969,329.113,38.6233,38.0648,34.8274,8.27826,69.9245,32.7847,13.6336,38.0248,41.1523,217.974,33.1658,20.9967,41.3849,8.36087,34.0762,16.2788,6.74173,33.9795,41.9693,360.203,34.3544,38.1936,128.538,25.4002,56.7568,22.9273,11.7037,46.1819,46.5741,393.169,38.9341,41.2374,45.2764,8.55628,76.0233,28.9163,15.2672,36.5851,41.3194,424.56,51.5573,49.8367,38.8857,8.48877,69.7223,31.4282,14.379,39.4635,43.4003,320.973,38.7785,41.2025,70.5172,8.48545,69.8388,24.8721,13.3657,40.6711,41.7125,287.401,36.489,43.4582,62.3671,7.91515,64.5594,22.3673,13.9566,39.72,43.393,982.075,163.647,100.186,227.073,12.5587,114.807,51.2548,24.4375,61.2961,44.9758,357.161,49.1954,41.3022,63.6462,8.69775,73.9165,34.0612,16.1829,37.3163,41.052,531.324,64.4125,51.7456,54.8745,8.54725,82.6976,33.7764,17.6027,40.8959,40.707,676.164,56.6674,67.3683,173.988,10.8566,96.1076,33.4453,20.4424,53.759,44.7031,307.278,37.765,35.2565,39.6855,8.69327,64.9337,25.8722,13.3598,34.7755,43.8206
homie,4104,fell,45.7,10,17.2155,41.4121,2.16288,1.36134,197.604,40.2127,24.7042,56.6948,9.49185,41.4102,25.4362,7.86181,35.5271,41.8607,267.106,44.075,28.9449,48.9681,7.87727,52.6844,26.6552,9.60482,35.5129,42.1573,464.977,56.6401,46.9322,63.776,9.48843,74.096,38.8171,13.6161,38.4492,42.8395,301.406,42.3318,25.1098,31.1327,8.98116,57.5462,28.2996,10.9537,30.8219,43.7974,273.166,27.4453,21.3606,33.4987,8.50166,44.8775,20.2926,9.10581,32.3781,41.0134,141.421,16.9621,18.5696,26.0408,8.1788,31.6084,9.54805,6.52493,28.0798,41.2655,333.427,45.8257,32.6991,35.5612,9.34345,66.3447,30.5457,13.0428,33.8066,44.1073,528.616,53.658,44.9972,148.151,11.183,84.3427,34.064,16.2547,52.7845,44.7517,368.932,46.4118,37.3769,34.4813,8.39881,66.4018,35.1346,12.4411,37.1269,42.8409,1671.56,83.0071,98.0247,61.5557,11.3439,67.2344,14.7908,11.1572,23.7425,15.3026,,,,,,,,,,,,,,,,,,,,
homie,4105,complete,60,12,18.106,40.8777,0.0349144,0.0177348,239.129,35.9862,22.8045,21.8423,8.41227,45.7621,25.5602,8.04928,32.343,41.1479,349.588,39.1428,32.6523,27.9069,8.28938,71.1088,28.208,12.9956,31.3013,40.5428,245.782,20.2992,25.4913,31.0395,8.4416,51.6069,16.8988,10.3453,30.8578,43.435,330.238,39.8302,34.3823,42.0138,9.24067,74.9819,33.5935,13.4704,36.2563,40.5993,263.603,28.4334,35.7205,87.6868,10.2095,57.6811,28.1775,12.2119,36.2985,41.7355,338.429,34.1976,36.6054,54.9187,7.90403,63.8154,23.3831,12.9712,36.5461,41.7081,277.776,31.5364,36.2354,47.3682,8.482,58.3298,29.4715,12.2362,32.6286,41.7035,993.414,106.707,82.7958,188.664,9.54814,116.211,46.7943,23.1951,55.3823,41.2515,1733.01,120.626,129.766,86.8501,8.93734,130.677,48.971,23.424,49.8071,41.1732,631.755,59.7988,47.3268,48.3823,7.65948,87.141,38.7406,15.9722,38.3141,38.8733,538.003,91.5158,71.3626,102.236,18.1101,90.0091,38.6963,19.3752,50.5456,49.2554,230.394,24.9922,23.3305,42.6427,8.14656,48.6437,17.7109,9.29586,35.8937,40.6952
