policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
openwbt,4096,fell,14.5,3,144.185,28.4939,1.89605,3.88759,262.857,136.685,20.9392,28.5964,7.60835,71.2981,40.129,28.1851,34.9726,24.789,207.828,124.879,16.7376,29.6226,7.32561,58.4017,33.2811,22.3481,31.8773,24.4455,1032.85,730.721,207.254,77.9933,8.73646,290.961,114.38,115,77.9081,24.2885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,4097,fell,10.28,3,228.92,60.6098,2.71416,3.27248,256.372,149.452,31.398,26.2764,7.20335,85.7563,41.2287,35.6049,34.9016,25.5388,868.143,550.633,194.023,92.0005,9.42144,289.819,94.6074,121.816,80.5456,26.9323,178.308,70.4252,17.596,45.2268,35.4424,24.6065,9.64219,6.97289,9.52899,6.88343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,4098,fell,26.84,6,49.4855,40.1524,1.24541,0.870566,237.579,126.675,19.3257,16.4944,8.42788,60.3759,36.0127,23.4948,32.2702,24.0075,202.734,121.378,10.2967,30.0742,8.65086,39.2125,29.4675,12.4964,24.3361,25.5445,193.822,124.652,8.30825,19.7377,8.90911,37.0156,29.9157,11.2169,25.6011,24.6213,813.896,237.829,54.3244,37.8026,7.81287,90.4221,63.1133,25.317,36.456,26.867,233.561,130.125,9.59245,25.7849,7.79086,40.0107,31.854,13.6377,26.1409,24.8247,914.061,323.537,87.9603,83.9736,38.5974,56.372,27.2862,13.0355,33.2207,24.0723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,4099,fell,36.6,8,73.7737,51.3462,1.277,3.58296,226.209,120.628,14.6274,54.9245,8.84616,51.1281,35.4219,17.848,31.4327,27.2748,244.375,133.35,21.3384,44.896,7.42375,77.403,35.4004,31.8775,34.8365,23.9008,233.023,129.35,11.2071,44.1702,8.05751,43.1418,34.3452,14.7739,27.8402,24.0991,143.985,79.8131,8.77401,35.8102,7.68578,36.423,21.9211,13.5708,26.6582,25.0468,151.164,70.5348,17.7188,37.459,8.10728,49.2226,23.0298,19.8604,29.7927,24.6981,191.264,110.205,18.3321,63.6869,9.05219,39.6267,31.4933,12.7704,28.2965,25.3734,661.986,662.675,138.63,47.1687,8.77441,206.367,98.6301,87.5245,61.3524,28.8654,396.798,343.338,51.6885,49.4085,2.66759,76.8654,39.6743,27.2269,23.0508,8.80192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,4100,fell,23.08,5,292.038,78.2815,1.14857,1.01351,409.232,208.443,82.1992,32.7824,7.75656,159.765,53.2355,73.8822,53.7303,24.5436,259.58,144.349,30.3653,50.3906,7.58219,70.0976,35.064,30.5828,33.7471,25.7334,752.35,685.323,127.817,37.193,7.32039,228.359,108.175,92.8468,65.4663,26.1808,951.925,459.707,179.746,63.5478,8.96858,199.052,87.8582,84.4784,63.2641,30.0328,978.447,638.813,138.946,55.9452,78.4147,182.653,91.3321,71.9489,61.7237,34.1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,4101,fell,29.64,6,155.666,63.7028,3.26262,3.78411,305.644,160.651,34.9232,23.7535,7.58259,95.3498,43.0885,40.5955,36.5786,24.8855,191.013,119.416,8.5881,18.7978,8.311,33.0761,31.3052,8.85241,25.4721,25.7586,197.952,121.306,9.73676,18.0311,6.79569,39.9947,32.655,13.8977,27.0082,23.8433,229.078,145.417,16.2686,29.1055,9.3774,40.9013,32.1418,12.4049,26.2427,24.369,717.388,570.621,115.535,80.8622,10.2129,182.906,93.7969,72.4204,63.4285,30.3938,1039.31,745.284,170.049,45.3224,10.303,253.011,111.712,102.607,78.6253,25.9502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,4102,fell,16.28,4,104.395,52.923,1.60805,1.85111,275.509,143.21,27.9122,20.7152,8.00405,66.6513,36.0034,25.1865,31.7598,24.402,239.882,146.971,16.6501,25.6124,8.50984,54.1863,35.019,21.1296,29.6058,27.3241,383.85,266.128,66.0903,40.5401,7.91898,118.897,51.9801,51.1609,41.1374,26.1627,473.689,343.326,72.5512,25.9689,116.988,96.8271,45.2063,32.6095,24.7176,16.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,4103,fell,26.62,6,208.29,42.5868,0.819284,0.637499,279.244,144.851,20.5725,25.5506,7.60492,70.6275,38.6656,27.5124,32.9956,23.3796,147.665,76.577,26.5095,36.348,7.43516,61.3388,22.506,28.4555,33.7367,24.7529,798.011,652.099,121.351,125.627,133.268,177.372,93.4356,72.3776,66.8176,31.1246,404.837,249.924,60.2903,34.6942,7.90436,115.624,54.3244,48.6975,44.7331,24.6858,288.62,148.101,30.3888,23.3754,7.49234,92.2366,38.549,41.0025,39.589,26.3079,725.28,249.4,72.0526,97.4443,6.37683,55.6518,29.9551,16.067,30.9046,11.5343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,4104,fell,1.84,1,136.16,19.508,1.26998,0.949059,494.743,294.619,66.77,52.7211,4.41548,72.2008,37.879,26.3667,25.8596,10.9044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,4105,fell,27.44,6,54.0708,53.446,2.69392,4.00527,249.134,121.414,22.1143,20.1077,8.31086,72.4996,37.0796,28.7572,32.8356,24.8561,235.965,108.429,7.34169,20.6632,8.21837,38.356,35.8192,10.2625,24.4893,24.5796,214.336,119.859,8.36479,18.9546,8.33188,31.9612,31.9394,8.67477,19.9705,26.3971,281.646,170.926,16.1179,26.7086,8.63924,46.4338,37.3591,16.096,29.1491,25.3351,284.302,182.098,41.0949,39.5018,9.22591,89.3441,40.9584,39.1169,42.2127,27.1442,808.968,172.431,51.896,59.5192,4.45122,57.6271,43.394,12.7045,21.7933,14.3446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
