policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
zealot,4096,fell,10.84,3,573.971,78.9081,2.60697,1.73973,1760.75,391.587,168.873,66.7674,8.84288,292.007,171.698,83.7496,71.0235,42.3683,1844.05,433.869,151.019,65.5812,8.13549,279.137,182.38,69.5824,66.539,40.8196,454.89,121.573,80.0061,50.7504,6.21872,52.4969,37.2659,15.6279,18.7215,12.7737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,4097,fell,3.62,1,253.011,145.343,2.31158,1.66513,1110.73,308.474,132.375,52.0696,7.22203,182.865,125.264,53.1921,52.3477,33.4409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,4098,fell,8.86,2,467.882,62.4631,1.09065,0.574656,1306.31,318.274,147.521,51.2205,9.52165,249.142,141.143,73.9651,66.0767,42.2614,2039.32,447.719,151.857,60.8373,13.2493,224.107,156.483,53.901,61.6149,41.0723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,4099,fell,7.4,2,324.263,129.232,1.55931,1.26522,1507.77,302.456,146.96,94.6071,8.10101,251.217,140.654,72.9772,72.2103,43.4175,1024.83,260.798,80.9919,47.2676,5.86283,118.299,86.5241,32.4963,41.451,25.5069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,4100,fell,4.48,1,347.921,77.6269,1.38818,1.15508,1531.87,399.958,145.419,70.1494,11.573,256.319,154.982,71.1783,72.2791,44.5281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,4101,fell,2.82,1,174.507,1.76308,0.41223,0.822611,1314.44,269.346,115.957,51.8677,8.27895,183.786,99.7111,53.0652,52.0455,27.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,4102,fell,3.32,1,234.967,127.182,2.66757,1.56976,1445.46,297.446,143.292,49.5696,6.84777,197.466,107.393,55.9542,48.5258,29.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,4103,fell,4.7,1,308.201,17.4362,1.48939,1.38494,1823.9,393.116,176.772,76.6882,10.4694,281.859,159.442,80.057,84.5848,43.0868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,4104,fell,2.28,1,287.846,162.023,1.51186,1.27973,1144.86,283.7,115.42,67.2585,6.12387,148.748,82.6376,38.8683,44.9092,21.5724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,4105,fell,19.06,4,711.899,46.958,1.38572,0.851263,1570.42,339.592,173.965,61.27,8.81498,258.736,152.66,80.535,70.4655,42.836,1177.79,313.261,123.149,53.4412,9.35941,222.087,148.318,62.1142,60.3142,43.6534,1598.4,380.228,150.505,52.2393,9.01207,240.298,167.392,60.9856,59.9384,42.6831,1597.51,407.282,140.246,62.5259,11.7654,230.14,146.694,58.4683,60.3337,37.0789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,4106,fell,2.42,1,110.677,93.2764,2.22308,1.74988,951.697,186.745,99.4438,42.2501,12.3431,154.166,75.8806,43.9548,39.8853,21.1553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,4107,fell,2.82,1,196.947,91.8223,2.05262,1.50041,862.591,218.909,116.518,44.2757,7.22352,151.872,80.8324,48.0709,43.3277,25.9884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,4108,fell,5.54,2,424.233,74.3815,2.43847,1.96325,1724.88,410.545,169.577,50.6107,8.02839,255.81,153.433,68.7731,60.9105,43.5154,346.842,83.2625,50.9368,38.9655,3.32098,40.1175,20.7635,11.3517,19.1696,7.48606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,4109,fell,6.38,2,342.356,82.4005,1.86379,0.672169,1453.65,362.891,152.379,64.4734,8.8245,280.595,158.067,81.3844,69.132,41.0241,819.054,184.967,68.1164,34.0842,6.41617,95.9213,61.1451,22.0104,22.8883,17.8644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
