policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
bfm_zero,5120,fell,24.34,5,262.988,28.1113,3.1148,4.01765,560.649,60.9932,38.5495,81.7452,10.4792,29.4108,16.4742,6.9344,33.5203,43.5084,1332.84,147.233,87.1146,94.1568,11.7948,58.1273,34.4348,14.3246,38.8264,43.1485,1324.21,107.075,87.8072,128.813,12.1704,58.433,41.2917,14.1127,43.7596,42.9835,1546.2,188.593,108.145,67.2994,11.404,78.6984,56.5324,18.6583,42.4046,42.9771,2238.29,266.504,135.79,115.805,10.2949,95.4651,68.1822,25.73,45.2425,36.6185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfm_zero,5121,fell,22.94,5,67.6078,46.6406,0.696998,0.974504,1091.56,149.482,89.2391,96.6483,11.0943,46.0993,37.9393,11.6418,39.7466,42.2721,977.811,91.1909,75.556,55.3496,10.786,63.5806,33.5291,14.0898,41.8772,44.2825,826.479,91.5135,65.8153,61.2196,9.65997,44.159,25.1181,13.3617,40.0716,43.0804,1214.99,198.375,83.6745,57.8488,9.85558,62.8459,44.1254,16.3959,38.2808,41.6786,790.86,65.9174,60.9314,34.3749,5.39581,43.9018,21.7679,12.4017,24.1238,24.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfm_zero,5122,fell,26.22,6,228.373,52.5038,1.56081,2.24168,1063.92,172.981,85.8637,79.7622,11.2584,54.6114,40.3928,13.2519,37.394,40.7407,803.156,70.8768,59.5907,82.2833,10.5854,46.85,28.8009,12.432,39.4154,42.7355,507.723,70.6222,52.8169,67.9233,10.913,38.7197,21.857,10.5723,38.6985,42.7323,1180.95,121.83,85.4396,92.9482,10.3397,74.7606,48.6551,15.385,44.7145,42.9278,1226.96,109.821,99.4115,138.646,12.5449,54.0268,38.5373,13.859,46.4538,42.6215,746.379,104.92,115.989,162.923,16.0142,35.1042,20.0639,10.2171,29.673,20.8642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfm_zero,5123,fell,38.72,8,199.19,55.7607,0.815062,1.86632,1139.35,119.488,66.6346,94.3063,11.2057,59.705,36.6582,12.1207,38.3621,42.4345,1284.72,132.856,113.526,110.267,12.9828,60.108,37.8529,15.4407,42.8943,42.3062,1369.59,132.08,93.4334,146.694,14.3478,71.731,46.2104,18.0343,46.925,44.9049,1467.01,148.683,120.085,161.477,11.5694,66.8992,52.3282,17.6289,45.4036,45.729,1487.96,133.329,80.4014,68.1445,10.8042,73.5164,46.0254,17.6066,40.0822,42.409,1298.92,159.188,96.2143,75.4091,10.353,54.1953,43.7363,13.9216,41.4497,41.6415,1585.96,176.319,157.828,182.354,24.5137,76.6714,52.1775,20.0994,53.1418,48.0914,836.145,71.4794,78.6708,60.2575,8.48279,44.9793,26.7034,11.575,32.1018,32.3903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfm_zero,5124,fell,35.4,8,146.787,46.101,3.34667,3.75704,570.539,70.8546,45.4501,62.0923,10.7033,36.0528,19.2,8.40919,37.0958,41.7,795.236,71.8597,65.7022,95.0521,10.8332,45.1401,27.9372,11.5276,39.8071,43.3006,810.189,72.4642,57.208,75.1902,10.4062,38.6676,23.965,9.50473,39.9499,40.7657,1026.35,132.123,75.3963,77.997,9.82815,49.198,35.6106,12.4226,41.707,43.0233,1217.63,126.004,83.3689,127.21,11.9036,60.4566,37.8692,15.4381,45.0023,44.1241,1276.53,178.913,92.2548,86.0973,10.698,63.8678,48.178,15.3493,47.2061,46.4599,2260.33,388.755,149.944,101.911,9.97263,100.041,78.4718,24.7837,50.1729,42.5923,230.509,29.9742,10.5027,8.96362,1.02186,15.4971,10.5501,4.65127,5.24231,3.05775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfm_zero,5125,fell,27.96,6,375.749,26.5011,1.4948,3.38028,547.192,66.9796,38.5916,58.0558,10.6281,33.6595,16.7285,7.7635,35.8328,42.2729,922.431,99.4278,47.7412,87.4653,10.1696,48.4065,36.6576,11.0528,39.8537,45.0385,1539.87,231.851,73.364,52.5928,9.54564,61.5598,56.5634,14.6046,38.3211,44.3546,2170.19,246.456,141.171,77.7311,11.5243,95.0861,68.4908,26.0172,45.8009,41.7706,1759.29,202.743,140.009,110.275,10.4142,87.6329,58.8807,27.226,46.781,38.9985,2501.03,230.178,179.003,77.6034,6.50621,108.955,71.4921,27.2535,38.2046,25.806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfm_zero,5126,fell,52.56,11,143.808,40.1567,1.37011,3.69786,931.827,75.4358,67.4497,54.5663,8.42963,43.5615,30.3668,10.6976,37.4469,43.2888,1468.63,151.133,122.838,70.5623,9.9246,75.4612,58.4549,17.0966,41.3553,43.7619,805.303,128.514,64.6155,69.196,10.3435,52.8666,36.9895,12.2115,37.6722,40.4459,1251.05,176.701,84.9305,76.7736,9.57859,54.2377,41.3185,13.9915,39.2368,42.3807,849.876,75.9428,67.2603,66.8072,10.0891,49.2607,27.1916,12.8362,38.4403,44.4455,1215.15,166.518,111.755,154.098,14.0875,56.4441,34.9406,15.8877,51.272,45.2361,1032.23,196.145,91.3668,54.8155,10.0283,46.0103,35.1794,12.237,36.9677,40.5597,550.057,60.8268,44.1298,48.4536,9.54469,40.9918,22.8668,11.6798,36.614,44.3992,1230.26,181.007,112.526,90.4738,10.4075,48.741,35.8513,13.8801,40.2163,41.9603,1242.02,170.055,101.383,67.3478,11.5003,72.0175,54.8223,19.8287,43.7663,41.7848,1428.56,176.898,106.864,140.689,10.4488,62.9913,42.0737,16.6622,35.2416,24.5461,,,,,,,,,,
bfm_zero,5127,fell,47.52,10,130.932,45.7276,0.97449,0.826075,1012.64,109.069,65.7403,100.88,11.17,45.0028,32.2329,10.7356,36.7814,42.3474,593.296,72.8978,51.4109,70.7177,10.2768,29.7312,16.3082,8.03645,36.7756,43.1501,957.163,142.649,85.8807,74.8745,10.9993,47.7419,31.9783,11.5939,40.3281,43.0069,620.406,76.0394,47.5675,56.437,11.2416,34.2543,21.0956,8.61418,36.436,42.2999,794.148,109.396,77.1128,72.0127,11.5353,40.4708,27.369,10.3881,37.1145,40.1493,1177.78,126.5,72.4114,96.7287,10.2089,58.5266,46.6297,12.3127,41.9054,44.2694,368.881,54.7385,29.6844,64.7486,10.0566,25.2566,23.2676,6.55979,37.4255,43.9239,962.484,105.414,98.0499,187.407,13.4097,50.1541,50.4498,12.9621,52.8127,46.0121,1078.81,158.244,94.574,105.565,10.3399,47.7337,38.5069,13.7635,44.9546,46.8093,862.628,162.956,128.561,142.944,6.70128,54.04,35.0722,16.4334,47.4758,25.5797,,,,,,,,,,,,,,,,,,,,
bfm_zero,5128,fell,45.84,10,108.114,56.5721,0.729056,2.5429,1011.31,107.894,55.4645,47.7982,10.2892,40.625,35.1075,9.15785,32.1617,42.877,985.571,70.6234,69.6417,66.194,10.15,49.3359,30.3166,11.1203,35.2531,44.9018,1210.36,135.669,84.9408,66.0162,9.68803,62.5058,39.3332,13.9836,40.0355,42.1408,1197.28,116.851,70.4292,84.6639,10.4176,60.2506,40.6773,13.7396,37.8753,43.1081,1088.97,109.448,98.1327,90.0388,10.796,47.078,26.4975,13.6076,38.7215,42.862,1558.12,145.634,109.687,89.6464,9.80633,66.3927,43.4318,18.344,40.8337,43.5474,1340.84,244.06,111.565,73.676,11.0459,64.9616,61.5339,15.8812,38.7971,42.1416,812.239,89.6926,59.7719,49.9946,10.1805,40.5114,29.4863,10.6792,33.041,40.8637,972.146,172.697,85.1678,100.599,15.7914,52.6174,39.8435,14.0031,45.9332,44.2426,231.224,53.4236,25.453,14.3566,1.603,19.4881,17.6673,5.2335,10.0314,7.99497,,,,,,,,,,,,,,,,,,,,
bfm_zero,5129,fell,29.08,6,84.218,39.3163,3.07726,3.68812,743.121,78.2406,54.5155,50.9803,10.6424,40.8013,32.6008,9.89716,34.7928,40.4596,1289.6,105.182,90.7101,103.833,12.4517,68.3092,37.897,13.2752,38.7946,42.4374,1191.63,134.288,82.3412,68.5763,10.0353,57.5199,41.3591,12.1667,35.076,45.1367,1330.39,192.703,88.8436,84.1391,11.4222,62.5462,53.5155,14.634,42.5936,44.5765,1187.65,181.644,95.3441,103.698,11.5173,70.1004,54.0334,15.4205,42.7638,41.3405,1304.33,141.984,88.1938,119.733,10.0244,58.6539,42.7983,16.0786,39.584,33.8997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
