policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
decoupled_wbc,5120,complete,60,12,8.5019,3.98962,0.00683083,0.00528214,126.91,31.8968,8.43478,26.6652,8.15953,16.0831,12.3173,3.61318,24.8994,24.082,113.648,19.4109,6.65569,25.2799,8.79342,14.4709,8.80456,2.96839,23.0988,24.6379,332.733,64.9833,15.2462,66.5622,9.02295,44.5973,32.4752,7.92399,30.9983,25.5839,205.806,59.3587,14.9974,27.4149,8.681,29.7085,19.8063,7.03898,20.2068,24.9719,169.861,51.8354,11.2324,54.0641,8.49179,23.7095,22.4151,4.39628,19.1003,25.1772,299.19,89.4716,21.9786,135.273,13.2769,41.2134,35.8043,9.03533,32.64,28.9897,293.109,62.627,40.417,61.4305,8.98241,34.1645,27.7786,6.8178,22.0918,27.4094,204.456,36.1211,10.863,30.5214,8.17612,25.7346,16.8652,5.43394,15.1304,27.0212,202.158,35.6985,18.8623,223.813,20.8553,24.3925,16.2593,5.8067,27.4879,29.4958,572.369,96.4144,32.0251,59.0937,17.2977,60.8695,46.9856,9.88788,19.2733,28.252,146.57,34.0142,10.3557,82.2598,32.8602,21.536,15.1915,4.40471,12.573,20.7827,269.824,45.0624,11.2544,59.5831,9.8269,33.8091,26.8138,5.38345,13.6894,26.1303
decoupled_wbc,5121,complete,60,12,7.63712,3.48392,0.00735227,0.0119591,268.754,39.9673,16.2241,61.2476,9.21592,37.9382,26.6795,6.92344,32.7034,26.9788,164.387,29.1204,8.35287,25.5788,8.17031,22.0054,13.8844,4.31223,25.4434,25.9189,319.386,44.2914,13.6779,34.7919,8.60001,40.4741,28.8498,5.99937,29.7032,27.5002,119.157,21.5953,6.00108,26.2057,8.41668,15.0249,9.90007,3.41841,21.6463,25.3064,161.621,25.5063,7.35378,18.147,8.42133,22.8145,13.2628,4.38635,19.9271,24.0709,465.881,68.5898,20.9872,20.5478,7.79932,43.4822,30.7611,9.08263,27.589,25.8944,429.875,129.228,32.6636,31.6335,9.06944,57.6043,53.3887,9.78488,33.6412,28.6182,290.258,91.045,18.8053,34.8382,8.10026,37.7705,30.3931,6.82714,27.0589,24.8191,155.631,36.1391,10.1543,45.5742,9.41357,22.4063,15.022,4.69764,22.2746,23.7764,474.249,141.964,33.805,39.2477,9.09891,56.8413,47.7321,9.71737,29.0067,26.2171,289.718,67.0485,22.1642,27.2771,7.35697,35.6855,30.248,6.673,28.9603,24.5236,568.77,79.5925,52.6726,39.5578,8.30623,43.3861,29.7072,8.83398,26.8249,24.8724
decoupled_wbc,5122,complete,60,12,7.45933,4.90089,0.07939,0.109098,194.508,33.957,8.9212,17.4886,8.44594,25.5695,17.8156,5.0428,24.3244,25.1216,262.361,60.5057,14.1849,32.7711,8.11067,33.1253,27.913,5.42405,27.2619,26.7209,185.363,49.4587,14.6823,39.3256,8.33208,28.7751,21.0957,5.45255,25.7355,24.9816,123.002,24.2272,9.14932,34.3505,7.30073,19.8312,14.4756,3.39062,24.3248,25.8771,136.412,24.4472,16.0176,64.5107,8.71044,17.2705,11.9677,3.38551,26.8983,26.49,429.946,98.564,34.7551,124.835,10.0398,50.1369,35.1735,9.17387,37.0094,25.9554,281.203,59.042,12.3609,24.9793,7.82555,36.1479,25.995,6.43815,26.8952,26.0873,315.027,62.7078,17.1339,18.4293,7.24996,39.7228,32.7438,6.73807,22.6374,24.5,256.259,61.9327,13.8701,28.4566,10.2149,32.6272,25.6038,6.03024,26.4236,26.0209,298.678,60.3763,19.4791,16.4313,7.60925,36.0676,27.0331,6.45845,23.6183,26.0757,318.688,71.3998,16.5396,37.6312,9.41269,39.538,30.3658,6.56208,26.979,26.9494,196.947,66.7909,16.9542,36.4117,8.04636,29.2788,26.6304,5.65861,27.4246,25.3865
decoupled_wbc,5123,complete,60,12,7.37165,4.21066,0.0169089,0.0248218,173.917,26.8744,9.96156,30.7772,7.97764,27.2388,16.3617,6.12942,25.1472,24.9668,100.961,23.6608,7.20244,54.2095,9.21611,12.6622,7.9779,3.44262,27.5543,24.3852,329.444,60.6818,22.5745,69.0323,12.9706,38.6432,29.2936,6.95157,32.3051,26.5691,368.911,77.0445,23.1546,91.9073,8.3399,39.898,32.067,7.95396,32.0671,26.9771,160.082,19.3735,9.87099,25.05,8.14688,23.8838,14.0993,5.32212,28.1385,25.602,236.045,46.1918,11.9895,27.3156,7.68515,30.295,22.6382,5.12739,26.4302,25.8996,258.462,114.043,39.9413,81.2278,120.214,37.3264,32.545,8.50374,33.4545,33.7086,318.433,91.6158,20.2056,39.1087,8.10245,39.67,33.7058,6.76586,29.9714,25.7547,73.2814,9.95465,5.45007,38.8126,7.52483,7.83366,3.83916,1.78661,23.917,25.1045,240.006,48.5549,24.9136,138.758,9.28152,30.8981,21.0448,5.96937,34.094,25.9651,82.2095,23.0102,6.84883,27.015,7.985,12.1185,7.40238,2.69786,24.1475,25.0945,364.81,51.0281,17.062,32.0278,7.31032,48.3692,32.2904,7.61417,28.2603,23.701
decoupled_wbc,5124,complete,60,12,6.87676,5.33055,0.0458413,0.0345659,212.423,36.9941,9.20102,27.2547,7.98202,25.7177,19.6816,4.66691,27.5777,24.1662,174.928,36.9559,10.0408,43.5818,7.55806,25.4454,18.0956,4.857,27.9192,24.348,180.607,37.0607,11.9259,42.4926,7.35712,26.3159,18.0955,4.88731,29.1301,25.3469,305.872,79.4041,18.6328,57.0948,8.10626,39.0678,31.153,7.0066,32.6406,25.8788,209.173,38.7884,12.5573,52.609,8.89281,23.8841,16.3742,4.55087,27.2563,28.4957,231.81,52.3089,17.3516,64.9105,8.19767,30.6526,24.3457,5.07717,32.0613,26.5251,280.792,70.1629,13.7598,30.4445,7.35268,34.9837,27.7722,6.31363,28.2398,25.1508,205.902,51.7075,14.2058,30.729,8.46875,26.7675,18.9124,5.20013,24.8224,25.5878,558.684,102.479,35.9347,43.2613,8.01178,65.7032,49.3961,11.2601,31.7879,25.4466,502.217,173.823,60.1847,190.411,17.9859,59.3442,50.0773,14.1011,46.4032,31.0989,481.366,89.2811,36.6454,46.571,7.88725,51.6474,35.8001,10.7041,31.9866,25.803,252.213,71.0457,18.6909,40.1573,6.94541,33.5654,29.775,6.27271,26.1347,25.6373
decoupled_wbc,5125,complete,60,12,20.6939,4.27971,0.656685,0.644584,279.092,57.2205,15.2983,22.6651,7.73917,38.2403,25.8342,7.98237,30.0462,25.043,401.842,63.7663,14.4849,24.6344,11.3877,49.9369,35.9913,7.75394,26.9432,27.4615,188.539,50.8502,14.1213,18.4175,7.32077,28.0891,22.7863,5.6174,20.6826,23.3586,271.677,65.1597,11.0676,23.1003,8.30433,31.3646,25.3893,5.92014,22.809,24.0244,295.539,67.9266,16.6867,56.075,7.91842,36.3333,28.4209,6.09463,29.0358,23.7751,516.367,54.4721,17.8049,35.2874,7.44464,52.7269,32.9324,8.25369,27.1612,23.9908,311.052,49.1169,16.8295,73.8117,7.72354,38.7657,28.6035,6.13235,31.1675,26.144,178.343,35.5432,10.2229,27.8003,7.7599,23.1199,18.9328,4.05819,23.4161,25.5601,270.688,54.933,12.7021,30.3513,7.76649,36.1811,27.1277,6.19742,26.2142,24.3203,270.804,53.9932,12.8224,35.3228,8.42307,35.2338,25.4719,5.51763,26.2237,25.4835,90.9182,19.0574,7.7726,32.8753,7.13803,11.6229,7.10344,2.56236,24.5699,26.2849,2475.44,307.034,126.538,93.4878,9.16843,153.049,82.9162,25.7721,59.4069,27.1002
decoupled_wbc,5126,complete,60,12,7.91123,3.67284,0.0137918,0.0207488,263.308,48.6296,10.8747,22.9717,7.42413,32.6111,23.1672,5.9715,28.9104,25.1298,221.841,33.7749,16.883,27.1857,8.16406,32.5989,18.4969,6.89876,29.9422,29.0707,245.833,47.1835,12.251,34.0326,7.74594,32.6964,24.5085,5.81239,25.489,24.7286,297.573,75.6384,19.1708,32.5733,7.63327,38.7615,33.0393,6.7433,24.0601,25.3937,205.688,41.7713,19.4356,30.9111,7.72112,26.2339,19.1728,4.81709,24.9728,25.5866,150.407,55.09,27.8333,44.3871,7.80596,23.0073,20.5465,4.87656,29.6765,28.3448,110.546,44.9941,11.3573,32.2308,8.03077,16.3817,13.7739,3.93129,25.549,26.4942,148.947,41.2729,11.5511,31.0488,8.88376,23.2574,19.484,4.44946,21.7002,25.769,202.784,58.029,19.2847,27.8879,7.98034,28.0471,20.7292,6.11315,22.5011,25.4413,110.768,35.3539,11.4401,32.1287,8.76319,14.7519,11.909,3.72222,18.898,24.6109,520.581,95.0901,39.9965,183.628,43.5027,59.4744,43.7803,10.1051,35.1518,31.2825,243.732,63.756,19.96,23.4778,6.98365,30.1373,24.3114,6.55658,23.3369,25.0406
decoupled_wbc,5127,complete,60,12,8.04278,2.87426,0.0304243,0.0377058,284.289,49.9315,18.806,64.9755,8.46713,34.9174,24.6543,7.26475,28.4257,25.2642,230.395,39.7662,10.2571,29.62,7.91854,30.2547,19.207,5.25379,27.0647,24.7367,327.309,58.778,15.1609,40.1503,7.95075,48.0279,31.8556,7.3185,27.9774,26.4141,448.066,110.036,21.3198,38.8828,8.00784,50.4459,46.291,8.51033,30.3574,25.4264,240.447,49.1065,15.9486,29.1369,8.5071,30.1555,22.9558,5.08164,27.9252,24.7279,223.722,38.1546,13.667,39.4436,7.54199,27.9256,18.1923,4.9314,27.5685,24.6378,832.411,90.7905,100.67,61.8011,8.17574,66.9228,41.3349,10.8377,36.703,26.6211,231.352,37.4348,32.9728,91.2374,66.6439,32.056,21.0194,6.16869,37.0006,36.0037,164.348,37.2787,15.2809,53.1602,8.06081,23.7203,20.1178,3.95789,29.6189,26.0526,567.4,104.65,84.3866,98.4681,7.8976,55.0066,36.1634,10.07,39.8546,24.7212,234.576,51.0014,12.447,36.1874,7.47678,31.2958,24.776,5.1431,29.0791,25.3453,360.618,100.592,74.357,87.454,10.2968,41.5596,36.0122,8.05223,34.6523,27.8306
decoupled_wbc,5128,complete,60,12,7.71202,2.6992,0.0029794,0.0116484,284.823,62.6522,11.7895,21.3244,7.98964,35.3758,32.4441,6.94139,27.0622,24.1302,359.321,63.1239,12.4853,28.8197,8.52557,40.1437,30.2243,6.6384,27.0413,26.3917,110.45,27.3714,9.76474,26.4528,7.33352,17.3025,10.1309,3.92943,25.3288,25.0205,278.22,59.2799,11.9561,34.6473,7.93095,35.3227,28.8717,5.53499,25.5044,24.7691,267.855,55.9488,13.0928,28.5153,8.07117,33.392,25.4611,5.64557,27.247,25.3791,214.711,33.8195,10.8828,28.6465,7.74056,26.6906,16.5036,5.14099,26.2881,25.4322,294.46,57.3557,13.0743,29.9839,8.82436,34.3435,21.7069,6.02236,24.2683,25.6554,341.323,78.661,11.9058,25.3499,7.47115,37.3784,29.5917,6.27363,25.3462,24.4112,337.273,65.0356,21.8619,60.5737,12.1446,42.9869,30.4229,8.19019,28.482,28.2158,431.818,86.7695,17.6028,41.0716,11.1287,49.4383,36.7948,7.81809,25.9545,22.8081,273.068,48.1589,16.5075,33.6836,9.79436,34.4158,22.6597,6.35448,27.0162,27.1438,211.35,50.0969,16.0117,19.9312,8.43533,28.6919,22.6426,6.06422,25.0172,26.4969
decoupled_wbc,5129,complete,60,12,14.112,3.32843,0.0147976,0.0179165,285.649,47.5567,11.1585,20.8713,8.14745,36.2428,25.3567,6.98512,26.1956,23.9532,122.367,26.8689,9.48366,32.4287,11.1915,18.6076,12.4836,3.86803,25.1654,25.617,118.506,21.6393,6.01657,36.5903,11.9825,17.1044,12.3704,3.47257,18.8423,26.0741,181.227,48.8414,14.7464,40.6071,8.59036,23.8165,20.3794,5.25648,30.5393,25.705,133.007,25.3584,11.8167,60.9596,15.8936,17.082,9.02364,4.00329,26.2324,28.3089,339.649,67.4132,15.9351,73.8521,8.7725,45.7465,35.2075,7.66232,30.0331,25.599,280.221,48.1324,17.0985,47.1927,13.3985,35.414,26.4877,6.83284,22.9573,28.8971,401.211,77.017,22.8734,71.0192,33.6654,43.9616,35.6004,7.41921,28.1953,30.7707,228.394,42.21,9.11524,28.8504,7.5547,28.7484,21.4618,4.97308,15.5106,25.5935,217.623,70.4031,19.7233,23.0949,7.15192,29.5309,25.3201,6.56855,17.5138,24.838,1074.28,342.149,107.263,36.7019,8.93996,101.09,82.6287,18.9013,28.7176,29.0105,406.988,91.8751,48.9539,18.247,7.50424,48.0975,40.0792,8.60305,15.1868,26.8052
