policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
holosoma,6144,fell,7.46,2,79.4291,74.0898,0.00751125,0.00195664,1453.05,107.495,156.134,68.6567,7.57998,73.0495,38.9222,15.5094,37.8986,35.6541,102.061,10.3637,21.2259,23.8194,16.0614,14.5867,4.86356,6.74932,21.767,22.5597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holosoma,6145,fell,2.74,1,112.432,2.21866,0.960344,3.18243,626.155,84.5407,46.2322,21.5702,3.41177,42.4349,25.7021,9.44235,17.6778,15.5358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holosoma,6146,fell,3.26,1,55.2258,13.3242,0.496454,0.976327,772.992,97.4811,67.703,66.3941,4.97778,44.0953,25.1485,10.7455,23.6165,22.3053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holosoma,6147,fell,8.68,2,30.2213,42.5281,2.13799,2.13828,260.382,34.8586,11.4423,21.6048,7.08615,21.6069,13.6193,5.57219,28.5868,35.6051,647.896,80.848,61.7827,26.8706,5.57209,33.0661,21.4738,7.78371,26.2951,30.0152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holosoma,6148,fell,4.5,1,61.9513,18.377,1.63553,1.33419,959.005,79.9426,88.5849,64.6993,13.1597,53.818,25.6036,12.9722,33.2294,36.5025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holosoma,6149,fell,10.92,3,52.8081,56.4461,2.06936,2.88439,868.429,96.5437,62.2795,59.5686,7.68439,57.8577,40.6011,12.2282,34.9792,38.6377,787.354,127.484,65.7713,67.5824,8.67895,48.1039,31.7586,10.4451,35.7658,43.6795,197.381,23.1397,25.6439,7.49167,1.64683,10.2651,5.78942,2.56619,7.25795,7.3918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holosoma,6150,fell,6.1,2,77.9845,68.8681,0.782617,2.74226,586.295,69.3035,56.4346,31.1752,7.59035,41.367,26.4817,11.3715,34.2117,35.447,850.017,89.3496,93.484,38.5152,4.27748,54.8304,31.3883,11.7541,15.3992,12.6991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holosoma,6151,fell,10.3,3,148.731,40.6896,0.819956,1.91954,705.647,88.1027,37.1721,31.7245,7.5114,42.4299,22.6586,9.83958,30.2606,36.8029,1521.68,150.913,86.0743,50.8188,8.69618,80.3029,42.2345,15.5462,39.1125,41.6197,141.243,11.7501,19.4282,51.7792,1.03329,14.4631,6.01535,2.06825,8.19766,3.2272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holosoma,6152,fell,8.54,2,79.3424,34.3876,0.947301,1.76642,366.245,42.5856,19.9877,38.4561,7.66095,34.7659,16.9384,7.34556,30.0487,35.1172,757.3,68.7046,75.7955,92.2266,14.2907,54.6045,27.2027,11.0543,35.6228,42.2133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holosoma,6153,fell,9.98,2,86.3356,30.5259,2.47385,3.07002,306.483,27.7223,12.2046,18.2881,7.17923,29.6456,15.9733,6.64663,27.7902,33.7932,916.55,133.636,56.5157,60.6448,8.8038,55.1081,36.7958,11.412,34.0831,42.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
