policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
mimic_lite,7168,fell,26.2,6,73.3321,8.11308,2.75201,3.91594,314.375,99.7288,19.1617,42.5191,12.275,23.2502,16.9495,6.24477,24.1771,24.5659,942.553,177.6,50.0228,67.9552,33.3472,95.7671,53.3636,29.1564,45.6789,31.7599,348.189,117.385,26.3569,27.7091,7.79052,31.5417,25.2696,8.54224,26.0485,26.1767,139.971,60.9996,17.616,27.4847,8.52238,16.1058,10.7528,5.35532,24.3482,25.1534,750.797,165.393,46.8247,46.7392,8.55857,69.8546,42.1935,15.579,22.7213,28.6255,598.098,74.4805,28.298,11.3066,1.79243,42.8942,26.3397,12.0097,6.94945,7.19941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,7169,fell,13.64,3,98.1784,18.9686,3.40379,4.47974,307.13,77.4977,16.0705,21.8013,8.38337,24.5187,23.6825,6.99951,20.1906,24.7489,408.078,139.423,29.819,15.9621,9.07655,29.2398,29.7704,7.52782,17.1395,25.926,1317.36,229.847,62.4564,22.6846,11.1275,77.9348,59.4176,19.0832,18.9229,25.3207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,7170,fell,27.04,6,40.1765,19.29,1.81001,3.24267,448.162,88.2912,25.3265,34.6077,8.70534,33.6203,22.1214,7.93143,28.9694,24.7285,546.548,195.336,31.8902,46.1649,8.54674,33.9641,32.8381,9.59583,29.6839,26.9567,1840.73,263.915,99.8583,37.2123,10.3795,102.531,67.803,26.291,41.3898,30.6538,473.501,137.605,35.171,50.7827,7.51519,32.2467,31.2405,8.69665,26.5593,24.103,537.804,179.738,66.9121,52.5299,7.32328,46.1305,36.9751,11.8987,31.7954,24.7804,1482.36,199.448,116.684,41.1397,41.9777,81.3975,54.9156,21.1488,22.8921,15.2694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,7171,fell,40.9,9,32.2124,21.5006,0.865257,2.79638,156.884,40.9782,10.5404,19.2463,8.33503,12.7218,10.5521,4.06283,24.5132,25.3525,469.183,101.992,25.1559,24.9089,9.54518,42.4693,31.7501,12.28,26.491,25.826,383.579,151.151,24.9204,21.4827,7.89734,38.1919,31.1441,8.9844,23.9929,25.5782,380.964,109.144,30.6721,21.9315,7.62038,38.9738,27.6892,9.32034,25.6031,23.6672,199.991,73.4369,21.5458,46.4972,8.18834,22.5815,16.7412,6.33429,25.2654,26.5006,976.984,228.736,74.7683,74.6164,7.73757,101.93,67.5978,27.1792,42.4286,25.9382,702.767,129.221,46.4219,43.3978,9.88548,67.4509,43.2633,17.1501,36.9522,25.5558,232.18,63.6565,18.9175,31.7983,8.04465,29.8878,24.0849,7.44513,29.033,26.2444,155.887,35.9134,33.0499,30.1234,2.2131,25.8998,12.188,9.51562,13.5049,4.9147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,7172,fell,15.24,4,176.64,39.8768,3.22965,4.17122,406.802,75.4619,19.5666,33.6796,16.3775,35.0501,26.1506,8.47809,28.1207,27.7037,562.785,155.358,32.493,39.1583,8.05553,31.6683,29.0306,8.26098,21.1058,26.1542,1464.16,205.532,74.7893,33.2747,8.36472,120.663,73.1971,33.4536,27.3486,27.1499,229.97,26.8315,9.39828,1.94627,0.27018,13.6612,8.13237,3.04302,2.49643,1.16034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,7173,fell,13.16,3,71.9879,8.17043,2.30387,3.56008,158.09,32.966,11.0996,25.6368,7.59643,12.2848,8.69913,4.09695,26.1524,23.9673,227.438,48.7974,15.0989,34.1276,8.21474,13.6783,13.8766,4.85607,25.0224,24.2869,436.222,133.036,27.55,25.4325,4.21753,39.654,35.0821,9.38646,19.4255,16.2912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,7174,fell,52.82,11,67.3318,9.31055,3.43279,4.34455,224.57,74.5837,12.9742,24.4568,7.89563,18.829,17.2654,5.33542,26.5868,22.7109,453.714,115.881,21.4964,33.8852,9.11407,31.3971,27.054,8.54211,28.0237,25.1499,409.852,142.664,31.9008,36.7083,7.97804,35.2706,31.1136,9.45826,28.1932,23.4313,486.741,162.223,45.3048,38.9211,8.48116,41.4986,34.1601,11.7063,29.9064,25.1857,214.784,56.0902,20.8055,28.0059,9.38308,22.4032,16.4311,7.59196,26.6678,27.0165,463.685,92.48,43.9882,29.405,7.72079,32.6334,21.8342,9.83604,30.9157,24.6347,424.337,101.266,29.9645,38.4419,7.99866,45.8441,33.7094,11.5611,29.2704,23.8995,309.234,44.1285,22.0926,35.221,7.24683,24.7023,14.5095,6.54651,24.8568,24.359,490.213,95.1559,32.3924,37.6569,7.56639,47.9275,33.9197,12.2416,30.9094,24.7288,506.906,173.572,42.965,42.5213,7.47351,47.0748,34.2995,14.29,31.523,24.3072,2172.7,267.684,105.04,90.9097,15.4009,135.058,72.4206,33.8274,51.3871,18.7967,,,,,,,,,,
mimic_lite,7175,fell,37.7,8,55.8685,18.6999,2.74103,2.7598,226.697,56.3373,17.6193,31.4795,7.82661,19.0605,13.6801,5.87714,26.3681,23.0047,566.503,137.51,39.3683,78.5786,8.07682,45.6545,35.909,15.2756,36.6867,24.8336,132.912,43.952,25.2663,64.2784,13.716,14.4144,8.71054,4.18803,28.812,26.4124,358.74,91.1794,16.555,24.5179,8.16409,32.4354,26.1299,7.97069,26.646,24.6238,431.406,129.458,45.0707,41.0109,6.82297,42.7131,36.072,10.433,28.2323,24.5586,531.108,143.162,40.6342,43.8323,8.19246,40.981,37.7309,10.4175,30.8679,26.9107,644.635,191.407,55.7105,41.9139,6.95585,68.3033,55.0252,17.3264,37.0861,25.2184,760.229,254.183,78.4459,98.6261,11.5192,53.9,47.1781,13.4411,30.1923,17.6128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,7176,complete,60,12,62.7467,5.51903,0.574306,0.505917,121.2,36.3414,12.3296,24.0782,8.14475,11.443,8.30339,3.75523,23.9625,25.8835,141.401,30.3515,10.6108,22.9925,7.59364,14.1467,8.9908,4.20893,25.2302,24.8269,442.77,144.6,38.107,37.1283,9.08707,42.5284,31.7431,11.5552,28.8248,24.8644,150.254,32.2003,9.68687,27.4871,7.7114,10.5322,7.44949,4.24275,22.6466,23.7902,547.442,170.181,31.8879,21.6943,9.00351,52.5103,43.289,13.8008,23.0825,26.4216,579.435,118.321,33.9873,24.9729,8.0378,43.8311,37.2903,10.753,21.1409,25.0107,492.468,199.545,46.1791,20.7742,8.13313,44.6384,37.2973,10.8781,24.1104,25.0436,557.985,109.969,45.9937,44.3288,7.8693,41.6299,33.148,12.4615,31.0877,25.0076,643.932,117.813,41.4204,27.8318,7.78011,58.7494,38.3345,14.2548,28.7119,24.7278,481.885,172.373,44.8371,21.3259,7.53836,47.3195,45.5621,10.8433,25.4095,25.996,1579.92,230.314,85.3796,83.8276,8.33101,135.187,84.2173,33.8826,52.8144,27.9683,715.363,180.644,112.32,310.418,106.94,65.2561,48.5918,22.038,66.8464,36.2488
mimic_lite,7177,complete,60,12,57.0141,3.89766,1.0474,1.09478,220.356,52.2543,15.1118,26.7964,8.56777,24.7194,15.2408,6.56502,25.8439,25.6574,171.59,69.4145,20.8398,27.8448,11.4934,16.6199,15.1361,5.12843,21.9726,25.9565,443.754,111.209,26.7544,33.2389,9.43432,41.5231,31.8468,9.96504,28.2107,26.6058,346.05,169.581,37.6364,39.3356,7.41319,37.8843,37.7261,10.3288,28.6983,26.3857,780.276,209.165,53.6939,34.8416,8.95793,67.7867,51.1484,17.4187,33.6526,28.0992,747.095,307.928,59.9447,23.8085,8.46674,83.8189,68.6565,23.2032,34.7847,27.5823,499.834,137.4,39.1848,20.7684,7.19372,43.8119,29.1162,12.5624,29.4798,25.9751,359.265,85.4359,29.5423,44.8705,7.53215,25.8699,19.6506,8.33098,25.4616,26.2508,584.063,107.687,46.0441,38.671,8.90196,47.8367,35.143,14.3907,31.5196,28.2776,384.458,119.147,34.7384,26.0713,8.17189,32.3327,27.2119,8.61417,27.1099,26.0541,770.996,409.863,79.9017,40.2694,8.19369,78.3747,87.7684,17.4833,37.0785,25.8134,901.337,177.501,84.743,145.708,8.7584,79.9494,57.0199,20.9069,44.0505,27.3762
