policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
sonic,896,complete,60,12,10.3909,4.25438,0.193153,0.271783,342.923,116.945,60.9083,32.0181,7.28726,30.7146,25.3602,11.4095,30.5603,23.8773,353.674,121.94,29.1559,40.8891,9.37537,25.4899,19.1293,8.7832,31.1186,25.0422,490.829,130.654,60.6092,52.1219,8.19134,39.0596,27.677,11.7511,30.0414,26.6954,668.532,249.156,131.735,113.864,9.3124,50.1893,37.1877,14.8071,32.4234,27.1401,350.457,174.731,70.8036,66.5386,7.96551,32.1032,27.1728,9.2512,23.7844,27.2315,449.064,129.576,63.7936,24.0351,7.70121,27.3053,21.3456,9.07494,25.1399,24.4522,210.184,58.136,24.2565,36.052,7.43877,12.446,7.50844,4.83117,23.3733,24.2126,703.618,258.521,132.291,207.332,17.4926,55.5158,47.4787,16.8977,48.542,29.5663,460.063,138.233,41.2961,29.8544,7.06763,28.8734,24.7874,8.15806,25.6119,25.6967,435.737,120.982,43.3568,28.3665,7.08579,32.9923,22.887,10.0815,28.4453,25.1727,358.759,67.1736,33.5311,25.403,7.10291,19.118,10.7123,6.22203,24.9624,26.2065,476.959,183.523,118.318,36.4981,7.82588,36.8775,28.0972,11.4081,23.8787,26.277
sonic,897,fell,26.3,6,121.759,35.6474,0.366605,0.438718,248.874,52.615,18.3875,26.3372,8.62291,16.1217,10.9033,5.33741,22.9176,24.7187,663.02,143.727,134.089,39.8777,9.89153,46.1669,36.9566,17.7394,34.8356,26.969,209.851,75.2167,21.0907,32.3126,8.71983,18.1712,13.887,6.61976,24.9084,24.8316,388.731,288.251,61.2288,73.1946,7.90013,37.4044,36.1589,11.9906,34.8805,24.7461,1332.73,269.348,155.256,58.0716,8.81054,96.7034,76.4079,27.0209,44.3445,27.1652,672.197,261.774,178.527,36.4943,5.22467,48.2846,38.6057,15.4622,28.9982,12.8142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,898,complete,60,12,7.70421,4.82682,0.05069,0.0469868,159.136,39.178,13.7619,25.3378,7.93255,13.0667,9.16808,4.46286,22.3267,24.5501,433.566,103.861,50.0318,78.5964,8.63518,30.5572,21.8157,9.65105,32.6428,24.8231,408.438,118.828,42.0592,33.5686,7.09516,24.1082,21.6555,7.59829,24.5515,24.003,176.285,33.5512,13.5667,20.0771,7.2927,13.2607,9.85475,4.69354,24.2885,25.782,319.011,105.992,36.2387,26.955,7.68445,22.8589,17.0516,7.21469,22.3871,24.3476,256.997,71.5583,24.5024,26.672,6.96519,20.8337,14.3338,7.09536,21.2504,25.7544,343.825,146.289,29.629,24.6571,8.60606,23.8579,23.965,7.41559,23.57,26.0795,586.145,173.838,50.2702,33.7066,6.83434,44.4192,35.3152,12.3869,25.1845,25.2519,687.346,138.012,96.7921,54.2283,10.201,49.582,36.0343,14.6076,31.0981,29.7986,323.249,112.06,56.6416,35.338,7.73639,34.8027,22.7842,11.5261,32.8675,26.2686,514.223,165.155,60.9637,54.4192,8.54054,36.8975,30.9913,11.4908,31.5488,25.583,299.714,83.5891,27.2258,38.4151,6.93388,23.3692,17.4508,7.32234,26.9669,23.4736
sonic,899,fell,45.76,10,22.9101,20.4416,2.34212,3.82928,250.331,59.7126,16.4232,24.4499,7.69972,21.6476,15.2013,6.43092,25.8074,24.312,345.561,78.702,26.2185,32.1789,8.30695,20.78,14.5682,6.3293,26.0156,25.6861,312.781,72.9943,25.031,38.2631,8.31537,23.706,16.8021,7.69832,27.2087,26.7922,300.148,75.7104,33.6788,34.5224,8.07911,18.7075,10.7742,6.91837,27.8525,26.0274,269.105,99.2485,47.7808,34.5627,8.06858,21.9077,18.8637,7.48911,25.3112,23.9456,557.344,171.182,137.428,100.998,8.60459,42.3783,34.2721,13.3963,38.6445,27.3178,192.726,50.7184,23.7963,27.7618,7.85102,17.3987,11.8297,5.33287,21.3856,24.567,345.802,103.617,27.8017,28.3182,7.96068,24.4817,18.5513,7.77197,25.8806,25.0887,1131.88,194.097,136.27,64.4059,8.70998,76.4378,58.1375,24.0287,47.3225,25.7311,480.517,30.8441,154.86,85.2858,4.47437,29.6588,12.2644,8.06425,20.45,5.52303,,,,,,,,,,,,,,,,,,,,
sonic,900,fell,2.3,1,163.744,18.0289,3.15644,4.15606,1107.07,201.774,139.081,64.3409,38.3791,49.0017,39.7822,12.5387,29.2161,17.4046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,901,complete,60,12,14.3504,5.14564,0.179088,0.236857,230.575,69.7492,26.9505,47.2234,8.68604,18.3132,13.0247,6.60616,26.2712,24.5159,375.74,97.4624,59.1605,76.4444,9.35158,25.7324,20.2482,8.80448,31.0587,25.3204,247.024,76.8601,30.6621,59.1219,7.73117,19.4155,13.8057,6.76206,28.6779,24.1772,321.182,134.084,39.6652,31.0997,8.09856,27.8008,20.9475,9.00488,26.1387,25.878,496.906,213.021,55.8404,30.2627,8.37925,43.5801,39.3716,12.08,27.7926,25.6641,466.025,117.443,64.5885,39.9516,8.32242,33.3173,28.8706,11.5117,29.2036,26.2932,262.593,65.3973,26.8672,28.4898,8.20458,17.254,11.8464,6.22431,25.9054,26.0694,395.53,147.25,60.7273,34.8725,8.81496,34.3916,27.8412,11.267,30.5243,26.6977,445.896,168.71,65.2038,33.456,7.9436,28.7009,27.409,8.94873,26.072,25.2104,743.901,135.479,71.4586,71.7854,7.75332,37.722,32.6931,11.2894,34.8071,26.4029,525.188,79.3167,63.8348,193.517,10.5985,25.739,18.9477,8.89387,39.9164,25.1241,450.197,129.582,76.6575,59.1123,7.75125,27.1935,19.1744,8.47475,30.132,25.1447
sonic,902,complete,60,12,19.9609,5.96836,0.518378,0.389573,367.812,100.353,23.7322,28.1437,7.65045,24.2896,20.4439,7.6123,26.9321,24.8571,249.899,50.0966,28.17,37.2458,44.8844,19.922,13.9509,6.8754,28.5032,30.8774,348.049,92.1935,22.5107,41.0863,7.39903,23.51,15.7743,7.57646,26.866,25.3123,319.974,120.565,19.0014,39.5379,7.96099,25.6869,18.9954,8.08079,27.5281,25.2285,400.009,88.3286,39.4127,35.5226,7.64642,23.3787,17.6321,7.51305,26.3854,25.506,702.553,204.496,122.041,189.803,16.0813,55.4952,37.1888,17.4743,45.5924,26.3065,345.021,125.605,33.5719,57.0367,8.01662,25.1474,22.3965,7.63047,27.9109,25.109,437.824,158.179,68.562,46.1635,7.59402,32.6099,29.1279,9.88462,28.656,25.1669,751.428,122.175,155.412,299.494,19.0008,51.1536,33.0379,16.0361,56.5051,27.293,629.048,131.672,128.912,192.733,15.1259,42.0915,30.2697,15.818,43.9562,26.4081,415.214,105.283,43.4629,35.3214,8.00627,28.5578,22.1906,7.64223,29.2544,25.2337,917.285,296.326,106.507,45.988,8.2912,67.9778,65.8016,14.9233,39.1937,26.1431
sonic,903,fell,26.6,6,67.0902,5.73257,2.14325,3.04993,111.246,31.9241,10.0076,31.9645,8.47533,10.8086,9.22756,4.08018,24.3329,24.7582,124.948,43.3126,11.7309,32.8399,8.0699,13.1773,8.3766,4.88565,22.7716,24.7308,310.425,70.9484,36.8394,47.412,7.65629,19.6285,17.1854,7.00554,25.5852,24.1855,559.264,114.711,46.465,60.9069,7.17087,42.7977,31.5209,12.4033,32.0193,24.632,220.845,83.2601,42.9385,59.5269,7.74661,23.6685,18.2137,8.732,31.027,24.2046,511.102,61.6394,93.4627,74.1637,119.361,35.548,23.0793,13.9863,25.6309,17.6799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,904,complete,60,12,16.0068,5.47177,0.260083,0.212394,245.03,81.5589,21.2802,21.8029,7.74361,22.4391,18.5646,6.80912,22.4991,24.6169,183.28,60.0868,18.76,25.2858,7.15481,17.1232,11.4263,5.47877,18.0635,24.951,190.799,54.4307,14.2915,20.3786,8.31075,16.4218,8.81225,5.57982,19.698,24.6984,277.909,81.4048,25.0598,21.072,8.13492,19.2029,13.5964,6.3696,17.5346,25.4292,316.639,92.8843,22.411,20.5903,8.06124,18.3244,12.6683,6.19859,19.558,25.3776,691.194,131.505,84.2446,48.2537,8.75368,41.6987,28.847,13.663,33.7012,27.2997,801.766,256.705,180.102,60.2888,7.6904,64.6275,47.9958,22.035,41.7389,27.4907,372.355,96.1273,33.2584,34.6053,7.61526,23.6721,17.9295,6.9822,27.5059,26.5176,354.123,103.187,49.5695,26.6004,7.63447,27.3198,18.9598,8.81834,25.0622,25.6516,346.193,94.9228,54.2345,29.8803,6.9558,31.1706,22.6811,8.67155,24.2984,23.9035,640.449,225.995,164.979,300.365,59.947,53.4497,43.3837,18.6337,58.103,32.8233,539.398,161.836,63.9034,40.5794,7.43039,44.3262,31.9332,11.7819,21.3858,26.5829
sonic,905,complete,60,12,29.2373,4.18826,0.396857,0.280148,537.499,193.589,79.3851,30.6818,8.84294,42.8628,37.1408,13.8274,30.9899,25.6636,633.752,216.25,83.5588,73.4468,7.77854,44.6133,41.2183,12.6765,34.8625,27.4209,289.493,66.7058,26.0477,28.5307,7.0881,19.3317,15.1162,5.95925,24.6843,24.6134,527.211,130.997,46.6323,29.169,6.83767,28.5077,22.9761,8.20254,26.4983,24.6823,620.245,193.085,88.2927,45.6168,8.10037,38.6824,34.9548,11.3992,31.0464,26.566,419.904,84.0894,51.3474,50.803,8.70139,23.091,19.4707,7.72425,27.1569,25.339,575.162,178.986,76.0244,42.3954,8.34067,43.1428,32.3444,14.0758,33.2672,25.6696,360.577,140.746,53.0547,88.9164,8.73384,27.3556,20.9048,8.9099,32.7426,24.805,210.108,94.598,52.0533,75.9038,8.90225,18.0277,10.6027,6.7287,33.1856,25.1113,972.455,115.858,68.4407,39.9075,8.43017,37.0099,22.1223,10.2653,32.4554,24.1574,266.591,88.3984,31.6587,34.7916,7.61652,14.9733,10.023,5.5518,25.6034,25.3051,1320.01,278.639,158.144,61.7037,8.46665,76.198,53.7785,19.778,50.1698,25.1824
