policy,seed,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
amo,5,fell,25.6,5,12.4,36.9,298.5,37.5,15.9,35.7,3.2,291.8,260.6,66.8,170.7,278.2,224.3,45.7,13.6,43.4,3.5,246.8,220.9,56.7,151.9,264.7,282.6,39.3,15.5,59.3,4.4,261.1,236.2,58.1,183.8,271.1,643.6,116.6,125.1,111.9,4.5,374.1,416.0,89.4,224.8,280.4,214.7,24.4,8.9,35.5,3.5,204.9,198.4,45.8,162.5,285.7,1423.4,34.5,220.6,26.6,1.3,220.5,274.1,63.1,103.5,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,1,fell,31.7,6,14.6,5.5,288.5,43.9,17.8,35.9,3.5,293.0,261.4,71.0,172.0,286.0,193.3,24.2,12.1,45.2,3.3,189.3,148.5,47.4,203.8,291.3,342.3,55.2,23.1,24.2,3.1,341.3,293.2,89.9,203.8,282.9,322.4,51.7,27.7,59.4,6.1,292.0,242.5,77.7,159.8,279.2,228.4,46.8,31.4,43.8,2.7,153.0,127.8,50.6,126.9,263.6,373.2,99.0,44.6,118.0,15.8,289.6,292.3,86.7,171.6,281.7,5714.0,395.2,816.0,188.1,20.2,733.1,949.5,168.1,281.7,155.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,0,complete,60.0,12,39.8,50.1,299.7,48.8,20.0,32.1,3.6,270.0,278.3,66.0,137.9,283.8,118.2,14.2,6.9,39.1,4.1,117.8,99.3,29.2,132.4,275.1,275.8,30.7,13.9,40.3,3.9,254.9,270.8,54.5,157.1,276.2,395.5,85.2,23.3,61.1,3.9,277.3,315.6,66.2,186.2,275.9,271.6,42.3,36.8,86.3,204.8,240.3,249.3,61.7,174.2,320.0,190.3,37.6,13.8,36.6,3.0,193.9,270.4,45.5,143.8,276.1,281.7,39.7,19.6,47.3,3.5,270.5,233.2,63.8,167.6,280.2,257.7,62.3,25.0,113.9,4.5,248.8,261.8,59.7,200.0,279.6,151.3,26.3,9.2,39.4,3.5,108.2,105.5,30.4,173.6,276.6,300.8,64.7,39.5,37.5,262.2,231.1,262.2,53.9,188.8,295.7,408.6,45.6,34.8,59.8,3.8,317.2,333.6,74.8,203.8,262.8,18784.2,1260.6,3164.3,657.6,43.4,2301.7,2571.0,516.2,1385.2,577.2
amo,2,fell,57.7,11,22.4,13.6,303.3,41.7,16.9,39.9,94.0,285.5,275.5,67.4,162.0,305.8,237.6,53.2,15.0,33.0,4.0,266.4,249.0,60.5,126.4,281.2,147.3,16.3,7.4,34.2,3.7,133.9,108.5,34.2,104.2,284.1,237.0,25.9,15.9,28.7,3.4,234.1,212.3,58.0,116.9,283.4,262.0,47.6,16.7,39.6,3.9,238.1,317.3,50.6,141.2,283.9,211.3,34.8,14.9,51.2,3.7,241.0,216.7,56.3,152.5,283.9,298.2,30.6,13.3,49.3,6.0,272.7,237.5,60.0,164.0,278.9,475.1,56.0,28.3,45.0,5.1,373.6,354.8,94.2,211.8,282.5,230.9,35.1,12.2,37.6,4.3,214.5,199.1,49.2,185.3,298.1,695.9,54.3,31.5,77.7,4.3,425.3,419.0,97.1,217.2,273.1,321.0,43.2,19.0,57.0,4.0,271.3,273.7,60.1,200.3,264.9,11197.4,745.6,1293.1,280.0,40.3,1178.3,1104.6,294.2,608.7,290.2
amo,3,complete,60.0,12,16.7,16.4,272.8,42.5,14.9,23.4,3.5,288.9,255.8,68.9,189.3,297.4,218.4,35.9,10.3,29.9,3.9,203.9,186.7,42.3,183.9,324.5,258.4,49.0,20.0,63.9,2.8,265.6,254.8,61.4,180.3,271.4,262.3,36.0,15.9,45.7,2.9,243.4,239.4,55.1,162.0,270.8,244.2,23.6,11.8,46.2,2.8,195.6,186.0,43.9,163.4,272.7,60.5,14.3,5.0,39.8,2.5,64.5,65.8,20.3,155.4,257.4,246.4,36.7,22.3,87.7,8.4,234.4,221.2,58.4,159.7,284.7,176.8,32.7,13.9,50.4,2.2,134.2,151.9,34.1,140.3,263.9,199.2,24.7,11.1,42.4,2.6,176.1,175.6,42.6,123.2,285.7,404.4,104.5,33.0,92.8,108.7,280.0,319.1,68.0,193.0,310.6,670.9,94.6,34.1,69.8,11.6,400.0,423.3,102.2,206.7,315.9,338.3,44.2,25.8,45.3,2.8,301.8,271.1,68.7,185.7,272.1
amo,6,complete,60.0,12,40.1,9.5,310.1,54.6,18.6,34.7,3.7,309.8,276.2,69.8,133.6,286.4,121.5,21.3,8.8,29.7,2.7,107.7,82.8,36.2,119.0,266.3,343.0,40.2,18.1,81.1,4.5,297.8,276.3,72.8,148.7,283.6,165.6,40.8,10.0,27.8,3.6,190.6,157.3,50.0,128.2,284.0,294.9,65.7,17.4,37.2,4.0,226.5,268.7,52.4,173.1,277.5,284.0,37.6,17.1,35.2,3.6,246.3,203.6,65.3,188.6,275.7,397.0,94.2,27.4,40.0,5.7,361.6,390.6,87.1,195.4,285.4,233.2,38.8,33.9,65.6,32.0,267.6,210.6,64.6,199.2,278.4,751.1,135.6,59.6,96.7,4.6,492.2,482.3,122.2,236.1,269.2,312.3,45.5,23.7,61.0,3.2,245.1,269.0,55.3,200.3,256.7,922.5,117.6,61.0,148.2,145.4,492.4,649.7,121.0,273.6,311.8,249.1,74.8,22.8,61.9,3.9,279.6,247.4,62.2,191.2,286.5
amo,7,complete,60.0,12,60.3,4.0,156.4,32.3,16.6,48.8,3.4,150.9,149.9,46.6,172.1,280.6,180.7,43.6,12.9,40.6,3.4,219.2,174.9,52.2,146.6,274.4,71.4,13.2,35.6,31.4,3.2,82.7,59.3,28.3,139.2,277.8,210.2,37.7,13.7,39.5,3.3,195.8,184.7,47.8,172.9,291.1,297.4,32.7,10.5,31.0,2.9,265.9,238.4,58.5,155.4,273.9,222.4,36.4,9.9,38.4,2.9,237.6,205.5,54.6,141.1,275.7,254.8,35.4,11.6,37.5,3.0,248.3,313.5,57.0,153.1,277.9,393.6,65.6,25.1,80.4,15.9,325.8,330.0,78.8,163.0,294.4,357.1,39.7,19.3,44.1,3.4,304.4,276.3,71.6,162.6,279.2,281.7,34.6,15.8,37.6,4.2,212.6,205.8,54.1,153.2,258.7,1681.9,144.0,78.5,81.3,4.8,641.4,616.6,190.7,310.9,278.8,398.0,66.7,21.2,37.6,3.9,303.9,325.0,73.1,188.8,252.1
amo,4,complete,60.0,12,15.4,4.4,334.6,36.7,15.0,31.6,3.4,300.7,286.1,69.5,157.4,277.5,158.8,28.4,7.3,31.7,3.9,167.1,137.5,38.2,107.5,278.2,345.7,43.5,18.5,34.6,3.9,284.2,271.0,69.8,128.1,281.5,326.1,55.2,11.8,23.0,3.1,281.6,261.8,58.9,129.8,277.3,203.1,27.9,9.6,29.1,2.4,179.9,174.9,46.7,119.5,269.8,125.3,15.0,6.7,34.3,3.2,129.5,101.8,33.8,129.4,263.2,329.7,31.4,22.2,109.2,163.0,276.8,264.4,61.9,181.3,308.5,273.7,43.5,28.4,70.5,85.0,240.6,211.0,64.3,145.9,306.6,328.6,64.3,20.0,28.9,3.4,285.1,272.1,67.1,125.0,282.4,250.6,32.2,19.8,61.8,76.6,208.0,193.7,44.5,144.4,290.9,395.2,56.0,41.3,193.9,393.6,301.7,281.4,74.6,217.9,336.3,225.0,27.8,16.1,40.7,3.3,171.7,161.0,45.0,165.5,283.3
amo,8,complete,60.0,12,22.6,12.1,323.6,36.5,15.0,29.1,9.6,300.3,266.9,68.3,175.7,298.3,256.2,45.1,14.0,65.6,4.7,209.9,171.2,53.2,152.9,287.5,272.9,44.2,14.8,43.2,4.4,261.8,261.2,65.7,149.2,282.1,284.7,89.2,30.7,129.4,66.9,317.7,253.8,79.5,215.5,309.9,279.8,66.9,35.8,57.8,63.4,258.0,245.7,73.3,213.6,279.2,354.9,67.3,30.6,23.5,3.8,281.8,277.0,50.9,171.8,268.6,312.6,104.0,31.6,37.5,4.0,255.6,279.6,44.9,170.7,246.2,398.9,82.4,39.9,37.7,4.1,273.5,325.7,51.1,180.7,288.2,266.4,79.2,58.6,59.8,516.7,258.4,254.0,50.0,193.4,342.0,275.0,75.5,30.3,41.8,3.0,267.3,233.3,56.1,183.2,289.5,517.2,63.3,63.9,88.7,211.3,351.8,287.0,96.6,235.2,325.2,431.4,56.2,34.3,26.0,3.6,301.5,274.5,82.5,173.1,281.2
amo,9,complete,60.0,12,26.5,25.6,102.3,24.4,9.7,35.1,3.8,98.4,103.1,31.3,148.2,286.2,130.4,38.4,8.7,42.4,4.0,175.6,159.8,40.5,162.7,280.5,172.9,22.7,9.5,30.7,4.1,168.5,136.7,42.1,168.2,263.5,244.7,50.2,23.3,27.9,5.0,165.6,160.8,48.3,165.7,268.0,455.6,44.8,31.5,44.3,4.6,292.4,255.6,75.3,194.2,284.4,189.7,41.0,9.9,22.1,3.3,203.6,186.3,46.7,150.3,287.4,305.5,49.0,17.5,49.6,3.8,293.5,243.6,79.4,197.6,270.0,199.1,53.5,17.0,34.2,3.3,214.4,176.4,57.1,150.8,268.0,1191.3,141.4,244.1,114.9,4.5,444.4,442.5,125.5,221.4,268.7,872.7,83.5,130.7,143.4,7.0,392.4,364.4,105.2,195.6,260.2,291.0,64.3,30.6,49.3,3.2,293.3,257.4,78.5,184.1,267.0,337.8,69.2,33.1,117.5,4.8,341.3,254.0,88.4,217.5,299.9
