policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
wbc_agile_velocity,0,complete,90,18,8.62141,3.53692,0.0128848,0.0131621,517.558,167.15,25.1123,25.363,2.11391,41.2159,105.163,8.63589,13.6893,2.2969,21,0.644089,1.39023,283.61,68.3589,12.4312,31.6273,2.44958,21.1664,54.8872,4.18323,8.54068,1.79721,10,0.50819,1.35731,866.183,203.674,47.6585,88.9581,3.07083,58.1925,120.376,11.811,22.7659,3.64006,23,0.720049,1.82257,445.01,121.591,26.6893,25.0404,2.4715,35.6963,79.966,7.65798,12.9376,2.74139,14,0.623085,2.01142,216.318,55.4984,10.7884,15.3051,2.24429,16.3954,39.7248,3.44263,5.93996,1.97859,8,0.492072,1.35004,428.643,126.172,23.9795,25.5538,1.3198,37.3604,88.5014,7.83198,12.0525,2.94843,22,0.564224,1.60373,626.45,134.794,71.9379,138.404,4.62368,43.6252,81.7087,11.0659,28.8473,7.07962,20,0.638775,1.53451,575.204,119.194,34.7377,32.0577,1.45158,38.4516,65.1462,8.31362,14.3708,2.60687,17,0.541293,1.58481,428.314,94.2889,22.4994,33.6137,1.77566,32.582,59.2501,7.02593,14.3764,2.41153,19,0.380598,1.61228,204.349,112.621,13.7954,33.4691,1.50237,17.0257,52.7505,3.40688,9.20761,1.64788,9,0.475437,1.15909,313.452,43.9985,45.8307,69.5444,2.5744,22.8927,30.3628,5.75348,15.2583,3.02908,15,0.844612,1.07794,1015.66,241.848,43.7717,40.3054,2.14895,63.5966,129.999,13.7353,24.8106,3.3285,23,0.482722,1.62933,297.237,66.3691,18.1755,41.8663,1.86967,21.4381,47.4769,5.04063,11.0998,2.21516,13,0.365879,1.23097,469.167,106.634,29.5413,35.9274,1.69756,32.3233,59.8224,7.89091,13.932,2.31569,11,0.341787,1.6493,470.527,121.609,108.631,179.783,4.60108,40.2273,79.2354,9.6903,25.798,5.51856,9,0.572628,1.89724,502.083,168.115,29.2626,34.3395,1.50129,37.7383,86.1803,7.31529,15.6175,2.27309,14,0.593665,1.48637,263.93,64.4343,18.8658,30.4979,2.07753,25.0527,46.1808,5.54931,11.7436,2.16381,10,0.645772,1.49853,644.729,136.418,58.7057,198.848,15.6811,44.6076,82.7971,10.6277,33.4669,11.6828,15,0.310008,2.31909
wbc_agile_velocity,1,complete,90,18,7.70651,3.0702,0.00441063,0.00429945,401.513,112.973,15.8508,13.6699,2.64721,35.2302,76.5514,6.49844,10.2845,1.82708,15,0.53024,1.82269,365.527,96.5854,16.9268,17.8853,1.76536,27.0951,60.134,5.58208,11.2399,2.01467,15,0.579945,1.27963,341.697,94.6888,28.0213,94.6072,2.26418,33.9667,68.7599,7.32471,13.7383,2.67196,16,0.650369,1.58248,383.157,103.7,17.2931,18.7614,2.35334,33.8325,71.7349,7.3568,9.64514,2.59581,13,0.643489,1.89824,496.95,94.9432,27.5546,61.8185,3.09875,30.5119,55.1164,6.23165,8.97794,3.08816,11,0.740888,1.5179,587.561,159.868,33.4062,102.459,18.3145,47.1882,102.899,10.9204,24.0731,11.9756,21,0.605199,1.52453,317.826,90.8572,20.6852,23.6538,2.18117,28.9029,66.8606,6.50034,7.51273,1.49639,17,0.606152,1.9915,103.176,15.4253,23.4114,50.4114,6.72153,10.3198,11.9062,3.29917,7.46158,4.31178,2,0.464832,2.21487,582.83,157.499,31.7197,34.8467,1.86996,38.8352,91.6299,8.4684,15.2879,2.55891,15,0.549919,1.92556,488.449,135.659,19.3459,19.6845,1.849,33.0682,74.5409,6.70506,9.04373,1.79415,17,0.836643,1.3371,1033.02,223.969,45.3346,38.0706,2.04106,53.4736,119.076,10.2796,12.0065,3.1792,17,0.552911,1.47225,528.729,103.463,25.998,22.5938,1.62678,39.0092,77.9429,8.08843,11.3498,3.0369,17,0.438121,1.44331,1901.52,181.87,129.263,41.6607,2.46083,82.9845,110.973,18.2391,18.4123,4.75826,14,0.453127,2.34748,637.042,183.033,42.0776,35.2138,0.844898,45.9263,114.603,9.6682,16.3329,3.58566,20,0.495847,2.06506,599.575,144.192,42.3712,28.7243,1.73039,42.0206,88.9745,10.1225,11.8335,2.77543,23,0.504349,1.45506,2089.93,326.513,110.423,90.1824,2.01728,99.0969,193.432,21.4697,29.9344,5.86696,22,0.458792,2.61076,682.666,197.835,30.0333,28.4736,1.61993,45.6652,104.246,10.585,11.8544,2.4726,16,0.690435,2.04232,534.225,204.424,38.9689,68.5946,2.42556,41.9393,109.12,8.87113,19.5947,3.38656,22,0.471332,1.57403
wbc_agile_velocity,2,complete,90,18,7.844,3.65366,0.00990635,0.0129414,320.162,143.79,16.3697,18.05,1.37012,30.2501,70.8048,5.80843,9.93509,1.52361,17,0.62731,1.4079,161.397,36.8162,9.58997,16.3898,2.15015,13.9283,31.9177,3.18465,4.97149,1.03448,8,0.4857,1.61056,346.984,103.611,18.3303,21.037,3.29838,28.5893,66.3894,5.72878,11.185,2.01156,17,0.609022,1.22987,312.48,89.0444,9.48172,13.537,2.01062,19.9118,48.7316,3.92205,7.72047,1.83765,14,0.610398,0.89561,394.943,72.493,14.4961,52.49,1.36318,28.7127,53.1923,5.78946,11.5292,2.10693,17,0.490416,1.25585,319.856,63.0063,12.601,20.3467,1.88625,22.6321,55.0705,5.15868,6.93064,1.48599,15,0.382208,1.48146,455.072,125.75,21.7504,39.8343,2.91486,34.7996,76.8502,7.38502,13.0259,3.16823,15,0.706791,1.82008,906.028,219.54,43.3479,34.0309,1.56016,49.5759,118.266,10.8911,13.5306,2.69298,26,0.65954,1.55084,1041.6,213.877,43.2613,40.7168,1.00061,65.4969,121.469,13.2408,17.2495,4.11941,29,0.588435,1.28396,576.217,162.939,24.9823,29.4042,1.33837,42.0383,101.267,8.44752,10.969,2.34286,14,0.743718,1.76258,1114.29,220.551,69.1175,31.6021,1.83263,63.4513,117.48,13.4079,13.7595,3.24731,22,0.493857,1.75081,189.129,71.0444,13.689,23.3301,3.06202,20.5185,46.0673,4.83329,6.43407,1.94647,10,0.571567,1.76391,713.456,140.318,32.2865,23.4216,2.37015,49.6995,106.659,9.44181,12.8378,3.09427,22,0.5454,1.44617,313.118,109.985,18.5026,22.0411,1.62889,33.4189,80.8688,7.61545,9.98128,2.02895,23,0.498035,1.5826,438.548,110.547,23.4817,20.6206,1.1285,31.7923,68.5978,6.67234,10.556,1.74706,16,0.397211,1.34297,703.289,133.404,41.9356,34.8296,2.00789,47.6236,83.0048,10.6812,14.8893,2.17387,21,0.347744,1.45689,1332.75,294.815,75.6456,50.4747,2.4621,71.2002,166.812,13.7248,20.9049,3.56125,20,0.633659,2.07394,335.859,79.2581,23.4935,27.7147,2.59848,28.2205,61.0945,6.26184,8.23577,1.83587,21,0.558881,1.09213
wbc_agile_velocity,3,fell,71.24,15,16.0593,9.5073,3.03155,3.2727,432.664,125.571,18.6334,42.601,1.98432,38.8712,86.7934,7.12955,14.7648,2.19991,19,0.590543,1.62113,409.25,147.272,17.655,21.4586,1.62294,30.1211,80.6813,6.55396,12.6345,2.17835,15,0.577519,1.3325,192.414,55.3028,12.1811,19.0266,1.52322,17.8229,40.4895,4.34639,8.3377,1.33024,11,0.573009,1.49892,408.435,129.697,18.9324,24.1023,1.6112,25.4784,63.4595,4.79927,9.82809,1.96518,11,0.541861,1.53094,371.183,73.7445,23.7016,91.8889,6.45145,29.1038,52.9102,6.27246,16.409,4.01624,15,0.449599,1.54552,386.545,106.902,20.8268,92.819,5.18418,29.0861,65.977,6.45656,12.3059,4.03086,9,0.574853,1.82499,264.103,57.1249,13.5846,22.0544,1.57141,21.2757,39.1182,4.73302,8.06798,1.94111,13,0.606021,1.34944,713.959,119.013,34.0233,122.239,5.661,34.5882,70.794,6.4453,16.0463,4.15583,10,0.251675,1.63184,1339.48,344.828,87.7672,182.052,3.86103,77.4063,159.235,16.2274,34.3432,6.68273,31,0.648271,1.70859,266.164,92.6149,15.8586,25.2679,1.48694,28.7508,68.3367,6.10143,12.1402,1.73677,14,0.517344,1.42774,684.793,267.275,35.7938,70.094,3.03657,49.1954,118.107,9.83172,25.6265,4.47457,25,0.411606,1.40644,129.584,44.938,10.0624,23.2032,1.68243,14.0671,33.2765,3.0662,6.69641,1.43767,12,0.463752,0.947402,255.646,60.3879,15.2869,21.525,1.30949,19.0873,37.0393,4.49355,8.9195,1.64052,12,0.610965,1.2214,730.235,219.906,40.0231,44.4586,1.50791,48.8144,98.8564,10.5226,21.8969,2.43647,20,0.777691,1.7385,5370.21,300.021,324.437,117.724,1.90728,169.388,109.424,28.0173,38.3256,4.54601,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,4,fell,56.2,12,24.0102,6.12118,1.37067,0.563054,307.177,108.204,10.4561,13.2014,2.17315,25.091,60.2535,4.63922,10.7717,1.88007,13,0.479574,1.24375,370.802,69.4209,22.9317,18.7681,3.093,31.9767,57.4186,7.14618,11.8115,2.18543,20,0.544307,1.23078,253.656,58.5705,12.6543,28.8532,2.15326,21.187,44.9307,4.50564,8.38624,1.73244,10,0.619948,1.38087,234.458,69.5886,13.0019,22.2809,2.45312,19.3338,45.8697,4.81131,7.01717,1.71624,12,0.362232,1.07295,365.447,77.2699,15.5081,44.4304,2.40834,25.0692,54.6701,5.19585,8.64628,2.38896,19,0.449564,1.17841,97.5797,32.6301,6.64474,50.3057,2.34567,13.2411,23.3027,2.88021,9.00439,1.97963,6,0.410942,1.44634,282.184,124.267,15.2927,24.2923,1.99724,24.2822,74.5466,5.19757,6.85109,1.76849,12,0.487454,1.36474,47.5273,14.9854,4.19326,17.9776,2.09307,5.939,9.61634,1.55836,2.98165,0.924471,3,0.387975,1.05439,298.993,64.2959,15.2432,18.5945,1.20209,22.8746,49.7576,4.89291,6.2855,1.40575,15,0.534813,1.38206,2443.83,709.624,80.7105,50.844,3.14137,122.647,250.59,20.7991,28.0485,4.92937,24,0.442109,1.96477,236.618,89.4739,17.849,17.1331,1.68502,23.0353,61.5798,4.69736,9.45175,1.71542,8,0.734791,2.07537,3769.58,361.312,268.85,118.698,10.0503,111.199,135.64,27.6792,40.8059,10.2891,1,0.653839,3.82605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,5,complete,90,18,8.67762,3.46464,0.010206,0.0116548,298.382,82.8813,12.6784,16.6837,1.64448,29.6388,57.7408,5.46762,8.20138,1.31911,14,0.505783,1.50833,394.045,113.896,17.5671,43.1617,1.57648,28.6601,67.8837,5.87746,14.0718,2.49886,16,0.645271,1.43162,497.514,112.933,23.4697,92.0141,3.1846,29.9849,73.7998,6.7316,17.143,3.29253,14,0.462931,1.5643,797.596,213.941,39.3329,33.3991,1.49367,44.8345,101.366,8.92563,17.5973,2.3203,14,0.724939,1.83062,171.518,47.769,22.5452,71.841,1.94935,18.905,31.1072,4.35562,11.1272,2.3234,8,0.33165,1.84429,344.212,106.914,28.1677,92.6053,1.68018,29.5114,56.341,6.00349,13.5343,2.35163,10,0.619857,1.10768,239.726,67.9504,19.2696,21.7,2.63675,18.5998,50.3069,4.5385,5.41791,1.8598,9,0.491953,1.59234,202.841,51.0118,13.3461,45.7188,2.21138,21.5837,41.3792,5.50452,10.0481,3.06905,10,0.664711,1.97608,149.584,38.0461,13.4331,79.6807,4.70622,13.6254,24.5639,3.46394,11.11,3.06848,6,0.319334,1.23505,501.112,163.856,24.0107,20.8224,2.02017,33.2946,82.4593,6.90027,9.2449,2.46932,9,0.515316,2.02607,215.689,49.8022,9.57886,21.3934,1.93819,20.8468,42.7825,4.59811,6.64088,1.96231,16,0.376222,1.36483,1331.43,345.832,74.1068,90.8566,3.50265,81.0408,175.964,17.1706,19.5716,5.071,32,0.512929,1.15038,235.083,58.3221,20.3672,18.1548,1.96181,23.8656,53.0521,5.55626,8.13075,1.69889,12,0.601559,1.53125,935.206,207.397,46.4125,40.4433,1.70021,53.6068,119.702,10.957,14.6595,2.38079,18,0.449092,1.65143,424.154,116.851,28.0086,29.628,1.37017,36.3466,73.8794,7.95107,12.8718,1.91101,21,0.633116,1.25405,937.847,173.798,45.1545,54.1143,1.86722,49.4413,114.409,10.3753,20.0462,2.90702,24,0.422224,1.43191,713.663,155.757,31.9454,56.8272,2.35683,38.6682,92.2473,8.22185,16.985,3.21638,13,0.68258,2.07363,1650.4,194.735,180.223,266.259,16.3937,77.5989,120.464,20.0425,50.884,13.0562,13,0.39016,1.81504
wbc_agile_velocity,6,complete,90,18,20.1516,3.57266,0.0124052,0.0129909,384.359,149.056,17.0563,19.7395,2.15491,35.5354,88.2666,6.65101,11.7239,1.73879,22,0.492756,1.22611,445.844,111.304,15.3996,19.0945,1.13096,30.2632,72.8873,6.02402,13.0598,1.81755,18,0.552437,1.33568,350.584,89.5208,18.7748,33.1149,1.74306,27.6424,60.6616,5.78684,12.6745,1.82403,13,0.57159,1.51405,250.134,69.205,8.83574,20.5245,1.25141,18.5294,50.7346,3.49486,7.92748,1.5136,10,0.777887,1.28762,506.674,122.332,27.1436,35.3244,2.50854,37.5697,88.4272,7.85449,16.7967,3.244,20,0.585112,1.55765,859.029,199.68,46.6691,116.173,2.93326,50.9515,116.558,11.8223,27.2759,4.59841,27,0.525208,1.51568,391.062,129.673,25.0304,29.8051,1.83028,30.5901,74.5629,6.79159,14.2956,1.85423,16,0.532251,1.44571,472.436,100.705,23.7151,33.9498,1.42252,32.529,79.1313,7.61975,13.636,2.54682,17,0.365443,1.61213,319.604,110.718,18.8873,27.2228,1.55749,26.9249,67.585,5.77463,10.8167,2.10081,12,0.667439,1.40688,997.1,247.684,81.7915,112.663,4.65535,56.7575,127.737,11.523,28.2461,5.49989,21,0.603591,1.78608,643.047,157.934,29.8906,40.2056,2.56238,40.8725,89.8463,8.54087,15.3507,3.23633,20,0.589406,1.53444,456.987,115.687,24.9682,31.5153,2.19175,33.2949,80.8708,6.51727,12.4446,2.61351,20,0.421698,1.35048,831.927,265.169,39.3282,34.822,1.84546,57.5,139.328,11.3963,18.8711,3.45856,20,0.470316,2.07034,1375.94,392.552,61.3661,145.797,4.78469,77.9259,168.95,15.1179,36.39,6.69136,34,0.584323,1.38799,5802.16,538.267,360.846,302.698,12.5482,207.716,259.547,44.8574,89.3566,19.4922,20,0.603828,3.05509,524.269,220.001,46.9799,33.5305,1.62016,46.6739,124.847,10.1117,17.5355,2.98869,19,0.551843,1.85868,533.066,179.571,28.0917,31.2443,2.52246,42.7091,100.393,9.16084,17.7828,2.97295,25,0.58084,1.16896,966.624,186.896,45.5893,40.6305,2.1744,51.8723,110.275,11.1785,25.9729,3.71702,25,0.530026,1.41823
wbc_agile_velocity,7,complete,90,18,7.69356,3.17356,0.0107526,0.0175586,324.954,101.725,16.8655,16.4892,2.35529,32.0399,71.331,6.65592,10.772,1.71675,14,0.545989,1.57835,353.196,96.3126,14.7792,14.5859,1.35861,25.1346,57.1357,4.86331,9.18781,1.95064,13,0.587716,1.38839,318.302,52.0031,14.7069,33.8247,2.38547,18.6241,42.9607,3.55992,9.99949,2.29096,5,0.452946,1.85749,329.366,47.3919,18.4567,47.2124,2.33661,22.274,34.0496,4.94894,12.0134,3.31449,13,0.460339,1.38546,239.332,57.3264,10.5044,11.205,1.22539,20.4538,49.1628,4.27547,6.78984,1.97261,13,0.379867,1.17404,657.48,115.765,45.2426,133.213,6.38003,41.6994,88.4345,8.94304,17.7754,5.24253,13,0.717658,1.74633,510.69,91.7714,21.4952,18.1261,1.87495,32.1818,65.1221,6.6691,10.0776,2.52511,18,0.536339,1.33666,338.223,76.4047,18.001,28.741,1.67151,27.5669,59.4485,6.12905,9.38145,1.85224,20,0.386588,0.983249,856.964,331.502,42.8151,61.4692,2.17843,63.0493,154.019,12.1501,19.5242,3.57539,25,0.546869,1.65134,927.99,253.795,52.0681,23.0215,2.01433,55.0613,131.986,11.8923,17.0041,3.05062,28,0.462153,1.64883,488.91,115.876,28.767,25.0841,2.01392,38.5618,72.8701,7.90544,10.3198,2.72607,17,0.691922,1.10747,304.773,70.5403,22.2068,21.1227,1.86576,22.138,43.7328,5.29886,6.63541,2.34253,12,0.691554,1.5026,1119.78,393.402,61.1896,53.7853,2.95918,76.5489,181.932,15.6334,21.7676,6.29331,30,0.636921,1.47175,1662.78,379.918,97.7498,191.351,12.0771,93.0694,180.429,18.8178,34.516,9.95827,34,0.61778,1.4312,238.818,64.0764,24.5079,31.6996,2.12523,20.3855,45.4336,4.82773,9.57495,2.20354,10,0.591693,1.1879,950.763,250.808,61.0536,36.3063,2.34796,55.8189,126.097,10.9524,20.3304,3.94544,15,0.624408,1.96068,245.403,66.4561,15.4792,23.092,1.95561,20.9302,46.27,4.69287,9.19862,1.89269,12,0.515333,1.50481,307.851,130.032,19.4052,27.2059,1.84298,29.5765,77.2396,6.54203,9.96116,1.95821,13,0.416277,1.55969
wbc_agile_velocity,8,fell,61.06,13,20.4984,12.7116,3.45245,3.39121,346.846,111.023,17.0796,20.9738,1.56728,32.3235,78.0268,6.69231,12.0972,2.02658,17,0.490744,1.53629,247.543,51.4353,10.5851,11.6597,2.53457,20.4548,43.9442,4.20041,7.52047,1.66601,13,0.467812,1.32073,324.326,99.5014,15.4075,15.7053,2.57795,25.0399,62.998,5.00634,9.85929,2.24622,11,0.38743,1.54989,459.067,82.743,24.297,69.3547,2.74779,32.3207,58.7036,7.21524,11.5558,3.31716,17,0.403057,1.24783,317.092,98.903,20.3161,65.9024,3.80515,24.599,63.1079,6.06255,11.7335,4.15359,16,0.681064,1.14099,352.568,113.539,16.8225,21.7154,1.5636,30.2894,62.1673,6.46648,8.92075,1.79599,11,0.549208,1.47886,298.602,79.0953,16.498,24.7628,1.5461,26.0426,68.1827,5.7249,7.38197,1.69197,15,0.616441,1.4444,379.407,112.741,25.066,71.2456,2.73765,33.2769,74.1132,7.0257,17.1898,3.45743,11,0.550326,1.99083,2245.92,343.162,97.3393,296.931,23.4023,101.531,186.704,19.5285,55.1297,15.8135,22,0.553822,2.0301,405.601,117.434,16.8423,45.3671,1.6036,32.1403,64.137,6.26648,12.5476,2.09294,17,0.348873,1.35507,417.893,120.093,23.7779,66.661,2.69183,35.2703,77.6337,7.81237,16.1291,3.12914,16,0.751923,1.59775,403.509,83.6904,16.5352,25.5016,1.76077,30.8018,60.6261,6.5481,8.89495,1.83887,11,0.673895,1.81034,3255.56,263.359,173.756,280.687,20.3051,105.571,85.2957,19.6834,51.8492,17.4012,4,0.221346,3.91687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,9,complete,90,18,7.17947,3.50254,0.00823002,0.0114202,161.982,42.2297,8.27705,11.5534,2.02975,19.3488,35.9196,3.83738,6.15883,1.29039,10,0.460118,1.37293,110.925,43.5143,8.4159,12.5174,2.71821,13.2464,30.206,2.92313,6.12274,1.36561,7,0.570091,1.31651,413.045,72.9264,19.0015,20.3698,2.00046,29.6494,57.2741,6.11505,9.7327,2.1145,13,0.504412,1.45697,415.304,117.339,22.3324,20.7725,0.958663,36.1831,80.8961,7.86404,11.346,2.5795,12,0.623747,1.91227,231.002,117.307,11.9717,23.6798,0.990905,18.6508,48.3683,3.95477,6.81201,1.67856,9,0.861385,1.4739,187.997,43.2571,11.5368,12.7245,1.16973,17.3576,28.812,4.1562,5.77396,1.43898,5,0.615413,1.35736,495.014,154.509,20.0435,22.4544,1.74747,30.5655,80.6435,6.30108,10.0825,1.81587,13,0.805591,1.57273,319.205,63.5109,15.937,13.4376,1.42822,25.0946,48.5824,5.65184,7.9288,2.29493,14,0.469847,1.42221,228.142,92.8043,11.9897,18.6097,2.17236,20.8262,58.0137,4.65663,8.09962,1.91831,8,0.581256,1.70305,363.931,87.8574,28.489,36.45,1.88778,25.5115,52.6797,5.53039,10.407,1.8539,9,0.710162,1.57257,621.242,148,32.002,17.2266,2.24763,43.6799,90.9703,8.7936,10.9018,2.96125,16,0.662226,2.0453,545.712,99.5162,30.2333,23.0411,2.29671,36.86,74.0637,7.54317,9.63046,2.47842,23,0.602462,1.27554,443.111,97.6156,26.1037,20.2433,1.757,32.3823,62.7241,7.14986,10.8862,2.20055,16,0.60291,1.97355,406.633,139.626,21.9674,16.0764,1.65803,33.9198,66.5196,7.13195,10.5269,2.09028,11,0.526018,1.63024,647.921,173.213,25.373,24.9106,2.10804,44.7269,98.9871,9.41208,11.9632,2.93943,24,0.645421,1.18013,904.116,187.005,43.6929,29.3997,2.13283,51.0454,120.368,11.0842,14.9092,3.72598,28,0.502554,1.41528,576.958,134.934,28.8674,21.4081,1.63506,40.3602,83.9143,8.41834,15.2601,2.88329,20,0.4103,1.25145,175.926,63.3241,13.6276,15.0943,2.20425,17.1788,41.9094,3.42023,7.75205,2.00095,6,0.496712,1.58052
