policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
amo,512,complete,90,18,15.3365,4.63693,0.247319,0.305499,247.904,54.9843,20.8973,21.5849,1.97579,25.1668,16.9878,3.09396,8.63819,1.72128,16,0.415672,0.894645,396.291,68.9915,17.6855,36.8828,1.87361,36.0327,23.5166,4.54877,12.5287,2.74157,25,0.466776,1.0549,349.296,76.0382,20.7553,20.4511,1.30343,30.333,21.4797,3.98985,10.1555,2.40666,25,0.437225,0.973259,338.94,65.0519,18.6349,11.5879,1.75772,32.6268,18.6554,4.92965,10.53,4.88464,20,0.483936,1.35957,1144.89,87.3457,75.0611,42.4029,6.24297,65.2432,37.0239,7.81033,22.8204,7.47934,32,0.440163,1.37584,210.697,43.2891,13.2525,28.5717,4.63301,21.5612,13.9489,3.10592,6.42666,4.36846,12,0.493542,1.38823,432.559,111.471,25.1809,20.3049,3.99539,42.442,30.9294,5.00291,12.3205,7.9122,25,0.44533,1.21349,282.372,83.1324,19.5464,13.0981,8.75906,27.6748,19.714,3.90598,7.61738,5.56569,17,0.461281,1.34092,186.814,35.7101,10.3735,10.6541,3.49401,16.4542,11.7598,2.08962,5.34209,4.34893,12,0.582113,1.10291,339.405,96.6449,22.1305,27.4207,1.92461,33.7636,20.0455,3.85265,12.2241,3.82913,34,0.609425,0.876799,469.472,74.3758,37.2778,35.8423,1.35094,37.6915,22.8578,4.62893,12.2448,2.22676,25,0.577353,1.02495,221.482,46.1998,30.6565,93.1712,2.28499,22.2162,12.6857,2.93668,11.3513,2.60312,17,0.480032,0.827466,435.994,81.4662,24.0614,28.8191,1.17098,34.2203,22.6455,2.78764,10.1928,1.72732,34,0.530305,0.792104,535.313,82.8895,30.3584,46.2801,9.45136,35.7275,22.1826,3.15419,16.5625,7.42679,26,0.713401,0.899441,634.786,114.834,51.1389,20.913,0.918285,43.5658,27.5205,4.68388,13.9423,4.11551,26,0.721143,0.989664,555.838,128.583,50.6714,60.3207,72.1314,42.0352,27.1973,4.3539,22.151,12.5292,34,0.63379,0.863394,793.464,140.275,51.4903,28.5618,3.0729,49.7196,36.1106,4.31973,14.8532,8.01807,27,0.591139,0.994197,401.775,103.26,36.1144,30.5461,1.02393,34.9097,26.0537,3.1706,10.459,3.60898,28,0.647909,0.863799
amo,513,fell,87.98,18,73.1075,20.589,0.838764,0.959523,186.509,38.6904,14.2554,18.1767,1.30987,22.7275,16.0722,2.75468,8.19987,1.35334,14,0.3631,0.88563,361.914,72.4422,12.0852,41.0062,1.53806,31.673,21.8495,3.81437,14.281,2.47634,27,0.448808,0.960866,454.595,83.2065,16.1769,23.1557,1.30029,37.2245,29.6865,4.19814,13.8652,1.91399,16,0.546595,1.487,317.182,46.2074,11.702,17.6247,0.901798,26.4566,21.4289,2.94876,10.4661,1.74967,20,0.451101,0.876638,391.711,42.9101,21.262,18.9342,2.95366,29.0114,15.7055,3.1266,10.6734,4.95385,19,0.558476,0.950341,248.749,53.8705,17.2233,44.9864,2.35797,19.7788,16.1582,2.66487,11.7139,6.569,13,0.309037,0.756906,480.067,59.3835,18.3208,26.5093,1.80962,41.7609,26.6747,4.67879,14.5895,5.17632,22,0.508562,1.40649,324.067,62.3804,14.9253,29.5395,1.37093,29.0701,22.4792,3.66378,14.8716,6.97568,17,0.629096,1.22457,553.119,124.802,38.7127,135.907,3.51235,45.0517,36.8451,6.33108,26.2135,8.66541,19,0.630437,1.42639,4192.75,209.591,250.272,94.4503,2.3093,133.898,66.3551,12.9785,37.0185,11.5551,26,0.363588,1.76266,390.188,59.3364,40.6012,167.801,43.7068,34.0332,28.4299,4.87727,28.1092,14.0769,14,0.623631,1.57038,595.053,68.0111,39.1916,152.332,12.8628,47.8328,29.5699,5.83856,27.9209,15.3148,20,0.542842,1.53601,436.365,52.9191,23.4312,26.9963,2.36967,36.1507,24.1682,4.25101,14.3553,6.80268,19,0.636387,1.38657,1013.77,176.591,136.616,97.2196,2.53242,64.9165,47.6977,8.01511,23.8839,6.78522,18,0.640783,1.68261,920.253,88.865,35.4528,44.0336,16.2967,62.152,41.3714,5.85955,21.7235,12.0355,22,0.444778,1.47945,510.209,61.3049,22.1345,41.1388,1.50677,40.0977,25.0227,4.01991,13.2384,2.9978,18,0.512377,1.20292,346.856,60.7657,12.1604,40.4178,1.56999,29.1695,21.4382,3.41035,9.60916,2.41917,24,0.49764,0.976832,14008.7,1523.44,2297.31,481.674,41.8132,392.426,174.668,59.6773,168.981,59.4501,3,0.657898,3.77416
amo,514,fell,50.72,11,12.2544,8.39697,0.6899,1.24265,275.426,61.5422,17.8177,17.1924,1.35061,31.089,21.6691,3.66763,9.24111,1.85896,21,0.40577,0.900528,252.023,40.178,8.91439,29.9766,2.55606,22.8923,14.5643,2.56684,11.1277,2.49158,16,0.361895,0.811678,289.438,44.8388,12.4446,14.929,1.28782,24.1899,15.2821,2.98567,9.33598,1.51998,15,0.499098,1.11529,195.152,27.4194,8.51846,17.2365,0.891196,17.8618,11.5062,2.27329,7.94991,2.16072,11,0.470238,1.04493,420.394,63.6498,19.5378,18.1879,1.78847,34.2261,24.0044,4.04044,13.8394,4.77992,21,0.381163,1.08252,319.833,47.9743,9.5582,27.4842,3.91949,27.9716,17.9857,3.12755,15.5874,7.08962,19,0.521844,0.913528,182.896,39.789,9.79209,33.2649,3.7474,17.832,11.6021,2.18846,10.0861,4.89807,13,0.399778,0.969981,184.984,31.9506,11.1146,21.9895,2.10977,18.5571,10.7401,2.29981,6.06688,1.78971,11,0.43524,1.08108,348.883,90.4993,22.06,32.2908,1.4389,35.2547,26.5691,4.61291,10.7777,3.76439,16,0.611554,1.66493,315.515,113.64,24.3438,39.6335,1.17065,32.8371,25.9315,4.59448,11.1712,2.74387,20,0.543414,1.37976,3056.81,115.177,596.992,53.2644,2.14659,65.9069,28.2801,11.1298,21.1386,5.79596,3,0.263446,0.987315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,515,complete,90,18,7.2566,7.23351,0.131744,0.148992,293.618,48.9986,19.6236,20.3982,1.44644,27.7752,19.8753,3.53865,9.08476,1.68358,16,0.416984,1.00577,353.956,69.2625,18.4483,21.291,1.1097,31.482,21.6224,3.75734,11.1934,2.193,25,0.498963,0.941298,273.669,71.8476,13.5187,31.6031,1.00392,26.597,17.5256,3.46611,6.9496,1.33641,22,0.433899,0.898927,308.927,69.777,20.466,39.1061,1.76029,31.3465,20.0673,4.06349,11.5389,1.75585,27,0.515379,0.939776,132.328,26.3181,10.2062,52.2697,3.50957,13.7714,8.95464,1.7811,9.60276,2.5796,11,0.339867,0.814511,182.342,41.2456,10.2961,15.7754,2.31516,20.9765,12.7546,2.68466,7.4099,3.2382,16,0.421033,1.06719,318.149,83.1478,18.5064,23.7421,1.598,29.6209,19.4272,3.92493,11.6582,3.17481,18,0.485168,0.986249,337.076,46.9063,22.465,121.29,20.0138,30.4706,19.5875,3.75638,14.8714,7.31982,19,0.537032,1.12307,217.699,30.8831,20.0344,59.7261,11.1724,20.8873,12.427,3.62052,16.8134,6.04845,12,0.345772,1.0148,147.057,24.1777,11.4768,18.6119,1.20546,17.8733,11.4871,2.49934,6.26002,1.50914,9,0.54972,1.32396,274.664,35.4602,13.9791,15.7988,0.986603,26.433,15.578,2.97013,6.37671,1.58678,10,0.433147,1.39132,2064.45,188.392,153.038,44.2647,2.47034,88.0114,51.4839,9.34057,25.4508,8.32263,20,0.473829,1.85734,281.361,46.6879,13.0451,15.0413,1.08991,29.3379,17.9373,3.74489,6.75722,2.9005,16,0.473216,1.29288,421.959,53.5148,17.319,29.6518,1.86472,34.6493,22.7033,4.03516,13.0283,1.92626,20,0.589388,1.18904,719.882,85.2818,28.2101,26.0066,1.35407,55.7272,32.6524,5.4007,17.9785,2.82748,28,0.527326,1.13192,406.432,64.5684,13.5315,14.8047,1.12477,35.1874,23.0446,4.46892,8.17597,4.46241,27,0.503596,0.901517,366.885,82.6796,13.522,26.52,3.73097,33.9644,24.9872,4.09369,5.57244,6.51971,25,0.564414,1.095,559.296,58.3948,15.3046,50.849,2.91805,43.5702,28.5567,5.35484,7.88361,5.98369,27,0.482526,1.07091
amo,516,fell,85.98,18,14.2121,19.3592,1.73854,1.0095,267.379,51.2519,20.1686,18.7335,2.15364,28.8084,19.8125,3.58585,10.3192,2.61947,18,0.410294,0.921855,282.112,43.8245,9.85993,45.553,3.27056,25.7594,17.1613,2.95686,10.4366,2.83428,18,0.467549,0.98011,362.891,73.5146,11.9365,14.2815,1.55438,31.0163,23.9309,3.83875,8.3285,3.29408,23,0.501843,1.04104,351.197,65.7478,12.2332,17.1602,2.60509,30.3592,23.2843,3.59598,8.73259,3.97199,25,0.51829,0.915047,334.635,69.1866,13.0288,43.9319,3.23997,29.7785,22.3838,3.57417,13.8941,5.04984,24,0.459477,0.95683,167.738,38.407,11.7173,22.6623,1.93286,16.7775,12.1984,2.33741,5.76649,1.25757,10,0.516595,1.09441,90.1549,14.775,5.71652,15.3222,1.02273,10.2502,5.68314,1.18089,4.63758,0.898709,7,0.399476,0.685996,261.867,51.8924,11.218,13.8855,1.07237,23.9878,18.7309,3.03233,7.34327,2.39176,18,0.48439,0.94957,227.575,50.2702,12.7325,22.5741,2.54887,22.7286,15.4231,3.03674,7.61034,2.55842,12,0.521692,1.3028,570.243,72.7968,30.2637,29.4767,1.87186,45.0324,28.3465,5.27931,11.9153,5.33076,25,0.471027,1.32585,877.712,160.471,45.5862,58.546,4.28252,60.2668,41.4857,6.75523,28.454,8.46316,17,0.683111,1.85261,192.505,36.8643,8.31477,26.5023,1.29336,17.5347,12.0168,2.16107,5.94573,2.12979,14,0.422978,0.90404,398.402,125.825,26.063,101.242,2.68787,34.1483,24.5534,4.18452,21.744,7.80721,28,0.461668,0.991626,494.229,58.4821,22.7964,78.8467,113.398,39.499,23.3041,5.62107,25.9905,13.3027,25,0.464461,1.1588,202.363,47.2867,10.6586,16.7187,1.79573,19.8883,12.7868,2.66607,7.48769,2.79231,16,0.425017,0.924221,931.661,199.273,173.852,81.7129,3.86115,57.9392,50.0493,7.89132,21.49,6.66366,35,0.527661,1.0447,373.739,50.0239,14.7624,30.7436,3.15506,33.1803,18.1449,3.92402,14.9211,6.87667,18,0.550374,1.27581,2366.57,555.496,251.995,70.7617,18.986,55.5279,42.8173,7.95215,24.9302,15.7756,3,0.288681,0.621061
amo,517,complete,90,18,19.4255,5.97814,0.155318,0.200776,214.743,47.4056,18.3587,23.4334,1.57734,23.6374,15.4346,2.71561,8.4499,2.25736,16,0.287008,0.841007,274.539,75.3521,14.8772,47.635,1.09488,27.7845,20.134,3.51878,12.1534,1.94607,24,0.499889,0.941609,65.2626,13.5,5.42808,52.0515,0.955235,7.37551,4.51489,1.01095,6.87803,2.28136,5,0.399174,0.879394,336.532,81.7364,25.2625,84.4915,2.20427,32.1616,24.4542,4.07867,14.1994,2.40925,21,0.432298,1.05888,144.799,35.0599,7.60104,31.3168,1.77908,15.2934,10.3935,1.94271,6.91133,1.201,12,0.465719,1.01615,299.349,54.8182,15.3723,57.1957,2.36366,29.3248,20.7297,3.87303,16.4453,4.59321,19,0.650095,1.2112,140.712,16.5963,3.96153,9.96872,1.3863,11.8726,8.79377,1.41309,4.92695,1.23738,8,0.46559,0.870365,290.023,67.9577,12.9072,12.716,1.36576,24.0974,18.4239,2.98087,7.63471,2.21331,14,0.373432,1.05524,473.194,92.0486,13.8086,16.372,1.31175,37.3484,22.2583,3.91023,8.34245,2.32372,44,0.495846,0.655814,357.629,52.1844,13.2685,19.4441,3.3847,29.2386,20.987,3.28994,6.29245,5.13001,14,0.600321,1.38763,274.215,65.9414,13.1239,54.2468,2.46872,29.4875,18.5409,4.20961,10.7426,5.11514,22,0.488871,1.01301,236.226,35.924,8.7596,21.8175,8.45079,22.2007,14.6989,2.54361,5.54609,7.06568,14,0.480808,1.07982,231.803,62.9163,16.0332,20.8658,1.56487,21.6763,17.2747,3.21429,10.6764,2.80638,14,0.39853,1.01989,931.668,219.668,248.225,366.419,171.182,70.5902,43.0824,11.3488,47.4373,12.6916,23,0.433529,1.32648,545.916,96.837,37.5274,55.979,1.38268,45.5542,29.1442,5.39525,15.6462,2.92448,35,0.439495,0.99182,711.789,115.443,41.8359,117.786,16.1622,56.2248,36.6665,6.98614,27.9528,8.57638,31,0.448249,1.07776,621.347,92.6041,28.5824,32.2891,1.13571,52.6003,27.0083,5.60355,16.0286,2.5436,38,0.495049,0.961441,412.992,64.2848,21.0432,78.3732,1.48222,33.9156,24.2872,4.04688,19.0471,3.57148,17,0.58986,1.47771
amo,518,fell,81.2,17,23.6662,15.3702,1.95003,0.968402,371.565,70.0326,26.9155,46.2966,2.22634,38.9086,26.5479,4.69442,12.5226,4.45096,22,0.421797,1.05435,200.897,57.3275,10.6111,26.4221,2.79151,21.4048,14.8703,2.77419,8.64782,4.82581,18,0.413738,0.952276,270.78,52.465,12.599,17.5155,1.54747,26.0185,22.2904,3.04319,10.8125,7.30968,17,0.589301,1.14145,195.158,22.2526,9.92593,20.5714,1.60974,15.9678,9.52835,1.73577,6.52374,2.6573,10,0.49601,0.924062,292.337,83.1729,22.8408,108.677,4.9652,28.3961,22.7006,3.65674,18.0213,6.96997,20,0.424234,1.00031,264.021,50.4065,12.1912,28.7899,1.81734,22.788,17.2003,2.88773,14.2943,5.38067,12,0.491995,1.05453,173.323,28.3153,7.91843,15.4888,1.75674,17.5659,14.6096,2.1624,6.49601,2.80821,13,0.562455,0.848763,264.233,39.3662,10.5255,18.0537,1.33559,23.3303,15.2889,2.96262,10.0188,1.78777,17,0.544562,1.02987,381.579,79.4309,15.4929,17.0128,0.680847,34.3745,21.9427,4.11294,10.8471,2.07778,42,0.475204,0.706859,324.108,62.9539,12.1839,14.0075,0.718821,27.3263,17.3901,2.74267,8.5262,1.87292,23,0.498862,0.756711,196.465,31.4608,8.62433,71.8336,122.648,15.9303,9.00305,2.05812,15.855,9.19698,10,0.531763,1.1218,399.263,125.136,33.0549,70.4819,1.21855,37.8235,30.834,5.10505,19.3643,4.24343,30,0.430378,0.941331,1115.69,70.0721,60.0415,27.0013,2.09119,46.1612,27.1562,5.00595,15.1767,7.51764,13,0.367788,1.58156,179.122,31.805,8.39662,22.1406,0.932297,17.5877,9.83105,2.07925,4.63319,2.74721,13,0.365638,0.810493,415.262,95.8913,16.9575,9.33215,1.0195,37.1336,23.5249,4.41477,6.688,2.97452,32,0.529721,0.866004,556.312,68.3382,29.8005,16.0594,1.07289,43.2704,26.5207,5.25113,8.1903,2.92212,39,0.527593,0.838981,6596.78,185.453,1224.92,312.628,59.2696,150.095,38.33,21.2283,53.4177,19.1987,1,0.7677,1.53342,,,,,,,,,,,,,
amo,519,fell,40.66,9,13.9637,46.2509,1.03288,0.739576,187.638,33.6012,16.2296,19.0339,2.61134,19.1029,14.2852,2.49098,8.22495,3.22827,11,0.231794,0.816514,147.582,30.4623,7.1918,21.3137,2.39654,16.3626,10.6303,2.18747,6.86367,3.66031,12,0.373148,0.938072,186.734,35.2249,8.26073,12.323,1.3516,20.8204,14.8281,2.57752,7.73549,3.95979,14,0.498587,1.04176,223.551,47.1513,8.23496,15.3181,1.04008,22.8529,14.832,2.63966,5.81221,2.28192,17,0.495304,1.00889,243.948,39.7668,8.34651,17.706,3.99427,21.9386,15.4502,2.68028,5.48932,6.75646,14,0.466703,1.12861,267.258,44.2314,12.5658,11.2873,1.82191,21.2781,15.7035,2.6063,7.61296,5.74019,17,0.357925,0.637261,240.861,65.0295,10.2957,18.2143,1.10893,26.4291,15.3207,3.42615,4.94764,3.0373,20,0.471228,1.09001,395.772,79.8946,14.9949,23.1176,1.52814,36.1502,25.0495,4.56054,10.0735,3.33557,25,0.405659,0.996793,700.821,78.9685,64.5373,17.0021,0.278894,18.0335,10.5302,2.25371,8.10059,1.01838,2,0.310242,0.904198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,520,fell,66,14,22.2165,13.4666,2.31067,1.46568,209.096,44.6477,18.0766,13.9086,1.21573,24.4174,17.2295,2.8314,7.19107,1.65721,16,0.35962,0.712816,299.653,84.914,17.3883,18.8148,1.79053,31.5312,19.2038,3.59828,8.25233,3.08802,33,0.50485,0.860168,282.508,67.487,18.3136,17.8669,1.10601,28.8923,20.0657,3.95359,10.9411,3.28819,24,0.504369,1.06432,308.243,48.1992,13.6957,28.1328,1.08805,27.2901,19.7311,3.42221,8.25141,1.69571,15,0.643117,1.38673,278.493,54.6256,16.7439,37.2681,1.82327,27.0731,18.8048,3.71548,8.70473,1.79781,16,0.568806,1.33062,260.636,38.754,12.4117,16.3113,1.73053,23.1184,14.5284,3.28429,8.79044,2.70395,11,0.577722,1.38408,100.086,26.2092,9.21748,12.6003,1.26731,12.2029,8.12065,1.85566,4.52926,1.47106,7,0.392442,1.13976,279.164,52.803,12.3157,15.6677,3.23552,28.4156,18.7506,3.46701,8.46168,4.06395,16,0.593084,1.30355,205.505,55.5875,12.836,12.5206,2.03437,22.7376,15.853,3.30357,9.09941,4.13034,12,0.4111,1.26879,145.421,29.1532,6.00999,8.11421,1.01175,14.0168,10.3284,1.83403,5.20799,2.03443,6,0.465131,1.07373,311.149,122.57,27.0429,16.6303,1.53642,33.3245,25.4879,4.43624,11.04,3.76109,18,0.50248,1.58048,546.247,82.4686,44.0447,19.9693,1.27991,45.6119,25.6752,5.3647,12.7637,4.36475,19,0.429814,1.45349,246.819,36.3608,13.7576,11.1278,1.58207,24.6768,15.3238,3.29191,7.70206,2.91214,12,0.453009,1.32839,2205.12,380.255,305.807,70.5614,0.750364,50.3002,31.4417,7.41747,13.782,2.30271,3,0.247421,0.77623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,521,complete,90,18,24.201,4.38539,0.301141,0.34575,258.028,50.5674,17.826,16.4199,1.94551,26.1552,19.6969,3.44963,8.40329,1.97583,14,0.39473,1.11012,242.738,39.2807,10.1382,27.0954,1.20861,21.9755,12.7401,2.64217,6.88183,1.32875,11,0.491657,1.14352,210.995,66.9449,21.1674,24.579,1.45963,23.9647,13.7321,3.24583,7.93367,1.48884,17,0.466651,1.05398,259.373,52.001,17.487,51.0624,1.51811,21.4175,15.1561,2.31144,11.2861,2.6931,23,0.563481,0.721287,229.599,43.4223,12.686,14.9595,0.763975,20.2076,12.7852,2.08195,4.74623,1.28085,16,0.444577,0.706494,540.235,82.2436,25.2078,63.7738,1.71586,45.9348,29.873,5.75031,20.7004,5.08803,20,0.584011,1.5285,161.219,29.1001,14.7342,13.621,1.41565,13.9809,9.07997,2.04755,6.21184,1.56638,9,0.352628,0.97509,526.001,110.447,38.9267,19.5162,2.18162,40.5105,25.7106,4.32923,13.4962,6.89732,26,0.678926,1.05295,343.923,74.3158,36.4961,31.8994,8.04493,32.0368,20.1199,3.39663,12.9752,7.84152,24,0.585894,0.958641,244.831,79.5286,21.2468,29.7139,0.889936,27.9462,18.8279,3.56735,7.4994,1.45405,19,0.458825,1.09847,498.232,289.865,69.9417,32.213,1.44621,49.1766,47.0627,7.16604,15.3574,3.45003,17,0.454759,1.83948,250.385,76.6505,21.5142,42.5758,1.64586,30.9252,20.0387,4.85132,14.1187,5.59509,20,0.456195,1.42143,539.433,95.824,33.2331,17.6205,1.0789,45.5425,30.1644,5.39515,11.705,5.14079,21,0.616469,1.39885,453.142,104.201,59.7023,207.494,12.6075,40.3385,25.9056,5.17612,24.9204,9.89028,32,0.589526,0.830935,418.31,112.136,36.4141,22.0792,1.34415,32.1153,22.9802,3.71182,9.75367,4.63248,30,0.544538,0.812325,770.315,265.057,78.0173,195.185,5.79752,52.989,46.2895,5.43663,25.1652,10.4937,30,0.584889,0.94227,451.004,117.969,46.3596,16.9127,1.53769,29.7423,24.8168,3.43053,10.1807,5.99459,28,0.571566,0.771311,474.998,105.15,34.3553,15.7257,1.94733,34.3046,23.2164,2.71102,13.19,8.41757,28,0.659492,0.828373
