policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
decoupled_wbc_h070_p000,512,fell,25.78,6,16.0981,5.89432,1.95499,2.55161,187.919,24.0178,12.4739,18.8136,2.10025,23.8616,13.4235,5.08521,7.99738,1.74483,338.661,63.5677,11.9821,18.6516,1.47354,40.8662,34.003,6.10197,12.8119,2.17597,321.629,54.0754,13.7331,16.434,1.34765,39.3224,28.36,5.90541,13.5043,2.88702,362.216,66.5166,12.7107,7.73256,1.47451,42.2839,34.5406,6.00549,10.2556,3.83247,152.428,26.4909,8.45771,14.7315,5.47483,22.7586,15.4216,3.41648,6.54915,3.31262,1679.09,115.261,119.163,22.1138,8.07364,61.5922,25.5174,10.9061,12.2432,10.4055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decoupled_wbc_h070_p000,513,complete,60,12,6.67999,3.81509,0.00922255,0.0106225,172.961,40.8975,10.9281,36.3835,1.94974,21.3005,15.5017,4.33721,9.67903,2.66684,330.44,57.1867,10.6652,17.3381,1.2588,43.5152,28.1412,6.34112,12.4591,2.02271,289.845,65.4682,15.7708,34.5535,1.69383,36.7677,35.7665,6.17829,15.9565,3.73809,286.819,60.362,11.7571,15.0079,0.938229,35.6971,29.5442,5.93002,13.1402,2.33721,120.829,37.433,12.3487,18.0669,2.95102,18.0949,14.2722,3.85607,10.0515,4.52678,300.233,66.9897,15.4162,23.1226,2.11958,35.6204,30.7511,5.20864,9.40512,5.23993,357.551,82.1293,20.0187,38.2023,2.61431,42.925,33.1085,7.18235,16.0969,6.12986,74.86,17.1496,5.81432,17.8102,1.70894,13.3929,9.10216,2.44098,7.08284,5.34118,257.758,70.2467,24.9457,39.2181,14.3308,31.7962,27.6438,6.43174,17.2683,8.20163,430.257,119.101,26.3123,33.9957,1.41642,53.147,43.46,8.68505,16.9134,5.8426,341.048,86.7914,30.371,47.2179,1.69911,46.4426,37.2817,9.51701,18.5232,5.80123,150.241,51.0795,15.152,21.0823,2.87627,20.2415,19.55,3.7622,8.75827,3.91699
decoupled_wbc_h070_p000,514,complete,60,12,7.60954,4.71312,0.0654853,0.0805575,266.238,44.381,11.361,13.1802,1.329,32.4333,21.5229,6.06984,10.101,1.8992,123.64,25.1688,5.11687,12.3692,2.28818,16.4791,13.6426,2.85655,6.22871,1.35324,332.365,59.9248,15.3503,27.5173,2.53049,44.9444,31.3985,8.21872,16.4819,4.12874,195.656,39.9021,9.93443,15.2311,0.826061,25.6333,20.8341,4.06642,8.7909,1.85753,308.161,66.1655,12.6282,13.1085,1.84821,36.8279,31.5607,5.69022,12.3143,3.88642,175.299,25.383,7.16499,21.828,1.89227,26.4063,15.3646,4.60426,11.8435,5.62507,349.07,110.659,18.0567,32.761,3.06606,43.9999,37.7934,7.67304,20.4773,8.69553,220.244,42.2103,18.1422,77.9401,92.9245,29.5515,22.1036,5.31589,18.8304,14.5858,398.513,83.3272,20.3202,29.3823,3.84721,46.5145,35.5404,7.46091,15.9945,7.23823,304.723,53.3447,17.0679,27.6478,1.04941,34.1565,26.9202,5.9303,8.76589,1.97677,120.19,27.1139,7.17703,20.1263,1.53545,18.0954,13.9049,2.7688,4.95795,1.21887,595.341,178.573,62.6989,91.1234,13.7512,70.1963,55.6608,13.849,30.6828,10.2528
decoupled_wbc_h070_p000,515,complete,60,12,8.79635,3.77835,0.418932,0.348685,236.034,50.4206,10.8543,14.9311,1.38038,30.1405,24.8086,5.37532,8.79772,1.47767,413.152,93.776,18.5527,35.1676,1.33129,47.9629,40.0229,7.88525,17.7756,3.87808,419.422,68.3662,18.1717,23.2678,0.993289,41.5893,26.8399,6.42764,11.1993,1.84473,330.247,75.0229,16.0511,22.0246,1.65437,47.6411,36.3081,7.00332,13.0846,1.90606,209.705,40.4764,10.9283,13.0899,2.55822,26.0833,18.3638,4.66668,7.87536,1.74366,467.508,81.4049,26.8138,83.6047,3.2129,48.4252,30.4319,8.26123,20.3574,5.44394,394.76,79.675,24.3469,13.1029,1.42739,43.3389,30.6104,7.69335,12.1038,3.53067,477.425,89.783,35.624,32.4727,2.40559,56.1361,38.647,9.14654,14.7019,5.09706,103.012,17.2776,5.7841,15.1677,1.48841,15.4376,10.792,2.28985,4.23504,1.57645,199.934,27.3416,22.2594,113.313,4.80234,22.7137,13.1252,5.54165,19.1996,6.68449,253.295,75.3541,32.0087,160.895,16.998,33.2912,30.2848,7.73468,23.0745,7.24198,668.439,182.857,50.3056,77.0651,3.13971,74.6013,71.2454,12.4141,27.6213,8.69186
decoupled_wbc_h070_p000,516,complete,60,12,7.12712,3.0207,0.0929462,0.109314,95.3231,18.811,6.17827,10.1554,1.62082,11.7788,9.57741,3.00386,5.52301,1.56255,135.904,20.6442,6.26012,14.9905,2.83056,18.5828,13.6992,3.41613,6.59443,1.89626,262.47,60.0934,12.3658,15.0518,1.51473,33.8815,28.6254,5.62293,10.4511,3.36664,316.553,61.1325,13.6717,18.5422,2.4279,38.8832,29.9484,6.54261,10.8008,4.37809,291.302,54.4793,11.6132,17.6181,2.82569,37.6509,24.8834,5.67719,10.958,3.39198,404.054,117.381,23.1035,61.5966,2.63891,51.1608,43.1649,8.10519,17.6948,3.04444,219.103,35.316,12.5681,15.8823,1.0182,26.505,19.3029,4.47778,9.08282,1.31685,579.058,134.28,44.9915,20.5211,1.29908,61.9274,49.2133,10.2436,19.9977,4.73442,172.576,46.9822,20.2002,15.4591,2.42103,23.3457,20.7825,4.68443,7.95643,2.23769,135.316,24.3656,13.5987,102.325,6.99864,17.7579,12.626,3.36379,13.1826,8.32265,367.526,56.353,16.1489,21.2069,1.50922,33.6514,24.6453,5.90137,10.6745,2.78389,500.776,159.755,43.616,73.1262,7.49604,56.0017,46.4054,10.7754,29.0851,11.1434
decoupled_wbc_h070_p000,517,fell,35.6,8,16.5505,9.95169,1.26883,0.601405,135.058,32.1306,9.66958,19.2827,1.38204,17.7977,12.6091,3.73561,6.062,1.30752,272.74,56.7335,25.9638,84.7179,1.6143,39.1925,27.3559,7.02972,17.6475,3.20493,70.6968,10.3048,9.7751,45.6949,1.10571,8.06425,5.77429,1.89523,5.5964,1.41843,240.876,32.7324,15.4835,25.5133,1.37136,32.3906,17.9482,5.49324,10.829,1.2298,224.353,37.8464,26.948,25.2088,1.76615,25.3318,16.3408,4.42573,9.00568,1.57085,253.218,40.1546,13.9439,20.3837,1.35562,33.6191,22.2536,5.32834,11.3768,3.12532,137.047,20.0053,7.13683,10.3276,1.38605,18.9282,11.9257,4.00951,7.63063,1.62031,1322.63,184.703,141.657,37.8621,1.48726,58.1065,28.9388,14.234,21.8197,3.61772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decoupled_wbc_h070_p000,518,complete,60,12,6.88399,4.08733,0.0176673,0.0219352,261.203,67.3739,15.4713,14.1122,1.2897,34.0407,29.236,6.40844,10.3315,2.18584,154.004,40.379,11.0116,22.0777,3.28676,24.0058,17.1219,4.92528,8.62409,4.50021,275.834,65.6926,18.1141,14.0585,3.0571,33.7171,28.1215,6.50364,15.0327,10.4955,129.368,22.8808,10.9154,12.0033,2.11869,17.6489,10.8658,3.0592,8.15918,6.29126,139.687,38.5082,12.6163,39.0911,2.99048,19.9615,16.8571,3.6507,11.4836,5.5415,312.929,64.0156,20.5248,56.2425,17.4266,36.7838,29.5457,6.20577,20.9532,12.5328,255.062,44.4928,21.5814,24.0018,1.9747,31.6048,21.5408,6.00114,13.7112,4.66242,273.575,63.3112,22.5653,75.1119,3.33132,34.0906,29.7473,7.03159,19.8583,4.20218,230.334,44.8703,12.2549,32.7854,1.29116,28.0546,16.7503,5.79041,14.3648,3.74794,347.466,66.7058,15.5997,12.726,0.740597,43.1452,32.5015,7.7983,11.5341,2.48296,182.632,40.3868,9.32507,16.6359,0.919273,24.1104,17.3181,4.61838,9.69214,1.78811,229.095,43.0822,10.9229,15.9129,0.93211,30.4484,21.8253,4.72447,7.32634,2.42796
decoupled_wbc_h070_p000,519,complete,60,12,10.3566,4.50247,0.49717,0.44888,156.476,33.6607,9.66449,18.5481,3.01475,21.2739,15.3685,3.90551,7.89367,3.40549,64.2642,13.8022,3.89994,21.0393,2.38105,8.71887,6.51023,2.07392,5.82168,3.29506,172.916,33.1144,10.7965,39.6368,2.20405,24.3891,16.8179,4.66417,13.4022,4.84077,228.784,33.2646,10.8637,15.4286,1.18067,28.4682,18.5224,4.80772,6.97831,2.96172,158.181,45.4468,7.96559,37.3088,11.789,19.6979,17.6911,3.87908,12.3807,8.42516,431.724,71.2908,17.6466,20.0346,1.73152,49.7478,34.782,7.485,11.3912,7.22987,286.105,40.3874,13.2984,15.3503,1.21268,35.5202,21.8988,6.28533,4.22323,3.59197,354.662,62.0813,43.8925,408.431,23.4205,46.8309,31.8996,9.90898,39.8138,14.5845,290.052,51.0966,29.5906,101.195,3.95973,34.8526,24.5951,6.49456,24.9158,4.24365,305.182,64.4255,31.0963,44.2854,32.0256,37.2797,27.085,6.88252,16.0824,11.1097,312.216,70.7212,14.22,20.7164,1.9313,36.9243,33.9064,6.19058,10.0957,4.76429,622.616,133.153,53.817,115.83,3.61617,66.5548,50.0922,10.5216,24.7577,6.31782
decoupled_wbc_h070_p000,520,complete,60,12,8.66928,4.80358,0.212445,0.213511,182.939,51.1753,11.0461,11.5863,1.11097,26.7723,20.3992,5.28593,8.30027,1.46714,277.256,46.2341,9.90753,13.488,1.65174,35.1034,21.7903,5.06569,8.26355,2.0265,310.189,59.5716,22.9285,12.1417,1.1652,43.877,32.7817,8.14293,12.424,3.78744,367.799,75.9695,18.0308,31.3052,1.14156,47.0558,40.0961,8.13711,16.9752,3.28849,140.589,48.3379,10.1394,16.9964,1.70506,19.3707,15.7427,4.21099,6.05963,1.27627,174.532,31.8525,9.37509,11.4261,1.65335,21.5458,13.0894,4.12697,7.46423,2.18456,273.298,119.63,35.2934,18.1375,1.42988,40.7658,35.591,8.41236,11.9947,2.76907,636.691,144.484,40.835,48.3254,23.8912,69.1392,55.9517,11.8714,28.1143,17.7234,139.897,26.3821,7.21555,7.71358,2.51684,17.5847,13.9521,3.08265,5.96955,3.26038,175.032,31.5202,20.949,85.4261,66.3501,23.6737,15.9894,4.50799,13.4378,14.6922,156.812,28.8474,8.9386,8.80756,1.63022,18.7369,10.0312,3.24352,6.96684,2.86458,437.659,204.704,44.6145,69.739,2.05945,63.5968,63.7987,12.8431,25.5609,6.37554
decoupled_wbc_h070_p000,521,complete,60,12,13.0666,3.47896,0.135377,0.104412,169.248,34.5894,10.1155,10.5633,1.80883,24.5415,17.1912,4.98718,7.57366,1.77718,298.285,74.7642,14.8933,27.1794,1.1455,39.7722,32.5697,6.84536,13.5591,1.85058,187.566,41.1133,12.105,24.4689,1.55822,25.241,17.9075,5.38917,9.4494,1.85949,329.896,85.9247,22.7051,17.5882,1.24124,42.7696,35.2826,7.63746,13.3209,2.64769,112.974,28.2685,9.28532,14.5266,0.740937,17.3371,12.8347,2.90449,4.26813,1.25545,101.187,29.1105,9.45355,10.4645,1.04348,15.268,11.5381,2.46578,5.81682,1.59075,137.219,30.0251,7.47215,10.9434,1.48043,17.2269,12.7688,2.85592,5.55386,1.38739,309.642,86.4495,31.833,126.178,5.22607,42.2205,29.757,8.99792,25.8551,8.81992,243.547,48.018,13.8632,17.6607,1.67116,28.0928,20.8588,4.94497,9.12481,3.28257,157.258,27.1128,10.1237,18.6468,0.855607,20.6516,12.487,3.80685,5.22291,0.93834,714.094,209.689,74.9637,107.868,18.8786,78.4901,63.6284,15.4051,28.3724,8.78981,789.374,144.21,41.0313,44.8596,2.04068,81.6898,57.5701,13.6147,25.0697,9.10923
