policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2
wbc_agile_velocity,512,complete,90,18,19.0921,3.61461,0.0149266,0.0164284,386.11,112.577,16.1838,17.6656,2.76751,32.0966,75.0006,5.74952,11.0091,1.93092,556.558,100.394,22.8638,41.7339,2.13088,34.5518,74.8352,6.49315,13.0972,2.85062,415.495,68.2827,18.583,18.2385,1.5554,27.4697,50.9822,5.98028,8.06316,2.21906,433.115,88.7882,18.3035,15.7043,2.1211,31.9291,64.1383,6.35901,8.70229,3.07402,268.342,58.7937,11.6274,22.453,3.69103,23.4784,39.7648,4.91794,6.74034,2.54756,333.422,87.3103,18.8927,24.6441,1.7797,27.2127,50.2752,5.78865,7.31594,2.20482,410.254,116.194,17.7576,20.08,1.54436,28.0019,77.6267,6.21831,6.75002,1.52389,327.31,126.13,18.128,18.0301,2.23707,26.5397,59.0101,5.36025,7.22355,2.25453,253.43,33.9105,13.6885,21.7451,1.98074,16.3138,30.8013,3.12411,4.66852,1.66651,307.764,76.186,18.444,20.6367,1.92633,25.9757,60.3104,5.7254,8.28285,2.27614,140.117,53.729,8.29216,19.0817,1.47596,15.3525,31.4911,3.26203,6.88426,1.59634,794.719,190.244,50.3933,88.6089,2.60088,43.783,106.787,9.11576,19.2356,3.99063,188.298,45.3,13.6478,25.3499,1.84065,22.4861,38.6306,4.87188,9.27115,1.99532,767.295,121.423,52.6482,209.61,5.55031,48.9206,88.3998,11.093,30.5363,5.05012,1270.81,278.376,56.9526,31.3748,1.25419,76.8978,166.776,15.8625,20.9533,4.05906,1953.28,543.172,69.0637,142.159,8.10459,98.8839,229.326,18.9918,41.4988,12.7433,450.318,119.932,30.0369,25.7766,1.77337,42.4467,87.0439,10.0419,13.2477,3.14251,156.765,32.2253,9.01352,18.3806,1.2789,14.0055,27.1714,3.08738,6.49284,1.86714
wbc_agile_velocity,513,complete,90,18,8.41616,3.14752,0.0510554,0.0571718,170.472,48.4677,9.56888,19.6103,1.86046,18.2341,39.7637,3.60997,8.16697,1.4509,371.709,82.7012,18.1221,40.5741,2.40947,31.4449,65.0772,6.22834,15.2424,2.71087,261.442,119.37,14.9573,19.1172,1.84673,26.3773,66.6048,4.75954,9.58671,1.83409,331.731,99.6798,15.0644,16.6374,1.40112,25.2488,57.6471,5.02728,11.1755,1.96491,104.181,35.0192,5.79145,10.8873,1.30192,12.6643,24.3864,2.84357,5.56039,1.44615,515.578,151.114,23.7636,44.7877,2.22334,32.4624,79.6377,6.9701,11.6844,3.00403,604.461,132.728,31.7409,25.4954,2.32192,35.1656,80.5415,7.79768,11.496,2.19051,244.823,111.364,16.5074,22.6848,1.26544,25.5549,55.4735,5.54666,8.28366,1.92543,387.316,97.1566,38.788,136.634,3.1183,26.8409,53.416,7.38637,19.2905,4.23707,349.506,100.693,20.7827,26.7633,1.10919,27.5783,63.1284,5.88952,8.84595,1.93602,658.413,148.06,57.9639,146.247,9.88604,45.2546,84.921,11.631,28.0886,9.88805,543.243,97.7395,66.896,166.294,6.03172,31.7314,69.7159,7.38602,22.4369,4.38834,266.717,68.5106,15.0821,16.0098,1.29072,20.8062,45.3314,4.7953,7.12181,2.10326,830.851,148.116,74.3476,61.8541,1.82872,51.0835,107.323,10.2356,19.6739,3.57596,395.855,99.498,24.8157,55.5187,3.31933,25.5769,62.2065,5.79273,13.1245,2.63592,639.632,155.97,36.3603,27.5211,1.83848,39.2912,86.8709,7.7988,14.4344,3.34603,345.636,85.6267,16.1966,29.8024,1.98479,27.755,58.5346,5.61384,10.5439,3.57852,383.312,122.681,17.0103,30.8674,1.22432,26.7191,70.9644,5.41818,11.4105,2.1091
wbc_agile_velocity,514,complete,90,18,8.23598,3.51768,0.0189074,0.0278795,326.108,95.7977,14.5404,16.2957,1.74898,32.6873,68.3694,6.69148,11.2771,1.65577,273.686,61.2176,12.0641,38.8326,3.48207,22.9212,48.4858,4.40804,12.6744,2.9045,452.639,112.816,15.2988,15.6363,1.85855,30.6607,70.5829,6.25488,12.2127,2.49118,204.587,82.7629,11.1187,22.6059,1.20878,21.4812,48.6141,4.63675,8.3467,1.72976,773.17,132.445,35.6671,22.1002,2.17202,43.1881,80.5178,8.64698,12.3927,2.87327,309.869,85.3109,14.6063,53.893,2.49972,26.8755,54.7594,5.75358,15.0558,3.01658,301.55,79.8582,17.0751,36.8267,2.44217,23.5505,51.2961,5.11678,12.0039,2.70464,212.936,68.7344,12.7718,18.9633,2.64516,20.888,49.3442,4.59323,6.90751,2.07015,902.638,341.099,43.2912,36.7555,1.6476,56.3331,133.084,10.7414,16.3329,4.60722,412.397,113.252,23.6488,32.1661,1.79283,31.6393,69.5478,6.45748,11.5618,3.12612,184.729,31.4065,10.0466,21.9624,2.21873,14.2205,29.4265,2.95992,5.23613,1.37022,554.113,120.74,26.164,21.4223,2.62852,36.8918,82.4133,7.11905,9.97584,3.03996,575.881,130.838,43.7867,34.72,1.45389,41.3458,84.0203,8.45608,11.7738,1.94995,972.052,205.779,97.1862,72.7991,2.41661,51.669,113.74,13.5471,19.1973,3.93605,582.162,161.482,31.7868,24.3686,1.66632,43.5179,88.8393,9.44685,11.3399,2.58064,541.809,115.343,26.3465,26.5501,1.62532,39.2493,74.5996,8.44385,12.9054,2.04746,499.055,142.307,30.9825,46.6231,2.20443,44.6826,97.8023,9.4323,14.8231,3.83729,942.604,244.399,56.7433,34.2569,2.30514,59.9105,130.249,12.4794,17.5227,3.84344
wbc_agile_velocity,515,complete,90,18,16.5769,3.74481,0.0159558,0.0182188,553.999,169.294,27.4717,22.2336,2.30269,40.0254,96.4967,7.54369,12.9365,1.97279,469.778,119.9,19.7658,26.3322,1.64144,35.8955,70.4426,7.4311,10.7838,2.14826,399.273,86.4882,18.6988,23.5658,1.41239,30.0771,58.5495,6.00299,9.29163,1.88971,279.26,68.343,18.523,33.3884,2.21246,24.4688,49.2626,5.13721,12.4511,2.10047,270.622,59.446,18.5996,55.9066,4.21269,25.0585,42.2006,5.23347,13.166,3.42572,197.902,50.2157,12.604,12.6246,2.61281,21.2025,46.0302,4.3927,7.8456,2.69025,693.525,159.238,29.8418,26.9116,1.87253,41.9887,93.0014,8.26137,13.4961,3.96839,354.388,104.372,37.6746,107.435,14.2667,32.7347,61.116,8.52805,20.9097,7.20854,1430.15,459.212,75.7097,215.677,14.0316,84.483,206.785,16.4274,46.2677,13.4479,376.813,89.7953,19.364,21.4024,1.69305,31.6838,62.3573,6.92723,10.2932,2.78961,233.445,49.9934,11.7863,14.3912,1.33889,20.8656,38.4793,4.2243,5.76769,1.3609,443.541,98.7886,18.0367,21.6144,1.21626,34.2905,65.7794,7.10595,7.68647,2.14998,143.507,54.6628,7.68054,20.6589,1.82154,15.7558,32.1169,3.36995,5.34063,1.54569,1412,232.894,60.9692,33.6413,2.89561,65.4502,131.165,13.3473,23.6832,3.06826,462.097,79.1542,21.3253,13.6893,2.05346,28.4856,58.8099,5.81847,11.1061,1.93613,791.944,127.698,37.3394,26.0477,1.22709,43.799,83.4455,8.70136,14.7864,1.95771,441.138,75.0444,26.4199,21.7559,1.28902,37.3933,63.5175,7.94252,10.1974,2.56528,806.367,137.858,59.5022,190.03,9.59029,47.3426,80.5461,9.91586,32.0329,7.73945
wbc_agile_velocity,516,complete,90,18,22.5308,3.27598,0.417669,0.370519,153.982,67.5084,7.41905,13.9303,2.30866,16.54,39.8129,3.03903,6.35336,1.28994,293.6,95.5422,15.9034,36.6082,2.13194,24.5295,68.1544,5.35213,10.457,2.08087,426.693,97.5813,20.6594,16.8094,2.12057,34.9637,61.9279,7.41083,12.4421,3.1047,465.731,72.6405,22.6652,19.1824,2.0293,32.6941,52.4737,7.0133,11.0169,2.80975,372.6,67.235,20.3124,46.2522,2.61286,26.9991,45.7391,5.61121,13.1488,3.04554,470.879,126.399,23.6556,27.2807,2.47386,35.4702,79.9438,7.72025,13.1286,2.60169,230.818,63.6821,13.7278,16.0873,1.38376,19.2324,46.9674,4.97265,9.99035,1.53997,456.01,102.374,20.1986,17.8689,1.45836,36.0099,67.8785,7.86543,10.8345,2.05485,412.263,147.688,24.6905,21.8637,1.27553,35.7088,79.2118,7.35329,11.6529,2.11816,1085.05,155.385,68.8065,29.7474,1.38308,63.9854,115.624,12.9291,16.0843,4.03723,1283.79,237.906,74.4384,147.384,20.7736,74.7487,138.244,15.2081,31.1609,9.46286,228.188,57.1213,10.5813,20.4861,1.12856,20.1523,46.0338,4.2599,6.47969,1.76968,536.387,156.968,32.0341,110.918,2.57695,40.8695,89.0587,8.26848,20.0212,4.93932,385.462,106.134,58.4685,170.783,13.9264,36.6446,63.0038,10.3659,24.6185,8.39523,234.671,67.125,12.7889,16.6104,2.31025,21.4547,49.4452,4.78807,5.93795,1.9274,2068.42,532.76,91.0377,99.4694,3.72346,102.424,219.191,20.3095,26.919,7.00207,715.154,162.462,44.7346,70.0315,3.70753,57.8844,123.659,13.6132,19.1542,5.71575,1588.47,460.408,109.382,38.1783,1.99707,90.7327,189.816,17.9962,19.4512,3.59421
wbc_agile_velocity,517,complete,90,18,17.047,3.15649,0.0139981,0.0180799,353.993,108.233,18.3615,22.9319,2.30515,29.5236,63.9626,5.43787,10.3194,1.83631,323.74,73.8092,17.4797,45.2609,1.514,25.5162,53.0924,5.36789,12.2145,1.98938,380.33,53.7721,20.4552,64.2294,1.04567,23.4601,47.1831,4.71687,10.766,2.0064,361.651,122.685,28.0583,78.9724,2.65386,33.1898,68.6185,7.02356,15.9677,3.13045,279.483,46.5445,18.9697,27.5985,2.38093,18.9744,33.6327,4.23758,8.8293,1.70892,263.799,56.7962,22.5535,79.8012,3.1066,24.8848,48.9459,5.07163,16.1074,4.12385,147.95,55.6754,8.77557,11.0212,2.0973,16.7061,39.1095,3.74672,7.33388,1.32825,453.458,90.394,19.9145,15.6387,1.68189,29.4934,56.8348,5.5951,10.0863,1.74524,347.503,87.1611,16.5452,17.8285,1.8825,32.1139,66.8609,6.68888,11.2996,2.12565,565.101,136.055,29.7028,30.195,1.98156,43.6148,83.5228,8.33967,11.7923,3.28907,279.665,89.0821,18.5973,54.9715,2.66374,27.2402,54.8272,5.72731,11.5658,2.67378,631.01,180.913,30.4643,71.185,3.55403,43.4312,114.005,8.91094,17.999,6.96777,546.145,173.272,35.3785,21.1814,1.78561,43.5543,91.3885,9.75897,14.534,3.37366,2613.31,395.662,136.842,236.711,15.5076,115.38,196.533,25.4794,53.5284,10.6725,1626.24,300.229,64.8508,72.1743,1.63572,81.4718,160.933,15.8887,24.2593,4.21815,1867.42,244.077,98.6252,190.474,15.5309,82.5838,135.766,16.157,30.9921,7.77917,755.313,173.656,38.6802,28.3251,1.50879,54.3953,110.678,11.3049,21.1682,3.89685,319.276,77.5352,18.7551,77.7306,1.58318,26.0664,52.4733,5.18286,15.9439,2.99085
wbc_agile_velocity,518,fell,60.8,13,8.27705,14.9699,0.869661,2.2199,297.237,126.32,16.4848,38.7873,2.02395,28.8151,71.0121,5.45001,9.11122,1.91513,334.526,80.2721,20.41,22.2615,1.41424,26.7169,52.9501,6.14532,8.84116,1.99442,247.953,61.4856,15.8536,15.5171,1.30694,21.7864,41.0809,4.48424,7.88021,2.29763,464.182,93.8458,24.9495,17.965,1.97928,30.3627,64.2503,6.87162,9.213,1.97756,281.688,87.8835,32.4175,82.9635,2.93301,28.0084,63.8822,6.40113,13.9682,3.31004,404.507,79.92,20.8645,39.8756,1.47164,31.2857,54.4794,6.57786,11.7157,2.42564,515.006,120.913,24.2231,22.4244,2.1454,36.6733,77.3529,7.42576,13.3089,2.30274,182.645,92.7279,8.78889,15.8499,1.91586,16.751,47.8577,3.58089,7.47855,1.74889,416.028,97.362,26.0549,17.3955,1.05929,32.6855,70.8857,6.8887,11.6703,1.90174,687.501,145.539,29.8383,18.1327,0.916828,45.4355,90.3146,8.92419,15.5029,2.32703,265.791,56.8647,26.216,131.486,25.3579,23.3513,52.4901,5.56073,20.6515,11.424,730.525,228.995,54.8268,72.8337,1.51576,49.3085,131.312,11.0764,22.3069,3.95048,2616.94,270.457,114.776,27.6863,0.357727,89.6355,101.789,18.1569,20.0211,2.56622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,519,complete,90,18,10.9924,3.51995,0.00747031,0.00895327,381.975,136.572,15.3853,24.2025,2.1793,31.4236,71.1868,5.91417,9.50702,1.92537,90.3823,25.4831,5.39673,21.058,2.23794,10.2674,19.3907,2.375,4.5698,1.27515,290.969,61.3177,13.7746,20.5711,1.4029,27.626,51.6148,6.33422,9.08816,2.16723,256.492,61.7805,12.3715,19.6284,1.1309,21.8876,48.4599,4.59067,6.36875,1.55914,191.712,91.0832,9.25917,26.2656,1.73117,16.2517,45.835,3.54816,7.73226,1.95722,671.088,190.516,25.733,44.8617,1.38549,42.649,88.3103,8.38012,16.3357,3.4938,364.187,83.4873,15.7726,24.7976,1.20799,26.742,66.0824,5.83918,8.03787,1.52126,346.984,90.2651,18.2806,24.0032,1.6744,28.947,66.7631,6.33833,9.07035,1.89601,346.468,73.5897,18.2941,24.0099,1.79881,28.7375,53.6051,6.32631,9.68412,1.89249,2895.11,539.942,146.455,55.681,1.50153,134.102,229.579,25.7223,29.9839,5.67115,952.102,233.138,52.6384,150.845,3.86474,57.8974,136.67,12.2831,22.3395,4.16228,466.292,107.837,26.4663,32.3081,1.96516,32.1297,72.6694,6.96023,10.8253,2.38104,392.022,97.5089,27.7373,34.5855,1.27463,29.4174,66.4917,6.36251,10.7939,2.3466,554.137,128.127,28.6381,34.1596,1.32532,40.6769,88.1275,8.99565,12.9255,3.11421,266.032,43.3116,15.1159,20.5176,2.00553,21.0261,30.5359,4.73284,9.03655,2.00073,508.652,138.021,20.6718,27.2488,1.29363,34.7539,75.8219,6.96677,13.6748,2.66026,363.276,94.7517,18.7011,28.7916,1.96246,31.1232,64.2251,6.57055,12.3495,3.5364,325.326,83.8884,18.2608,19.0493,2.21746,30.1173,60.9829,6.29595,10.1431,2.77798
wbc_agile_velocity,520,fell,35.82,8,12.1465,13.9932,0.820554,2.37801,251.937,74.6156,13.4537,16.7234,1.41761,26.1429,50.8605,4.85289,7.63326,1.34072,387.432,80.5774,16.6663,30.9832,1.75861,29.8501,60.4412,6.0195,8.8523,2.42064,360.435,95.6291,18.6674,18.8921,1.64438,30.7196,71.891,6.4749,7.83981,2.71621,347.101,107.836,15.3775,18.4968,1.50583,26.2394,66.4527,5.46856,7.18093,1.7115,183.221,53.8407,13.5212,19.3138,2.53383,18.9856,41.7176,4.05054,6.65996,1.76431,434.348,81.2816,22.7887,18.0419,2.08747,31.3059,64.4878,6.53842,9.09414,2.91055,272.283,93.1837,15.2062,15.3718,1.71563,24.2959,62.3741,5.36269,8.05057,1.75973,1771.92,212.175,155.496,25.5071,0.804232,56.363,64.8161,14.8595,14.5084,2.77741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,521,fell,66.78,14,30.0283,14.3447,2.82027,1.32494,500.569,181.319,18.0691,16.1578,2.85538,36.7707,84.5145,6.64259,11.2998,2.19557,465.101,92.7172,19.6794,29.4849,1.56381,30.3461,69.4341,6.38092,11.2686,1.80266,348.649,86.158,18.5657,23.4165,2.11757,28.0396,61.0561,6.09276,10.0342,2.00626,265.423,109.839,15.9204,60.3859,1.87982,23.5676,59.5349,5.37334,10.4605,2.63117,203.401,57.0193,12.9426,24.5714,0.906553,18.5181,38.2188,4.22084,7.05036,1.65503,541.262,121.834,22.5363,71.6088,1.60945,29.5024,70.2523,5.59189,12.0008,2.89242,168.574,33.0398,13.7307,12.9596,1.88214,15.0895,26.4642,3.58389,5.02699,1.36642,549.847,171.619,25.7993,25.7669,1.76952,38.3412,80.2428,7.78737,8.67859,2.24375,1124.26,208.964,56.4027,97.977,6.54944,61.3002,111.95,13.9546,23.7431,6.63797,242.613,66.0104,13.4493,21.282,1.24,23.3716,39.8986,5.00293,8.67645,1.85186,1079.81,394.651,94.642,29.0419,1.92513,78.1846,175.051,15.5858,22.2709,3.8385,495.419,119.22,26.7367,44.6703,1.44928,39.6387,75.3056,8.8678,15.1819,2.91545,337.947,79.4805,22.3362,22.1844,1.07181,34.6006,60.8275,7.40645,7.90169,1.99307,6645.94,690.571,429.772,282.117,9.80213,199.94,203.973,49.9308,62.7346,19.1142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
