policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2
amo,1024,complete,90,18,17.6617,10.5489,0.0109138,0.0216527,277.735,37.0965,17.5307,26.2104,2.4428,26.1578,19.2916,4.30088,9.79753,1.77795,97.9284,12.771,5.09642,14.5564,2.31166,8.60193,5.13359,1.31176,3.03654,1.00897,220.483,30.0191,11.0133,41.4239,2.45278,17.4435,13.2571,2.58694,8.23805,2.00509,310.261,40.3142,14.1245,24.1889,2.13243,21.5559,20.8228,3.34594,10.1859,1.68355,246.673,30.6628,11.5634,31.4573,1.90107,18.4641,17.9273,2.92427,9.21587,1.68527,375.567,46.5338,15.9905,39.2001,1.84172,29.2497,24.7666,4.25323,11.1567,2.7079,275.85,33.9161,13.059,26.2241,1.5183,20.5794,14.9036,3.00005,7.94148,2.4945,512.898,69.8163,23.5778,46.1578,2.39252,34.5897,30.2764,5.02989,15.9132,3.15698,462.914,96.8826,24.8116,51.891,1.90222,30.8142,27.9055,4.98344,16.7932,2.81404,441.752,48.1599,17.8108,34.2892,1.38617,26.8478,28.8463,4.34062,13.4902,2.08722,800.402,209.625,58.7269,57.4264,1.36037,50.589,44.1947,7.20303,22.9361,3.26588,486.586,51.6744,49.2495,119.36,3.50016,31.9916,25.4953,5.19613,22.0406,4.27103,724.135,74.3005,33.3843,48.1447,1.63789,46.29,31.6079,6.57075,24.937,4.36606,392.019,58.2467,13.1366,61.4455,3.0154,23.0202,17.869,3.18059,13.2983,2.59471,577.992,102.843,29.8222,67.0362,1.47811,36.8443,33.1659,5.337,20.2033,3.42611,447.837,63.5723,22.5325,33.8796,2.19237,31.905,31.0222,4.98424,16.9951,2.94186,546.511,64.9807,65.9249,105.139,3.43572,35.7904,28.2059,5.87333,21.6875,4.29706,151.18,27.7971,8.3161,22.8984,0.982258,13.4935,11.2099,2.08587,6.31113,1.22641
amo,1025,complete,90,18,27.0652,6.08368,0.313118,0.322699,340.826,54.8748,18.9103,20.9615,1.21474,29.7322,23.5615,4.92298,10.8914,1.59812,236.426,40.1818,10.9924,23.9148,1.8825,18.588,14.1109,2.96058,7.63939,1.80044,198.944,32.3413,10.111,20.8558,1.05094,15.1927,12.2032,2.38783,4.99251,1.05134,234.005,39.8362,11.5534,17.4844,1.88901,17.1456,13.3447,2.59927,4.8759,1.51097,439.964,67.87,18.7527,19.0161,2.52338,31.7934,23.6447,4.8463,9.83296,2.37998,532.063,67.2628,21.1174,26.8432,1.12771,37.5594,28.0743,5.4148,15.0779,2.43004,488.899,74.9935,19.8234,20.3622,1.78292,37.8768,25.3262,5.77673,14.0364,2.42745,665.335,83.7598,34.1971,148.759,13.883,46.8677,28.314,6.21721,24.3187,9.76959,365.496,46.1436,17.55,31.3269,1.5457,28.6113,20.8908,5.16388,9.27708,3.01374,438.785,61.5077,17.5618,32.559,2.76427,31.3815,23.1193,4.82441,11.6087,2.37297,302.356,47.2353,12.3869,12.4871,2.18557,26.7954,17.9699,3.59079,7.48694,1.85139,234.251,43.5353,9.13681,18.7235,3.09605,17.5892,13.2276,2.58382,6.16145,1.59428,694.126,72.3944,42.8098,215.218,14.055,44.4337,32.198,6.59976,31.9586,7.78949,484.071,64.6473,20.2449,21.079,1.66065,30.4211,23.4401,5.13818,12.5076,2.12281,463.388,52.7518,19.1442,35.702,1.39356,33.4693,27.3254,5.07058,15.1071,2.40963,667.543,147.715,56.5836,28.1122,2.07574,48.4599,36.2486,7.17723,14.4965,3.07596,849.096,143.397,51.2066,29.5656,1.92789,57.139,39.9252,7.79863,16.8847,2.5175,592.825,55.9904,30.5787,25.5081,2.53122,42.2651,29.7729,5.6759,13.1207,1.9687
amo,1026,complete,90,18,14.0988,7.96748,0.137336,0.133062,360.179,61.9637,19.5375,15.4725,2.57176,32.7601,25.2052,5.19612,9.62052,1.8634,357.245,50.4878,18.0191,20.9098,2.39883,29.3909,19.3149,4.88635,9.35921,1.92638,432.349,58.7866,21.6199,33.1244,2.41158,34.2525,25.2072,5.11906,12.1051,2.13541,181.296,44.9036,12.4496,14.856,2.14459,19.0256,13.7627,2.88053,5.28759,1.52633,228.974,36.5755,13.2386,13.0544,1.41651,18.7209,12.5044,3.00197,5.49762,1.03581,257.201,34.1019,15.7714,19.7598,1.65995,20.4427,13.8203,3.25769,7.44442,1.15859,429.066,112.533,39.0647,67.1105,3.86546,37.2505,25.1986,6.08516,13.0394,3.2014,342.608,63.0898,22.5859,23.3701,2.47598,27.3062,20.3195,4.11402,8.63658,1.85294,523.934,73.4784,25.1744,21.7192,3.43222,39.1754,25.7265,5.82861,11.0197,1.9136,499.494,70.4526,37.8018,113.318,2.92861,39.4105,25.9981,5.84136,15.8968,3.59786,239.278,32.1464,10.0246,18.9249,2.90546,19.1311,15.7105,3.53058,6.15891,2.18525,320.017,43.6703,13.0269,20.3219,1.647,23.7781,19.3265,3.70521,6.99036,2.14289,828.41,181.062,80.1587,217.291,19.4721,63.9382,47.8527,10.6137,35.9555,11.2498,435.542,104.419,22.0474,39.076,2.26097,29.9421,27.7643,4.99948,13.103,2.072,285.81,47.9509,11.2947,17.9048,1.73909,23.2402,18.6777,3.67073,9.58294,1.54309,520.519,55.2791,21.0999,63.4039,2.59693,32.5597,30.1562,4.7932,18.0729,2.84007,649.037,102.775,29.7224,36.6115,1.31622,41.6767,35.856,5.89434,18.643,2.83157,898.594,72.7257,54.8803,53.4187,1.39256,44.3942,35.8208,6.59943,20.8969,3.57609
amo,1027,complete,90,18,40.1058,5.95389,0.0184423,0.0176138,303.897,46.0076,18.8369,15.2261,1.84511,25.9943,21.3258,3.70077,6.99854,1.21988,415.127,69.5771,23.1375,43.0584,2.69177,31.1516,22.9491,5.80608,12.49,2.6335,438.806,73.968,19.6528,118.6,4.72885,30.437,23.661,4.47977,19.4986,5.39835,541.837,70.4767,18.2039,21.1687,1.69308,35.412,30.0221,5.17641,13.4398,1.785,480.62,55.027,18.2,30.3455,1.90288,31.0664,26.6992,5.19829,14.6415,2.03017,595.873,113.694,24.9679,49.3377,2.13831,42.6326,41.7709,5.86605,18.7748,2.95409,825.82,70.8148,43.4261,27.5414,1.15641,55.6587,35.9389,7.1947,17.1653,2.19385,912.282,111.972,41.6139,105.287,2.14563,55.9074,41.8944,7.80317,22.6914,3.50751,765.555,106.422,26.9894,30.0591,2.33234,52.3668,41.1479,5.96711,14.5507,2.63226,700.884,124.477,46.482,22.186,1.42901,49.6739,40.6158,5.9616,12.752,2.78182,552.107,85.2949,31.8294,147.527,5.9247,42.1349,29.6962,6.43843,21.2474,5.50557,349.023,50.5015,15.6129,18.1213,2.65852,28.7103,21.0389,4.41453,8.55477,2.23826,248.61,45.3264,8.68936,11.3284,1.61895,21.6386,14.1323,3.05093,5.14541,1.73946,215.842,34.3643,11.891,12.9307,1.71072,18.1132,13.3388,2.92601,4.16964,1.3228,438.312,73.1157,22.3172,147.606,19.5615,35.1365,26.2203,5.71173,23.8447,10.8335,412.68,50.3634,16.0689,17.7247,1.92901,30.7741,19.4325,4.70696,10.9948,2.18354,1129.19,105.734,72.66,35.906,2.33495,68.0622,47.1981,8.56741,18.1262,3.3033,406.375,50.0348,22.1553,25.4888,2.21815,28.2248,19.8668,4.39053,10.7095,1.81594
amo,1028,complete,90,18,25.9435,23.3362,0.302664,0.316271,279.189,34.1681,17.7865,14.5558,1.88308,24.9231,19.9122,3.98084,7.34109,1.3182,372.627,62.6449,13.5998,19.9013,3.08491,25.2301,20.6899,4.02788,9.8775,1.58805,401.17,64.907,16.4803,22.0751,1.16922,33.524,22.8461,5.04175,11.2252,1.92703,383.5,62.7283,15.9693,22.0466,1.8032,28.1141,22.9675,4.71095,9.77702,1.70758,101.248,13.7096,3.93459,16.0356,1.82519,7.73227,8.30237,1.22356,3.44063,0.941227,267.932,47.1556,10.9456,20.7952,1.8277,20.2421,18.0955,2.92728,7.78227,1.32389,329.067,42.3567,14.7153,23.8204,2.26986,23.2976,19.4457,3.79645,11.0406,1.85816,451.738,77.4111,19.8577,60.9606,2.70767,31.1911,26.2085,4.96714,12.6413,2.91816,454.195,50.9552,30.2801,150.036,4.85631,28.5503,16.851,4.2857,18.6953,4.88686,238.127,30.053,9.94087,17.416,1.60029,17.3162,13.2232,2.43471,6.74394,1.42236,436.027,73.9633,20.4774,42.8116,1.79032,29.8872,27.408,4.65561,15.9422,2.73711,301.625,40.3306,16.4252,137.482,3.87836,22.3977,18.9413,3.35547,23.2089,3.72212,790.828,79.1411,35.0975,30.3126,1.00276,51.4945,38.6548,6.95646,18.627,2.73967,382.706,48.3468,13.9386,16.1196,1.94348,28.8017,21.1017,4.47566,11.2675,1.91132,767.558,145.195,45.8976,28.1924,2.25664,49.6972,37.0612,6.57304,14.6365,2.93312,998.323,153.921,51.029,42.1891,2.423,60.8113,40.3926,8.15765,16.5533,3.07118,860.018,178.52,42.1214,31.5972,1.64569,58.0564,50.1504,8.24853,13.198,2.92291,568.32,112.401,50.4325,49.0479,1.37912,42.7551,28.4192,8.17245,17.9836,3.53418
amo,1029,fell,80.72,17,30.209,19.5546,1.92026,1.81045,351.137,51.2631,21.3674,17.5144,2.37514,32.2291,22.5978,5.05678,10.3818,1.8939,419.78,104.873,24.2704,35.1678,2.22455,29.7645,25.9094,4.63181,9.9102,2.34929,239.835,58.1063,15.1985,24.3024,1.58706,20.1635,17.3357,3.35356,6.35056,2.01099,212.284,47.8687,18.268,22.3805,2.05818,17.2647,14.6807,3.00944,6.18972,1.62749,327.203,71.7672,26.8781,29.9511,1.55884,26.5186,24.2975,5.10267,9.69702,2.03236,325.816,72.4016,28.4323,33.5217,1.53304,26.9709,22.3196,5.28917,11.0771,2.66439,408.186,91.1038,44.627,62.2093,2.01201,33.1325,25.7098,5.67837,17.1947,3.30361,326.179,69.5756,23.3732,24.3835,1.32812,24.5686,18.8268,4.39538,9.47377,2.0982,351.764,62.3601,23.4691,35.2807,1.24888,26.3023,25.3161,4.73675,10.163,1.95392,395.404,56.2279,19.2373,23.4302,1.7099,29.9371,22.3026,5.29731,9.94215,2.33002,445.298,49.5071,20.2934,26.7036,1.78839,33.3738,27.4121,4.6925,10.3763,2.63861,691.12,120.057,24.1716,30.3076,2.23774,43.24,33.2445,6.63348,10.5256,2.87959,555.499,59.1473,26.3247,19.7229,2.53882,38.1068,30.9863,5.4105,9.64073,2.86135,328.847,42.9508,17.6224,28.5492,2.252,25.6885,20.9219,4.19081,9.00274,2.31042,196.747,27.6529,10.6522,24.1581,1.17816,16.2282,12.4314,2.37895,5.69578,1.27192,1066.88,150.494,54.6772,58.5839,1.90587,64.4103,46.6184,8.3497,19.483,3.63579,2327.13,77.843,229.485,52.0881,1.00986,77.3266,19.093,14.4416,23.3431,3.0402,,,,,,,,,,
amo,1030,fell,78.8,16,20.7525,21.2587,2.18621,1.05622,353.116,50.5159,20.0609,29.7079,1.89542,32.551,22.1159,5.02374,11.9331,2.26686,137.396,26.4816,6.56381,12.8122,1.66466,11.4257,8.77113,1.91147,3.9151,1.07773,297.8,27.4804,18.4455,89.175,2.40061,24.4307,16.1933,3.05687,11.3005,2.31706,460.431,66.7519,23.4647,44.1522,1.81979,30.1088,32.5657,4.78147,17.1711,2.68525,438.594,47.757,20.6555,36.0656,1.95571,29.8059,23.1508,4.27331,14.14,2.56141,344.222,45.5575,14.8604,59.0999,11.761,21.9276,19.3529,3.55975,15.1429,8.67372,225.676,34.2376,12.4417,31.2082,2.18056,18.4242,14.0282,2.76555,9.16393,1.74554,410.293,51.0698,22.6597,65.1103,1.88952,29.109,24.6859,4.8078,14.5214,3.38329,403.259,65.8955,16.9799,27.5206,2.27868,28.3573,25.6388,4.38676,11.676,2.20993,735.866,95.4595,33.2732,89.303,4.0548,43.0505,33.3158,5.96825,18.4252,4.70976,313.708,59.7156,20.5672,33.009,1.85618,23.1716,18.397,3.16283,7.96777,2.37943,421.579,56.9901,47.9438,149.068,6.77436,31.8879,24.4413,4.85474,17.4483,5.88036,674.568,91.5464,36.3179,44.3283,2.77198,37.0732,28.727,4.72041,15.5247,2.31205,396.082,47.1639,19.2186,28.1669,1.82571,25.9405,27.4647,4.48328,12.4896,1.97973,518.562,73.9777,23.3236,29.4555,2.08711,33.0783,23.554,4.9187,13.7143,2.18697,14872.1,960.74,1028.18,553.256,13.9575,516.841,193.43,84.1571,206.887,35.2932,,,,,,,,,,,,,,,,,,,,
amo,1031,complete,90,18,18.3961,12.3261,0.237201,0.249061,276.953,39.5347,14.0774,12.7887,2.09342,23.89,20.1034,3.37855,6.80206,1.50855,352.181,49.0007,16.6536,57.6866,2.44615,24.3809,18.804,3.78284,11.0633,2.05202,599.111,62.9541,23.545,22.5842,2.47399,37.985,30.3902,5.43204,13.1245,2.26144,305.116,48.319,16.8955,25.9721,1.35997,23.5916,19.4859,3.60989,8.65009,1.73465,315.896,45.6567,14.2269,28.2625,2.62459,22.6482,23.7708,3.44197,8.98769,1.75832,595.329,70.2429,26.5534,41.6197,2.54805,38.0403,31.4853,5.15997,16.3327,3.04922,288.794,32.2757,12.2863,21.1226,2.08461,18.6049,16.97,2.79723,8.68882,1.83256,456.632,63.536,17.6406,30.8664,2.02808,30.9585,24.6558,4.15004,13.7766,2.54084,358.112,45.9438,19.2883,33.0232,1.47267,25.2197,20.2783,4.31509,13.3163,2.09683,217.342,42.0613,13.1229,33.4117,1.76702,17.1766,14.8727,3.04039,9.80866,1.78564,410.677,65.3781,17.5841,28.4746,1.42567,27.2683,26.5916,4.39697,12.7554,2.18764,471.227,54.8309,21.1838,40.8634,1.59687,33.342,28.2144,4.70575,15.475,2.80812,717.29,142.508,95.1262,93.4084,2.44224,50.0275,35.0299,9.78251,28.3169,4.76932,281.678,43.2507,29.8513,67.1589,2.33036,19.9066,16.5388,2.98283,12.825,2.20329,146.69,23.9972,5.64957,18.3773,1.91398,11.4258,8.88431,2.06822,6.11005,1.02603,262.79,41.4767,11.9857,18.3466,1.26446,19.4667,14.42,3.01566,9.71002,1.35402,404.425,50.4056,21.5602,146.597,12.1418,28.7321,24.4188,4.06427,22.0045,7.5445,653.304,88.9683,43.4885,260.512,13.698,47.3,32.5238,6.6455,44.5552,9.98105
amo,1032,fell,66.04,14,12.8314,34.1272,1.11807,0.609736,265.138,39.4501,16.8775,19.208,2.36575,25.7734,19.291,3.97001,8.24376,1.47211,112.118,10.4099,4.2614,11.5584,1.3116,10.349,6.44139,1.49761,4.01108,0.859182,416.455,58.2587,17.744,29.039,2.48878,30.6449,25.1822,4.90332,14.6583,2.66498,194.362,29.6792,9.08923,45.5936,2.30678,14.2519,13.8517,2.33,7.23443,2.09072,116.89,16.3667,4.3159,11.0678,2.33339,10.3586,6.3923,1.57029,4.17522,1.07997,271.801,35.244,12.6542,13.0356,1.79761,20.2627,15.12,3.29292,8.11159,1.56684,387.128,50.6083,18.2614,20.2878,3.41002,28.6404,19.9244,3.98762,11.807,2.17451,402.909,61.3526,21.3721,73.0051,3.30584,29.0129,20.4962,3.95526,12.1861,3.25856,526.365,80.5211,29.9295,82.8729,9.36018,38.2997,33.0665,5.6525,16.0983,6.27422,513.494,74.4114,32.2356,49.123,2.13214,37.4528,24.6395,5.94471,15.1853,3.30982,231.985,38.5119,13.6521,20.6354,1.33582,18.9028,13.9304,2.87243,5.44654,1.59607,311.648,59.3773,16.5796,21.2946,1.85502,26.6132,19.1864,3.97823,6.48874,1.76339,244.008,46.8824,15.3228,22.103,1.90799,20.5159,14.2492,3.38379,5.55358,1.8199,2270.84,315.03,147.028,44.632,2.59834,84.9347,50.4417,14.5452,27.3407,7.96521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,1033,complete,90,18,21.2681,35.0313,0.0438309,0.0466776,291.81,45.2275,16.9227,26.6731,1.85719,28.6561,21.4937,4.5622,10.499,1.88365,225.74,28.3739,10.9842,49.3939,2.27146,16.4006,12.3225,2.8159,10.489,1.8338,583.783,92.6263,27.309,62.2564,3.17396,36.7009,30.5382,5.00317,17.8432,3.67809,291.056,38.836,12.7537,21.7696,1.36334,20.3473,17.1611,3.10508,10.2729,1.60698,507.55,106.482,29.6467,30.1595,1.817,38.9782,31.2996,6.06762,13.7504,2.32791,291.719,48.1415,17.9483,29.1363,2.72043,25.0427,18.5677,3.77556,9.17969,1.53019,215.463,35.5705,17.9464,24.4059,2.48825,19.1941,11.648,3.49867,6.03625,1.54946,277.61,77.0875,18.1491,20.9896,2.19171,26.1653,17.2218,3.66968,7.57855,1.87346,394.283,61.7105,18.7335,26.9856,2.00415,30.2298,24.6319,4.98692,10.5099,2.45708,514.829,229.477,36.705,33.6737,2.85159,45.3012,40.0628,6.32928,16.0687,3.36706,438.603,73.9118,39.3918,76.9587,3.33046,31.8956,22.4423,5.80328,16.5392,5.39874,434.282,113.414,36.1073,68.8607,8.57663,34.5992,27.4415,5.80351,14.6274,6.79416,1036.61,107.869,169.336,237.976,18.6655,64.2719,33.748,13.4882,48.4898,18.445,356.271,70.6898,22.4187,24.0502,1.69712,29.6163,20.9638,4.71248,10.0057,2.32188,366.761,45.7081,14.2568,21.2768,2.06035,27.3245,16.6466,4.38033,8.96689,2.71485,419.869,91.465,18.114,28.6611,1.24117,31.5924,26.9738,5.10215,13.7866,2.39664,343.829,57.3149,15.5252,30.2411,1.74966,26.0459,18.3448,3.6961,12.4509,1.89744,253.975,30.9082,9.79297,15.6298,1.1843,17.2707,17.873,2.76683,7.90628,1.18628
