policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
decoupled_wbc_h066_p000,1024,complete,90,18,20.194,3.68146,0.529416,0.535013,489.386,104.386,106.954,31.0116,2.49512,78.24,63.095,20.7347,32.6499,5.26678,59,0.292402,0.888355,430.695,110.994,112.855,31.5836,2.50978,73.2337,63.4528,19.4248,31.5463,5.04999,53,0.307049,0.885569,330.929,73.1965,75.9273,39.5705,2.47447,56.8742,51.4649,15.1941,26.3408,4.07942,51,0.246543,0.753145,527.871,124.514,100.05,35.952,2.05477,74.5358,71.6479,18.6809,35.3498,4.39103,50,0.288396,0.884436,378.478,83.7702,88.8473,37.7099,1.85258,57.2682,50.5432,15.2619,28.9953,3.99697,42,0.334465,0.996499,467.85,105.288,106.204,44.6454,1.87719,63.1732,59.481,18.106,28.2458,5.19129,39,0.260505,0.98742,344.548,85.1804,99.9224,34.1077,1.65606,56.5191,49.0876,16.7009,27.1031,6.61705,38,0.239497,0.934072,555.121,134.912,97.6863,50.1019,2.31908,76.0664,67.7501,17.6335,34.6333,5.38238,40,0.349656,0.919282,398.281,98.0987,92.4948,45.2127,1.79466,62.461,54.0644,17.3432,29.4081,3.93327,54,0.242627,0.815854,471.426,80.5484,69.1862,36.3262,1.33864,69.237,60.877,15.7628,29.467,3.79582,46,0.34533,0.921127,653.253,163.645,124.756,51.0695,1.20289,83.3347,64.2897,19.6254,38.2844,4.3934,36,0.386863,1.10763,458.97,86.204,97.5928,120.755,3.64381,56.8439,51.6966,15.2948,36.5926,5.69233,44,0.261431,0.961352,708.478,153.754,102.999,56.4253,1.69834,88.6088,67.2634,21.373,45.0271,6.272,42,0.28098,1.34606,607.744,134.704,100.512,78.873,3.04189,75.5889,64.4571,20.4625,45.3099,6.27404,50,0.254545,0.932127,474.732,114.861,119.526,86.3603,1.35572,69.7389,55.9297,18.4755,39.6308,4.56458,37,0.378871,1.07211,375.142,93.2437,74.7775,37.994,2.13014,55.3828,56.8717,13.1998,29.2126,4.42228,41,0.29464,0.871669,657.813,132.52,164.147,119.744,3.7858,80.6925,66.4677,22.012,46.0093,7.50523,46,0.270016,1.00984,1628.16,483.464,201.039,81.2135,1.80236,131.136,108.769,31.8331,54.8098,8.51071,27,0.407875,1.36833
decoupled_wbc_h066_p000,1025,complete,90,18,20.6835,3.4316,0.230041,0.164119,420.036,73.9505,71.0148,27.2281,1.30967,64.544,49.9599,16.1859,27.6276,3.60644,47,0.331989,0.86654,389.931,100.893,87.5994,33.1218,1.98323,59.4438,60.0201,15.6684,27.3319,4.46073,49,0.276177,0.852429,344.391,85.5403,112.738,34.8469,1.29269,62.676,53.9011,18.6465,28.8206,4.32805,55,0.265582,0.860528,372.204,77.6805,91.5685,24.806,1.84216,61.4148,50.566,17.0301,24.1073,3.69896,40,0.31434,1.0306,515.064,117.161,113.777,26.3231,2.48513,75.086,62.5902,19.6799,31.5996,5.10515,43,0.30005,0.925161,487.745,105.569,129.961,36.301,1.25178,73.25,60.8847,20.7574,39.3121,5.23472,46,0.258489,1.00963,416.936,77.7134,123.565,28.5225,1.82907,62.7591,48.3918,18.9569,32.7263,4.61015,34,0.397553,1.10972,536.955,114.998,95.4236,152.798,11.9407,73.2644,64.6313,18.1635,37.6359,11.6974,39,0.331531,1.06753,361.898,86.3276,95.8784,35.2459,1.63568,55.4339,53.1343,16.6549,24.6484,4.70844,44,0.275381,0.917807,482.302,96.914,106.467,44.7046,2.81596,70.9409,59.7433,19.3932,32.3146,4.81571,54,0.314319,0.990851,430.394,86.0752,76.9346,18.1255,2.18545,69.2566,56.4351,17.8963,23.9859,4.41177,46,0.27818,1.05326,446.657,107.809,116.792,33.9719,2.90242,68.8191,60.2884,19.865,32.7414,5.00141,51,0.333736,0.897654,664.82,109.38,118.615,216.827,13.0173,84.1704,62.4869,20.0057,51.8751,8.87989,35,0.380907,1.20734,447.756,84.2672,97.0068,33.7411,1.66511,69.8514,58.2263,19.8305,31.2838,4.19017,48,0.296508,0.935941,557.863,114.742,101.212,48.9943,1.47511,79.2801,63.8663,22.4138,36.3298,4.26274,53,0.286898,1.01798,581.155,222.275,162.016,32.2928,2.25586,85.8916,80.5589,25.1669,37.0256,6.87436,44,0.326205,1.13042,463.676,98.6257,109.431,33.9614,1.98023,69.6431,55.7878,19.1663,29.4342,4.29745,47,0.345848,1.06191,462.199,98.3914,100.85,30.4559,2.40332,71.9004,59.4319,19.279,31.9226,5.73141,49,0.25644,0.943046
decoupled_wbc_h066_p000,1026,fell,61.7,13,28.4453,11.7914,1.57674,1.33699,464.985,88.1212,82.2623,22.5709,2.639,73.7854,57.1092,19.2624,28.0308,5.20219,53,0.328954,0.944106,373.215,66.0862,69.9618,24.4844,2.4833,64.699,49.3627,16.5258,25.9607,4.48439,48,0.310369,0.987442,349.961,92.0195,72.6997,30.861,2.37038,58.5796,56.5841,14.6853,24.562,3.41455,44,0.235216,0.817334,342.269,88.649,90.3653,22.6425,2.12488,59.3985,54.7364,16.324,24.6793,3.63721,48,0.234245,0.908086,448.391,95.6082,131.43,23.5412,1.45818,67.6516,55.8321,20.3352,29.0419,3.51227,41,0.302829,0.999973,411.959,82.6311,104.452,30.0729,1.67759,64.5636,53.8875,18.0907,29.3599,3.34477,46,0.268489,0.983943,362.517,101.733,104.679,66.9793,3.70561,63.6659,55.996,18.6476,29.3611,4.92592,41,0.34124,1.02629,378.836,83.1411,109.611,32.9551,2.44327,61.4717,52.4799,18.2748,26.7019,3.70304,50,0.23664,0.79454,414.278,88.8411,72.0839,25.4364,3.40366,62.3017,56.12,15.3143,24.6274,3.17254,37,0.374721,1.10417,579.818,123.653,159.55,125.434,2.84424,80.0923,66.7433,25.8944,39.9574,7.09493,44,0.350379,1.13558,381.441,79.5817,116.032,29.1402,2.86277,57.4023,53.6844,17.868,24.2861,5.82986,38,0.321431,0.947693,369.452,54.7001,86.0114,27.5573,1.65431,59.8062,42.6164,15.9719,23.1218,4.01178,54,0.259119,0.875545,7137.93,602.649,1039.53,376.025,31.0468,317.858,102.543,83.9289,109.434,33.6512,2,0.515579,1.50355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decoupled_wbc_h066_p000,1027,complete,90,18,22.9956,2.75102,0.154115,0.131918,541.346,127.112,120.666,27.7036,1.9015,85.5129,72.1199,22.7003,35.8843,4.81363,49,0.274905,0.95445,432.267,78.0663,81.8123,44.0926,2.80892,62.5513,49.4584,17.3827,25.4747,3.66135,38,0.394093,1.12579,523.093,133.033,134.465,129.484,4.83843,80.4968,69.5843,23.2716,42.6026,8.02004,51,0.262875,0.931832,475.624,80.7291,114.616,32.6527,1.77977,69.0798,53.3416,19.3814,30.8609,4.27162,41,0.364064,1.06709,387.974,85.8747,67.9107,38.4301,1.92081,59.1875,53.9562,14.242,26.0692,3.90366,38,0.390886,1.11316,533.967,140.424,121.35,58.5849,2.11182,73.3932,62.0013,22.019,36.5473,4.87826,40,0.324146,1.07593,676.313,149.147,144.281,37.166,1.1323,91.5107,71.3733,25.2953,36.5835,4.07612,42,0.364561,1.29824,505.22,91.1503,76.8913,100.773,2.036,72.7825,58.5069,17.9677,31.0748,4.4943,44,0.383083,1.01659,472.699,78.9957,66.6919,30.616,2.30528,69.1775,55.6431,17.4809,23.7782,3.73914,51,0.329397,0.784794,397.486,84.3643,95.4385,29.3724,1.35692,59.886,53.0896,17.8563,24.6548,4.86759,41,0.300143,0.903036,537.793,108.133,122.77,167.788,7.34525,71.0893,55.5203,22.5667,38.5097,9.40966,49,0.248659,0.990069,529.728,102.323,87.6171,29.509,2.79807,67.6344,56.4737,18.0394,24.9458,5.6945,43,0.296549,0.97866,438.898,93.5668,101.561,18.9363,1.84293,68.7894,55.2256,19.7456,26.2922,5.90826,41,0.38629,1.17218,443.53,98.8311,110.09,24.4581,1.82936,73.1621,60.5043,20.3206,25.2617,4.89159,58,0.318831,0.91667,568.4,114.159,132.159,176.793,22.5405,82.7318,64.8942,22.1924,47.8924,14.8224,50,0.28071,0.940997,568.125,125.295,156.817,33.9651,1.92827,86.4594,69.11,25.1566,36.6271,6.54126,48,0.355692,1.1471,377.003,81.5723,76.7109,26.5371,2.27724,60.714,55.3564,16.4575,22.9058,3.97162,47,0.249773,0.902779,569.713,112.663,109.645,33.7797,2.24239,82.5966,65.4112,22.2828,32.2271,5.1289,54,0.283481,1.00154
decoupled_wbc_h066_p000,1028,complete,90,18,17.6883,2.68496,0.123833,0.0928821,467.812,100.791,92.3063,23.1039,2.02848,77.9354,64.0326,18.8211,31.7458,4.40637,52,0.289395,0.950074,556.784,114.904,114.797,34.4988,3.08653,84.6033,65.6058,21.5307,39.4036,4.88321,42,0.357111,1.1077,497.99,123.661,111.53,33.3983,1.36502,77.3528,67.0328,20.3201,31.6905,5.40716,46,0.303393,0.971888,357.635,62.526,90.9083,32.3344,1.79975,62.9618,46.188,17.7936,27.739,3.84699,46,0.312687,0.998022,313.936,65.3446,65.6772,29.5356,1.92871,53.8214,44.1461,14.4211,25.2712,3.33174,50,0.251591,0.804731,387.072,76.3088,88.4552,33.5236,2.02687,64.6595,52.7018,16.3864,30.4878,4.83103,52,0.260013,0.83606,476.777,111.298,101.952,36.3156,2.45622,65.0896,61.2474,16.7336,32.881,5.20839,42,0.362959,1.06954,562.789,113.671,92.0196,68.0318,2.90635,80.3415,66.7781,19.2397,34.7983,6.95758,39,0.32867,0.93159,435.183,105.444,126.507,161.858,4.998,72.5379,56.7711,21.1181,39.7839,8.28382,49,0.252517,1.03819,373.464,71.1647,90.8138,30.9398,1.75409,59.3641,50.2808,16.1951,30.7196,5.39429,39,0.33234,1.04687,485.339,94.2238,97.9256,48.8868,1.96668,68.7339,50.8414,18.437,32.4693,4.99212,35,0.396032,1.20298,407.34,88.1348,93.7339,146.926,3.95569,60.6082,55.9873,15.9826,41.9809,6.75399,48,0.233999,0.829141,644.088,122.355,88.5579,32.7362,0.943226,86.5374,64.0219,21.5919,35.5237,4.12211,49,0.327483,0.90696,549.284,97.1516,103.345,29.5214,1.89868,80.4533,55.9318,20.5096,35.4515,4.56366,38,0.35039,1.24649,814.261,158.507,163.749,38.2729,2.40768,97.9184,71.3757,26.1709,36.1778,6.0278,41,0.35667,1.17354,617.864,113.336,111.331,42.18,2.43174,77.6836,53.809,20.8484,27.116,4.29142,52,0.240128,0.9883,727.998,146.284,138.226,35.3527,1.7401,101.463,79.0103,26.3921,29.1909,6.12087,39,0.315835,1.18163,583.106,167.584,132.095,53.9224,1.46291,76.2018,72.5966,20.0777,29.4476,4.79077,45,0.334,0.935755
decoupled_wbc_h066_p000,1029,complete,90,18,25.9713,3.89778,0.201221,0.2369,394.513,96.0612,89.26,24.7493,2.40311,62.0617,56.703,17.1436,26.9039,4.02292,58,0.256828,0.759095,392.997,104.204,98.3039,42.0819,2.16734,65.5446,53.7579,17.5842,26.5901,3.6734,47,0.273043,0.941445,357.987,78.2502,86.0621,33.8202,1.54528,60.3019,50.5802,16.8327,21.1892,3.95217,47,0.222802,0.858954,330.425,82.1352,70.925,34.0063,2.08299,52.4618,50.688,13.8326,19.2066,3.4149,46,0.269426,0.726652,312.935,82.406,76.8647,39.2689,1.51836,49.7155,53.1303,14.0092,21.8014,3.22739,46,0.18712,0.729266,422.262,115.409,94.8385,43.0977,1.44255,65.1787,67.48,17.3426,27.0915,4.54636,55,0.217049,0.663302,568.889,146.45,167.488,67.481,1.9525,85.5404,80.6507,24.0864,39.441,5.83623,54,0.300764,0.929347,346.102,102.995,83.1216,34.5818,1.33862,59.4485,54.241,15.835,25.3151,3.77459,48,0.301223,0.884605,431.97,107.774,103.765,44.6949,1.30526,63.0947,63.3459,16.7353,26.2684,4.46284,59,0.23513,0.803017,444.331,89.5356,78.7294,30.0037,1.72193,68.2534,56.6566,17.253,21.0504,4.03793,49,0.295299,0.783568,579.749,110.034,88.2827,32.9775,1.91357,70.0095,59.2941,19.6767,24.1534,5.34796,34,0.379923,1.19713,635.753,129.517,133.038,40.6344,2.44605,87.6914,66.8684,24.3199,28.4654,5.74905,46,0.350161,1.15251,427.478,89.5676,100.59,21.062,2.55553,69.2567,60.9316,18.0519,22.5183,6.12393,35,0.378241,1.16123,325.916,90.6534,101.783,32.7632,2.37611,59.1418,54.9373,16.9525,23.5153,5.19129,53,0.219896,0.80124,432.333,114.068,114.267,38.2011,1.28203,72.1361,61.0676,19.6756,27.4858,4.66629,53,0.278503,0.871606,1182.44,309.763,187.065,57.9272,2.04061,120.979,97.4896,31.0599,42.9145,7.11134,36,0.445783,1.11097,504.097,97.3755,108.194,39.9997,1.39079,69.6379,55.7714,17.9582,28.7939,3.95995,37,0.316856,1.00724,499.261,118.756,106.511,112.777,2.95766,80.1746,60.022,20.6055,40.1569,7.33234,47,0.313145,0.957351
decoupled_wbc_h066_p000,1030,fell,75.84,16,21.0334,11.7601,1.34749,1.10559,445.618,87.4453,79.9883,39.2352,1.92385,68.0236,56.7404,18.3056,29.4369,5.1389,61,0.273122,0.78972,359.233,91.6976,102.038,31.3041,1.71903,60.603,56.0848,17.3895,28.4372,3.92337,50,0.275463,0.894517,436.783,88.6782,122.144,95.5847,2.25531,73.9352,53.3916,19.539,33.3116,4.02739,49,0.286979,1.05464,490.053,94.5811,95.4701,52.8883,1.87803,68.8911,55.0234,17.8057,33.8914,5.48081,44,0.327914,1.01738,612.275,131.892,124.876,54.783,2.1648,82.8094,68.9443,21.2617,40.6561,5.33706,52,0.291075,0.966867,543.882,114.043,100.559,71.0781,14.7153,79.0061,65.5491,17.8312,41.2383,10.7769,39,0.382032,1.21483,459.002,93.853,88.39,45.4499,2.19646,70.4784,57.3781,17.7209,32.6479,4.32371,50,0.244576,0.979192,534.202,121.421,109.695,75.3001,1.86108,77.4156,63.7726,19.6805,33.6427,5.90801,56,0.278831,0.884767,389.742,75.2369,76.7734,32.888,2.27665,54.6313,46.1399,14.4899,23.5975,3.33711,41,0.309275,0.885307,438.902,115.048,93.0226,94.4297,3.96161,63.0768,64.2448,15.8606,30.1388,6.6762,40,0.245728,0.976893,348.124,72.2498,88.4178,46.0695,1.93191,54.5054,41.9846,14.9108,23.263,5.03615,40,0.259522,0.866607,596.61,116.72,144.599,169.534,6.47285,76.0763,60.5164,20.4045,40.8713,8.25546,47,0.267655,0.972947,731.407,152.404,140.032,54.2815,2.74058,76.4784,67.6836,20.3816,34.2248,3.60548,38,0.26627,0.904872,360.973,85.1696,61.5236,33.7491,1.81056,54.7956,57.2079,13.1936,25.329,2.80829,57,0.22944,0.707808,436.404,95.8156,96.6782,39.3273,2.03233,68.4638,52.3715,17.8336,28.8791,3.53828,50,0.280704,0.833629,1412.99,387.786,235.346,63.5039,1.2893,76.8314,55.7489,22.0714,38.3728,4.42377,2,0.176506,1.02834,,,,,,,,,,,,,,,,,,,,,,,,,,
decoupled_wbc_h066_p000,1031,complete,90,18,15.8672,1.95103,0.11489,0.193195,451.955,99.2979,121.663,26.084,2.28562,68.6352,61.9349,21.4111,29.2942,5.54817,49,0.276195,0.9271,437.871,87.1562,85.354,64.2462,2.59407,66.3479,55.0777,15.8891,28.4119,4.16923,39,0.29944,0.930986,536.227,92.2158,87.7629,30.6769,2.46162,73.0719,61.0206,19.2216,31.8572,5.22546,36,0.395303,1.16249,356.188,99.2942,83.5716,34.7622,1.43798,53.511,55.8662,14.8791,25.8005,3.97004,50,0.225961,0.833431,334.401,92.0507,92.0872,36.3636,2.62876,58.0672,51.2019,16.5546,27.7,3.90191,50,0.271219,0.893108,470.12,93.3937,68.9619,40.8132,2.61538,60.441,54.1377,14.6229,27.6528,4.97014,42,0.319524,0.915784,485.844,103.128,87.2179,34.2773,2.2042,70.0679,56.3062,17.8919,31.9931,4.74996,47,0.247788,1.01005,506.633,103.338,88.7532,42.3781,2.00638,71.8465,58.8,20.3186,38.7173,5.40779,58,0.250458,0.794789,360.646,73.4918,57.0651,34.9046,1.46226,50.8434,50.6958,12.1863,25.9631,3.28462,36,0.362226,1.0774,354.093,96.4877,89.1852,45.2427,1.75182,60.2721,52.2283,16.415,29.7125,3.62242,52,0.207868,0.81179,416.569,80.2383,100.97,45.7055,1.49884,64.2641,47.6179,17.1463,32.4846,4.07707,43,0.309884,0.980396,321.986,71.2077,62.2787,37.2233,1.43689,50.2705,46.2593,13.5227,28.4351,4.30452,42,0.204883,0.863716,778.755,264.591,207.532,102.577,2.42658,89.7462,76.9037,25.0189,50.2303,7.3437,41,0.315072,1.04232,384.783,81.6042,104.476,76.5225,2.28436,57.0811,53.4509,16.7551,33.7876,4.73234,48,0.270381,0.781347,632.31,128.2,150.885,43.4547,1.99179,83.5364,69.4906,22.8626,42.9449,4.67257,41,0.376848,1.23247,410.343,80.0044,80.9193,31.2058,1.26751,59.7754,49.0681,15.9489,33.7166,3.95306,39,0.315587,1.03972,464.092,86.724,96.7909,146.304,12.432,68.8854,57.9733,18.3852,40.5335,10.1681,54,0.298948,0.8049,481.965,87.8262,132.533,254.607,12.5208,75.6816,56.1969,21.2133,58.4131,13.0543,43,0.347425,1.03588
decoupled_wbc_h066_p000,1032,complete,90,18,19.2701,2.96298,0.140124,0.192142,354.762,73.4625,75.5328,26.6029,2.4646,61.0589,50.5196,16.2792,28.4861,3.92604,43,0.295394,0.967422,352.103,71.527,86.4213,23.3988,1.34607,58.6749,46.5144,15.7443,27.6039,2.86115,40,0.354874,1.00315,372.963,100.718,121.679,43.7427,2.64284,60.8249,59.6746,18.1361,34.4479,4.5687,39,0.269952,0.889297,352.811,77.814,88.9402,54.8714,2.4018,62.0513,53.7248,16.2837,28.6927,4.59039,48,0.250404,0.820652,521.962,118.388,143.21,34.9317,2.50466,75.8721,62.9841,21.8824,37.1139,5.9708,48,0.273909,1.10159,425.546,78.7332,92.2684,24.1468,1.90923,70.7967,53.912,17.2939,28.3053,3.84833,38,0.41048,1.0534,423.428,74.2855,102.646,33.0233,3.29649,64.6469,50.1021,19.2423,35.7628,5.38781,44,0.289986,1.08737,569.629,120.458,113.398,79.7976,3.29077,79.9162,66.4082,20.2241,33.4023,5.56535,53,0.248895,0.884066,446.571,127.992,105.556,94.2854,10.857,65.415,69.3374,18.9082,30.1943,7.49864,45,0.282505,0.963002,409.755,113.722,95.6631,49.0866,2.05086,65.3243,57.6877,17.7206,26.3911,4.43188,38,0.30168,0.927907,503.539,108.167,125.775,33.9894,1.43323,78.1833,67.5147,20.1475,23.0397,4.9825,38,0.251049,0.961398,598.1,155.167,147.426,34.979,1.92341,91.929,70.1129,25.8148,29.1548,5.38792,49,0.316336,1.15116,355.751,55.4906,77.6874,29.2042,1.91037,60.2378,46.3029,16.0464,22.4517,4.13095,49,0.300657,0.945552,1202.98,348.928,289.443,46.7302,1.96555,120.742,94.7699,40.7317,44.9529,7.33202,36,0.413498,1.25231,717.449,166.793,142.489,115.956,9.19828,89.9724,75.5233,23.2259,45.9451,10.1562,39,0.361263,1.23786,627.406,122.177,137,52.7385,1.76279,84.1221,66.6683,21.4784,33.408,5.50245,43,0.388255,1.05031,478.585,123.476,109.476,89.4892,2.33984,76.5373,60.2359,20.7451,29.5482,5.32672,45,0.293762,1.01008,436.82,99.8842,88.6897,32.2064,3.20991,63.8492,56.8421,18.6597,29.7503,7.67588,53,0.267282,0.903863
decoupled_wbc_h066_p000,1033,fell,60.64,13,22.939,15.9842,1.7541,1.65196,391.015,113.459,101.455,38.0207,1.9004,62.896,63.5424,17.853,33.4067,4.03149,46,0.240333,0.802492,390.764,95.3938,81.9551,57.8873,2.21248,65.3139,61.0425,16.9159,36.3284,4.11339,50,0.25681,0.8798,529.481,86.3898,88.3407,64.4153,3.19306,71.7532,48.7676,16.557,32.2386,4.51745,35,0.375617,1.10616,312.658,64.0215,70.4019,30.6007,1.36004,55.6079,43.7167,14.8809,28.5462,2.95468,44,0.326569,0.979211,499.23,162.688,116.088,38.3991,1.78755,76.3395,68.2587,20.7278,34.077,3.35937,45,0.308216,0.885979,383.804,96.5335,82.4897,38.3305,2.77025,64.9011,53.7863,16.6229,26.9241,3.26194,47,0.287888,0.945697,517.82,116.016,113.891,40.7706,2.52183,75.5683,60.2576,20.0287,28.3557,4.23877,45,0.339055,1.06409,450.658,113.077,95.8829,31.5876,2.2338,68.1333,62.7793,17.2667,24.7541,4.67615,42,0.335571,0.906746,964.245,237.301,158.594,47.7498,2.17113,96.8804,87.1212,24.1349,36.6757,6.25505,48,0.23959,0.958007,437.191,124.111,89.2399,28.2101,2.87326,68.26,61.8236,17.0258,25.6386,4.74121,44,0.281988,0.914459,563.569,125.093,126.859,87.9597,3.61519,87.9043,70.8383,22.7954,36.0888,8.98675,52,0.337512,0.986145,406.951,103.452,108.807,78.0335,8.36719,63.9627,57.625,18.473,30.4003,8.97242,41,0.293534,0.929209,941.205,122.923,216.848,204.362,18.5283,55.3768,27.3885,18.3317,48.3216,19.9269,4,0.187469,0.554598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
