policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
gr00t_wbc_h066_p012,1024,fell,35.62,8,30.5144,7.48331,2.30913,3.62723,250.161,23.2097,14.3042,23.5924,1.8989,21.2552,11.2917,3.24554,7.97545,2.13789,208.83,17.7003,19.0553,26.2288,4.55519,19.4426,9.98907,3.03343,6.62283,2.44385,190.559,22.0982,15.4432,14.0379,2.47969,11.2229,6.35822,1.85275,4.75675,3.27885,310.024,67.0069,29.4756,60.7214,2.46473,22.2431,13.7208,3.79521,13.5935,4.25271,152.893,22.2644,11.5104,23.9787,1.1126,10.6269,7.22584,2.03435,4.0161,1.15398,262.685,30.064,15.8308,24.8339,0.97121,18.9986,9.41405,3.03178,4.43911,1.32672,574.713,58.5775,34.3195,154.269,36.1682,36.1319,19.5746,6.05655,17.9988,11.6761,1716.39,220.439,136.659,212.892,90.4145,51.6277,19.2851,9.24872,29.2451,13.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr00t_wbc_h066_p012,1025,complete,60,12,16.6383,5.00338,0.02726,0.05455,288.759,36.0914,14.1681,17.9095,0.778451,23.0791,13.5331,3.57438,5.71136,0.830088,253.204,47.1694,15.2702,16.8453,1.49931,16.9424,12.2066,2.73031,5.67684,2.23164,204.786,25.4493,16.1064,51.6626,1.70824,16.1544,8.25367,2.77761,12.0818,3.20906,289.596,44.7017,13.1568,15.5044,1.60019,19.5969,10.9831,2.79416,5.99076,3.96981,334.833,53.8595,15.6842,15.2753,1.63066,25.8074,16.786,3.63728,7.77367,3.18381,407.155,42.5106,18.3654,20.0009,0.827623,26.8248,11.4868,3.58425,6.53584,1.03483,471.958,58.2299,33.9864,88.5557,3.32729,38.6207,22.7617,5.9272,17.156,3.53881,359.081,69.813,19.5152,58.9794,7.08825,25.4305,18.0326,4.01909,14.7903,9.79744,284.594,25.9712,18.8146,17.5096,1.11212,19.4602,9.78409,2.51089,6.5422,2.48065,714.23,88.4307,25.4207,19.559,1.96588,41.7115,19.7085,5.9523,9.30728,2.42225,443.645,63.8076,22.0818,20.1887,7.48888,27.1584,16.3362,3.9353,11.1997,10.3238,378.661,43.1284,19.3105,20.9901,3.54374,25.8499,13.3728,4.04929,8.14404,4.28381
gr00t_wbc_h066_p012,1026,complete,60,12,12.0807,7.82285,0.0948738,0.116594,295.573,38.3329,15.1828,11.487,2.30249,22.7545,14.632,3.45085,7.54216,3.13036,246.455,26.8456,16.17,16.1245,1.84694,19.456,11.4765,3.15997,5.73511,1.34775,150.554,31.3558,11.6451,24.3874,1.50113,11.1081,7.12827,1.97842,4.6087,1.13489,62.4543,5.93396,7.435,11.1862,1.28145,6.41636,3.51472,1.21373,2.39695,1.00285,205.064,22.0744,11.1246,11.298,0.905353,16.2551,9.3933,2.66633,6.29601,2.30214,317.644,33.0218,18.7662,20.2478,1.04787,24.1838,13.8041,3.18285,4.7636,0.898583,214.003,31.5857,11.1639,14.367,1.63462,15.9168,9.34743,2.53183,4.36245,1.50261,231.465,21.7388,21.1523,99.1075,2.87968,14.5439,6.24248,3.05958,12.9658,4.44688,267.348,52.4083,15.675,17.5241,2.14395,20.4624,13.2811,3.50066,5.46996,1.92292,347.67,37.8846,20.7371,17.6629,2.64431,25.7757,13.6531,3.93479,8.64425,3.20566,189.165,18.7184,6.95131,22.5849,7.45386,11.2862,7.25255,1.75418,5.98632,3.6488,555.91,53.3106,20.9919,17.1699,1.88261,31.6966,16.7454,4.28203,8.40337,4.87251
gr00t_wbc_h066_p012,1027,complete,60,12,22.2723,4.45763,0.00629516,0.007097,307.08,33.0526,15.9492,15.3215,1.52222,23.2618,12.2716,3.54913,6.20316,2.46306,294.684,32.2305,14.1012,11.8037,1.6501,23.8308,11.4638,3.42949,6.50257,4.10238,233.304,30.2695,20.9865,66.8134,2.24993,18.0087,11.0063,3.25165,10.788,2.91692,369.98,42.8349,22.3268,14.1906,1.1859,29.662,16.9539,4.55763,8.64502,2.07163,314.2,38.3029,14.8312,21.6884,1.41818,23.0284,14.2153,3.83862,8.95198,2.78571,655.365,90.051,25.8836,29.7213,1.13968,42.9171,21.8595,6.11994,9.73195,2.86118,279.253,39.8176,15.7795,22.2252,1.2997,22.4215,15.7112,3.66605,7.59975,2.71136,382.513,51.2776,37.3115,229.753,43.9204,32.4841,19.4382,6.34668,29.283,8.2473,377.874,54.9724,30.0923,113.871,4.00941,27.8597,18.255,5.28882,18.9599,3.84313,428.251,39.3217,18.1835,38.3973,1.0563,23.6584,13.0364,3.60572,9.78112,3.75468,184.003,20.0868,12.0988,13.8128,2.22078,12.5602,8.82775,2.6305,3.87351,1.96749,298.846,40.046,18.265,14.0175,1.96478,21.3089,13.3833,3.38809,5.71176,2.12964
gr00t_wbc_h066_p012,1028,complete,60,12,15.7581,5.42689,0.107729,0.126504,219.31,35.6441,12.9379,14.9726,1.19014,19.2743,11.6958,2.95128,5.21346,1.11483,464.612,59.5199,20.4002,21.9238,2.25485,28.6013,16.0418,4.05014,8.55994,1.40285,196.004,23.1618,18.7503,47.7314,1.48968,12.5943,6.15918,2.39382,8.1939,2.13162,380.061,35.5936,22.5459,19.5087,1.21048,28.3484,14.6714,3.85146,9.40642,2.09369,309.633,37.3422,21.6666,71.1235,4.56559,20.8435,13.0631,3.19414,12.8908,3.09831,198.736,14.146,14.6827,19.1552,1.43276,15.3771,8.09263,2.40397,4.60337,0.878102,283.762,49.4148,21.6356,29.3259,2.01916,21.2165,12.9216,3.46534,7.73757,1.46897,500.273,64.2765,32.9053,181.968,44.5663,35.3296,21.6588,5.41239,25.6071,10.9382,493.907,83.086,44.0823,47.2711,9.10305,37.7006,23.1417,6.53887,16.1177,5.71313,242.497,19.9046,25.8142,96.0454,2.52931,18.0114,9.6087,3.1346,13.4758,2.29508,504.754,65.3952,38.6713,124.505,12.5184,35.7967,19.7452,6.10194,19.0265,6.86773,578.872,65.7478,34.6965,80.7512,4.01221,37.3129,20.0902,5.64817,18.4903,5.71213
gr00t_wbc_h066_p012,1029,complete,60,12,24.3441,6.0327,0.0460831,0.0652248,305.388,39.155,12.2912,15.5154,2.29091,22.6883,14.4678,3.41358,9.37815,4.71773,362.671,39.4521,28.7702,63.9566,2.19523,26.6581,14.544,4.18298,11.2383,3.76699,191.648,22.0431,23.324,36.4292,5.8057,14.4594,9.32619,3.03487,10.3728,7.94912,160.499,35.3554,18.5924,58.6453,7.22478,8.74082,5.71547,2.07897,10.0419,7.17855,201.254,26.9772,14.1127,22.0315,1.25417,14.0402,7.60695,2.14405,4.55843,1.53966,267.52,39.8557,17.9616,27.8283,0.934877,18.0949,10.4492,2.50543,4.78768,1.13644,286.479,36.1405,14.4036,21.6319,1.13585,19.3125,12.1348,3.06341,5.10651,1.43163,461.66,62.6649,23.729,31.6673,1.16501,28.1817,16.7574,4.49581,10.4594,3.30481,205.527,35.1789,16.6985,30.3609,1.10356,14.4548,9.59255,2.45141,4.73663,1.30993,225.992,25.2219,20.7662,15.6155,1.3622,16.7838,9.80452,2.89012,5.3109,2.14174,496.222,49.5121,29.415,10.3745,1.65634,28.4358,16.6777,4.02486,5.29841,1.96177,617.494,71.1823,46.5173,21.4164,3.73521,31.9643,17.848,4.35469,6.21591,3.82194
gr00t_wbc_h066_p012,1030,complete,60,12,22.5257,6.14075,0.124716,0.112556,234.101,22.5906,15.9925,56.5951,2.40657,18.2641,10.077,2.86792,8.65691,2.8684,190.732,21.0442,7.99667,12.4131,1.53806,13.1472,5.60439,2.08619,4.52012,1.8283,197.476,22.5836,17.11,11.5873,1.18334,19.6268,10.9887,2.76855,6.53279,3.62828,424.381,57.5416,18.306,24.338,1.35084,31.0346,17.734,4.33949,6.94529,1.03219,530.717,68.1899,29.2614,25.5431,1.55709,35.2415,19.8572,5.00921,10.3248,2.55611,279.791,30.3862,21.3229,26.0734,1.49628,14.5195,7.97229,2.36608,6.07724,1.06233,271.167,47.3261,24.8424,26.1186,1.60506,23.1268,14.0578,3.35786,6.94758,2.24909,518.998,79.015,29.6036,27.1276,2.56609,30.376,17.5744,4.60239,10.4795,3.79965,390.274,74.1874,39.7985,64.9436,3.1048,29.1061,19.5291,4.90995,14.6425,5.52876,256.871,30.3934,19.8262,26.1279,2.28539,17.2699,8.99555,2.93514,5.16384,1.52727,340.557,36.0333,37.8154,35.431,2.43264,23.463,12.8462,3.84365,6.56237,3.49498,667.557,79.26,26.041,35.9763,2.04439,40.8716,23.4218,5.20271,11.1425,4.74779
gr00t_wbc_h066_p012,1031,fell,31.04,7,21.568,20.9871,2.92981,2.95494,239.45,32.2821,12.4408,13.9178,2.10957,17.9687,10.8216,3.26607,8.80928,4.33904,310.49,39.3503,23.0162,42.4227,1.80533,23.0594,13.1876,3.44293,7.2137,1.58855,235.451,20.9052,20.1129,30.499,3.0712,18.7421,9.89963,3.44451,9.22429,3.86508,183.165,29.8278,11.13,18.5265,0.957569,14.1527,7.55042,2.30878,3.65018,0.847174,317.233,58.347,30.336,31.5016,5.11654,23.7771,13.9524,4.14938,8.16499,3.24956,390.975,47.6894,20.9695,18.7339,1.7689,22.9855,11.7396,3.15069,5.63735,1.51672,2754.85,130.554,71.4659,192.95,40.2979,90.584,27.1306,11.6008,29.0487,11.9538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr00t_wbc_h066_p012,1032,complete,60,12,14.7187,5.73465,0.0422125,0.0328448,229.204,27.5662,11.1854,15.6429,1.59249,17.5982,10.906,2.76371,4.16065,0.989685,114.977,13.3096,11.0751,14.9485,0.958576,9.69527,6.83498,1.57064,3.9565,1.6118,162.292,31.5003,11.2759,16.6114,3.29068,13.0831,8.68543,1.9398,4.83246,2.78312,312.61,23.7774,23.9802,28.3649,2.6219,23.2366,12.206,3.31448,6.93482,2.98949,206.612,21.1791,16.2826,28.7373,3.12723,18.2188,9.36579,2.89412,10.418,4.11956,215.93,22.1746,14.7245,15.0428,2.22321,16.39,9.23568,2.63726,6.82436,3.04327,317.349,40.881,22.3644,59.6098,2.69419,22.7278,13.6757,3.7421,11.9344,2.08559,342.728,41.7038,18.8806,14.0885,1.63272,23.4443,12.6052,3.58148,7.45042,4.83131,372.529,61.8057,49.7901,189.676,75.8911,30.0726,17.3792,6.24326,20.5967,14.3717,378.571,60.6621,23.9452,28.8035,1.35225,27.8311,16.9863,4.20348,6.4102,1.91468,715.88,116.005,54.4875,183.111,187.17,54.3031,29.5369,9.28583,30.9575,21.7309,583.78,72.028,34.1466,17.6085,1.5546,40.4832,20.3451,5.9272,10.0605,4.15153
gr00t_wbc_h066_p012,1033,complete,60,12,13.1119,6.17448,0.313988,0.33443,120.686,24.2031,8.37642,22.8613,1.70507,10.624,7.45544,2.11689,5.30142,2.18079,253.2,31.7532,15.4606,21.6292,1.36953,19.1262,11.3831,2.85398,5.98866,1.08677,409.88,56.7644,19.8026,24.1394,1.29224,26.9096,16.1501,3.50595,7.44352,1.39036,305.29,36.0199,18.0526,47.402,1.38135,20.2653,12.485,3.2512,9.48818,1.46016,202.976,22.6175,16.8009,37.4962,1.34329,17.4334,10.3829,2.73637,7.72231,2.27082,481.886,74.6667,32.4518,28.7278,1.8414,36.3313,22.9581,5.00033,8.13104,2.16855,320.05,34.2294,26.1748,54.9334,2.07981,23.2172,14.1114,3.44996,7.38106,1.8734,280.025,54.2162,56.5996,146.854,25.9917,22.8691,12.9036,5.15755,22.136,7.25494,253.506,45.0914,19.8169,32.8123,1.50535,18.0196,12.3597,2.83478,6.17366,1.55477,430.278,81.0153,37.7445,30.0955,2.03805,27.9559,16.3449,4.70999,8.97257,2.15977,390.278,52.5879,16.6088,17.6279,1.3975,25.6712,13.3703,3.59252,5.52785,1.35673,655.933,113.757,59.2808,89.7859,4.46316,38.7701,23.3824,6.03817,18.3036,6.73951
