policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
amo,1536,fell,51.18,11,50.9352,18.6483,2.07865,4.65399,272.617,42.3936,16.3211,17.1926,2.10161,25.4461,18.2056,3.13548,9.53286,2.08591,354.593,41.7496,17.5238,30.4206,1.08078,29.5671,17.6699,3.30292,11.8813,1.85461,165.453,32.4284,9.48456,14.8394,1.32364,16.1449,9.81747,2.01253,5.09472,1.27223,766.735,159.256,33.2618,36.0999,1.15233,62.5152,40.9657,6.66713,15.362,2.98327,331.191,102.387,27.255,39.0959,1.10607,34.3573,24.6013,4.77296,9.35208,1.97695,229.516,89.8216,28.138,33.2488,0.80843,28.5589,21.612,4.46713,10.4861,1.92044,267.182,83.6507,44.5203,105.335,56.2404,32.2288,23.004,5.34609,16.9196,7.26943,505.312,94.7692,35.464,62.3017,1.5302,45.8733,28.6395,6.08784,17.4336,3.12775,556.039,169.029,40.7452,41.3044,1.58587,55.7427,41.6843,6.9191,16.5214,3.03039,211.799,59.9386,89.8281,38.1062,2.3704,24.5748,15.686,3.67948,10.2373,2.81946,1580.07,123.406,90.8623,14.9909,1.08771,49.7287,30.9745,5.7195,13.6808,5.21651,,,,,,,,,,
amo,1537,fell,33.58,7,36.9917,18.3965,1.46722,1.32993,190.737,39.3648,16.6973,16.3289,1.20261,23.9827,17.3474,3.12813,7.04162,2.11049,1265.1,318.869,65.8882,26.1974,5.60546,86.5998,70.0878,7.96132,20.9343,14.6664,326.838,62.5197,17.6165,42.8223,1.34478,29.9856,22.2175,3.65428,9.77571,2.42903,295.146,54.3887,13.3163,25.5811,2.81885,23.0432,20.0005,2.92977,8.70871,3.90836,501.324,129.152,26.363,55.6628,7.48189,44.0737,32.7007,5.57282,21.0012,10.6684,271.06,56.0275,13.1803,64.9438,6.2977,25.5074,16.172,3.23654,14.7729,5.51306,18651.7,1567.41,2053.55,214.928,72.11,516.389,228.777,70.7495,138.508,76.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,1538,complete,60,12,29.785,5.55538,0.0624356,0.0741842,450.942,79.0017,23.8834,34.5101,1.47259,40.1973,32.2888,4.77376,16.7069,3.64379,295.254,64.5489,12.1958,19.9397,1.98886,28.5899,18.6216,3.42329,9.54032,1.59713,406.705,53.2132,10.2008,25.4881,1.51773,32.0023,22.2671,3.67637,15.1455,2.7466,311.872,76.2844,14.275,23.4994,0.950916,28.0659,17.5112,3.07013,12.0596,2.28871,263.124,78.8066,12.6327,14.1019,1.21999,29.651,18.9009,3.97,10.7266,3.75763,352.603,60.2209,16.653,22.2079,1.6881,31.2701,23.1591,3.97798,12.2118,3.03457,277.446,55.0724,13.4484,14.1436,1.62673,29.233,20.8665,3.95963,10.833,3.41266,364.148,90.4574,22.01,33,1.21559,32.1099,26.2562,3.83256,14.8738,3.54454,455.162,183.976,42.1627,117.545,79.9162,41.2401,32.0696,5.58622,29.42,12.4421,103.573,23.6386,4.44611,15.2815,1.147,11.5451,7.38656,1.59382,5.54106,2.60891,1451.61,333.558,151.967,50.11,5.40778,84.8318,65.1848,9.34842,20.905,12.4543,729.906,120.137,31.3157,32.365,5.91473,56.4168,34.4191,6.45054,15.5839,10.8633
amo,1539,complete,60,12,15.9035,12.6822,0.334924,0.373915,325.688,79.8277,26.4037,20.2018,1.90524,36.5838,25.5945,4.77654,12.7475,3.16874,336.447,50.1424,13.0953,18.4878,1.8624,29.214,18.8958,3.26362,11.001,1.82589,465.178,71.5295,17.336,25.5572,1.41353,39.3656,26.6185,4.03322,13.0391,2.04189,225.413,39.9212,14.3241,103.646,2.61366,24.5714,16.7509,3.1398,14.9445,3.10328,476.136,58.9918,22.3998,37.5391,1.18824,39.2449,25.8758,4.24639,14.7121,2.19046,170.997,40.2545,11.7633,19.6655,0.836486,16.102,11.859,2.08297,5.25989,1.18486,392.451,66.5355,18.6926,19.5547,1.20559,33.1849,23.353,4.24012,10.504,3.24156,179.372,30.1266,8.59644,19.3004,1.28678,16.9531,10.1947,1.97639,5.8757,1.19924,431.709,53.8984,19.0091,26.1892,1.50727,36.9763,24.8248,4.20267,13.1891,2.47637,365.188,72.4415,78.4617,105.011,4.63877,30.2258,21.4474,4.44668,22.3734,6.94023,451.41,81.8251,20.2078,16.9826,0.973339,39.2899,26.5724,4.14264,12.7274,1.9384,475.88,77.1841,18.6081,48.8864,3.14817,40.2447,22.2787,4.71591,20.4469,4.08957
amo,1540,fell,42.3,9,28.1742,31.6297,1.30178,1.0543,41.4304,19.512,12.1579,16.5158,2.00923,8.83131,6.25301,1.19523,5.96365,3.62485,286.147,30.3377,15.6701,18.8371,1.9233,24.1254,11.6044,2.8929,8.36155,3.64696,206.682,31.6625,10.2665,20.5417,1.96984,18.6137,12.5341,2.20665,8.07798,4.12063,400.956,75.8396,19.637,46.5487,2.23628,33.6028,27.6088,4.07649,17.9844,5.29098,339.607,54.4662,10.9747,22.4338,1.26255,28.4135,22.6113,3.20695,10.5989,2.16269,81.7312,14.6383,7.00229,19.2313,0.614791,9.56349,5.5389,1.23868,3.63881,0.982178,248.685,60.1825,21.6224,186.092,12.5994,29.6817,16.995,4.5569,25.0037,7.80392,303.322,42.1265,9.65929,13.6633,1.07328,27.1072,17.9089,3.16796,9.81691,2.2736,13699.5,786.002,1640.38,211.66,22.491,321.156,99.2988,48.9635,88.6611,25.6377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,1541,complete,60,12,28.2714,10.263,0.273113,0.244311,479.966,81.4973,22.6546,20.4598,1.69746,42.098,30.5476,4.68747,13.9925,2.1929,358.541,64.4015,16.6997,53.0153,1.68201,32.0741,22.0821,4.49419,12.0741,2.32573,296.85,57.9117,14.5032,30.0635,0.810269,27.6923,20.6769,3.2959,8.30361,2.02905,361.592,70.0517,16.7437,46.2106,3.75364,31.6137,25.6915,3.76794,13.9971,8.23504,235.113,32.5221,11.1648,21.4443,0.868814,20.5875,9.88413,2.28227,7.60953,2.73327,314.584,46.2879,13.5132,18.0332,1.87243,28.1945,16.1715,3.30376,8.85891,3.15617,395.081,69.1805,14.5957,17.3608,1.63617,35.2534,20.3039,3.80668,9.73307,2.39366,494.294,63.4281,23.8266,26.2762,1.26357,36.8643,21.1001,4.04165,13.8506,3.06502,331.473,71.7209,29.6936,29.2466,1.37249,27.7801,18.4741,3.3912,8.04673,1.49711,461.712,100.962,48.6451,30.2637,1.34392,34.9554,25.4307,4.10122,11.7436,3.9046,582.346,149.564,41.2979,28.4848,5.04272,39.7139,27.9915,3.36675,16.9106,10.0602,975.782,258.328,51.7648,45.2529,20.0073,57.5645,49.4003,4.93996,20.8002,16.0946
amo,1542,complete,60,12,15.4133,5.41326,0.0889782,0.102035,319.964,62.043,18.5769,14.6481,1.64411,31.5712,22.2324,4.25938,12.4742,3.73688,278.88,53.4916,12.6576,14.6208,2.98098,27.1648,18.6503,3.6836,9.51589,4.42553,314.682,67.9773,15.8851,15.7509,1.40779,29.0084,22.0104,4.04235,9.46081,3.46415,212.128,54.5789,18.7517,19.212,2.06772,25.2622,15.8589,3.79993,8.66246,4.9816,307.259,88.9589,24.2205,23.8641,2.12596,33.2647,23.0444,4.36707,11.1811,7.02744,282.359,103.945,25.1999,35.6351,1.58698,29.4965,19.9646,3.67558,10.0507,6.50345,505.711,92.9581,38.8961,41.7925,21.7538,48.3976,29.4654,6.27041,20.2584,12.4951,365.941,108.664,31.567,20.3221,2.03002,36.0154,22.4475,4.42535,12.6298,5.98801,197.76,36.1074,21.385,22.7428,1.12155,16.3196,9.21445,2.03545,6.29377,1.71209,474.249,128.456,45.3536,202.889,11.8925,39.9706,25.1336,4.13786,32.8695,8.07762,288.522,72.9288,27.3466,38.1245,1.0701,25.5349,18.1564,2.79261,8.39664,1.6692,572.522,110.902,36.7911,39.2034,1.00466,43.182,27.5077,4.31209,13.0397,2.51482
amo,1543,complete,60,12,36.982,5.46862,0.278119,0.248394,252.586,59.7694,19.1361,25.879,2.18339,30.7531,22.7513,3.74599,8.14881,1.9654,301.265,105.593,19.3335,45.3702,1.61484,31.3794,23.9765,4.37189,10.3088,1.88082,177.607,36.1836,14.909,46.0794,0.844247,18.3576,10.0552,2.26489,6.51834,1.37552,314.937,96.146,17.0224,17.1657,1.15306,31.4454,24.5757,3.8848,9.21446,4.96095,235.259,102.357,17.1477,18.6185,2.57127,31.3991,21.858,4.50322,10.5465,6.15269,403.161,79.1363,29.0187,69.0445,7.79815,39.0097,24.4854,5.85912,15.2163,10.3446,595.211,156.424,98.1305,255.45,39.3606,50.3247,34.1646,9.06693,35.8603,16.1757,690.124,219.111,47.0291,105.895,3.51195,61.4257,47.93,6.61096,23.2622,11.942,786.51,129.847,63.4357,36.2706,1.85144,56.9522,32.2787,7.39657,19.6867,8.16575,914.295,190.976,47.0457,102.168,4.30017,68.7773,48.8445,6.40301,22.8002,9.71367,409.705,137.682,34.7035,16.927,2.38124,36.2026,24.7282,4.67029,7.98816,5.03055,467.17,192.591,59.0258,100.235,2.67714,42.0435,32.0516,5.0677,25.3028,8.13598
amo,1544,fell,45.58,10,26.9819,18.2519,2.1873,3.25232,411.199,66.0916,22.4569,15.4541,1.61446,39.5419,28.2655,4.51851,14.5489,3.67087,298.376,82.6642,15.4301,16.6427,3.20776,32.1899,19.0628,4.19531,10.6781,5.05882,178.498,31.9394,11.4805,10.9777,1.09196,16.7462,11.3797,1.99673,4.91365,1.56407,330.85,55.9093,15.7617,18.3281,1.78724,31.08,19.2776,3.70852,7.67448,1.96279,355.618,81.3464,17.2547,34.2879,1.00144,33.5505,22.2477,3.66032,10.9788,2.1064,385.778,80.7622,13.2978,26.3616,0.92374,34.569,23.632,3.73648,8.9219,2.2283,668.845,82.2171,45.2285,90.3836,4.07517,46.6272,29.9747,4.52468,19.8431,5.65149,123.274,24.7351,9.40402,41.3358,2.17104,10.55,8.46942,1.29915,5.75096,2.58359,348.729,52.5641,15.7996,37.7487,15.2362,29.4961,21.5734,3.28305,13.1378,7.2097,2501.74,117.718,63.4849,28.983,1.05089,50.9116,27.2873,4.38341,7.6351,2.66148,,,,,,,,,,,,,,,,,,,,
amo,1545,complete,60,12,26.1876,19.2599,0.232191,0.210292,282.552,60.755,21.4403,17.2393,1.61735,29.9712,19.7127,3.41561,9.15497,2.0511,148.191,38.5482,7.40009,18.4211,1.50717,17.339,11.4141,2.16645,4.42087,1.1533,349.683,70.8777,17.783,63.2847,1.94033,30.6389,24.2345,3.4511,14.3055,3.13696,658.869,66.398,28.63,41.198,1.45034,51.5416,32.3687,5.35872,18.2513,2.63857,313.562,52.4169,10.6177,23.9622,1.03342,27.4417,20.9877,3.12893,10.4226,1.43471,368.957,70.312,23.3373,149.134,47.9662,33.7786,24.7011,4.04276,21.4452,9.18972,501.208,69.1239,22.4707,36.6875,1.65153,43.0273,26.9613,4.85919,15.7736,2.98494,365.125,86.1404,55.6474,35.7119,1.74171,30.2944,19.5521,4.0512,13.3047,2.78495,296.621,72.6177,17.4521,89.594,3.79294,29.1555,20.2936,3.53848,19.4454,4.6092,564.496,189.354,44.2544,169.328,177.504,45.9276,41.0597,5.81882,30.6412,17.5898,1088.89,100.657,46.9929,51.0823,3.13634,65.7551,39.8053,6.76493,25.3982,6.33988,330.8,55.9662,20.9092,30.4846,1.51328,29.8762,22.0004,4.17022,15.3689,2.54181
