policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
amo,1536,fell,51.7,11,77.5422,21.0154,0.536075,0.896814,324.853,38.3572,16.7647,16.2094,2.6667,25.7343,22.6244,4.20407,9.79991,1.64324,414.473,42.4589,18.767,26.4542,1.60947,28.5959,21.1328,4.07587,13.3083,2.25391,188.658,30.3279,9.19654,13.3669,2.01264,14.2863,12.7916,2.07039,4.93805,1.20829,729.705,116.8,28.525,32.8752,1.51125,45.7444,36.0234,6.21591,13.6839,2.75422,446.269,103.44,29.3644,35.7586,1.62731,33.2392,27.9814,5.26344,10.9705,2.20061,316.183,79.2631,27.938,30.8515,1.12325,27.729,25.7042,5.08858,11.9439,2.31268,345.365,84.4734,45.7548,100.092,12.9786,32.3672,23.2542,6.3868,19.6723,8.76222,1163.33,313.832,70.2292,88.0388,1.86682,70.8267,62.4029,10.0258,24.7657,3.63465,1570.35,184.585,123.017,117.58,2.44204,80.1753,53.2167,12.3676,27.9989,4.48562,443.993,87.6767,55.6873,47.1521,3.38661,36.0132,26.3971,6.28859,14.0896,3.26615,7282.59,403.368,523.794,107.583,7.40514,250.657,71.7934,38.0928,54.5374,16.8558,,,,,,,,,,
amo,1537,complete,60,12,28.0132,11.9358,0.177631,0.277474,209.556,26.7514,15.6496,15.6678,1.03375,22.226,16.8063,3.68221,6.26118,1.38861,1416.94,295.488,77.3286,33.0133,2.21796,77.3455,65.4949,9.02332,17.155,4.39169,372.02,53.0024,17.4549,35.7241,1.72479,27.7487,23.4409,4.03237,10.1788,2.49924,291.371,47.9826,14.9247,22.1739,1.61161,22.0078,18.143,3.31026,7.53727,1.77797,566.616,122.049,24.7175,59.5535,2.43975,36.9496,33.0753,6.00778,16.5108,3.83319,380.849,72.9118,18.4724,66.8447,4.30704,28.1855,20.0727,4.50952,11.2986,3.03079,1447.69,176.501,94.4262,46.5798,1.86649,78.7191,55.1023,10.2488,19.1043,4.56935,881.171,176.072,72.7913,46.7646,2.38375,52.3233,33.1119,8.40883,14.0296,4.07415,463.125,87.9009,42.4326,32.2993,1.7439,38.0146,25.2827,5.93919,11.0999,2.32119,545.297,81.0372,17.2371,19.3888,1.84839,40.7921,26.2441,4.68968,12.3589,2.02887,865.581,151.721,35.7735,27.0398,1.4879,57.4532,39.0282,5.88847,15.2012,2.25171,560.524,89.3221,19.8589,46.4894,1.39723,38.3221,29.9197,3.59417,13.4193,2.05449
amo,1538,complete,60,12,22.4849,2.57895,0.0892958,0.25094,508.204,61.9807,23.7181,37.2815,1.30029,37.239,32.7915,6.09978,15.2898,2.31755,438.683,73.9871,14.9619,18.8779,2.92918,30.8052,22.3275,4.90028,12.3705,1.99644,539.015,64.3155,17.5467,36.0626,2.06837,37.507,31.3898,5.36344,16.86,2.29908,552.488,98.4194,28.8331,29.9195,1.35613,40.1911,30.7013,5.6197,14.7292,2.06054,367.115,72.7498,16.2299,15.4905,1.81093,29.0572,22.8471,4.79864,8.9469,1.73987,436.466,60.7106,20.9022,22.6056,2.12063,31.7719,24.5647,5.48903,12.3465,2.19262,267.988,39.1026,11.7382,12.804,2.13791,23.2741,17.8375,3.68272,6.95045,1.32955,448.016,87.3479,19.248,27.6194,1.31131,33.0044,28.7959,4.91936,14.2363,2.37688,870.928,196.946,54.8722,145.065,8.80422,53.629,48.1427,8.19582,34.1714,8.3625,335.128,61.4766,12.4164,23.5133,1.51932,24.3847,23.2984,4.03379,7.39902,1.86124,697.527,175.336,34.7526,33.175,1.2953,48.2215,40.8335,6.98195,12.9497,3.22256,1081.66,141.181,58.1692,35.0735,1.50969,58.5923,43.5223,6.91331,14.8657,2.71221
amo,1539,complete,60,12,15.2677,15.8928,0.387111,0.471453,462.297,66.3257,27.4794,19.6751,2.35254,41.2336,32.2504,6.36824,12.5204,2.12178,422.297,52.7523,17.1373,17.8253,2.29386,30.1939,25.3553,4.53969,11.9484,1.95777,513.654,68.6803,20.435,20.7004,1.43323,34.0604,26.9581,4.46541,13.2808,2.11634,354.346,58.9052,18.7796,99.0233,2.80483,27.3028,27.2355,4.48747,17.8544,3.53029,556.51,59.7803,24.9633,31.1405,1.73412,36.7628,31.0218,5.21857,15.4019,2.3,177.912,36.7065,9.34497,17.9542,1.53382,14.0226,12.0945,2.2375,5.62726,1.2428,459.479,60.9378,18.3284,17.9862,1.73469,31.4508,23.9505,4.53941,9.57047,2.42975,197.396,26.3915,7.35355,16.4622,2.39886,16.4521,13.3155,2.26993,5.52088,1.2214,504.593,57.915,23.1119,24.3733,2.34959,35.5977,27.7463,5.38203,13.7519,2.17987,513.227,83.94,44.451,100.309,4.57529,34.769,28.5561,5.60252,24.4802,6.14764,493.569,69.9001,21.2354,15.7357,1.45206,35.5957,23.2987,5.22933,13.2075,1.86732,608.3,69.2804,25.1227,63.6038,3.17835,38.4643,29.8323,5.93001,23.5481,3.94857
amo,1540,complete,60,12,33.2458,18.8731,0.349781,0.397809,43.9064,11.7023,9.50336,13.8103,1.46094,10.8316,7.52279,1.5358,2.57065,0.794948,344.193,31.2456,16.8319,21.979,1.99319,25.5313,19.0395,3.35369,6.38744,1.47265,266.64,35.9094,10.9156,21.6197,1.57255,19.584,16.2371,2.79223,7.69198,1.32919,484.342,85.2106,17.8094,45.4028,1.74529,32.5134,31.2242,4.95258,18.1068,2.78137,395.748,46.6993,13.4454,21.2021,1.2859,29.0832,25.4986,4.19326,11.8507,1.67249,146.157,30.5728,10.0377,19.298,0.975938,15.4566,11.355,2.06855,5.28823,1.06089,441.9,93.018,31.311,151.231,6.73805,36.743,29.9515,6.50745,24.4711,6.14743,275.671,36.8011,9.30492,12.293,1.54198,21.6798,18.9032,3.05428,5.77206,1.16672,1795.46,117.674,133.922,49.2647,1.53017,89.5881,47.4193,12.8919,24.4206,3.46949,389.938,72.8365,19.9741,22.5826,0.763462,31.1374,21.7189,5.40471,9.56433,1.52712,466.017,76.169,29.3183,25.3394,1.76396,37.628,28.4781,6.30585,9.36614,2.21321,1239.91,402.555,75.8629,75.0119,4.61825,83.4646,75.6977,11.0254,24.6479,6.98244
amo,1541,complete,60,12,29.6015,19.8638,0.480983,0.534042,580.737,69.8142,25.1645,19.698,2.27541,42.6331,33.7675,6.54707,14.9572,2.12943,445.717,72.2028,23.0416,54.518,2.15451,32.8067,24.2302,5.84756,12.161,2.40937,308.26,59.257,12.319,26.2528,1.00129,23.662,19.8322,3.68457,8.82494,1.6727,447.184,85.8838,18.3026,50.6618,2.00608,31.3375,31.0409,4.61326,13.658,2.8541,324.392,43.4016,15.8209,25.6173,0.874236,27.5304,17.6803,3.96411,8.84669,1.65313,249.346,40.7923,9.74999,13.5105,2.4694,18.5176,14.0277,2.45722,5.45481,1.56301,371.856,49.4508,14.8094,18.2382,1.98451,26.0084,20.9515,3.83569,8.36712,1.86756,730.863,91.2874,48.6659,29.6951,1.48704,45.6046,33.5606,6.58217,15.7855,2.79398,471.429,86.3929,40.9128,37.5939,1.81793,33.0178,23.2748,5.15452,12.8249,2.0375,540.187,98.7972,42.8642,33.6609,1.43564,36.6168,27.4097,5.48927,12.5521,3.1315,917.023,123.62,34.9608,80.5647,3.00596,59.2139,35.7524,4.8159,19.3475,3.66429,977.544,137.77,59.0592,159.864,2.42087,67.0777,47.5666,6.69052,25.7711,4.1211
amo,1542,complete,60,12,17.0627,5.34529,0.257747,0.311626,371.757,53.5788,20.1825,14.6543,2.02578,29.6637,23.5888,5.04232,9.22087,1.6847,373.772,52.795,14.6383,15.4679,2.27283,27.7877,22.3639,4.67255,8.50375,2.38322,418.563,69.1908,18.1464,16.7295,1.61251,27.869,24.6549,4.49068,8.16185,2.10422,308.904,57.7228,20.7694,21.7918,1.15986,24.4946,20.2258,3.9336,7.89961,1.62202,409.194,86.9371,27.2507,25.029,2.19358,31.8738,25.6617,5.22874,9.60664,2.2202,386.184,96.3027,26.1175,33.096,1.56302,28.6407,19.5575,5.03927,8.41415,2.3036,639.003,92.9154,48.3626,78.2318,2.69858,47.9686,31.6569,7.62348,19.0425,3.82087,552.478,113.016,40.7803,24.8166,1.91753,42.62,35.6055,6.06705,11.7618,2.23015,381.181,66.3594,30.2748,41.5267,1.81618,26.7487,20.0775,4.05099,9.74509,2.27841,637.557,116.931,55.0317,164.704,4.34087,45.0764,29.0185,6.10954,25.9413,4.72475,303.538,69.3724,23.9036,34.636,1.76956,25.4873,15.0917,3.85827,9.60912,1.86379,758.282,121.343,41.3525,39.5292,1.54388,51.2202,34.5262,6.88284,18.1885,3.05347
amo,1543,complete,60,12,46.2345,3.86067,0.281127,0.30174,276.642,45.1918,17.1201,21.7418,2.87961,27.5344,22.0526,4.11608,7.76743,1.69933,424.241,108.983,20.9638,40.2586,2.0889,32.2382,27.9689,5.43139,12.7841,2.1214,222.571,29.9132,18.1952,44.9604,1.07899,20.3102,13.1574,2.73343,7.31438,1.61803,1247.98,356.164,67.4709,49.6378,1.63007,76.7585,66.7843,9.73891,19.7753,3.57557,360.302,92.5099,17.9125,17.42,3.38761,29.041,24.7265,4.98531,10.0586,2.11432,454.58,65.8752,24.6842,101.65,2.68091,32.0183,25.2146,5.79454,14.683,2.91828,610.594,74.805,61.2105,222.941,10.7126,44.3171,24.6141,9.81403,36.0852,10.4602,719.49,96.4426,31.7772,95.3122,2.07512,51.0407,36.2489,6.75796,18.3095,4.03898,652.626,93.4428,34.8824,64.6276,7.5712,47.1233,28.587,7.8398,22.167,9.76704,964.724,78.9799,42.9958,50.1871,2.74229,55.5412,31.1301,7.38446,18.0051,3.94673,571.575,155.481,38.7438,34.9266,2.04964,40.4187,33.9623,5.64823,9.94184,2.33075,630.658,147.355,54.1397,117.547,5.55086,48.3773,34.2792,6.96539,20.1869,6.48554
amo,1544,complete,60,12,33.159,3.27942,0.169301,0.210736,444.358,60.62,24.4425,16.0509,1.68759,33.9502,29.133,5.45596,11.7091,1.81139,441.594,89.1681,21.1876,51.6914,2.46924,34.5196,25.2116,5.26359,9.7603,2.64041,265.149,39.4011,12.771,20.2389,1.55058,21.5171,15.7979,2.93825,5.43637,1.36509,459.188,60.4918,23.6018,25.2365,2.8944,32.6527,23.2326,5.296,8.96956,1.72825,567.935,88.3925,35.6915,38.2614,1.69844,40.0208,34.0603,5.68665,12.9732,2.07453,608.743,86.6861,34.3381,25.5945,1.62698,41.9686,35.059,6.00702,11.1506,2.25243,728.481,54.9939,35.417,75.002,5.19321,46.671,31.9803,5.23999,20.176,5.62857,773.998,90.3748,40.2061,40.6597,2.19029,53.7516,43.151,7.24877,18.7461,4.17056,571.145,73.1714,28.2003,91.508,8.15393,39.3024,33.2837,5.48045,17.9394,7.1396,1010.51,99.6414,41.5784,36.8354,1.89036,57.573,41.7546,6.54059,15.2417,3.0996,275.544,50.6432,10.682,13.4992,1.34059,23.8027,16.7388,3.38431,7.75797,1.28864,518.932,65.0473,23.1929,143.933,6.69659,35.5336,27.2656,5.80951,35.3707,7.19167
amo,1545,complete,60,12,24.4117,23.1798,0.235714,0.220174,340.712,50.8979,21.0191,15.7927,2.16684,29.9103,23.3416,4.53325,8.90614,1.58769,204.308,41.9377,9.00789,17.2161,2.04706,18.585,16.4787,2.7766,5.10462,1.26868,440.651,64.4568,19.4073,62.505,2.35106,30.9232,26.6504,4.54029,17.0248,3.28688,453.917,60.525,15.8555,29.5946,2.12773,29.9483,27.333,4.46934,13.7247,2.1539,451.948,74.951,16.2795,25.6044,1.46371,32.682,26.9436,5.04242,14.9459,2.1276,560.426,96.3993,31.8355,121.824,10.6833,38.3117,30.316,5.44153,26.4629,10.8433,615.365,71.0922,31.6444,37.7665,1.74967,37.2557,29.56,5.53885,18.3528,3.47207,435.267,69.5673,29.491,30.3063,1.91078,30.3468,27.3471,4.84477,15.3239,2.92339,371.221,79.8078,23.3677,113.952,4.66021,31.4539,27.8308,4.54675,17.6226,4.11816,916.514,98.0323,66.3829,216.25,27.071,65.2676,39.7979,9.76137,40.5718,16.8918,691.652,64.6594,31.1918,39.8904,2.05751,41.7824,29.5308,5.59216,19.7124,3.53516,440.647,63.2946,23.0852,28.3014,1.89478,30.7146,25.3368,4.75731,16.9116,2.92894
