policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2
homie,1536,complete,90,18,10.357,33.4701,0.158167,0.149777,329.704,53.4925,38.3305,21.815,2.04648,36.0637,25.3066,5.60473,11.2058,1.79792,365.971,52.9937,41.2069,42.7149,1.1941,40.238,25.816,6.86978,14.4167,1.98261,370.659,51.9202,43.0913,18.736,1.33711,41.5678,29.7428,6.83494,9.59196,1.6488,292.166,41.5387,36.811,26.6089,1.0064,34.2437,24.1654,6.36317,8.46178,1.4848,569.678,73.8894,54.5032,59.5691,1.24164,54.024,29.7109,9.83214,12.6084,2.27132,355.652,54.782,46.8732,51.9609,0.773975,45.3983,28.3975,8.97986,11.9972,1.92609,424.741,67.1484,52.7948,75.0104,1.08985,46.6541,29.7951,8.1642,15.1336,2.50553,253.56,42.6052,32.0159,44.3306,1.34551,24.357,12.0449,4.50206,8.02206,1.30122,363.856,65.319,46.9284,42.7137,1.6093,39.7227,25.7583,8.22868,12.0435,2.24067,1561.51,84.0077,132.642,67.041,2.5439,77.9729,33.8157,14.485,19.2368,4.52455,455.847,49.7817,46.3144,142.55,2.97546,47.3533,26.3416,9.5367,21.4921,6.8394,694.799,57.1755,46.1268,22.3773,1.30284,37.6875,17.356,7.02633,8.50238,2.71345,217.895,37.0515,25.8837,25.8503,1.29591,23.6977,14.8257,4.91528,7.31595,1.5301,431.565,65.7861,55.3397,29.6262,1.90868,45.2559,30.9221,8.38668,11.7019,3.07043,298.555,41.8281,29.7505,48.0555,15.5233,33.1444,17.0331,6.64302,14.4455,10.3211,633.906,92.2189,112.759,63.0657,1.60094,60.1396,34.2893,12.9505,17.853,5.2633,665.13,72.5811,112.239,263.303,24.8889,64.2192,34.0884,13.8095,34.1222,14.7974,757.231,85.375,69.9691,59.1152,1.26592,66.7864,33.8267,13.369,17.2172,3.80894
homie,1537,complete,90,18,11.8244,25.8045,0.0235698,0.0188326,59.4762,14.2749,6.42022,13.1254,1.11178,9.36412,6.27689,1.75739,3.98801,1.38434,259.07,34.9705,28.0726,16.9271,2.66562,30.8297,18.8404,5.67434,8.64191,5.33866,386.29,57.3619,51.5336,53.6002,1.34355,46.202,26.0838,9.0681,12.1226,3.16312,286.665,48.4097,42.6349,32.591,2.91242,33.4211,21.2341,6.50676,10.7554,5.84835,447.568,62.8441,43.3595,41.5732,2.9668,46.2363,29.2652,8.86587,20.0524,9.90549,375.067,61.7347,38.791,22.028,5.47408,36.148,24.9779,6.91882,12.3529,5.95387,364.29,49.2224,33.5281,16.4781,2.01918,37.7233,24.2318,7.04079,11.9348,6.19436,339.737,51.6516,44.5268,37.3326,1.96139,41.2655,27.7853,8.61181,9.70564,3.12809,238.9,33.1382,27.2495,29.8517,1.21038,25.3687,16.3265,5.02593,5.69752,1.5318,480.02,64.0408,53.916,22.513,1.34899,48.4229,30.4204,8.61845,11.2628,2.08619,259.276,37.3334,30.7585,21.4941,1.00129,30.6616,21.6638,5.79238,9.7648,1.83574,149.231,28.7974,27.6891,44.0272,0.999914,14.7312,9.31292,3.12783,6.06555,0.999664,393.815,57.2162,48.1732,56.1367,1.41382,45.6077,29.4123,8.23683,14.5248,2.31004,60.4282,17.3779,12.6182,28.449,0.651871,9.06522,5.58512,1.71394,4.14325,0.909445,398.61,57.9453,52.8839,36.2708,1.63104,46.0478,29.5007,8.93858,13.5725,5.2722,356.04,53.2877,42.186,21.7375,2.46195,38.7492,25.8712,7.65049,10.7253,6.48435,665.354,88.7978,71.0658,32.0446,1.99475,51.4318,26.8947,9.60469,17.9061,5.12309,1083.32,69.316,80.0417,156.053,3.13892,67.5358,30.0117,12.8348,28.4388,6.80869
homie,1538,fell,80.62,17,15.5786,30.6561,2.10509,3.55142,203.627,34.2679,21.4283,18.4916,1.05976,23.0636,14.8112,3.81228,7.62949,1.45247,437.853,60.8402,45.2025,22.8833,2.08334,44.5455,29.8181,7.02433,13.3161,1.81091,410.883,59.4502,44.8922,45.3024,1.62371,41.9043,31.0003,7.29788,14.1381,2.2848,398.154,55.6873,38.3547,15.4811,0.799714,41.4513,29.6153,6.95281,12.5293,2.99838,208.138,34.8092,23.8029,11.2262,1.25377,23.1935,15.1669,4.0436,6.97929,3.58124,372.889,54.3604,35.1256,28.8503,1.75147,38.8789,22.3213,7.07178,12.2197,3.47948,316.691,50.3657,34.0483,14.7586,1.64562,34.0547,23.2345,5.95207,11.2761,3.62642,425.499,57.8416,76.1349,45.7657,1.79334,39.3404,21.4586,7.53914,17.4743,4.55237,192.637,30.0594,22.3539,11.1026,1.39578,20.8581,13.5336,3.80112,7.27047,3.24556,412.616,53.0092,32.7752,81.5761,4.2689,30.6606,17.9035,6.00473,15.6083,7.96772,159.395,34.4977,24.6154,86.1381,149.741,22.964,12.6915,5.10236,18.172,19.7354,7.92896,1.67993,0.687836,29.2129,3.23775,1.63044,0.50575,0.779004,4.26847,2.72505,446.849,66.3252,38.419,39.677,4.78732,44.1932,32.4691,7.82018,6.48425,8.70605,558.313,88.5343,53.8446,43.7228,7.19611,51.0758,35.6646,8.89564,4.4875,6.24806,1450.7,201.477,133.542,65.4528,9.13847,77.6821,41.5036,14.8204,12.2624,12.8666,645.806,92.4443,57.6224,138.179,13.4436,49.3399,28.788,9.35366,15.874,10.6967,1885.67,42.2234,122.392,30.9856,1.26915,51.182,9.81006,9.88404,9.77955,3.80731,,,,,,,,,,
homie,1539,complete,90,18,17.9574,26.912,0.129065,0.330016,161.133,26.235,18.0058,14.4305,1.64039,21.9193,14.704,3.70585,6.25237,1.38651,339.82,52.9168,36.8277,19.5747,1.82985,36.1176,25.2118,5.68382,10.268,1.62304,976.198,91.5251,60.6861,45.8207,1.51807,61.7147,25.3557,11.8492,19.8598,2.3515,480.51,81.5478,56.8442,77.7327,6.26798,46.4992,32.2125,7.82965,27.6345,5.15665,230.334,37.2056,22.5771,35.0099,1.13527,24.99,16.3284,4.2316,8.11623,1.35365,496.373,62.0406,48.4046,57.898,1.5234,46.6252,31.7291,8.40375,13.0078,2.52224,459.093,62.1849,47.4579,20.1461,1.09905,49.1816,32.451,8.02192,10.8998,3.07408,438.138,51.9046,51.0599,70.9535,7.53861,45.7722,28.1438,7.77137,18.218,6.9672,441.61,64.0195,48.6413,36.7194,1.47735,49.4949,31.1724,8.74784,13.7991,2.22201,497.667,74.7391,51.0712,31.3784,1.37709,52.3781,30.6049,9.48448,17.8383,5.70576,245.641,45.2881,29.9703,14.4779,0.91634,28.1641,20.8465,5.18123,8.64128,1.30373,398.136,55.495,46.035,25.8459,1.73797,41.9235,28.8609,6.97838,13.2083,1.60382,449.577,58.4647,68.1182,33.6723,1.23993,41.3047,26.0567,7.33093,14.61,2.3139,419.313,57.2562,38.1934,28.638,5.75549,41.1295,23.0138,7.88962,14.7926,5.52784,267.379,47.0052,42.2314,37.5406,8.92549,24.4953,16.9259,5.39297,13.5976,9.22103,425.711,55.266,45.8119,19.6624,2.92159,43.2839,28.5276,8.12393,14.2658,7.69867,296.491,27.9758,24.324,31.4114,2.78886,22.8124,12.2204,4.29138,7.26278,4.50092,662.582,60.6798,58.1021,21.1691,1.17156,51.4611,27.7326,9.64922,14.1336,5.97415
homie,1540,fell,55.9,12,16.808,15.5048,2.14914,3.13779,323.175,43.9984,37.6651,23.502,1.96525,43.4741,25.1206,8.30115,13.3241,5.097,313.619,48.0914,30.0838,19.1578,1.99877,28.1759,16.7755,5.73422,9.71439,4.18106,496.155,59.2176,48.6677,34.889,2.5005,48.1583,29.3462,9.28312,16.9955,5.52494,601.764,82.2547,58.8831,68.6155,1.79631,53.8751,33.6784,8.89106,21.5959,4.65183,237.15,34.5358,26.4229,20.8369,1.02558,25.0468,16.1087,4.53802,8.16863,1.99003,380.53,68.9817,46.9799,31.3851,0.66426,37.8336,25.0576,7.19784,11.2513,1.83281,359.523,36.3068,28.8591,20.8815,1.28296,29.9134,16.5001,5.80471,12.8379,3.51725,363.252,46.2281,40.6187,15.8022,1.04472,42.528,27.4533,7.62423,11.0265,2.54417,126.287,21.9634,118.561,11.3626,1.07171,14.0474,8.81222,2.84039,5.19479,1.77368,168.981,26.6221,18.7957,13.1536,0.608813,18.8972,13.2472,3.74906,5.93923,1.50751,267.092,38.819,28.2518,28.8846,4.82364,29.8394,19.7185,5.92187,9.62893,4.50539,1851.79,73.4977,215.064,274.045,53.859,61.4023,23.3908,13.389,37.183,13.9114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homie,1541,complete,90,18,11.0964,24.1817,0.0994694,0.139251,200.021,34.169,21.2157,15.5338,1.63353,24.6926,14.8129,4.22027,8.16311,1.40775,386.013,51.8332,42.6954,52.7136,1.55437,44.9571,27.2228,8.25558,10.9067,1.91752,375.84,50.109,38.9272,28.8929,0.860108,39.7236,27.7339,6.79147,10.3408,2.76,196.519,32.4998,20.7397,21.525,5.41027,21.1584,13.1412,3.75372,7.49795,4.35153,140.267,20.1412,11.668,19.9129,0.917984,14.4251,9.7273,2.83941,4.77961,2.62837,358.533,48.7089,36.5021,17.2076,1.83335,39.3215,27.332,7.19115,10.0514,3.81139,170.021,29.0032,15.7462,13.7892,1.63591,17.1355,12.4153,2.84183,5.37324,1.83133,95.9504,15.0081,8.92206,18.2585,1.12922,11.1955,5.75714,2.26102,6.07391,1.74104,429.775,59.873,49.5517,72.1253,1.73052,46.8406,27.4693,9.12955,19.363,3.50223,279.537,48.41,34.0502,30.6996,1.0362,33.7869,19.4193,6.86087,10.199,2.87847,285.865,40.2815,30.0175,13.9174,1.99796,32.5715,20.3095,6.43491,10.1475,5.61735,502.375,79.3811,91.6171,39.4431,1.76318,50.8139,28.1613,10.8289,17.7486,6.69976,211.332,33.092,30.2152,10.1373,1.57803,25.9487,15.8633,5.40931,5.70423,2.87955,170.522,25.0914,25.6332,19.342,0.770109,23.2536,14.9338,5.04528,5.91634,1.96267,335.884,37.8862,46.6796,43.2969,15.3217,28.26,16.4539,5.53797,13.9339,7.75534,1328.56,67.0583,72.8111,42.1862,2.02488,65.3691,28.6361,10.7567,21.4015,4.19239,374.765,43.3833,35.9771,19.0302,1.48417,41.0813,25.3332,6.97677,9.65955,2.24953,940.811,153.422,81.4794,28.6219,1.23273,57.1522,32.8854,12.3439,16.0962,4.22344
homie,1542,fell,71.44,15,26.5249,35.2609,3.61398,4.376,341.421,49.6387,33.5465,12.9403,1.52608,39.1724,25.6102,6.43417,11.2231,2.92081,226.95,36.0762,26.7175,22.2967,3.59102,24.9915,16.0464,5.07051,11.0216,5.57825,446.584,58.5919,48.5633,20.8589,2.61947,47.4875,33.0316,8.2289,14.6252,6.2677,115.199,17.9979,16.9224,17.2568,1.88511,14.4051,10.8024,2.68353,4.49825,2.60614,431.178,58.9879,50.1924,26.8943,2.79274,46.7009,29.3449,8.9635,12.5608,6.45572,423.728,63.4931,61.0381,33.8221,1.64823,48.5653,30.4395,9.61562,14.1447,7.37288,217.041,37.3646,27.731,13.1651,1.61633,26.2805,18.1775,5.50166,8.27968,4.02632,323.841,43.4243,23.5008,16.5085,1.70693,29.4059,16.6181,5.7376,9.51098,3.8982,382.507,55.7002,46.0424,39.3917,1.24856,45.1069,25.8053,9.17494,11.7905,2.77213,595.24,63.9101,46.1699,41.7984,1.22548,54.0188,31.0646,8.92702,17.5974,2.72188,810.484,76.9296,58.83,112.832,1.68568,63.0242,31.1144,11.8436,24.6264,4.23064,691.759,74.8446,53.6132,39.8227,0.859222,57.5881,30.3643,11.6945,16.3643,2.80812,524.136,66.4161,65.2717,28.8793,1.68844,51.6856,31.009,9.50477,14.5916,4.01361,357.606,43.9327,38.4509,15.7836,1.35899,33.277,16.0582,6.69372,10.4175,4.62636,3304.65,261.814,185.869,196.839,11.1801,98.2462,46.5604,16.784,38.2113,12.7519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homie,1543,complete,90,18,13.0351,22.8172,0.0148358,0.0566301,161.412,27.5016,16.605,16.5864,2.08935,20.9275,13.3365,3.50884,5.55878,1.2217,451.657,58.6864,44.2268,50.6047,1.56635,46.4449,29.7676,8.0203,11.2376,1.95945,437.833,61.1202,54.0135,32.8412,0.605614,44.4335,31.3089,8.17252,10.1049,1.61932,260.406,34.8562,32.623,14.5928,1.21684,32.2897,21.4574,5.95807,9.46503,6.01008,458.687,60.4888,49.9118,27.4925,3.30733,51.0847,31.734,10.3097,18.2363,9.09418,395.619,62.0525,40.5196,154.083,3.73281,34.2129,17.5578,6.87866,26.1131,7.40849,571.917,92.992,60.761,172.64,5.04784,53.508,30.9455,12.1505,31.1278,13.3951,410.738,44.6548,31.8087,37.4732,21.976,31.8591,16.3816,5.63257,11.3868,8.40134,519.462,85.9907,55.261,18.1852,1.42371,51.4323,30.9669,10.4848,13.9905,6.55917,387.778,47.2469,40.85,20.804,2.77153,39.8171,26.4585,8.13756,7.399,4.93268,428.402,55.5303,45.3834,20.4788,3.0257,44.6337,26.9546,9.1052,9.30041,4.97547,387.236,81.9833,48.9539,89.897,3.48519,39.4266,24.0825,8.68316,18.839,7.65677,4430.75,213.759,479.81,63.7418,69.3407,152.042,51.8728,30.4258,40.5562,29.7538,558.49,97.6415,126.525,39.3326,1.34904,30.0775,17.8309,6.77355,10.4795,2.41709,247.99,48.485,40.9629,41.6285,2.82909,24.3589,15.2344,5.92316,11.3425,5.84869,377.607,55.4615,51.7688,45.3482,1.25218,46.6056,26.8225,8.95269,9.3313,2.06582,524.731,53.9155,36.7268,24.2063,2.26811,44.3555,23.6624,7.74325,14.859,6.58141,315.681,51.823,37.2108,17.7126,1.47855,35.4324,23.4861,7.33839,8.7825,2.82896
homie,1544,complete,90,18,14.9774,27.1523,0.00154223,0.00270787,274.82,43.2405,28.4648,26.8587,2.42273,29.9272,18.8687,5.22617,13.3777,4.02549,388.845,48.7671,36.9433,13.6049,2.40511,42.3762,27.9201,7.44376,12.4375,5.12012,40.1172,8.35619,6.34919,8.57662,1.03378,6.05379,4.01955,1.09062,1.7394,0.859783,137.234,19.2973,10.5276,18.6343,1.75545,11.5099,7.14608,2.17734,4.87346,1.4402,9.33344,3.05537,0.707382,15.3959,0.880932,1.12795,0.387605,0.249937,1.05731,0.655814,211.982,27.4468,18.4531,22.4553,0.839874,23.1781,16.1116,4.13426,5.58758,1.41635,105.063,17.4318,14.0723,23.1023,1.37971,14.3842,10.2416,3.09565,4.81537,1.5372,85.5082,18.1586,8.08791,19.0407,1.44063,9.90826,7.23877,1.90395,3.00636,1.30103,480.477,59.1404,42.9481,20.6922,1.39796,47.586,30.3898,8.01303,11.5886,3.43404,314.765,42.6935,26.1954,51.3354,3.927,31.1255,19.7323,5.43662,12.5763,5.03769,228.473,36.2955,22.1772,17.5862,1.11735,26.6008,17.5146,4.9469,7.66329,2.80927,737.364,93.1976,107.596,18.2197,4.45337,57.5257,31.3911,10.6671,8.32362,6.90087,264.082,42.0329,22.0827,16.7653,3.68271,24.0132,16.779,4.44496,2.83956,3.45318,1144.96,175.734,110.37,61.5119,5.24367,75.3626,47.831,14.1394,16.7543,9.86898,507.716,67.5393,47.9292,22.257,9.97289,44.7891,30.5737,7.619,2.7121,5.66368,893.336,73.3115,73.1454,25.7147,6.76345,54.4869,27.7957,10.1546,4.07959,4.29277,338.294,43.4438,27.1671,17.2355,12.4891,26.0818,15.1303,5.1305,1.72176,2.37562,422.566,75.9583,46.0044,16.2722,18.6265,38.65,27.1413,7.59809,1.58368,2.83145
homie,1545,fell,80.66,17,12.8023,40.4001,4.10197,3.32604,441.413,61.1287,45.3851,17.7419,1.58275,50.0964,31.1092,7.95234,11.9441,1.87241,277.764,45.3979,35.5066,16.7155,1.50551,32.4387,22.1948,5.97111,7.80164,1.60138,410.452,57.1345,40.6258,40.2774,1.5042,40.361,29.7278,6.54134,12.8499,2.2441,356.264,48.1463,36.8734,145.797,4.79943,29.9599,19.0663,5.88546,16.5745,4.8015,543.249,65.5546,58.7086,110.562,44.4773,49.0095,30.9533,8.75977,21.5059,6.10876,372.154,63.9299,47.3161,40.8278,1.42107,39.0444,28.4124,6.28335,13.5134,2.06771,401.407,60.5788,43.0545,46.6737,1.68999,42.5244,28.4103,7.07471,13.2147,2.22439,325.213,48.4059,38.1473,29.8983,1.59805,34.4391,22.9696,6.06853,11.9536,2.29569,437.648,55.8093,51.8071,27.6501,2.33103,49.3271,28.3634,8.71837,12.145,2.79309,212.319,32.8893,33.2084,33.8396,2.53584,27.6551,16.3284,5.55383,10.4788,4.23043,515.612,65.6629,65.4502,48.9053,2.54871,47.5292,29.6653,8.36945,18.0406,5.76233,437.589,64.807,66.2591,52.7539,1.714,44.5501,29.6788,6.97562,17.3602,2.79996,548.37,62.1674,70.0759,244.101,35.002,52.0968,30.3692,8.95245,27.6369,9.60709,172.678,24.9555,24.817,31.0485,1.60425,18.7814,12.6829,3.52367,8.42328,1.47487,582.461,68.5298,56.0456,53.2948,2.65981,48.7821,31.5079,8.05613,15.9948,2.66606,787.022,86.9802,74.9905,67.1418,1.51262,59.5516,35.2762,10.0244,19.3136,2.91644,2952.52,74.0577,270.024,58.6139,0.889061,64.4347,14.0469,10.1494,16.0805,2.48907,,,,,,,,,,
