policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s0_stomp_j,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s1_stomp_j,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s2_stomp_j,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s3_stomp_j,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s4_stomp_j,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s5_stomp_j,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s6_stomp_j,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s7_stomp_j,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s8_stomp_j,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s9_stomp_j,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s10_stomp_j,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s11_stomp_j,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s12_stomp_j,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s13_stomp_j,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s14_stomp_j,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s15_stomp_j,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s16_stomp_j,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw,s17_stomp_j
wbc_agile_velocity,1536,fell,45.94,10,17.8066,5.57737,1.07297,3.17976,585.541,210.072,18.6558,21.2463,1.99228,39.8081,96.1055,6.56608,13.2005,2.12513,34,0.463286,0.697014,3.91328,250.743,62.4917,15.1259,34.0824,1.08022,21.5612,37.2706,4.10537,10.4044,1.81231,19,0.570269,0.822656,1.97154,155.928,28.7097,6.31313,11.2086,1.30013,13.0726,22.2845,2.53842,4.49863,1.04428,13,0.624091,0.891033,2.28693,195.936,65.5962,12.2605,19.0475,1.00175,20.6211,46.4142,3.86232,5.8084,1.30947,26,0.349781,0.63132,1.63643,821.268,161.078,40.4878,37.3313,1.13819,42.6201,71.1479,7.43875,9.63233,2.15106,24,0.594604,0.898022,6.7801,149.181,67.0507,10.0654,21.4461,0.736378,15.7922,40.4923,2.88228,5.57602,1.21073,10,0.488271,0.935634,3.23843,225.569,61.8629,15.7749,35.7449,1.0196,19.4933,39.561,3.76121,8.01222,1.7935,16,0.497135,0.984695,2.67392,445.063,173.581,27.8364,41.1311,1.36956,30.132,67.4458,5.83724,10.5602,1.78466,30,0.872762,0.70978,2.65195,395.281,164.081,30.1125,30.5377,1.57417,36.1833,78.8603,6.733,11.807,2.12651,24,0.602627,0.997525,3.35811,3444.7,234.197,77.5,22.2321,1.70653,67.7602,88.8062,11.5347,13.9121,5.01332,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,1537,complete,90,18,74.777,4.22407,3.36162,3.43856,82.7436,37.9575,3.59299,12.1766,1.1655,9.6145,19.6147,1.69269,3.671,1.78878,12,0.245322,0.376201,1.64952,177.801,46.1071,7.52733,14.2872,2.11281,15.3795,31.1901,2.96057,6.21564,3.81586,11,0.496669,1.0662,3.51196,249.976,68.9189,15.4718,35.4323,1.33426,19.497,37.8661,4.01859,6.83918,1.91433,15,0.31314,0.970139,3.09739,278.323,75.3902,15.3864,22.786,2.87867,23.6212,40.8828,4.51933,8.16368,3.8913,27,0.503906,0.615337,1.67453,334.347,78.1439,14.8656,28.5588,7.70729,25.2681,53.4276,5.33329,13.7235,8.7647,17,0.550754,1.30965,4.29479,685.578,161.195,24.3711,26.4861,6.56358,41.6295,73.3834,7.88008,13.2699,6.02725,24,0.271716,1.05785,6.3393,329.752,110.184,16.6486,18.2335,3.04414,29.847,57.1779,5.17264,9.68855,5.40084,25,0.52906,0.790982,2.63827,250.877,65.4662,10.5959,17.4382,1.72071,18.5135,32.5061,3.81072,5.7823,3.38938,18,0.250847,0.731989,2.80146,275.939,83.2349,15.3946,24.8127,1.21289,20.3926,46.4334,3.87998,4.98252,1.49133,19,0.508868,0.806897,3.34833,606.447,97.9481,29.6042,21.4899,1.37299,37.8393,63.6583,6.92183,10.3135,1.96426,24,0.455171,1.08703,4.94332,262.209,60.7824,13.5155,15.0085,0.97304,23.2109,41.8111,4.76222,7.9793,1.62093,23,0.551422,0.830347,2.22981,311.384,102.652,17.1035,31.1464,0.979069,21.6924,44.9088,3.9798,7.39169,1.25806,12,0.674979,0.923371,5.0126,931.025,213.314,35.7117,40.359,1.38082,57.1717,103.594,10.7885,19.0793,3.11505,35,0.532013,1.06381,5.79789,100.661,43.0955,8.17725,23.3745,0.606468,11.4474,25.0954,2.57335,4.7842,1.30221,10,0.689721,0.819386,2.5974,501.288,145.101,23.7332,25.1848,1.34467,32.8466,65.2293,6.49188,10.5805,3.19461,17,0.552988,1.05706,5.97215,314.404,101.898,20.0197,19.5452,2.06494,26.9749,60.9261,5.37437,8.29562,5.92127,21,0.506785,0.870952,4.07039,1052.21,243.188,34.9523,23.4099,2.16008,56.4783,104.964,10.2715,17.4453,6.22094,39,0.462908,0.785724,5.5213,11262.1,1200.99,269.305,175.391,4.65534,322.618,410.107,60.2723,78.346,18.5806,8,0.417185,3.18697,194.705
wbc_agile_velocity,1538,fell,70.54,15,9.78612,9.33833,2.34795,3.21082,251.916,92.9089,8.67131,17.3495,1.12645,20.7835,47.3847,3.40471,7.73882,2.66771,16,0.63297,0.667319,3.40936,302.743,67.254,13.8171,15.7577,2.00454,24.0315,44.2605,4.39593,8.67957,1.82514,17,0.447152,1.11096,3.59412,247.819,65.7257,10.7567,41.3626,1.46932,19.3735,34.0915,3.53878,9.24698,1.61372,17,0.485349,0.82993,3.54464,252.449,81.8081,7.81899,11.6789,0.74501,20.2899,45.176,3.78457,8.13291,1.61307,15,0.454893,0.852618,3.64966,354.112,65.5645,12.6041,12.7075,1.13304,24.7314,41.7538,4.7189,7.98795,3.34463,21,0.273254,0.842901,3.55673,355.529,136.474,14.5098,20.6296,1.5656,28.8795,68.9738,5.01967,9.63614,2.68752,28,0.434809,0.641349,3.06518,207.947,49.5073,16.252,12.0162,1.6286,19.1895,34.016,4.19066,8.96407,3.39085,12,0.529467,1.02539,3.97633,478.122,129.613,40.0561,32.3397,1.6961,29.9023,59.2471,6.53478,14.4629,4.19116,21,0.51991,0.876593,4.24361,223.284,47.3349,10.8965,12.1122,2.05412,19.9183,33.8621,3.95914,7.95309,2.51332,10,0.577386,1.33693,5.3894,86.8303,18.9835,11.3213,82.6197,4.00827,10.7609,18.4772,2.83214,13.8527,6.12073,11,0.553284,0.733191,2.05981,201.938,41.0024,14.3882,83.3758,151.662,18.6187,32.0379,4.3168,17.849,18.4195,9,0.417545,1.5174,4.37366,42.3625,10.8163,2.20511,30.5025,3.45555,5.64214,7.43772,1.49586,5.37555,3.68359,3,0.408086,0.980295,1.54974,183.69,54.9594,7.53481,32.1127,3.92786,19.1014,36.0704,3.59261,4.65467,6.20788,18,0.479841,0.774473,1.87265,2325.39,264.406,61.1024,60.8964,8.39291,101.501,139.739,17.3976,9.4595,12.336,47,0.407223,1.17586,10.2321,805.835,149.346,52.2371,16.7104,2.66626,30.8677,59.4399,4.98053,3.13314,4.41388,2,0.496166,0.892761,2.33386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,1539,complete,90,18,10.023,3.44212,0.545771,0.491096,169.488,67.1179,9.705,12.9219,1.74381,17.0486,40.6464,3.00355,5.85937,1.77111,19,0.43224,0.559391,1.91107,277.874,72.2466,9.97225,16.2498,1.80207,20.0791,42.9587,3.49131,6.46618,1.26039,16,0.492445,0.86455,3.48518,144.766,32.7948,6.61471,14.1156,1.2847,10.9542,24.8108,2.25132,4.94204,1.02234,6,0.459531,1.22254,4.93657,140.033,30.2026,17.7244,63.7505,6.31663,14.6479,21.0184,3.73404,17.7558,4.0283,11,0.499945,0.841578,2.68559,342.578,87.7091,12.2375,24.3359,1.12247,22.3841,44.1679,4.1386,8.27804,1.45101,17,0.895433,0.860678,4.0946,310.698,62.8037,14.4376,38.423,1.45546,20.5727,41.9512,3.79159,7.56254,2.03178,10,0.597144,1.17728,5.80333,354.621,120.615,13.6667,15.4114,1.07915,27.8854,67.6167,4.97233,7.24586,1.96792,27,0.439481,0.720402,3.15818,529.286,120.409,21.9434,63.968,5.60414,37.8207,73.2005,7.17587,16.5709,5.37507,20,0.421964,1.02509,6.14747,357.071,111.094,15.769,19.591,1.426,24.7808,54.3385,4.43649,8.43237,1.6493,20,0.800768,0.782423,3.00661,388.72,143.154,24.9586,22.0109,1.22149,30.9838,74.0268,5.67109,11.4104,2.86598,30,0.502778,0.710861,2.65411,395.666,95.0115,15.6543,12.4662,0.934383,28.739,51.5346,5.25044,9.23467,1.32841,20,0.464336,1.0575,4.30826,261.22,68.3326,10.8718,15.4334,1.56424,22.1234,44.8371,3.95923,8.6437,1.29759,20,0.588833,0.79398,3.11735,360.152,116.413,57.5734,26.5198,1.16381,33.1644,69.6807,5.87418,12.2186,2.17555,26,0.593777,0.888844,3.09887,522.713,119.499,25.178,22.8726,3.0282,36.9451,61.4084,7.55667,15.9935,5.85857,26,0.28947,1.03259,4.61459,286.02,98.0724,87.0515,37.2389,5.81846,24.5737,43.1256,5.42137,13.6131,9.3657,8,0.55562,1.50483,7.26894,231.062,59.7065,12.3415,15.226,2.72112,20.3155,39.6055,3.8997,8.02288,5.08868,13,0.656248,1.05947,2.50286,231.708,75.9293,21.1651,31.7962,2.73413,19.0291,44.4181,3.90915,7.04189,3.99926,18,0.42914,0.797584,3.15756,1602.51,250.212,52.3597,37.011,1.34383,83.9992,132.728,15.374,18.5419,6.71279,40,0.585231,1.09578,9.25936
wbc_agile_velocity,1540,fell,56.3,12,12.7059,12.9762,1.16473,2.64771,184.004,69.8075,9.233,20.9607,2.20358,18.9807,47.857,3.64359,9.34975,4.93227,17,0.315422,0.768232,2.14912,907.767,123.801,20.0662,19.9709,2.26588,44.1545,69.6488,8.51421,12.915,5.18738,17,0.519239,1.40965,11.3213,218.804,47.861,11.3567,25.2439,1.84657,17.6564,34.958,3.56051,9.95256,4.52938,17,0.348889,0.742482,2.96867,286.511,60.1156,17.3546,43.203,1.80768,21.542,43.1554,4.57614,14.6817,4.57486,16,0.481465,1.19816,3.56637,260.809,73.0464,10.628,19.4478,1.07776,19.7238,39.889,3.49884,7.0483,2.09454,18,0.264613,0.64194,2.33602,210.222,42.0992,18.1729,21.5272,0.653262,18.187,29.0788,3.85645,7.06341,1.43451,15,0.56306,0.759891,3.21787,205.257,54.7817,11.9033,17.7088,1.18135,19.1131,39.3762,4.48127,10.7536,3.25829,10,0.587718,1.52948,5.07373,178.035,53.8235,9.32471,12.1958,1.01951,19.5456,36.9783,3.58831,7.46667,1.81544,16,0.471059,0.792655,2.85859,132.319,53.2165,16.3128,10.0809,0.973426,13.0296,28.8267,2.62832,4.72597,1.12168,8,0.66265,0.913465,3.87111,165.46,47.0518,8.06847,11.8398,0.611454,13.7369,29.8147,2.51425,5.21871,1.32845,13,0.53639,0.733585,3.19508,319.865,72.8087,17.7648,19.0352,2.88743,27.1887,41.7891,5.67859,10.9806,3.98246,25,0.464916,0.804744,2.48456,4022.23,280.133,174.988,229.818,28.317,90.7363,90.8468,17.2097,41.3791,19.8496,2,0.48893,3.50495,98.6682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,1541,fell,88.54,18,38.8741,10.2616,3.34465,3.59021,240.705,99.3427,10.9069,15.1628,1.6152,21.5587,46.552,3.80238,8.10245,1.62441,20,0.610641,0.592987,2.39172,353.358,99.4515,14.0906,36.6688,1.45516,23.8805,48.5875,4.49289,7.85911,1.71438,23,0.730633,0.653073,2.77829,287.477,60.5258,14.3427,18.8647,0.69247,22.7931,45.5288,4.50204,7.02469,1.49637,21,0.62377,0.942256,3.19474,176.61,74.3246,9.77597,20.8836,3.0286,15.8858,38.7482,3.13591,7.47984,4.26772,11,0.549427,0.898035,3.92529,171.685,40.0278,7.48529,19.9587,0.99317,14.9923,28.3873,2.98242,5.69628,2.46171,13,0.544521,0.906394,2.63226,206.679,53.9135,9.0501,13.7967,1.76484,21.3126,39.0427,3.82149,5.13063,2.31733,15,0.513833,0.907868,2.10167,127.52,25.7816,5.62736,11.4579,1.58076,13.319,23.4382,2.36658,3.88323,1.39649,12,0.510832,0.964399,2.26511,331.133,113.538,13.6798,20.4342,1.1906,21.9209,50.0928,4.42582,9.42036,2.43479,15,0.570681,0.86607,4.4605,374.645,78.2974,25.1421,46.8697,1.64593,26.1369,41.7045,5.53766,14.6773,2.58185,14,0.679747,1.23589,6.17617,296.783,95.486,21.1672,27.4936,1.07115,25.3515,51.8996,4.96671,8.98537,2.76679,20,0.651666,0.849806,3.01962,300.4,94.0634,16.6258,11.1129,1.83512,26.1467,53.7907,5.39068,9.34634,5.27353,20,0.473283,0.924756,2.82755,966.773,247.355,69.7314,37.8077,1.996,54.8657,114.498,10.9884,19.3919,9.54226,22,0.672427,1.31034,10.5811,252.132,63.7566,18.625,11.9664,1.88991,22.0976,44.6238,4.79683,5.57965,2.60204,14,0.560647,1.46722,3.78822,110.92,37.094,7.34258,16.8275,0.777906,11.3435,22.4456,2.06556,4.4723,1.35822,6,0.356305,0.990808,2.72104,648.512,143.474,52.9048,46.8482,13.8779,40.4942,77.4859,8.75242,16.7014,8.61695,19,0.465892,1.27873,8.52968,1370.02,157.504,54.8393,29.6762,1.88473,55.1126,80.7331,9.35905,17.5138,3.7387,15,0.696386,0.962844,14.8417,267.876,77.4724,9.11438,15.6869,1.46018,19.8505,42.2948,3.52854,4.52609,1.44735,18,0.542431,0.725094,3.76222,9026.85,1196.32,952.632,114.45,2.56077,252.525,356.731,56.0374,67.6093,13.3326,7,2.12666,4.81502,142.406
wbc_agile_velocity,1542,fell,85.6,18,19.2993,7.91219,3.14858,4.43847,265.708,88.7915,7.21112,11.5595,1.59834,21.2981,47.329,3.57586,7.46636,2.691,13,0.516674,0.880918,4.66943,229.386,73.2637,13.7875,23.8258,3.40841,21.7128,45.2105,4.1781,11.1781,4.69766,20,0.650816,0.711409,2.27324,482.482,83.2527,16.911,18.1637,2.18282,31.8978,52.9706,5.42767,12.8828,5.78465,20,0.395835,1.06962,4.40162,180.594,53.4605,9.40271,18.37,2.05521,17.8617,39.1091,3.64678,5.94091,3.04049,18,0.501543,0.857321,2.26612,335.396,65.7019,15.5246,17.8755,2.02318,23.0355,35.5156,4.5174,7.63885,3.28487,14,0.400108,1.08582,4.72354,386.937,122.568,21.6552,27.2047,1.53291,29.8985,54.4666,6.17338,8.81816,4.75963,24,0.554249,0.76745,2.99326,312.279,102.497,12.0658,13.2766,1.68419,21.0642,49.1458,4.03219,6.73534,3.59877,14,0.720325,0.922949,4.44413,128.387,47.2872,9.09679,13.9179,1.6014,15.6625,35.1033,3.29699,6.34801,3.16104,9,0.543608,1.32754,3.91928,352.336,109.224,20.9502,23.5905,1.22412,27.4558,55.7172,5.39891,7.55307,2.25614,22,0.475753,0.953642,3.3852,428.095,112.777,21.1321,25.7657,1.02146,32.0872,58.9912,6.27259,13.1742,2.29921,25,0.651058,0.896754,3.73607,508.442,149.955,22.4549,92.0794,1.74738,34.0243,76.9251,7.14055,19.1479,3.59907,22,0.492679,1.0746,6.81322,490.679,75.1106,24.238,23.7675,0.852413,30.4005,45.4989,6.41211,10.2876,2.09959,11,0.487321,1.57467,7.50358,326.256,86.5776,19.214,18.4112,1.60095,27.9194,49.9758,5.2003,10.4984,2.10806,27,0.422903,0.751484,2.78608,463.253,153.535,19.3336,16.6869,1.62288,38.2152,83.072,7.0972,12.6572,6.84289,31,0.441514,0.88329,3.51567,1611.38,394.666,92.0518,118.206,10.9837,84.452,158.255,14.8025,28.1752,12.181,30,0.58132,1.23195,11.0842,935.428,267.271,38.0021,42.077,1.31118,60.6262,125.909,11.6496,14.4969,3.98675,41,0.504364,0.982499,6.2543,560.497,230.069,30.8204,37.1139,1.1822,41.8223,95.8319,8.06551,10.6339,2.76484,28,0.385024,0.995796,5.80935,2170.33,89.47,292.357,196.018,154.435,56.5486,33.4241,13.8098,38.942,21.8764,1,0.817734,0.995473,2.56104
wbc_agile_velocity,1543,fell,62.7,13,58.2723,11.0338,3.10699,5.06107,204.868,63.5817,9.10183,16.1205,2.06385,18.5551,40.1164,3.11809,5.54617,1.54843,17,0.400747,0.552619,2.29796,267.878,82.7091,16.7216,26.8551,1.53722,24.4115,54.8262,4.78903,7.40565,1.66357,25,0.580515,0.921437,2.7602,110.909,23.5987,9.24931,16.5081,0.576007,10.5206,17.5525,2.12751,3.35666,0.795109,9,0.573797,1.00197,2.17104,124.342,39.0392,4.48122,10.7985,1.02104,9.88448,23.3336,1.80235,4.54107,2.80288,8,0.52138,0.813294,2.59863,301.55,78.795,13.7085,21.2094,3.19442,23.2932,50.3913,4.93747,13.5397,6.43526,19,0.411371,1.04182,3.19373,351.408,124.551,19.2193,65.6189,26.2773,22.6874,45.5072,4.84471,12.0854,7.15706,25,0.846663,0.534001,2.24036,2264.62,407.913,143.082,252.12,4.46539,103.218,187.874,22.3278,47.5854,14.3774,34,0.411441,1.1782,14.1844,330.162,142.867,16.7262,46.954,18.557,25.8278,68.6524,5.76975,12.389,9.2446,21,0.589105,0.863271,4.17407,515.412,211.018,44.1189,18.0873,1.64278,43.6665,96.6718,9.05046,13.4795,7.34543,35,0.735723,0.930899,3.37299,226.076,45.2494,19.1413,20.2197,2.63776,17.0876,28.4856,4.33671,6.07381,3.7337,14,0.547725,0.892513,2.88187,473.189,121.053,21.8546,20.7132,3.06113,32.7159,59.3968,6.69274,7.87989,3.75067,18,0.546304,1.20927,6.59997,617.861,324.504,41.9065,87.379,3.92492,48.7227,120.004,10.3501,19.826,8.82879,36,1.02006,1.11445,3.91256,6817.81,634.05,312.412,49.708,2.75404,189.436,227.025,33.3017,28.8155,14.3773,10,0.297733,3.85879,87.9434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,1544,fell,55.78,12,15.6969,8.26656,1.93897,3.40697,412.669,155.996,18.0068,28.2399,3.05639,34.2774,78.9062,6.4496,16.3524,5.51673,23,0.508404,0.801822,4.34336,278.172,62.7593,9.26453,11.2958,2.28981,21.3347,41.7396,4.13491,7.49655,3.96279,24,0.322785,0.730837,2.26333,82.2874,24.1038,2.6947,8.77028,1.02046,6.08016,12.8074,1.10316,2.01382,0.938202,6,0.670282,0.554188,1.6361,193.746,43.8453,9.09008,18.249,1.7108,14.2466,26.317,2.64425,5.56924,1.56403,8,0.402109,1.17228,5.59261,56.1323,13.2207,2.80098,16.6758,0.890355,5.39748,12.2187,1.12464,2.36732,0.798942,4,0.433743,0.928366,2.61765,150.094,37.8533,7.07016,19.3508,0.83115,14.5746,29.7726,2.67512,3.95803,1.0974,9,0.46804,1.2154,3.43401,99.5421,44.8296,5.11546,21.5957,1.32484,10.0918,27.2731,1.88494,3.45632,1.22114,9,0.560236,0.764501,2.43712,22.4337,12.5791,0.851875,16.5164,1.35951,2.4103,4.21883,0.496609,1.17034,0.893818,1,1.01493,1.3108,5.6814,894.996,191.51,28.6916,22.5476,1.51608,53.5102,110.341,9.48096,13.7945,4.72154,31,0.534952,1.00242,6.21365,461.683,146.654,19.6974,53.3957,4.26704,33.5922,81.2832,6.02778,13.539,5.85866,23,0.445211,0.865543,4.44572,166.869,41.6127,7.16425,14.7638,1.10146,15.2062,29.6542,2.99561,6.49598,2.30369,10,0.434729,1.04362,3.2284,1404.92,168.683,185.385,9.07797,1.00773,47.0837,59.3376,9.85145,7.68949,5.07877,2,0.380833,0.806981,1.59637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile_velocity,1545,fell,60.8,13,11.736,17.5996,2.16584,2.72944,280.577,78.8077,12.4249,15.0698,1.50871,25.488,52.1286,4.51762,7.97304,1.60488,24,0.398181,0.693191,2.24195,221.166,53.2472,11.1871,15.2014,1.4879,19.5343,35.3538,3.4897,5.24952,1.3871,21,0.369691,0.749133,1.945,384.963,104.727,19.906,25.4309,1.42757,30.9316,65.4389,6.19375,11.4951,2.24554,23,0.527804,1.11563,4.00636,303.802,98.7426,25.2665,145.839,4.73979,23.6865,55.8558,4.83486,15.1444,4.10596,17,0.781543,0.816523,3.56818,952.062,204.98,49.0553,115.694,48.8662,60.2048,111.345,10.8954,26.2337,6.66708,40,0.523612,0.960984,5.23661,275.511,84.0027,15.525,22.4368,1.18508,24.1402,55.8899,4.49988,9.23591,1.5773,19,0.434736,0.928466,3.7189,317.713,94.2426,16.78,24.6293,1.50336,26.1863,56.1055,4.96391,10.2511,1.92418,26,0.49067,0.87955,3.20887,273.969,81.0219,16.997,20.2057,1.50916,23.7429,50.8614,4.67793,10.1878,2.0916,14,0.507169,1.25926,4.40876,311.437,101.738,12.2652,15.8737,2.29968,25.3003,59.6058,4.34963,7.54574,1.95613,23,0.522816,0.779763,3.17976,199.577,85.6425,15.267,23.4068,2.56562,20.9148,43.109,4.19596,8.35377,4.07617,18,0.386896,0.762441,2.67271,289.311,86.9303,19.2818,23.8944,1.96153,24.9045,50.6109,4.76617,10.9195,3.63415,19,0.53096,0.923819,3.23597,400.583,104.984,17.8615,25.7852,1.48772,29.1421,59.4401,5.2851,12.8718,2.26583,24,0.48262,0.806919,4.48581,1288.18,156.421,100.671,202.038,32.8908,35.8548,59.7241,6.79823,20.383,8.83205,3,0.490865,3.23016,28.4371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
