policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
homie,2560,complete,60,12,22.5878,58.7172,0.0899385,0.380259,442.366,58.872,46.7931,32.5882,13.6385,49.4599,29.2676,8.37353,15.4912,6.92783,406.853,60.7939,51.4361,47.2825,4.08036,47.3184,27.348,9.78612,17.0754,9.51547,212.82,33.5695,34.9645,26.0851,1.09697,29.2053,19.1583,5.80647,7.45179,2.14508,333.049,51.9593,40.5789,22.0692,1.46088,36.4952,22.5584,6.95623,7.80602,2.23061,493.107,67.6426,47.3751,25.7352,2.61284,49.9539,32.9197,7.86338,10.4363,4.83024,432.61,62.121,64.2314,38.5594,1.56757,49.4121,28.5,9.83061,10.4972,2.58886,456.531,73.9441,55.8526,53.487,4.06878,47.2812,30.4811,9.84767,11.717,3.09056,658.789,81.8488,54.1063,41.5994,4.27803,58.3526,33.9815,10.2423,17.3398,6.78792,966.506,134.374,125.664,53.576,2.53843,77.1891,38.8538,12.8037,18.3266,4.48484,574.087,60.2141,50.1298,40.7707,1.26902,51.284,28.8192,8.84401,11.9363,3.08131,498.564,81.7213,56.757,47.8024,1.42076,53.5962,31.6593,10.5439,12.6077,3.4125,694.041,115.604,74.7063,143.669,2.3653,62.6073,38.7378,11.3129,19.2461,3.84245
homie,2561,complete,60,12,11.641,34.763,0.169331,0.330959,341.751,47.1813,34.3919,18.8739,1.53124,35.8537,22.2892,5.71451,10.5873,1.52557,434.533,53.2775,44.1182,25.4742,1.11212,44.3723,26.8569,7.87685,11.9713,1.68705,1225.1,96.0444,191.434,53.624,1.81533,82.8615,37.9424,13.0648,25.6166,5.16537,221.242,28.0098,15.9016,17.0703,1.6588,18.8659,10.5107,3.68015,6.16177,1.72386,376.417,48.02,27.5004,30.5604,1.85209,30.4066,17.687,5.4763,8.18233,2.67803,224.965,31.303,30.9424,136.274,29.3737,23.5866,13.4697,5.79596,16.4376,10.4549,572.347,64.7781,57.4881,24.0809,1.5422,53.022,31.7907,9.16293,15.89,3.41487,761.786,80.4933,63.4362,20.2486,0.819714,63.3097,33.6331,10.5909,14.8619,2.75897,1251.13,101.945,87.4623,43.6712,1.60815,73.6574,31.7645,14.0921,19.6328,3.69356,527.451,72.3353,51.1957,40.8527,1.40316,52.0531,32.7349,9.12312,13.0562,2.10242,436.757,56.2819,50.16,41.7776,0.818546,48.9317,30.3426,8.69386,12.9029,1.7443,396.283,69.9559,50.7845,57.7961,1.28231,45.6865,26.9942,9.20012,12.0227,2.34033
homie,2562,complete,60,12,13.3821,46.5746,0.0557577,0.134732,239.004,38.5285,27.1526,64.8427,2.86026,28.8967,17.7862,4.87107,13.8983,4.63256,147.657,23.6004,19.4176,34.7738,15.2112,19.663,10.6382,4.50086,15.373,8.62426,208.798,31.9,28.5089,17.5848,0.986265,24.6502,18.0062,5.30378,5.77593,2.4365,395.396,53.4037,53.009,20.9194,0.92235,44.8212,23.0963,8.96696,10.38,3.98789,376.77,52.5775,60.2811,37.2084,1.59475,41.4997,28.8834,7.48848,13.6315,4.0188,448.96,57.1853,47.8073,22.3401,1.27113,43.7206,27.8255,7.85994,12.6421,3.98679,817.931,99.9726,87.7915,64.3326,1.78404,63.8777,30.787,10.3334,20.0576,3.66497,833.377,115.751,98.3831,53.9561,0.946087,61.6683,37.3704,11.7266,19.5226,2.49353,300.574,43.6438,34.5169,28.9625,0.702482,33.5167,19.6493,6.14248,7.98584,1.87548,524.229,79.6422,159.74,108.029,2.74664,52.9193,30.0009,10.5023,23.9741,6.40158,397.476,68.5489,51.2627,66.4638,1.51139,45.8705,29.2405,8.9779,12.9307,2.81329,652.097,73.147,58.6889,33.7987,1.34157,58.094,35.8442,10.6425,18.2488,3.29789
homie,2563,fell,20.8,5,25.3159,57.1632,1.05311,0.645959,386.127,52.5132,39.7668,25.5098,1.28017,41.7996,26.2192,6.46042,12.5245,1.73438,340.027,47.3279,38.6961,18.3052,2.07793,38.317,27.4696,6.62057,11.512,2.67037,315.155,40.42,25.8091,28.6119,1.98041,30.8169,18.7616,5.84271,11.8444,4.58533,481.004,74.0471,54.5094,65.8668,1.76443,47.0902,29.7519,7.7741,14.4352,2.42457,2832.64,250.503,263.743,99.0676,12.9795,82.4079,39.8089,17.2192,28.5073,13.2812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homie,2564,fell,46.34,10,26.5038,41.7555,1.29556,1.23033,445.715,61.1136,44.9919,28.0988,2.19131,52.3715,28.711,8.71553,10.405,1.7606,311.452,43.2365,37.9336,19.3116,1.58331,35.6713,22.9,6.51402,8.78819,2.07386,246.409,33.2788,26.4309,17.524,1.34787,27.5626,17.7646,5.08547,8.77382,2.54368,463.748,62.2363,42.8851,21.5208,1.18702,47.0871,29.721,7.70312,11.0144,3.32269,368.04,57.9971,38.3332,36.4607,1.44744,37.5114,25.4209,6.19046,9.67575,1.71137,232.792,35.991,22.9171,27.2698,0.580403,25.4946,15.7317,4.64053,7.36789,1.0785,231.219,36.0856,38.541,61.061,2.43712,22.7968,15.3972,5.331,13.4712,3.65504,390.823,47.0323,36.1079,20.2531,0.932202,42.3422,23.9647,7.88743,13.3555,3.81747,565.022,71.4403,57.4639,25.8037,1.31117,57.6283,33.3333,10.6684,17.7422,3.8941,3419.56,340.33,235.415,349.814,70.253,117.429,40.0251,22.1,56.1594,24.6236,,,,,,,,,,,,,,,,,,,,
homie,2565,fell,45.86,10,17.8733,22.2554,0.917535,2.51371,256.654,43.413,21.9209,17.222,1.88075,26.6176,18.5304,4.71794,8.83925,1.54384,157.937,21.5348,18.6618,18.0032,2.00562,18.9184,13.3846,3.61738,7.76394,1.42203,457.745,46.5815,47.044,23.2217,1.80602,43.5646,26.054,7.33934,13.8715,3.32668,509.047,60.8598,44.1522,24.8837,1.70683,48.0885,30.5789,8.21612,14.99,3.70144,465.036,57.8765,46.2256,24.3901,1.32452,49.7935,30.7777,9.89027,15.1572,2.3472,541.085,68.5443,62.1993,29.3992,1.29601,50.6933,26.96,9.48433,14.5405,2.80427,397.799,62.2651,40.2455,41.169,5.12419,40.8556,27.1342,7.11155,15.6911,5.78974,250.227,45.7556,30.9558,20.5338,1.81537,26.7709,17.6817,5.114,8.27502,2.36938,594.424,83.7527,51.1628,42.6784,1.5176,56.4405,30.9617,9.83896,19.1251,3.36588,1747.23,61.3055,51.0433,35.4848,0.58621,54.4342,20.5849,8.32451,17.609,3.73524,,,,,,,,,,,,,,,,,,,,
homie,2566,fell,41.02,9,22.9477,67.1227,2.09946,2.72026,373.302,53.7983,34.555,15.5161,1.86539,39.6915,25.0614,6.14037,10.7177,2.34323,223.185,32.6417,27.4087,15.1814,0.934942,22.7308,14.8207,4.50251,6.95692,1.29331,384.42,55.4854,40.5562,28.5701,2.51135,40.9018,26.061,7.36986,11.9835,3.2957,417.211,52.2793,42.2925,54.4893,2.23531,45.2963,27.3445,8.37494,18.1562,6.23889,454.932,56.029,43.2552,43.2785,1.96775,48.4983,28.0402,8.36493,11.8125,3.98843,488.713,72.2622,52.5419,67.6444,20.8203,46.0113,28.4013,7.40953,14.1988,5.7603,477.836,79.9164,65.1547,72.4032,1.14803,52.6569,30.7782,10.1082,13.639,3.1611,603.358,77.9885,60.7908,77.4497,1.31413,58.0959,36.2077,9.79662,13.457,3.77911,1505.76,103.687,158.29,196.687,9.81943,60.6056,21.1355,11.5098,28.46,9.96899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homie,2567,complete,60,12,14.4345,20.8376,0.0086321,0.00956999,414.081,53.3801,44.6415,75.3982,2.066,51.2783,28.8698,9.55347,24.1343,5.58472,13.6924,5.8464,3.33035,14.0893,1.21222,3.04783,2.72449,0.784731,3.46962,1.08982,228.596,37.7018,29.713,29.084,1.39697,28.5877,19.6554,6.00938,11.2615,7.13677,429.716,58.1386,48.1229,47.2657,1.17638,46.2622,29.0356,7.69899,13.9142,1.81137,405.694,56.6388,57.1289,100.907,1.75996,39.068,27.5484,6.69227,17.6513,2.53653,186.834,29.1418,16.8326,48.9749,1.16924,20.2337,14.7393,3.61429,7.20335,0.991273,111.354,21.0305,15.6985,16.1516,1.31604,11.4151,7.07673,2.45114,5.2982,0.793977,657.949,95.2425,100.704,91.8326,3.65513,49.303,29.5667,8.28604,19.9709,4.44495,296.909,40.9179,41.9392,48.9543,1.66966,26.261,14.6195,5.04896,12.0852,2.09531,565.719,81.8558,64.2956,45.9139,1.70928,42.1007,26.6627,6.94456,13.9639,1.98024,268.904,41.2814,29.3215,51.9277,1.69347,27.4657,16.128,4.8787,9.01623,1.67874,205.79,42.5604,22.2654,40.0436,1.14441,20.426,13.5006,3.50472,7.97534,1.68354
homie,2568,complete,60,12,27.7972,27.1906,0.408469,0.586495,134.923,23.3314,13.9383,20.8618,1.25373,15.9625,11.2866,2.60978,6.50705,1.15752,467.754,66.5372,42.2821,52.74,1.38589,48.3878,29.9348,7.9428,13.1605,1.65381,471.802,75.5185,54.1854,60.212,1.21971,50.9285,28.7595,9.90814,13.9498,2.29148,351.695,55.3679,43.8189,51.1192,1.10012,41.4616,25.2681,8.09691,9.69234,2.02395,205.44,26.8907,23.8491,18.4264,1.89332,23.5515,13.5587,4.92629,6.22546,2.51832,339.3,53.4684,54.8356,55.3379,1.55572,43.9285,23.9578,9.45113,15.224,4.1046,369.336,57.546,65.3293,86.6036,3.39069,44.7382,24.1621,9.64364,16.8368,5.05245,289.917,42.9215,29.6222,20.6956,1.61632,31.6902,22.742,5.48792,8.35233,1.96142,300.636,47.2496,30.1021,18.5547,2.05838,31.76,20.838,6.19345,10.4484,2.84817,492.137,61.6613,38.1978,15.8326,1.04417,47.7025,28.4548,7.44756,11.7697,3.56545,1072.47,96.8449,77.4878,155.116,6.1864,68.2983,33.888,11.2039,31.6953,12.1424,755.586,89.9537,73.7907,26.563,1.13841,61.4739,36.4488,11.5401,19.5518,3.67718
homie,2569,complete,60,12,13.6119,35.8586,0.00685984,0.0168316,202.54,43.0666,18.1318,16.6007,1.65922,23.377,15.4371,4.25471,8.40586,2.47943,303.191,47.7869,35.277,18.1523,1.9624,34.0302,23.0633,6.37762,7.32774,3.29472,520.803,83.3361,50.7012,54.4208,1.85152,51.0944,34.8012,8.10776,18.7587,2.98832,388.809,51.5898,30.2817,16.2448,1.90003,37.1755,24.5259,6.13983,8.01434,2.24787,653.095,79.724,72.2385,23.4321,1.28967,55.7848,32.6582,10.1248,19.2792,2.9549,445.75,62.7684,35.9506,13.4752,1.65657,43.6511,33.1123,7.19623,8.4291,4.39715,72.7214,16.6961,8.06693,14.8863,3.23996,9.12006,7.83389,2.15966,2.6782,2.65065,641.368,82.3912,43.9383,26.22,2.82465,52.79,32.3895,8.82536,7.00954,5.47084,447.958,62.64,42.7664,21.7776,1.26309,39.9215,25.7224,6.68371,5.60224,3.50065,147.172,22.504,32.188,210.689,7.41021,20.0057,10.606,5.94511,24.2403,9.76023,1155.02,108.588,91.1992,198.017,54.7647,80.4348,36.1593,16.3387,29.1682,22.8242,282.255,35.9437,27.7503,16.4648,1.6215,32.5435,19.8731,6.55033,12.7591,5.14602
