policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s0_stomp_j,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s1_stomp_j,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s2_stomp_j,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s3_stomp_j,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s4_stomp_j,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s5_stomp_j,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s6_stomp_j,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s7_stomp_j,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s8_stomp_j,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s9_stomp_j,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s10_stomp_j,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s11_stomp_j,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s12_stomp_j,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s13_stomp_j,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s14_stomp_j,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s15_stomp_j,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s16_stomp_j,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw,s17_stomp_j
amo,3072,fell,70.68,15,122.884,14.948,1.41319,0.92388,351.808,46.1516,20.8189,15.9152,1.30005,29.4605,23.1245,4.84519,10.5769,1.66517,14,0.507144,1.57435,2.48603,348.253,75.5872,13.3732,23.4218,2.19756,26.7027,22.4893,4.48708,12.6588,2.18031,19,0.478507,1.5949,1.9593,422.489,69.65,16.3712,44.3957,3.57678,29.0601,22.0442,4.84885,14.6285,2.70423,18,0.490078,1.81133,2.18506,461.735,61.4338,18.6917,28.511,1.58119,34.2973,27.6352,4.88821,9.17782,2.15886,27,0.483968,1.2177,1.67268,564.95,81.2106,30.3677,92.6409,4.65907,38.4593,28.8846,5.95796,15.5046,4.13617,30,0.536644,1.41052,1.79333,567.6,71.5723,26.6894,40.9637,1.81054,40.28,29.9735,5.22238,13.2059,2.91063,33,0.507345,1.0414,1.69584,618.176,118.85,39.1204,67.3521,2.41003,46.4851,31.9996,7.28036,13.3106,3.96807,28,0.553307,1.48658,2.20341,580.998,66.1445,34.8761,31.8549,1.99237,36.5076,26.6233,4.89293,9.02423,2.21427,29,0.51761,0.948451,1.24681,805.369,70.2033,47.5757,30.1734,2.43283,55.0957,37.8532,5.741,11.9376,3.17537,37,0.560795,0.898814,1.76278,719.885,76.518,34.1176,129.73,2.7371,46.2621,31.4571,4.27206,13.7881,3.86452,29,0.680218,0.949987,1.70857,688.284,92.1349,28.8316,21.7546,1.87836,43.7294,34.7078,4.11932,11.1823,2.33871,30,0.490673,0.963386,1.61476,630.743,58.2038,46.7425,44.5468,1.62362,42.4703,32.1089,5.2039,15.4525,2.60475,30,0.58447,0.868023,1.42946,1112.88,96.8226,84.0872,28.9258,1.89286,78.2242,43.5764,8.82473,17.7375,3.10987,43,0.561846,1.00948,1.45564,1431.09,101.165,115.405,27.7791,2.19023,85.164,42.3111,9.79537,21.4867,4.19127,48,0.483396,1.39444,3.8298,1510,66.0093,79.0113,31.9333,1.22091,44.9276,20.7447,5.02618,14.9208,2.31814,2,0.557045,1.55193,4.00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,3073,complete,90,18,15.6069,12.9438,0.0445425,0.0668236,260.733,30.9523,17.4738,14.7322,1.3964,25.2335,16.5181,3.97115,7.02424,1.27912,10,0.458987,1.661,2.61418,291.974,41.0933,14.0887,45.3826,1.74261,20.7816,16.4379,3.41898,11.233,1.92063,13,0.488167,1.58449,1.68098,399.058,63.7435,12.3845,14.7133,1.124,26.8711,21.8488,3.89556,8.20262,1.3676,19,0.403824,1.38318,1.57004,238.034,32.2057,10.7212,54.278,1.9302,19.3246,17.6993,3.17285,10.2182,2.48252,11,0.531524,1.5492,2.2598,346.505,42.9955,14.9266,48.8468,3.24143,25.6721,21.2983,3.94569,13.289,2.74912,15,0.514451,1.64088,2.10588,166.027,34.0157,7.64132,23.7389,1.86021,13.0951,10.8437,2.26442,6.28239,1.41192,10,0.395728,1.29708,1.6582,541.54,58.5704,40.6945,170.029,8.0882,39.4609,29.7382,6.65344,26.2576,9.42905,18,0.507557,2.00919,3.21872,591.547,64.4022,24.8981,55.6733,2.7313,35.6506,28.3365,5.07482,16.385,3.59919,19,0.504421,1.37636,2.3025,530.58,115.397,29.2606,70.8652,2.09997,40.4105,38.3464,5.36422,16.7053,3.98862,19,0.498673,1.81755,2.6954,438.635,54.6586,19.3341,86.1564,4.33694,30.0771,26.7097,4.38158,18.5375,3.80462,14,0.622786,1.84741,3.11239,472.208,64.3682,26.1223,40.2122,1.91078,30.0925,27.1814,5.25267,15.7155,2.54906,13,0.612863,2.45219,3.22122,522.093,66.0541,19.1957,34.7394,1.47986,34.8516,27.8056,5.18821,15.197,2.3974,15,0.587689,2.23178,3.81083,426.378,55.1209,21.7583,28.7728,1.94281,28.7166,28.305,4.26233,12.6695,1.97913,16,0.559995,1.85379,2.30183,418.679,81.9156,21.1894,41.7296,1.40885,32.7798,25.039,4.92349,14.4014,2.15802,20,0.403827,1.4073,2.57768,432.561,50.6736,20.4542,68.6848,2.22327,31.1422,28.8158,4.63371,14.7549,2.84465,19,0.509523,1.676,2.61425,517.201,61.811,22.3276,31.3991,1.75802,38.3236,31.3006,5.62975,12.1196,2.68276,22,0.500261,1.77463,3.16651,444.67,54.123,20.6735,25.7891,1.80838,29.1917,25.7134,4.13937,10.816,1.72283,14,0.620656,1.79561,3.07824,495.929,60.7968,18.26,27.4271,1.51935,31.6675,27.112,4.98602,14.1714,1.7223,18,0.474053,1.80277,2.74028
amo,3074,complete,90,18,18.9579,10.2684,0.066414,0.0933416,306.926,42.82,19.9317,14.3895,1.78023,27.0227,19.6972,4.24259,7.60189,1.60119,12,0.374423,1.56343,2.25144,132.308,22.8532,9.84542,70.8741,3.06059,12.122,7.41576,1.83325,7.72706,2.06108,6,0.413004,1.42584,1.64192,298.311,64.8482,21.3362,26.2316,1.57772,22.5705,17.3174,3.38363,6.40401,1.30133,12,0.515484,1.75238,1.90327,437.717,78.2274,28.7985,29.9552,2.02023,32.9007,22.3644,5.41675,9.36251,1.95477,30,0.428655,1.27517,1.38584,489.915,90.1255,23.821,40.5057,2.67697,35.2401,28.7495,5.77502,9.88784,2.15541,26,0.521302,1.54615,1.73134,584.809,110.054,34.8413,29.1948,1.98678,41.7917,33.8494,6.31831,10.7935,2.24159,19,0.566358,1.92467,2.5128,449.007,116.368,31.4207,30.89,1.97971,38.2634,28.558,6.16153,10.7196,2.057,18,0.441113,2.0353,2.76754,478.353,71.5804,32.4253,25.9159,1.49944,35.9727,24.302,6.25738,11.4559,3.19248,23,0.476119,1.87161,2.03418,509.915,69.8834,39.8454,83.6994,3.83557,40.1091,25.5435,5.55175,13.8315,3.92883,22,0.405079,1.28692,2.34587,320.401,50.0422,16.2704,16.2104,1.94333,23.1522,18.1967,4.00378,6.15099,1.56666,12,0.480537,2.07574,2.10741,719.55,75.6321,34.7181,20.0414,1.42954,48.7387,31.5892,6.91784,12.2985,2.42077,23,0.484108,2.47255,3.53808,399.271,68.0292,20.4874,19.7115,1.54548,30.8413,22.1196,5.33373,9.031,2.26343,15,0.530756,2.24513,2.35329,421.264,124.923,60.1487,92.3248,3.78641,32.5135,22.1043,4.71508,11.1706,3.44521,8,0.393216,1.53645,4.33706,495.75,131.161,21.2138,25.5747,2.44195,39.2069,32.9984,5.7806,9.07581,2.38736,19,0.46613,2.00203,3.34082,523.856,108.344,24.5707,29.4661,1.87271,35.7525,30.1928,5.43602,9.66086,2.14987,18,0.431028,2.05095,2.96068,647.428,72.6023,39.6125,66.8253,1.44957,43.3556,30.108,6.08748,18.2019,2.91577,18,0.548003,2.38832,4.40607,628.446,85.8181,39.2676,24.4301,2.01148,44.2068,29.8383,5.82248,10.9711,2.77109,17,0.473001,2.09723,4.43588,654.876,119.763,41.9814,156.412,10.332,47.6829,39.016,7.47588,25.2739,9.82013,19,0.51504,2.0162,3.62159
amo,3075,fell,61.02,13,408.582,14.5622,1.67157,2.15531,318.404,53.4056,22.2039,23.5092,2.99685,27.7615,19.5397,4.51171,8.72847,1.7515,17,0.375007,1.4227,1.79808,498.151,83.7533,44.5466,62.3126,2.28853,34.0928,25.9156,6.04506,17.9718,2.46421,25,0.420548,1.47136,1.53456,654.338,92.0506,40.8217,37.2409,2.07224,43.9962,28.6842,5.83206,13.5547,2.2884,35,0.401725,0.998284,1.69155,571.539,60.4758,41.2834,31.8734,1.23125,34.5615,23.0906,4.05915,9.00471,1.95553,29,0.572151,0.814429,1.21073,662.988,75.106,38.3903,25.2745,1.68727,42.9271,31.446,5.1232,13.4097,3.21875,31,0.513973,0.815701,1.50229,2048.82,112.204,174.26,31.9866,1.70899,122.547,57.2778,11.7405,31.3339,6.06123,55,0.55463,1.41843,3.60072,1131.65,59.5873,116.97,33.3202,1.9055,67.0805,31.9973,7.71887,20.0851,3.14324,47,0.507021,0.989939,2.1017,684.563,85.1122,26.7477,150.949,12.0915,40.5964,29.1719,3.65367,34.7199,11.2042,26,0.536705,1.37138,2.04773,652.522,83.8119,17.8754,33.4548,2.38415,38.7758,27.671,3.30383,13.4136,1.79475,26,0.624359,1.4607,2.10095,874.312,171.026,49.7778,51.5473,2.64956,51.7716,41.2602,5.4452,16.6533,2.15898,25,0.715808,1.24946,3.22413,796.121,99.3819,59.2181,37.5503,1.627,50.6112,37.9654,4.59213,14.6809,2.4578,27,0.569403,0.945878,2.24341,2715.63,149.218,294.232,54.233,2.56704,139.133,76.3533,16.2607,38.4708,5.80299,60,0.44156,1.59999,5.13957,2520.04,277.107,289.705,107.943,4.64483,90.3265,38.7502,12.7513,28.7373,6.74746,5,0,2.28754,27.9485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,3076,fell,41.08,9,13.8841,18.8411,2.37038,1.35909,343.248,43.319,17.1683,15.3061,1.34569,28.271,21.5606,4.63341,9.52606,1.47974,15,0.486427,1.46395,2.13712,238.108,28.86,8.70074,17.0043,2.30689,17.8257,16.0928,2.62491,6.35737,1.51508,10,0.419412,1.40264,1.91264,299.127,44.4734,13.6226,37.4038,2.16024,20.5323,22.0966,3.25047,9.06188,2.009,14,0.496789,1.35459,1.94044,423.274,73.2564,22.12,35.7533,1.72793,31.3648,30.4311,4.97957,12.3092,2.07845,17,0.524326,1.71074,2.90833,289.737,61.8078,15.3082,71.7091,2.11227,21.5524,14.1832,3.35325,10.9293,2.22842,10,0.59781,1.75023,3.20717,400.895,58.8469,19.4974,22.6255,2.52811,29.7504,27.3428,4.79764,8.086,2.12373,18,0.510244,1.89672,2.43265,340.101,45.7913,14.3487,23.0339,1.58885,25.761,24.9376,3.98101,9.2311,2.03916,15,0.58817,1.60596,2.17291,425.354,63.3595,20.561,32.9576,1.45135,30.2974,27.6734,4.50609,9.74319,1.81513,17,0.552638,1.62147,2.36096,3087.28,126.911,223.007,244.96,32.6875,87.5243,34.3338,14.7903,49.9091,27.735,4,0.273329,0.897774,2.73215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,3077,complete,90,18,28.2998,4.59973,0.131392,0.204273,256.352,39.8755,17.7668,15.0344,1.88508,24.9481,18.1084,4.09695,7.46504,1.25859,11,0.448377,1.5726,2.28116,107.742,15.8583,5.67327,18.1312,2.61767,9.18273,8.19717,1.47303,4.29703,1.05357,6,0.364145,1.38103,1.52229,236.249,30.3656,14.8554,16.4524,1.57161,18.7885,10.0286,2.79141,8.23151,1.3814,10,0.408279,1.68367,2.16111,466.949,89.4501,27.8823,21.4218,2.64024,34.5382,24.1522,5.60037,9.93088,2.0212,27,0.448681,1.66483,1.726,616.508,87.7295,43.7815,24.0971,1.62824,36.232,26.6707,5.56206,10.9523,2.03332,22,0.542143,1.67639,1.81756,787.747,100.715,61.9339,35.5165,1.7673,54.0408,39.9308,6.77186,13.2656,2.71475,30,0.460418,1.10378,2.13228,865.099,124.951,54.2363,28.7727,2.26184,58.1243,36.4964,6.81617,11.275,2.83173,28,0.480523,1.47033,3.51264,583.87,82.9641,31.2053,14.7529,1.24512,39.2452,31.1258,5.49944,8.89577,2.32636,20,0.470167,1.69618,2.05576,338.898,70.7863,20.7759,20.1499,2.00278,28.9175,24.5278,5.41946,8.22114,2.71657,17,0.509991,2.32008,2.11851,542.47,88.3207,28.2554,19.6741,2.09035,39.5527,29.3343,5.57395,8.90059,2.87371,19,0.347566,1.88286,2.90692,771.874,176.423,48.0271,177.142,14.2709,62.0661,49.3521,8.86996,27.1131,9.69318,21,0.430797,2.47357,4.68845,441.1,95.1974,29.6845,34.6032,1.30286,34.5394,28.6963,5.79136,11.4684,2.7935,18,0.506587,2.16646,2.82981,771.837,121.189,42.8929,186.9,22.9158,49.5183,34.4018,7.02306,28.1436,9.61678,20,0.499394,1.8977,3.24443,398.284,51.6749,19.7479,33.1,2.09504,29.2809,27.9481,4.69507,9.60841,2.89759,13,0.653063,2.19299,3.5429,409.064,82.303,17.5921,42.861,1.59781,27.6749,29.5953,4.43673,9.29556,2.65862,17,0.504116,1.89417,2.55063,431.913,66.4855,23.7093,37.7074,1.76639,30.0099,26.4917,4.6768,9.02567,2.09013,14,0.5458,2.0163,2.83943,411.759,104.776,16.0967,28.3972,1.39548,30.7498,27.8645,4.84217,9.52436,2.23975,19,0.503991,1.71876,2.53982,1514.89,111.598,108.558,265.337,12.4499,66.6774,37.9454,9.75195,32.872,10.144,21,0.502576,1.90344,4.54051
amo,3078,fell,15.62,4,26.1269,4.11822,0.959569,1.8611,356.308,53.1925,22.1846,19.5988,1.22912,30.073,22.1313,4.90054,9.03604,1.60303,11,0.559706,1.90693,2.85096,466.447,54.199,22.1478,31.3841,2.2666,33.3242,24.8008,5.16375,14.7762,1.83841,18,0.54957,1.86531,2.72271,437.462,58.0703,16.8348,27.8794,1.89131,29.6984,24.7753,4.44267,10.4017,2.25782,17,0.583206,1.99552,2.35937,1583.48,87.4581,83.598,19.8433,0.289732,46.3081,19.3643,5.84224,8.0514,0.958207,3,0.231987,0.960704,1.50145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,3079,fell,27.48,6,161.768,8.57712,2.3659,2.45309,301.443,42.0766,20.6515,14.4054,2.10873,26.4308,19.4217,4.06118,7.2193,1.5178,12,0.394073,1.62409,2.21054,587.673,102.244,38.5268,23.1282,2.21175,39.9273,26.104,5.78463,10.4306,1.97117,33,0.609157,1.13755,1.48344,620.594,56.3799,33.5327,32.111,1.40489,37.6978,26.55,3.87315,10.7053,1.74772,34,0.643901,0.788271,1.18489,536.092,39.4069,30.0704,41.8412,2.42984,31.0649,25.1388,4.1806,9.4686,1.59701,29,0.636078,0.686247,1.158,646.544,63.3189,49.2375,27.4113,1.04065,40.8536,27.3403,5.21802,12.0048,2.01509,30,0.512688,1.10016,2.00322,3668.37,124.12,334.819,100.445,4.63885,135.164,44.5385,15.848,39.843,8.10394,16,0.403574,2.46387,11.0492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,3080,fell,15.92,4,31.841,14.8127,1.03833,1.9833,343.417,44.4037,18.2647,20.4973,2.72131,27.6548,21.9564,4.7502,10.3274,1.71608,14,0.492745,1.56462,2.40178,232.569,29.8097,10.2158,33.1354,2.07624,17.9576,14.6186,2.404,8.64213,1.79623,10,0.45861,1.53366,2.04211,216.544,31.4406,12.14,21.533,1.69078,17.6855,11.616,2.81614,7.72267,1.64059,9,0.49825,1.59338,2.18128,1510.26,185.56,99.9645,87.2381,5.19312,49.3804,38.1829,7.36401,24.0852,7.03913,5,0.503323,1.379,1.53947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amo,3081,fell,71.64,15,49.018,12.167,1.85276,1.2846,193.265,29.9364,14.4837,17.4853,1.72912,19.7149,14.96,3.31772,6.62378,1.26523,9,0.367034,1.36265,2.17536,244.741,41.2984,9.84407,12.6088,1.45609,18.5478,14.4737,3.00307,7.34739,1.20699,11,0.466632,1.78099,1.9581,156.948,31.4679,7.57197,19.9798,1.50409,12.9482,10.7326,1.92996,5.51704,1.26627,7,0.368188,1.54662,2.01565,248.447,33.4392,14.3141,78.5571,2.50314,19.1136,14.8539,2.60946,10.9735,2.59276,12,0.472286,1.38885,1.74642,488.554,56.5732,21.9229,25.4093,2.71059,30.4561,26.0348,4.54494,10.4858,1.88692,13,0.619141,2.38741,2.98992,287.829,41.5123,10.0264,17.8593,1.5734,21.5737,18.5438,3.55133,6.46343,1.87151,16,0.446781,1.23109,1.55411,290.343,42.733,12.6404,20.6247,1.98503,21.6084,19.2807,3.36146,7.96466,2.12845,14,0.464463,1.50288,2.02989,266.137,40.7131,12.5833,20.1402,1.74154,21.2772,17.1159,3.16207,7.95728,2.14436,12,0.420369,1.35043,2.14704,466.036,79.3199,18.0338,26.1698,1.62516,31.3114,28.4986,4.77918,13.5145,2.33209,24,0.370963,1.47835,2.09878,400.629,53.3431,19.5858,25.6871,1.12415,27.3596,23.6073,4.37599,13.4169,2.05304,15,0.54718,2.12865,2.61815,501.064,81.8955,25.6373,36.3129,2.5222,33.2242,23.7322,4.70966,15.0758,2.49647,14,0.486363,1.83281,3.12674,1398.07,383.079,150.383,233.449,8.86724,88.8762,72.5303,14.5804,49.5979,9.91114,24,0.419909,1.96278,6.59777,453.915,95.4065,20.0207,25.7251,1.49176,30.8091,27.3605,4.97267,14.9258,2.4574,23,0.441983,1.39497,2.70724,464.871,89.4535,18.4285,30.35,1.80524,30.5475,22.968,5.16888,15.1583,2.89964,22,0.449016,1.58492,2.11908,5921.36,354.204,322.3,156.492,16.5539,172.038,65.8147,23.8743,67.6598,28.0203,2,0.727108,4.42786,145.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
