policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2
grove,3072,fell,62.38,13,39.4509,6.37451,2.73207,4.54876,210.992,103.651,6.74943,14.0104,1.03678,19.3662,50.0553,3.07744,6.60858,1.25518,224.474,67.7604,14.0703,29.5631,1.60833,23.8718,54.4467,5.00132,10.9825,1.84076,285.839,80.0011,11.4968,20.453,3.3588,25.6138,55.3896,5.15769,13.1983,3.3727,256.122,72.0536,10.5075,20.6912,1.02017,21.2204,47.3279,3.85407,6.94699,2.15512,690.599,156.954,25.1196,70.2125,4.03379,41.5804,88.8748,8.00695,22.7937,5.5937,341.224,69.5009,11.6842,35.4314,1.65976,23.1655,31.0188,4.86395,8.8613,3.58007,285.872,87.2803,13.7143,57.9196,3.92895,22.3022,45.1528,4.24327,10.1914,5.16993,105.733,34.5921,3.38938,13.1789,2.1956,9.4042,22.7913,1.79498,4.06216,2.8698,846.008,127.071,19.2399,26.5463,2.04362,38.0843,65.2933,7.16755,11.1082,4.38406,317.829,128.657,30.3548,136.656,3.37571,32.6259,70.7981,7.49715,21.4413,6.4041,126.524,29.672,6.35907,8.19043,1.13673,11.9891,21.4346,2.22702,3.3177,1.28278,225.604,47.9299,59.0854,35.169,1.33062,15.189,25.2901,3.83739,12.3821,3.07286,5979.15,501.843,299.148,39.6423,5.98133,183.769,181.219,29.8095,29.2956,9.25212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grove,3073,complete,90,18,8.40126,2.96121,0.00534481,0.00658734,152.231,63.5966,4.37344,13.3034,0.917365,14.301,32.2203,2.36652,4.66014,1.39019,239.345,57.4976,9.32604,37.9835,2.24504,17.7521,36.9504,3.49134,11.2875,2.86784,332.37,75.3427,11.9734,25.1856,1.84837,24.5094,45.7901,4.83816,4.95075,4.08964,89.4283,39.4443,5.11852,19.953,2.58905,10.3377,24.505,2.48328,7.44028,4.78104,249.396,77.2258,9.42435,21.5008,3.0925,18.8128,44.7478,3.41589,7.95768,4.47705,117.513,33.4338,8.40565,23.0886,1.75797,13.0116,25.718,2.86438,6.57683,2.90854,869.865,189.203,40.2022,139.978,12.2302,47.7977,99.3663,9.72108,25.1454,12.7192,644.859,129.019,34.5674,47.9574,2.44653,42.3974,71.184,8.59994,17.6029,6.1664,200.767,112.555,15.6665,61.5829,2.67936,19.359,48.2216,3.76201,11.591,3.97073,240.983,47.0088,15.7486,64.8735,3.56967,18.0578,35.0176,3.85686,11.3412,2.63336,301.975,93.2323,18.3565,30.2779,3.01814,24.6558,49.5049,4.72302,9.48561,2.21683,333.71,82.1201,14.2643,34.8114,4.43168,21.5258,40.7678,4.10773,9.38729,3.14434,414.483,154.852,18.4993,25.3232,1.17573,28.8728,72.4628,5.47159,11.0293,2.26012,337.296,153.56,22.8957,62.5812,4.27158,30.355,73.2614,6.28103,16.3016,7.51198,336.538,81.9508,27.5836,41.5018,1.76222,22.6389,42.0421,5.06459,16.9623,6.52951,169.521,31.7983,13.8846,10.2307,1.39141,12.8673,19.3213,3.13959,4.55195,1.97405,469.574,156.974,23.3789,30.0455,1.48899,29.6496,68.3251,5.70423,12.0814,4.46191,412.966,99.3718,20.7711,26.1581,1.52924,26.1591,59.1961,5.15512,11.4941,5.22005
grove,3074,complete,90,18,8.43092,3.6305,0.00943696,0.0129643,242.917,79.0911,11.383,14.3512,1.91079,24.9434,48.5585,4.55558,7.77295,3.33446,483.327,152.811,19.2727,72.2204,3.00112,29.4485,61.6449,5.17496,13.2249,3.57456,387.664,93.7541,19.0033,26.1683,0.889137,30.0608,53.8098,5.43236,7.49365,1.29942,326.724,91.9689,20.2303,16.828,1.43636,26.0376,51.3921,5.07033,6.48579,1.61036,265.955,57.8004,9.99252,22.6215,2.35647,17.9388,35.5637,3.57398,7.0973,2.83491,338.799,70.9547,17.7171,16.3896,3.53893,25.6995,44.3384,4.77795,6.79887,3.29379,371.168,127.461,17.4727,19.6468,1.59922,25.0768,55.5483,5.19691,7.3925,3.59607,299.573,87.6481,15.3423,23.7261,1.02057,25.6898,48.5436,5.12067,8.4455,2.37488,431.13,64.8458,27.5002,59.5724,3.18854,28.8865,47.8405,5.51695,12.5745,3.27597,261.338,66.9988,11.5212,11.0039,1.21565,18.684,35.362,3.64978,6.21224,1.62841,487.874,123.456,20.5103,15.2622,0.932533,33.4704,62.6936,6.58873,10.6992,2.82179,231.54,88.2665,10.3562,9.13837,1.03849,19.7326,42.7452,3.44805,6.96191,1.99733,570.294,131.127,45.0148,120.386,8.33915,33.5641,61.7906,7.45251,16.6557,7.39168,570.583,224.239,25.737,12.1485,2.39842,41.5408,94.7539,7.30994,12.7673,3.99732,555.532,187.425,23.0909,19.7351,3.67332,39.8061,80.0391,7.80531,11.041,4.82227,828.332,184.475,33.2236,35.0933,1.73511,49.9366,98.8874,9.6055,17.7974,6.70964,215.513,60.9973,11.0886,10.3239,1.72375,19.7744,40.3838,3.71935,5.22316,2.05527,301.187,89.7228,52.3906,168.688,7.61558,26.9401,50.282,5.82777,22.6675,6.81294
grove,3075,complete,90,18,11.1032,3.32261,0.00229851,0.00334698,263.099,80.2788,11.6931,19.3672,1.96357,22.9899,49.7485,3.88071,6.23555,1.55436,384.977,119.057,17.216,57.0272,1.45898,27.1535,69.6445,5.13574,12.2715,1.91508,176.186,46.2681,11.1205,17.0774,1.40526,17.4984,34.5057,3.4559,6.44187,1.45658,291.029,94.5456,17.8181,11.044,0.857059,25.5376,53.5816,5.04525,5.68195,2.32851,340.782,79.4315,19.4117,18.4334,1.08568,25.9825,45.6801,5.22473,6.46351,3.05513,352.714,106.877,17.2611,23.0033,0.802158,25.7727,53.6677,4.48132,4.67848,1.95373,186.315,40.468,12.6404,18.2042,1.37549,17.2609,29.4183,3.56414,4.66393,1.99675,387.174,73.7192,32.3268,171.885,3.96197,26.9676,36.218,6.39055,19.3959,4.53031,187.887,59.8737,10.1521,21.4362,1.57525,17.0279,38.8718,3.26392,6.75643,1.32141,347.089,147.829,18.6279,22.2038,1.99185,27.8213,60.3581,5.91834,8.75898,1.59724,397.688,99.0207,21.6329,15.7799,1.22698,29.778,49.1252,6.08313,8.60261,2.14611,489.778,171.972,23.2011,17.247,1.60759,34.7861,84.0263,7.36611,7.67079,2.50705,2105.24,552.407,232.753,47.7606,1.45267,95.7054,184.345,19.4938,29.1233,5.00657,318.396,66.5826,15.4808,18.3084,1.60508,24.5164,43.9248,5.2196,8.69009,1.70878,193.792,55.0128,28.9857,19.7191,1.21094,21.4937,37.2379,4.62026,9.14958,1.79315,240.002,57.548,11.9749,16.8976,1.36162,17.2649,34.5464,3.28194,7.60661,1.81858,327.935,108.551,18.5215,70.0524,3.81316,23.6615,52.0946,5.13612,15.3614,4.58687,485.176,119.982,25.7878,32.5605,1.88818,34.262,69.005,6.42296,11.7374,2.96251
grove,3076,fell,40.62,9,16.4551,15.2603,4.0835,4.45189,281.19,107.838,10.4294,16.448,1.38161,22.6291,52.3186,3.7822,7.19849,1.42445,138.633,46.3912,5.07002,26.7585,6.07718,11.5456,24.3697,2.11049,5.10457,2.34633,269.869,64.0592,12.521,31.6292,4.56705,21.58,34.8775,4.3899,10.8611,4.02681,274.788,104.501,16.2271,28.0364,1.81545,21.3598,50.8097,4.21247,9.74487,2.7543,364.053,72.2219,17.4397,69.1159,2.53773,24.6607,44.7405,5.28915,14.2039,4.98939,259.575,98.953,11.4099,14.5898,2.56191,18.8901,43.9199,3.85135,5.03545,3.18708,884.691,230.431,40.2733,33.5569,1.47379,52.2186,99.5943,9.24469,12.2884,3.25555,348.094,103.135,22.3796,24.0109,1.23117,31.2926,63.1489,6.17516,10.1222,2.27663,1129.47,78.0546,211.091,189.233,103.211,40.2165,30.9473,10.4513,30.8605,20.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grove,3077,fell,85.64,18,17.1082,9.03529,3.4307,4.81941,134.855,48.8666,7.47405,14.3325,1.48995,14.7246,32.6204,2.77447,5.80188,1.04574,25.0916,11.5109,1.25349,16.0622,2.00611,2.04823,3.98771,0.458725,1.41552,0.700967,296.129,66.6489,13.4757,17.6463,1.31492,21.8981,48.94,3.86477,7.24285,1.50139,178.182,40.368,8.3518,12.9714,1.81728,17.0178,32.414,3.39566,6.51999,1.51859,324.728,58.2392,14.5709,14.6824,1.01734,26.3799,39.5179,5.30896,8.31453,2.11598,252.379,69.7267,17.1112,14.9808,1.11508,22.0556,48.0792,4.23952,6.60839,1.77629,644.097,209.355,21.9696,11.6614,1.58781,44.2436,96.5593,8.09151,9.39682,2.92772,193.482,50.2168,5.83247,6.9967,1.08039,14.2631,33.7383,2.36655,4.39091,1.44021,188.156,43.9892,9.16143,19.348,4.03108,14.7204,24.0541,3.32254,4.76624,2.86316,618.071,111.251,33.2106,15.1269,2.11958,35.5104,65.1218,6.86252,10.8963,4.4231,576.253,128.763,85.084,231.739,12.4227,40.9003,77.0403,9.54955,27.7121,8.37536,347.431,76.6815,19.527,23.3043,3.12058,26.206,39.9776,5.06395,8.90791,7.45629,1637.99,294.281,93.6228,168.726,148.764,71.8306,127.778,14.0833,27.5973,14.5268,516.895,150.47,22.581,36.669,3.54326,38.148,85.7209,7.34999,9.96845,5.26416,589.247,85.5249,19.734,25.2477,1.158,30.8371,49.1131,5.70114,7.09139,3.07722,267.446,85.9781,13.6183,26.7066,3.3564,20.1836,43.1683,3.81594,6.58069,3.53151,909.039,188.692,39.9255,21.7003,1.23616,55.7218,102.66,10.9567,14.8686,5.76852,2325.72,128.031,405.183,439.133,120.629,62.1515,53.2407,17.0322,39.8274,18.6496
grove,3078,complete,90,18,22.4125,3.62881,0.676384,0.704404,297.259,91.8346,13.9133,16.749,0.964403,26.9002,60.8976,4.9232,7.87271,1.41968,702.546,222.334,25.227,34.7519,1.55201,49.0823,102.339,8.63748,15.1693,1.9694,436.839,81.6751,23.0423,23.8397,2.51805,31.3042,47.4936,6.06142,12.109,3.46455,340.954,75.6959,13.6372,14.1361,1.42706,26.6419,39.7637,5.35784,8.55759,4.28965,268.562,64.1758,10.6479,23.7134,3.55889,20.046,36.3282,4.13457,8.86082,6.5644,165.146,74.3195,10.4007,10.2388,1.89386,13.809,35.028,2.83504,5.05671,2.43887,236.937,68.1448,12.156,28.1008,1.84212,19.8781,46.0263,3.8562,8.86978,3.46309,346.726,97.3701,24.9999,62.0237,2.22251,29.6852,63.0619,6.1369,12.2418,3.7902,260.705,86.7434,15.0866,26.723,1.41635,22.0222,51.253,4.06094,7.63762,3.39766,206.398,54.3267,8.40797,21.1141,2.00784,15.9044,33.1236,2.90148,4.83427,2.45411,837.305,193.1,61.5984,74.4476,56.6898,51.5394,91.4578,11.1009,24.739,15.6416,190.128,69.8196,9.02629,23.5982,1.02156,16.6352,35.7924,3.27316,4.61999,2.19621,561.409,131.957,33.4079,42.2406,5.42496,39.6307,74.4549,7.87988,15.0874,7.90539,940.432,215.841,44.8225,84.1161,1.26512,52.7956,90.2729,10.2444,17.3831,2.90898,1904.18,324.801,144.013,78.1124,1.22311,82.099,153.843,15.5639,17.292,3.561,548.315,208.125,35.5423,39.1143,1.17278,38.7985,83.7153,7.6744,11.5885,3.33459,2132.79,580.579,117.768,71.5165,2.29237,97.1785,202.633,18.5039,21.8261,8.39891,742.212,216.978,31.374,24.3901,2.23837,50.2859,112.665,9.48998,14.1522,9.00673
grove,3079,complete,90,18,79.2298,4.80955,0.856565,0.909818,243.375,76.6688,11.7318,14.4612,1.4507,25.5876,51.6237,4.43012,7.85929,1.61932,275.004,68.7942,11.0117,13.1414,1.51161,23.2309,49.164,4.54675,9.32147,2.12857,237.929,137.178,12.5146,19.2458,0.838346,22.3625,60.8283,4.37366,6.93788,1.72662,34.3738,12.3997,2.06841,18.5384,1.4037,3.74566,6.90766,0.893705,3.63032,1.14919,447.935,148.336,28.0397,15.4473,0.682333,34.034,73.1921,6.97938,6.79201,2.4626,204.385,36.8117,34.6313,62.3464,2.64084,15.9547,27.405,3.94172,10.5109,3.88492,178.114,38.9158,14.6298,18.7692,1.57112,16.0875,24.9496,3.80014,5.05969,1.81695,363.62,92.6473,20.6421,21.3775,1.37288,27.8682,47.4229,5.63295,8.74699,2.83728,138.311,36.1666,7.16354,12.9435,1.61886,12.2958,23.9665,2.40538,4.12815,1.44583,558.626,84.7219,38.1998,129.909,6.39173,29.0998,50.1751,6.04872,20.5503,6.64578,76.22,17.8372,7.63426,30.1463,2.0238,5.90675,10.8923,1.55062,6.62887,2.31474,1382.82,204.002,38.6946,41.4116,2.05303,56.5481,103.008,10.8676,17.5818,6.06219,166.016,53.5388,10.9586,18.4384,1.63473,18.3808,32.0709,3.70384,4.75333,1.67374,114.049,34.6334,10.5533,35.4459,1.01122,10.0267,19.855,2.27804,7.11199,1.79085,1223.58,340.248,183.869,43.7412,1.79659,67.5203,141.98,14.9477,21.0166,7.28744,5892.55,971.568,536.447,55.744,4.85309,202.996,316.048,36.1604,35.6553,18.8751,1764.86,236.652,39.4315,23.2607,3.54031,102.639,137.338,17.7277,20.3121,12.5389,1036.07,267.654,40.9487,100.454,20.6213,70.9961,140.098,14.1189,20.6685,14.4704
grove,3080,fell,78.2,16,44.0915,7.99822,2.75906,4.18389,499.495,195.339,15.0981,21.6901,2.01554,33.8352,79.8017,5.5183,10.2352,1.71101,242.958,74.3355,9.62823,30.9063,1.70964,17.313,34.8242,3.18369,7.35213,1.47386,252.677,71.9031,11.1809,19.615,1.29553,20.8707,46.2484,3.71103,7.37601,1.45055,517.121,192.33,20.3366,30.8989,1.41838,36.5761,72.6027,6.68332,13.0138,2.25524,234.022,52.8494,11.8104,25.3554,1.13207,19.0345,35.7013,3.87668,7.51671,1.63162,187.796,60.7023,10.4664,25.5619,1.24163,16.6137,34.407,2.91013,5.02825,1.47712,243.049,71.561,14.9017,21.269,1.02647,18.0882,34.8005,3.95779,6.48779,1.13997,341.907,137.902,13.2683,19.9147,1.72951,29.7485,74.0968,5.4327,8.50962,2.16416,650.927,141.4,25.937,21.9338,2.63759,45.4357,88.2613,8.78145,15.7853,5.62232,193.956,53.5654,9.71706,36.2503,2.50297,17.4168,31.0263,3.64651,8.8212,3.60685,1339.74,225.513,99.3523,20.0676,1.64255,66.4543,114.792,14.1496,16.2816,5.5631,948.06,170.552,28.7638,32.006,1.04111,62.9691,108.311,11.9101,19.9893,3.56854,418.23,146.317,16.5519,16.3721,1.47561,34.2138,72.8287,6.52711,8.86315,2.67358,967.723,166.442,27.4249,17.7018,1.6181,52.5881,88.5221,9.49189,6.71089,4.44357,517.517,216.898,23.5252,15.8392,1.85684,34.8618,85.2302,6.32031,5.66383,3.72463,6565.14,834.781,471.925,336.206,20.2254,194.169,243.497,37.0234,70.0264,20.5301,,,,,,,,,,,,,,,,,,,,
grove,3081,fell,56.36,12,14.2893,16.1487,1.75704,1.46472,109.43,61.934,4.07933,15.2143,1.13245,11.8495,32.7075,1.8194,3.67855,0.91791,186.612,57.4284,9.20031,12.0733,0.901665,16.4232,36.636,3.0372,6.331,0.973844,138.36,39.4767,7.21805,18.5858,1.01088,11.3917,24.0609,2.17237,5.14589,1.17724,1395.13,178.319,38.9962,105.15,2.34168,57.0497,94.6837,9.32936,17.7769,3.17335,427.526,88.1497,20.3501,24.6518,1.97427,28.0141,55.2859,4.97542,7.71178,1.39922,168.804,37.8573,7.37363,17.5498,1.706,14.8113,29.1235,3.25347,7.55786,2.97706,87.2605,17.7215,4.96066,25.1316,2.4847,8.55148,17.8603,1.89151,5.43547,2.10969,215.15,41.1837,9.51099,18.589,1.99762,14.8411,27.1252,2.83372,6.8695,2.39972,393.71,86.8572,15.5175,21.3673,1.05637,26.9688,53.3985,4.92367,9.87273,1.77771,130.204,38.6317,8.48811,17.3312,0.707571,13.3137,27.0015,2.79177,5.97305,1.24726,197.478,58.0247,9.87214,21.6785,1.56649,16.274,32.985,3.21328,6.52354,1.6238,5507.66,471.961,661.894,320.826,40.2594,160.612,123.963,38.4976,67.8712,25.3381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
