policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
homie,3072,complete,60,12,11.5531,38.978,0.046542,0.115605,269.008,21.0868,24.198,16.231,1.33591,31.6682,14.8538,7.43059,12.9113,1.76098,463.722,53.9906,35.1595,19.8539,2.13103,39.9245,23.8103,9.3944,15.8528,2.34672,672.035,41.97,48.6687,52.0811,2.91291,50.0019,24.1394,11.7818,21.3417,2.92185,488.137,42.2646,42.3701,35.9848,1.63913,44.674,23.2447,10.951,12.7794,3.03741,192.089,20.7574,20.2973,25.7484,2.17224,20.3713,13.7721,5.02405,5.89846,1.6191,220.334,25.3615,20.7435,34.078,1.97659,19.0793,12.2604,5.20999,9.04055,2.64369,434.918,42.7375,39.3955,29.2077,1.98396,38.9019,23.8362,10.7832,11.48,3.52718,310.736,42.2968,29.1786,74.4203,2.53766,26.7977,11.8961,6.83566,13.1367,2.67231,219.713,23.9085,21.9735,17.3298,2.24996,28.1173,14.9094,7.19127,7.48276,2.10386,830.667,90.5972,58.496,22.675,1.42893,52.9841,30.7591,13.1022,11.1798,3.31927,809.595,53.6519,63.8505,57.0959,2.08681,53.4441,28.1705,12.2303,18.9445,3.76451,545.175,76.6226,62.8499,135.655,2.9514,48.5593,30.433,12.7097,26.8336,3.95575
homie,3073,fell,46,10,14.5283,44.6539,1.90075,2.10538,146.231,15.5709,14.3927,14.6857,1.37365,20.1745,12.6999,4.54097,6.65204,1.16473,218.899,18.081,21.5735,21.046,1.31542,26.5103,14.0739,6.58129,10.4304,1.56539,1054.04,65.8618,115.761,33.224,1.40866,72.7595,25.8675,16.491,20.049,2.85687,105.516,11.8508,12.4164,15.1234,1.10586,14.5768,9.25982,3.69112,5.3226,1.28614,276.277,25.9312,26.3383,22.2173,1.75424,29.1897,14.7579,7.68586,10.2861,1.75487,554.2,64.1651,55.7379,76.1506,5.66442,44.1797,25.2407,11.114,22.1884,5.3865,207.442,16.7244,18.522,23.4722,1.86322,23.21,12.9564,5.73191,7.23651,1.74476,1188.72,114.819,96.6773,180.766,6.35701,81.9931,41.7114,19.6794,39.2416,7.55081,261.61,29.3472,34.1765,38.0833,1.64771,36.6182,19.2493,10.3274,12.2869,2.34522,1629.8,161.628,133.092,152.039,14.0086,55.823,23.8591,12.3945,34.8262,14.274,,,,,,,,,,,,,,,,,,,,
homie,3074,complete,60,12,16.8217,43.25,0.222876,0.275267,305.868,25.8589,31.2596,18.9909,1.77967,37.9291,22.0368,9.12919,12.9923,1.84068,444.492,43.3098,41.2067,61.4947,2.68578,46.2518,25.3596,10.8926,19.4267,3.16828,284.522,31.3237,32.981,35.7833,1.56418,32.5009,18.6875,8.58159,9.31064,1.40407,429.807,47.2726,51.6198,34.5748,2.0737,44.3375,23.6506,12.4293,10.8499,1.87502,221.197,25.932,23.0417,30.6042,2.54506,22.2439,14.4122,5.77143,6.32633,1.37196,610.46,52.3719,53.5202,164.283,10.5543,55.2339,24.1685,13.9307,26.3076,7.65729,183.593,19.2377,23.0036,30.6422,1.89498,24.2752,14.0356,6.44409,6.26973,1.37322,440.273,57.1833,55.3708,105.923,5.11712,43.2617,27.9584,11.4347,19.0092,4.92638,303.991,29.2112,30.0275,26.233,2.62,29.7017,20.5361,7.53845,8.17268,1.74418,117.71,18.2058,13.8059,13.3255,1.92624,16.1799,9.72502,4.44594,4.40398,1.13121,439.107,69.6344,61.0679,70.3704,1.73682,42.1692,25.824,10.7786,15.0203,2.97486,1209.17,152.594,138.505,43.5858,1.66033,73.9499,35.7139,17.1784,15.8122,3.37894
homie,3075,complete,60,12,12.8872,29.9205,0.0260839,0.0309412,179.517,21.2479,17.4614,22.3654,2.99396,22.2971,14.9862,5.09024,7.2598,1.58917,309.52,43.8065,35.5721,39.7716,2.11523,39.1361,20.8217,10.8338,15.2528,2.19244,340.027,36.1065,35.9872,71.1954,2.40137,38.2581,22.7474,10.6355,15.7478,3.13711,330.004,44.0838,45.7083,21.3769,1.18365,38.8366,22.4203,10.8692,13.103,3.2944,486.785,43.6699,48.1936,18.1932,1.67668,40.6722,21.3396,9.91547,13.5317,3.58803,382.433,45.1998,37.0648,10.6454,1.20756,37.6082,20.0644,9.44359,11.9495,3.08029,262.271,26.9419,32.6123,24.783,1.92763,31.3442,16.8027,8.24196,11.6923,2.03575,245.604,30.8634,29.2308,31.7469,2.86514,28.2909,16.0901,7.97453,13.757,1.76479,297.903,32.1685,36.0785,35.3842,2.40645,32.4531,19.8579,9.05273,14.0513,1.913,503.013,80.826,53.5419,119.735,8.6873,46.8433,23.753,12.9029,22.4081,6.39271,475.697,69.3259,52.1038,26.8155,1.62428,41.6277,17.1723,9.90695,11.2919,2.24604,335.844,31.4787,44.3076,17.728,1.97809,30.79,17.1404,7.63224,10.586,2.13333
homie,3076,fell,41.7,9,33.1611,38.7396,0.645338,0.922953,303.351,28.0383,30.0053,19.4804,1.37695,37.2143,22.3188,8.95736,14.5506,2.00761,240.039,24.4052,21.9481,20.6607,2.28036,25.7912,13.5738,6.47024,9.05325,2.1468,270.915,33.6388,25.5432,21.9769,1.96428,25.2047,18.4663,6.1874,8.23799,1.40471,338.293,41.8651,31.1736,27.4656,1.71294,31.8206,16.2832,8.40673,12.0418,2.04306,489.084,69.4797,48.0693,60.5748,13.0763,41.7018,24.2083,11.2214,15.5756,9.45773,622.959,47.8334,63.6258,121.199,6.78773,49.3552,25.1026,12.1549,17.62,5.86125,330.71,32.5649,29.9481,23.0859,1.51414,28.2716,16.2104,6.83511,8.94315,2.14314,345.272,43.2834,37.6885,32.8399,1.43311,33.013,20.9217,8.59066,10.7264,1.65867,3565.61,284.222,246.919,199.254,25.781,130.57,43.2034,30.5108,44.7097,22.0465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homie,3077,complete,60,12,15.7399,31.738,0.174705,0.172255,61.5634,10.8877,5.05096,11.397,1.86875,10.9164,8.40064,2.11394,3.83305,0.843185,201.296,20.2318,12.0837,21.2287,2.63518,14.4344,9.694,3.06981,6.39697,1.67872,323.834,23.0761,32.4901,18.626,1.60821,38.5001,18.2309,9.30037,13.7208,1.91142,317.973,27.6738,33.6483,24.7338,2.64657,35.2343,18.4515,8.95592,11.4226,2.12025,321.028,34.7678,35.4067,25.9138,1.67129,35.6634,19.8678,9.73158,12.6064,2.41207,756.121,51.6492,55.718,35.3544,1.76897,57.7551,29.0122,13.8803,14.3924,3.19913,318.606,24.5565,34.1754,29.4507,2.19312,35.4807,17.0073,9.63916,9.16011,2.70764,247.76,16.823,23.6028,17.7649,1.26882,27.5696,14.8323,7.45027,7.69859,2.05684,856.299,75.441,65.2193,30.6344,2.28869,64.3569,26.2708,15.702,16.1395,4.79738,639.597,98.749,58.1324,44.3371,2.27721,53.7525,30.5345,14.0164,16.1253,3.88723,227.91,28.5105,25.4571,26.6218,1.51464,25.6652,17.6646,6.75772,6.91566,1.69545,1685.69,171.09,137.651,77.8351,1.70033,91.5144,40.1525,20.3099,21.3488,4.56285
homie,3078,fell,41.36,9,75.4388,64.5884,1.81643,2.24184,537.971,51.5541,43.7162,24.3363,1.22641,54.0873,26.1218,11.5672,18.6174,2.26098,540.526,51.7397,44.6627,37.8772,2.2473,50.9602,22.8089,11.2694,19.1374,2.25541,1186.42,125.997,91.1679,157.21,3.01524,77.2034,43.9545,16.7267,25.9966,4.3488,275.018,27.6768,27.6469,22.8058,1.28747,28.1604,18.8238,8.0608,7.6457,1.36354,340.258,30.2228,35.9721,29.4158,2.36971,40.6473,22.552,10.8176,9.85857,1.9386,313.998,30.9102,38.6348,43.9941,2.77567,36.4617,19.8448,9.19647,11.6908,3.37719,338.587,41.6647,31.4717,30.4407,1.98275,30.5456,22.5885,7.5597,9.07534,2.97368,2121.54,206.946,151.414,129.171,3.17465,96.6147,49.7153,20.879,32.5043,8.07935,2445.08,229.299,148.7,124.918,16.105,84.7784,33.6293,16.708,33.4561,17.1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homie,3079,complete,60,12,10.7224,40.2945,0.0703998,0.150468,315.41,32.1835,31.8948,20.4503,2.09694,37.7777,24.492,8.96927,12.8548,1.8435,406.566,38.1698,42.4341,52.7403,2.79522,40.8049,23.8182,10.1004,14.2613,3.42346,635.902,65.979,54.3899,47.3694,1.58148,51.4349,20.3908,11.8485,16.7163,2.98361,135.937,18.191,13.2222,18.1114,2.25952,16.4551,12.0958,4.29901,5.38764,1.50708,403.936,40.4534,35.4606,23.9108,1.00018,36.1287,20.9088,8.96184,12.214,2.44266,222.365,17.4191,23.8914,12.5634,1.58724,23.407,12.0908,6.58651,8.37683,2.32522,231.395,27.6227,22.9911,90.3575,4.93994,25.8459,15.7414,6.79348,17.9189,4.07217,422.582,51.514,42.0919,258.486,8.26336,36.5165,20.1529,9.57046,35.424,7.39575,344.88,31.0224,34.7231,49.2346,2.65467,36.2138,23.6602,10.3158,14.3332,3.11578,713.971,57.4148,85.0888,238.826,18.1441,62.1138,26.0924,15.9197,38.6892,17.8421,739.098,62.6791,73.5709,31.6173,1.92732,61.3538,25.6915,13.307,18.7199,4.04276,331.498,35.1137,29.2914,25.978,1.48409,31.3523,20.4126,7.3183,9.68931,1.55005
homie,3080,complete,60,12,11.3866,34.084,0.126049,0.109084,264.697,29.3533,22.2637,20.3141,2.73305,29.2698,18.4432,6.58466,11.1773,1.70084,181.378,26.4458,31.1426,72.2895,2.74328,22.8661,15.277,6.06879,13.9672,3.05479,287.005,31.4365,28.8077,24.5819,1.72048,30.448,20.0468,7.73114,15.2025,2.29016,578.469,56.8497,42.125,46.2482,1.95296,42.3746,27.8484,9.67867,19.0178,3.14427,339.175,33.9033,36.6029,36.8306,1.75886,36.2355,20.505,9.33242,13.5862,2.44358,150.823,24.6831,24.5644,36.0582,1.87867,17.8942,9.51155,5.21369,8.62151,2.06131,178.879,19.4124,19.0193,26.6174,1.36245,17.8206,12.3479,4.57177,6.57493,1.25961,635.619,49.3363,73.6678,60.4452,3.24024,50.5799,25.8992,13.1771,21.8303,4.5805,627.218,86.0801,56.4163,30.1396,2.38369,47.6809,27.7938,12.7785,18.8068,3.93174,827.345,102.923,103.598,211.975,18.7247,69.3422,33.6606,18.3262,45.4415,12.7271,353.229,23.6032,35.3723,23.1742,1.19464,35.8717,17.7156,9.31527,10.5025,1.87286,282.07,25.2099,37.0284,71.7158,1.64494,31.9838,17.1948,8.75448,14.313,1.95966
homie,3081,complete,60,12,19.8718,51.3268,0.0641363,0.0780627,106.814,15.9425,11.5156,16.6683,1.72832,16.268,9.77515,3.54097,5.99128,1.113,307.164,25.9962,29.3091,16.7001,1.4297,33.413,21.8524,8.26452,14.1172,2.09936,221.506,21.8841,21.3569,68.7185,2.07788,22.9688,12.6415,5.52491,13.3486,2.74641,425.938,40.368,36.4301,33.944,1.69195,39.1258,22.8885,9.69638,16.0576,1.84999,641.565,62.7914,48.4972,36.781,2.74466,45.5627,24.6726,11.1665,15.7684,2.27316,327.63,33.6913,32.9016,25.3209,1.57726,33.966,22.4941,8.79309,10.827,2.84737,368.365,52.319,46.7299,33.8395,2.07415,36.5684,19.1407,10.0312,13.8427,3.33353,533.897,72.511,46.0636,32.3511,1.92905,39.9695,22.3182,9.90112,14.4496,3.16147,612.973,63.5664,55.1141,43.901,1.77378,47.5264,27.8593,11.6345,17.1843,2.52274,1887.26,160.31,149.772,82.5887,1.45723,87.2754,37.8776,19.7598,29.419,4.27836,425.434,47.426,57.446,59.2835,2.62547,46.2644,25.6176,12.1378,17.4057,2.81114,411.933,46.4684,47.0127,40.3433,1.5783,42.6505,19.7828,10.9534,20.1893,2.8209
