policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2
gr00t_wbc_h074_p000,3584,complete,90,18,7.51409,2.97312,0.0431483,0.047621,181.624,28.2588,9.43811,14.0245,1.93402,18.0195,10.0074,2.637,4.98511,1.05271,197.41,16.7528,7.02348,12.8128,0.906792,15.9591,7.78048,2.4737,4.74807,1.03888,272.82,23.5426,17.6868,61.1136,1.67991,21.3989,14.538,3.57142,8.62942,2.01531,246.956,26.593,11.417,21.1827,1.28932,18.4394,9.76682,2.87885,5.27488,1.21623,208.859,31.9653,12.2362,21.0529,0.72883,17.9487,9.90024,3.26061,4.82073,1.17604,158.069,14.7535,7.32733,21.8717,1.00242,12.7876,7.36279,2.27949,3.65581,1.36404,202.36,24.1832,11.4255,26.4622,1.22605,15.9985,9.66311,2.53575,4.91075,0.896234,192.674,16.6312,9.67274,24.3155,1.58601,15.6831,8.63366,2.55286,3.63348,0.853701,167.279,23.8506,9.35722,20.2225,1.05815,13.2545,9.01198,1.96304,3.64521,0.877141,231.509,18.2712,14.16,21.838,0.956473,20.4046,9.98444,3.32314,4.73574,0.981674,416.018,51.7264,78.7579,200.434,66.4672,31.4205,17.3811,5.90668,24.8994,11.0853,374.28,33.5452,20.9946,25.2089,1.87146,31.1258,15.3157,5.01787,6.60145,1.79867,320.429,36.8999,15.598,14.763,0.970749,23.5262,13.4979,3.3226,4.86505,1.45858,293.462,27.3982,31.4171,58.5848,6.01603,24.4316,8.59208,5.41943,17.739,9.52738,266.666,20.0443,13.6487,11.1868,1.28306,24.0894,10.8257,4.1595,6.29325,2.14624,139.633,12.0292,6.00546,16.0942,1.23657,11.1262,6.38086,1.96974,4.17131,2.33124,227.885,23.5813,9.2023,9.52771,1.42679,18.4236,11.7168,2.99972,4.4427,2.0175,398.508,36.6172,14.208,37.4637,13.9411,29.3684,16.0561,4.84818,12.1445,7.07004
gr00t_wbc_h074_p000,3585,complete,90,18,12.4986,2.42264,0.0285302,0.0483625,309.326,28.8092,12.2587,15.3967,1.45685,26.306,13.9872,4.18441,6.10945,1.08171,188.733,20.5624,9.97295,22.4767,2.02937,15.1413,9.47148,2.57166,4.89239,1.77706,113.016,17.8838,6.47239,10.132,1.8908,9.61695,5.55035,1.54068,2.9555,2.52129,261.423,30.5825,15.4187,21.0562,2.40852,19.4553,9.70363,3.34051,5.37428,2.90545,266.682,38.5849,15.2581,22.7549,1.59901,19.1798,10.2828,3.57791,5.23788,1.56594,475.094,66.4624,22.0433,26.0509,1.55013,33.4432,18.5361,4.83297,6.99168,1.61797,347.426,27.2432,17.8122,38.8218,2.2426,28.2413,15.7732,4.60272,8.44996,2.27408,246.435,24.9418,18.2175,25.5745,1.38901,19.5944,11.3924,3.40043,5.6321,2.6711,614.32,80.5139,28.9282,26.7755,2.5116,44.542,27.245,7.14315,9.2137,5.42621,160.523,16.1678,10.17,29.5691,4.00256,12.8672,7.60367,2.16134,4.02054,3.09512,419.018,59.3893,54.6378,148.139,133.476,34.8884,18.6694,6.63727,24.831,10.4379,261.114,26.0957,9.91577,15.3863,1.04918,19.9012,10.1815,3.48977,5.59109,1.57884,1121.68,127.333,44.4486,141.879,2.20432,59.6298,33.1702,8.78257,22.4836,5.28613,335.158,31.7011,17.6058,21.1404,1.15971,27.8585,15.6887,5.03463,5.41748,1.19664,360.104,53.5056,29.4196,29.5975,9.11696,29.0112,14.2989,5.41749,12.1691,5.78666,262.739,39.2806,17.5268,23.0335,1.05728,21.1544,12.2077,3.44841,5.23485,1.07254,217.569,42.7711,14.7336,25.4717,1.41997,18.4487,10.7384,2.80938,4.15445,0.982363,204.304,35.8673,37.5585,31.2338,0.764496,17.1632,9.84989,3.58517,5.77217,1.04089
gr00t_wbc_h074_p000,3586,complete,90,18,9.0573,2.83347,0.0171626,0.0206772,107.373,16.704,7.25039,12.7335,5.06741,11.9523,7.24266,1.85471,5.4185,3.64233,284.5,26.1421,14.6857,31.7491,1.76528,22.4254,13.2767,3.71506,8.28883,2.05416,120.667,9.3874,7.25703,17.4477,2.91949,11.5514,7.37194,2.12354,5.23567,2.74718,306.044,30.5083,22.6974,38.335,78.0579,28.6077,16.6558,4.84797,12.3501,5.18831,287.086,30.7257,15.5878,31.1421,1.33984,23.0323,12.3153,3.63135,9.34666,1.76745,284.258,26.325,11.5331,16.8124,0.909264,22.4779,11.5482,3.8539,6.99938,1.32904,273.851,26.2427,11.9077,11.6627,1.34024,21.4963,11.3617,3.36371,6.92937,1.34367,292.101,29.8516,10.4278,11.9752,0.857933,21.3879,11.1818,3.76746,7.18432,1.25472,170.228,15.9386,8.0934,15.8319,2.0876,14.1772,9.32433,2.1238,3.46115,1.73164,289.824,24.0632,10.7996,15.9024,1.92989,21.8215,11.6349,3.86274,5.11817,2.87015,318.926,30.9179,14.2051,19.6467,1.61298,26.8422,12.5589,4.45563,9.09105,4.22891,560.81,85.2008,46.1751,47.4554,3.7094,43.8055,24.895,7.53949,13.1908,6.59368,237.607,28.3326,17.8215,23.1776,0.620163,21.4784,12.48,3.81913,5.52972,1.04407,237.488,19.4875,17.4484,27.3564,0.903053,22.4614,11.3713,3.53996,5.6647,1.31311,931.512,95.0267,50.4491,63.6963,2.63634,59.3963,32.0746,7.80768,16.8075,3.85186,244.721,30.3095,18.278,26.7943,0.821976,21.3885,12.8756,3.45993,5.88247,1.41016,199.426,12.7691,14.4714,29.3613,0.982468,18.0233,9.69791,3.32217,5.24314,1.36874,431.988,45.4276,33.4562,31.938,3.12442,32.5704,16.1632,5.25688,7.38031,3.02808
gr00t_wbc_h074_p000,3587,complete,90,18,8.86985,3.51761,0.104244,0.0654817,166.983,27.4996,8.05994,11.1158,0.899543,16.9347,10.6683,2.52822,5.49517,2.37705,167.45,15.1996,18.4146,41.6609,3.47266,13.1199,8.57863,2.63947,7.24871,4.2821,135.81,15.7063,9.70603,21.8265,1.00667,11.1245,5.73536,1.88061,2.89666,0.992915,188.945,20.5801,13.5735,21.5184,1.07235,16.28,11.8258,2.57281,4.28872,1.34694,245.184,27.45,15.2919,31.513,1.4237,19.0282,11.3762,3.15605,4.53347,1.62693,242.153,33.948,13.4705,20.8461,1.28925,20.1955,12.761,3.10423,4.53373,1.01408,279.392,30.3501,12.4622,14.3168,1.55439,19.8189,9.07378,3.72359,6.10579,2.07396,300.966,29.5904,13.7743,23.7076,3.3746,23.7012,12.434,3.9404,5.75542,3.45249,167.24,16.1594,7.29463,12.1559,1.29444,13.2764,6.68027,2.24421,6.44094,2.04619,273,19.8118,14.6821,12.1851,0.623988,24.0407,14.6853,4.23143,7.35796,2.93654,249.234,24.563,15.0176,20.8027,1.02699,19.6107,12.9027,3.26379,4.55501,1.429,436.737,53.9138,82.0744,178.606,147.285,36.7166,16.813,9.08447,20.3429,11.1229,212.688,25.3197,13.9052,17.2244,0.995697,16.055,9.4512,2.85668,5.21505,2.57958,356.284,35.1928,24.6692,20.991,1.29985,27.7821,15.8361,4.99131,6.91725,2.13467,312.703,50.6741,33.1373,30.0169,1.60013,25.4741,18.1261,4.76246,8.74012,2.75913,418.672,50.641,21.1336,143.56,3.58144,29.5109,15.6865,5.77767,21.3899,6.33249,854.522,118.849,86.5986,16.3945,1.31151,49.6325,30.9147,8.72899,10.0298,2.56934,344.624,47.9438,34.8571,154.41,507.409,30.5303,19.2234,6.26398,24.2147,23.6061
gr00t_wbc_h074_p000,3588,complete,90,18,12.2494,3.09016,0.0139527,0.0208122,168.357,17.9062,10.5555,20.7477,2.33633,16.2992,10.4447,2.60367,7.0667,5.59225,163.215,14.1076,7.50054,10.2493,1.12375,13.2722,8.57529,2.08969,4.51398,2.63506,209.447,19.2671,14.1958,25.2064,1.15721,16.8476,11.3875,2.86364,3.83392,1.08892,242.544,26.5005,13.933,28.059,1.22323,18.4979,11.4383,2.92675,4.20195,0.910684,242.392,29.1722,13.2052,26.3496,1.73664,19.609,9.25359,3.21678,4.27881,1.51296,158.125,30.511,8.98286,16.4386,1.76394,13.1662,8.28355,2.35529,3.58922,1.61071,101.58,13.3971,7.04622,12.9463,1.51534,9.17302,4.38681,1.82021,4.98396,2.36082,285.436,33.8243,21.5868,54.3235,3.2034,24.8007,14.9683,4.76169,10.1933,4.14186,194.242,18.3696,10.4106,7.8885,1.58836,14.6146,7.95466,2.48006,2.90837,1.86032,417.374,55.2365,25.0978,14.6144,2.11789,31.2132,16.9953,5.25955,7.86377,2.68311,350.483,38.4568,20.6532,17.3482,1.53493,24.8189,14.2694,4.22,6.47515,2.41519,302.214,27.369,25.7969,45.7508,3.74536,24.0655,14.6732,4.91911,11.741,6.07094,229.684,26.8747,18.3157,18.0526,0.947514,18.9503,13.3181,3.64607,5.3478,2.76278,755.947,137.233,54.1869,45.5462,1.40287,43.1435,26.5013,6.32435,8.96455,1.34164,309.241,40.7731,27.3887,49.4984,2.36124,24.3464,15.1299,4.32623,8.9033,3.69561,498.74,82.9649,26.8153,26.5869,0.782822,39.2901,27.1874,6.29739,8.61554,1.83129,471.844,82.411,49.1131,173.118,13.7104,30.5242,17.8529,5.72994,15.0305,6.06945,81.4048,10.7419,5.65015,10.0251,1.09747,8.01981,6.48773,1.43455,2.45052,1.26479
gr00t_wbc_h074_p000,3589,fell,65.74,14,12.3094,10.2496,2.1423,3.68444,225.183,29.1758,12.3156,18.0106,0.847204,22.2673,12.3654,3.52001,5.7176,1.08392,176.229,21.054,7.35154,9.02382,1.19608,14.3468,7.5912,2.43352,4.05578,1.28604,180.738,16.4485,9.74593,21.9062,3.17299,14.6946,6.56603,2.60162,5.16835,2.88038,270.686,30.2604,16.3852,27.8691,5.01799,21.3071,11.5991,3.38402,4.16901,3.13842,259.073,30.7262,28.7977,23.3054,1.63189,18.9644,10.2612,3.7056,7.95898,4.93676,326.359,43.2142,27.6244,43.782,2.96141,26.6248,15.9659,4.68953,9.81578,3.90681,711.766,61.1398,47.9496,16.5999,1.12045,41.8026,23.8681,6.0226,7.16827,2.97591,253.095,35.3645,18.5504,12.5339,3.29442,20.069,10.2196,3.89627,4.7082,3.11577,320.75,32.7063,36.0886,66.2242,35.856,27.9465,11.6444,5.59921,19.682,13.9393,294.469,51.5511,50.7426,35.4115,18.9092,22.1777,13.7469,4.13973,6.2444,4.50322,402.692,39.295,31.0986,19.053,3.86016,32.2493,18.2247,4.94551,7.28598,3.7748,177.281,17.7053,12.5414,12.0512,0.980179,14.2794,9.32781,2.65602,3.72694,1.27172,413.811,77.7897,32.7205,18.3678,1.23381,33.1041,22.7895,5.29791,7.71484,3.02741,1634.2,76.0316,37.9696,11.3219,0.437561,45.7763,18.2524,7.09234,7.07256,2.36931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr00t_wbc_h074_p000,3590,complete,90,18,8.04349,2.06691,0.0578897,0.0640875,97.2937,19.856,4.96436,12.6219,1.40957,10.6391,6.43806,1.6528,3.02705,0.896822,255.362,18.5278,12.3881,18.0235,1.52824,22.6306,12.0733,3.72826,6.20053,1.13221,353.462,36.7708,19.3285,42.5091,2.0979,27.8411,16.7545,4.29113,9.55161,1.8911,290.19,31.6593,12.2034,19.9653,1.40023,25.2253,13.2543,3.91557,6.97201,1.51079,195.138,20.215,13.2722,51.2965,3.802,16.7841,9.81957,2.90274,12.0014,5.29788,342.07,36.637,16.0282,19.0897,1.90915,27.9029,14.738,4.34301,9.70999,4.7469,298.197,33.1006,38.4573,36.3753,2.04495,22.8384,10.8713,4.09769,11.2162,3.85735,264.334,38.5388,24.4251,79.1852,2.31996,23.3042,12.6986,3.87506,12.2093,2.54953,156.331,22.7742,21.9391,109.283,2.3259,11.9526,6.64956,2.58156,12.7149,2.0009,238.565,26.1237,22.8617,42.5197,11.1806,18.9119,9.98452,3.96506,10.8083,5.69007,102.055,11.7454,6.34654,14.9228,0.921787,8.65392,4.85293,1.57653,3.38956,1.00795,307.867,29.306,22.2842,24.4687,2.20841,25.3482,12.4636,4.53944,8.08388,2.9397,279.523,32.7271,18.242,29.749,1.17857,20.661,10.4979,3.14996,6.46179,1.82683,305.918,37.2969,18.0936,35.9922,4.06894,24.9008,12.7057,3.91353,9.69728,3.91316,167.064,18.3864,13.812,24.7269,1.6965,15.0047,7.63644,2.58897,3.95284,2.37845,352.445,30.0988,23.9902,28.4449,1.31152,27.5317,12.172,5.03773,6.562,1.72756,170.634,17.3153,11.1052,23.7417,1.62065,13.5512,7.11777,2.27757,4.76109,3.45109,436.915,91.08,31.7702,23.8474,1.30733,30.9688,18.7475,4.19623,6.91291,2.48902
gr00t_wbc_h074_p000,3591,fell,70.66,15,13.8498,8.81205,1.4169,2.00227,255.166,24.7575,12.2196,20.3392,1.27346,23.4527,12.0975,3.96977,6.79206,1.82572,187.513,21.7897,10.2735,16.3111,1.35167,14.3902,7.41801,2.49334,5.15045,1.08606,275.154,25.6851,10.3183,10.2336,1.77144,21.5714,12.1215,3.42175,6.47214,1.40489,293.056,34.1673,12.0486,12.545,1.72831,22.9603,14.6345,3.9076,7.3385,2.04948,144.526,14.8006,6.84268,13.7289,1.20076,13.8304,8.40741,2.18286,4.61696,1.36595,385.127,38.1326,16.7399,13.6547,1.4286,28.6287,16.4308,4.24364,5.68651,2.57857,203.443,20.1541,6.68409,9.51105,0.849919,15.8218,9.6316,2.47807,2.78586,1.69821,265.044,22.3817,12.2814,9.69376,1.85504,21.6024,13.3197,3.49529,4.25174,2.07965,219.913,30.6395,10.1879,11.2038,2.0124,19.7225,12.6037,3.06619,4.06215,3.06671,403.653,39.4447,15.388,37.0555,2.458,27.5252,13.1477,4.791,11.1899,4.60622,458.967,45.1723,22.1091,31.8658,1.07034,31.5245,16.9337,4.55556,8.51405,1.64712,172.712,14.9995,12.6357,28.5284,1.31504,15.8047,7.95197,2.98918,4.08449,1.17516,143.158,14.639,10.6319,26.1442,1.38116,11.3237,6.17223,1.90622,3.38867,0.841984,397.423,50.2754,20.7384,27.2903,1.08667,32.2705,18.6912,5.27046,8.26457,1.76891,3435.7,248.249,113.829,79.9834,69.3607,89.4149,26.2594,12.2503,20.2632,13.4562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr00t_wbc_h074_p000,3592,fell,55.54,12,8.72043,14.9713,1.82623,2.53026,294.452,27.0655,14.7402,19.7617,1.2156,27.1173,16.6792,4.49575,8.70617,3.63519,306.546,27.0529,15.633,38.0237,1.95785,24.2422,13.6919,4.22626,11.5839,3.72594,103.532,13.7995,7.28854,18.2402,1.4796,9.05672,5.21381,1.6929,4.16283,2.23522,269.812,34.0385,18.299,27.5966,4.9471,23.1593,12.5534,3.70055,8.41385,5.17812,268.739,33.6051,13.2467,18.309,2.86063,22.4812,12.9639,3.35126,6.28875,2.75104,183.6,40.5532,11.8009,34.192,2.28921,15.8307,9.55005,3.24626,14.5337,8.62969,412.106,46.2482,18.3988,21.3696,1.65948,34.9031,21.293,5.18922,9.36084,4.32956,290.986,29.571,11.0827,22.7807,1.01874,21.9388,10.4065,3.69379,5.18457,1.54921,263.11,21.6014,13.9882,21.8482,3.35261,21.341,10.5936,3.77486,7.55568,3.62638,268.389,24.4077,16.9763,21.5964,2.95364,22.1484,12.9776,3.87704,8.16293,6.07394,177.964,23.5312,12.3176,12.3017,1.14368,15.1964,9.99989,2.51114,5.82814,3.62983,1031.98,128.85,31.5786,23.1092,1.38499,46.8548,11.9234,5.41213,8.41212,2.67269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr00t_wbc_h074_p000,3593,complete,90,18,8.67103,2.48193,0.0539669,0.0506698,320.388,35.7387,15.3777,15.1058,1.25803,30.7442,17.2661,4.89139,7.62324,1.98739,626.333,65.1547,23.8784,27.3906,3.1363,36.4909,18.8349,5.06031,10.8534,5.04904,171.693,14.9676,9.7118,10.5334,2.19917,14.4891,7.93693,2.57352,4.29193,3.49778,174.506,16.2723,11.3715,14.614,1.93575,15.6562,8.2046,2.68122,5.98373,3.55965,165.092,27.6486,11.1896,14.2054,1.10337,13.2771,7.80827,2.5804,6.40197,2.0171,220.879,19.2488,12.8955,12.5094,2.56705,18.5902,11.6954,3.44236,5.96877,2.91636,255.689,20.1151,14.791,14.2232,1.29389,21.0635,10.6777,3.72204,5.70419,2.03989,325.871,50.3073,20.0142,14.9709,1.08641,29.2666,18.7778,4.82383,9.43106,2.2795,261.797,21.2777,11.4543,15.0188,0.852237,20.0632,9.30456,3.57633,7.07249,1.41649,199.303,29.2614,9.05011,11.2678,0.90958,17.0934,9.3971,2.82213,6.2929,1.41704,162.142,12.7776,11.3732,14.8907,1.86637,15.7717,6.99469,2.6105,4.63889,1.47843,544.56,58.8466,29.5446,20.7533,1.19003,37.093,19.0994,6.03536,11.2421,2.83187,459.888,46.2482,21.0419,51.2066,1.44341,29.1148,15.4257,4.71908,12.0181,2.38306,444.607,44.527,30.8516,125.653,2.62559,32.8148,16.6061,6.43329,21.6339,4.05836,1156.45,143.757,184.79,436.48,85.8576,74.2974,38.9288,13.7821,43.363,12.6323,404.062,39.2932,25.547,14.0886,0.740845,26.5923,15.7112,4.90783,4.24919,1.51034,377.179,49.7833,89.5752,332.828,46.5472,29.3588,16.5159,7.63705,29.3731,16.0211,277.913,30.1347,28.9662,23.4521,1.16325,26.4017,13.3888,4.69047,6.89617,1.8681
