policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
homie,4096,complete,90,18,10.6887,26.3478,0.0779283,0.0854919,221.456,32.5946,23.3578,19.5798,28.968,25.6054,16.1857,4.17913,10.8632,6.55935,21,0.533253,0.721192,353.821,52.4757,45.2782,22.5951,1.09332,41.2059,30.7576,7.84023,9.48042,2.70463,38,0.543124,0.816533,475.018,53.5415,36.3735,94.7474,2.10273,36.6061,23.7233,6.35631,13.5768,2.41439,21,0.436156,0.997152,416.883,60.385,43.1904,63.8824,1.13008,45.2268,28.9326,8.14442,13.3284,1.86821,37,0.539759,0.814754,421.835,60.0741,43.1167,62.455,1.22335,44.5002,31.6941,7.7893,14.0374,1.77482,39,0.5592,0.820852,480.11,61.7869,47.0877,73.7886,2.31542,45.3239,23.8523,8.62116,15.9377,3.09118,32,0.519834,0.920855,294.172,44.729,31.9848,19.8748,1.223,30.125,20.9495,5.65873,7.37839,1.52867,25,0.498409,0.780122,471.487,73.9268,130.55,146.198,70.2933,45.1347,24.8005,11.1033,31.7689,11.1691,21,0.38987,0.915689,351.58,50.4157,48.8849,69.697,3.11298,41.3417,27.7095,7.99674,16.2053,5.61695,37,0.542113,0.851721,316.481,51.415,39.1751,79.2125,1.90971,38.2555,23.6992,6.95956,13.6073,3.63485,26,0.526077,0.958059,435.437,67.3137,36.6757,56.7346,1.21317,45.9507,31.3892,7.84472,12.3589,1.48414,41,0.525759,0.737179,484.763,65.8806,47.1252,40.0968,2.3534,49.6249,33.0192,7.98071,14.3953,4.33203,46,0.540763,0.733767,270.12,45.5903,24.9167,22.0364,1.21634,26.7508,17.52,4.78055,8.03955,1.5822,21,0.525604,0.838298,319.032,44.1655,43.3002,36.5771,1.51593,21.5357,10.5803,4.22285,9.47402,1.92577,6,0.346654,1.26018,481.87,57.1351,59.2294,21.1068,1.47749,31.2601,14.3764,5.77773,10.561,3.22706,10,0.481517,1.47924,416.643,61.1428,45.5985,22.5956,1.63705,44.6808,28.3914,7.34852,8.73942,2.30656,40,0.526204,0.713383,532.033,61.9156,52.5685,41.6185,1.83132,51.7741,29.3888,9.53452,12.0367,2.36152,34,0.530751,0.910667,375.076,48.3724,106.127,140.873,250.285,45.9432,23.1055,10.1563,26.1496,13.3913,35,0.491294,0.741083
homie,4097,fell,55.76,12,19.3047,37.9253,1.78774,3.04244,348.164,49.4596,43.0651,22.7269,1.402,39.405,26.6781,6.43971,11.069,2.22543,33,0.533277,0.755482,404.593,61.03,46.5921,37.1653,1.55621,43.4686,31.2986,7.34362,13.0937,1.81985,41,0.540819,0.770442,457.244,58.0418,52.8709,28.8471,1.00474,48.8666,28.645,8.19991,14.4832,3.02895,40,0.56948,0.775982,271.355,41.4379,24.3384,15.9682,1.18431,24.5247,13.1684,4.43821,7.08799,1.99373,8,0.454578,1.53383,410.334,52.6578,40.6315,44.8338,5.3296,44.0188,26.0885,7.31454,15.3645,7.17691,41,0.537514,0.739732,382.445,54.9406,40.9676,23.5493,1.56491,38.2049,23.3638,6.58102,12.2512,3.51346,34,0.466186,0.719296,469.117,66.8779,47.663,52.4309,7.05245,48.2274,31.2163,8.28407,20.1945,8.08634,48,0.482565,0.701964,395.723,38.0287,43.0164,85.4661,2.62675,28.5128,13.6468,4.66041,13.7488,2.81393,8,0.378241,1.39693,326.219,51.2729,34.086,17.8608,1.3899,34.2117,23.2709,5.89535,10.393,1.61861,29,0.536005,0.772595,939.857,92.9478,69.0335,159.072,16.7275,68.2504,34.0468,12.7069,28.3629,13.0526,46,0.431871,0.954421,266.548,39.9567,26.1312,12.5568,1.46539,29.0207,19.5023,5.18564,5.06941,3.85853,20,0.517481,0.871564,1368.49,34.1957,20.5187,8.55646,1.11048,33.2196,7.69519,4.16055,7.81342,2.31729,3,0.351919,0.553282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homie,4098,complete,90,18,13.2419,15.1137,0.00931403,0.00615993,223.502,37.5255,22.749,18.4616,1.50761,26.7751,18.6557,4.19091,7.28729,1.24459,23,0.490324,0.779467,353.077,45.9973,43.9118,33.5955,1.61514,41.6662,27.2348,7.98907,9.59389,1.61707,33,0.518052,0.845881,91.8161,17.1952,12.7488,14.4779,1.92255,13.1974,7.73909,2.67556,5.17956,1.42368,8,0.58698,1.17651,300.682,43.0499,31.2842,29.3954,1.16455,25.1013,14.0454,4.7786,9.78384,2.0868,18,0.401333,0.785478,179.985,30.6734,25.6544,54.5803,2.85423,20.6435,12.8562,3.99059,10.9074,2.61799,17,0.60118,0.785405,416.367,58.1531,46.1528,18.5063,1.77684,45.2978,28.7949,7.75107,11.7938,2.65909,41,0.532023,0.73295,157.964,20.5382,117.258,15.9383,1.59605,18.416,9.56964,3.9952,6.73872,2.59788,12,0.480597,0.818135,1257.55,100.444,90.0771,202.428,109.2,75.719,33.0167,13.0562,29.5007,24.0037,25,0.513084,1.20033,398.295,51.6613,45.7386,37.7856,1.37767,43.5744,26.6871,8.01401,13.5438,2.13844,39,0.523603,0.776939,34.1953,13.4934,5.93277,19.0101,1.49044,4.73384,3.70778,0.861309,2.32086,0.885324,5,0.422577,0.803083,574.564,91.5059,53.0902,51.3817,2.85355,43.7494,25.7164,7.88013,15.6672,3.42639,22,0.354945,0.907721,480.022,62.5099,53.8471,142.706,10.322,47.8204,29.394,9.17785,23.9174,5.99194,37,0.498311,0.783317,538.636,71.9489,63.7668,33.3239,1.50529,52.6673,30.5008,10.495,16.3342,4.59509,32,0.489531,0.932917,304.525,51.2125,35.9728,28.0003,1.38756,33.0462,21.7225,5.97745,10.6496,2.68362,28,0.56061,0.730741,219.809,29.489,23.0662,34.7994,1.33029,24.4714,14.9857,4.44175,6.80452,0.964297,20,0.495434,0.813109,177.534,29.4149,17.2196,23.929,0.893997,16.8997,11.101,3.36112,5.02567,0.814297,14,0.456464,0.738282,412.997,61.9716,38.4562,40.3386,1.2886,34.885,20.1041,7.15726,9.82264,2.02384,24,0.400208,0.906824,375.745,48.5374,33.7965,90.0755,1.79037,30.7342,15.6478,6.94409,14.2216,2.76255,21,0.431075,1.07235
homie,4099,complete,90,18,11.5341,23.9725,0.00734116,0.0109613,335.177,49.3343,36.4828,46.7024,1.17783,40.0424,27.1343,6.79689,11.8461,1.68571,39,0.53187,0.727438,280.124,40.129,34.5629,51.0629,2.26881,31.0974,20.4518,5.14591,11.4247,1.93544,27,0.564435,0.732735,390.017,55.4816,43.9355,37.736,1.82774,42.6751,26.5115,7.35196,12.7309,2.55967,35,0.518476,0.777154,228.639,30.6391,24.3104,28.2493,1.65495,23.8273,16.7711,4.41763,7.49844,1.49189,21,0.482769,0.783916,81.7748,15.3009,17.1292,22.0092,1.84759,8.59458,6.15959,2.18502,3.97137,1.10163,6,0.478294,1.18685,330.599,47.4092,38.2409,39.2017,1.62458,36.9017,26.269,6.73998,9.11231,2.49781,34,0.523446,0.791745,127.797,20.2472,19.0995,24.6955,1.74375,15.6145,10.8771,3.0654,4.66663,1.30733,14,0.55267,0.79352,352.216,45.0081,43.511,21.3699,1.38074,40.7124,27.3573,7.48661,8.65583,2.36059,36,0.570267,0.80934,365.224,45.3417,50.1959,30.8392,1.97059,37.879,23.8356,7.14063,9.07962,3.40567,28,0.514188,0.889427,384.875,43.0416,75.3056,369.628,99.0764,33.6921,17.6557,9.18421,28.951,15.5287,9,0.401376,1.24925,421.662,36.9918,31.4736,16.2957,1.55628,34.9861,19.2707,6.56084,7.11502,3.67875,13,0.305891,1.07351,470.952,93.3722,61.8527,34.5421,1.58382,46.4962,27.3859,9.7836,11.0434,2.43225,25,0.472831,1.05962,281.955,34.4856,28.407,45.828,3.41532,28.6034,14.9292,6.9703,12.8841,5.88745,17,0.409535,0.974442,436.681,59.4823,48.7443,84.9127,3.25758,43.7931,26.0215,7.60505,15.4875,4.41285,32,0.519571,0.846223,718.076,78.9515,76.546,134.368,283.542,56.7925,32.1237,11.2456,24.3965,13.6384,23,0.515599,0.985763,434.995,70.6647,53.3851,53.2595,1.6969,54.0414,29.3667,10.9081,11.8034,3.02882,44,0.51737,0.794091,399.239,52.1501,58.0865,33.0807,2.15298,44.5966,31.4761,8.68836,12.9639,6.59761,35,0.602836,0.897376,296.708,37.0437,32.1315,18.1349,0.89856,33.2738,22.2764,6.28852,10.3951,4.59772,24,0.491547,0.852839
homie,4100,fell,75.76,16,18.1779,34.7076,1.78278,2.80766,438.975,56.1094,44.7444,35.5852,1.23586,49.8925,29.4783,8.31321,11.6289,2.17189,53,0.469391,0.604243,255.192,35.0002,25.1501,49.5919,1.07796,26.8917,18.2386,4.69384,8.52763,1.42172,23,0.584171,0.761605,127.127,16.817,23.5594,51.9229,1.98446,14.6993,9.80883,3.51289,10.9148,2.91867,12,0.467032,0.689781,414.319,64.729,38.8144,30.9435,4.22243,35.9813,22.1623,7.39686,9.96343,4.05664,21,0.496758,0.972488,470.67,58.9321,47.7937,35.3964,7.97654,47.2111,29.6229,8.42802,15.1303,6.55202,33,0.546651,0.886512,888.01,96.2006,58.779,117.223,2.66495,63.3052,32.9785,10.9938,19.006,3.08447,33,0.504864,1.03038,204.007,30.3905,25.4983,34.498,1.75637,24.6858,17.2782,4.66407,6.74161,1.09685,22,0.513693,0.737801,367.71,51.1071,42.9431,32.9879,1.95387,42.1076,26.7427,7.69708,9.64228,1.9921,38,0.513567,0.74612,247.925,41.5089,26.9392,21.1576,1.71589,27.5226,20.6525,4.97206,6.61398,1.83268,25,0.4836,0.78616,348.225,51.0591,40.227,37.5017,1.51746,37.6866,25.8076,6.64355,11.1916,2.18428,34,0.501758,0.76131,315.8,47.1301,37.3603,37.8913,1.44172,38.3227,25.9738,7.36325,9.35366,1.84154,32,0.501854,0.814471,1160.84,162.237,112.486,193.435,13.1077,77.409,39.9086,14.6924,26.4185,9.6878,38,0.528651,0.839817,568.278,71.2228,76.6049,146.006,62.5222,58.7024,31.6396,11.9834,19.3248,8.03531,34,0.544536,0.93299,659.051,93.049,154.411,268.552,14.325,68.1952,34.8451,16.7072,44.9243,14.0622,37,0.549582,0.890612,425.82,71.5014,48.9921,152.454,22.3019,40.3176,23.5199,9.11093,18.9418,8.50375,20,0.45718,1.0022,2732.82,136.799,84.8592,63.0327,56.0807,67.0224,20.672,12.5655,19.6029,10.347,4,0.32518,1.66653,,,,,,,,,,,,,,,,,,,,,,,,,,
homie,4101,fell,66.12,14,18.0636,25.2412,1.38319,1.08639,440.92,60.9772,41.2276,23.7822,1.30364,47.9969,31.4618,7.51672,14.2652,2.27835,44,0.4987,0.735873,455.975,58.7514,43.5448,19.9056,2.34407,47.2808,30.6891,8.07546,15.3682,2.94559,44,0.536797,0.741341,385.33,48.4242,36.2959,42.1746,1.45512,41.7736,25.7288,7.30002,13.8114,3.05451,36,0.521697,0.805646,368.991,46.3282,39.4536,11.5361,2.31162,42.2943,28.1893,7.56026,11.1723,5.02832,42,0.544986,0.75615,169.637,22.6777,20.9515,12.1841,1.65326,22.2638,14.6924,4.53616,8.1503,4.56614,18,0.548178,0.912081,180.182,25.5969,19.5373,15.3432,1.39717,18.7128,11.3951,3.36415,5.22412,3.3633,16,0.478326,0.73055,324.887,44.5891,44.5904,43.4385,2.78415,38.9275,21.658,7.64902,11.1647,3.67446,26,0.56327,0.94799,401.333,59.6798,37.8561,19.5527,1.38912,40.6084,26.632,6.9207,12.4591,5.33236,38,0.465893,0.7394,116.323,16.7175,14.3833,25.2427,2.69543,11.3831,6.56453,2.59463,8.28311,5.41412,9,0.381631,0.720457,344.227,51.0805,40.7309,23.2534,1.01509,35.4049,22.1203,7.16102,11.697,4.93546,30,0.525299,0.810757,129.282,20.769,18.0486,14.7811,1.54394,17.4767,10.6442,3.9145,6.57693,3.24566,14,0.542989,0.925198,279.389,43.2108,30.0526,26.3912,4.45379,28.2624,18.578,5.60152,12.5795,8.13908,20,0.365566,0.844256,439.82,63.797,58.2994,46.612,1.38292,41.1886,19.2309,7.64975,11.6303,2.31771,21,0.447282,1.00178,2884.7,213.27,209.947,166.811,25.585,87.238,28.8256,19.4016,35.9399,17.7774,2,0.028923,0.902968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homie,4102,complete,90,18,11.2446,24.048,0.0254665,0.049289,411.701,53.7004,45.9035,21.8024,1.27583,47.6939,28.6998,7.98896,10.2532,1.81481,43,0.485238,0.722845,193.226,29.3357,22.8853,21.2725,1.0659,21.4833,14.7233,3.97669,5.90121,1.32289,18,0.574301,0.803541,160.675,27.9856,15.7077,33.9562,1.56881,16.875,11.4391,3.44176,6.31095,1.12954,14,0.366407,0.801972,379.158,55.6602,45.0216,24.834,1.48007,41.4427,27.9463,7.20599,10.8156,2.98262,37,0.525705,0.813348,228.513,31.0477,36.3661,65.0159,1.38693,25.6848,16.832,4.65277,11.061,2.1767,22,0.488499,0.745051,626.106,67.0795,53.6748,73.0936,2.23714,55.9519,30.0405,9.64407,19.0207,3.42083,35,0.507887,0.919775,335.279,63.7529,43.4223,91.8508,2.54162,36.1587,24.9096,7.08015,17.7542,3.51622,29,0.498176,0.828139,194.212,34.2648,22.2932,40.0559,1.74819,20.9758,15.6698,4.35756,8.10976,1.73315,20,0.507215,0.763819,203.708,30.1889,21.6308,43.2399,0.968913,25.4228,17.2936,4.72175,7.82019,1.46741,20,0.551445,0.85987,486.159,62.4521,52.7264,44.9176,2.2054,49.5373,30.7171,8.91929,13.4199,3.29277,38,0.522391,0.810884,152.351,24.4808,20.4019,30.4349,1.33804,18.1723,12.3716,3.68684,5.63089,2.56002,13,0.543657,0.882112,66.9189,10.5183,12.013,14.0672,2.07111,7.15341,4.79427,1.42656,2.45927,1.13858,3,0.612976,1.64407,593.931,73.5853,53.0615,131.926,50.5333,56.5101,33.7001,10.5076,25.3624,11.0743,37,0.52252,0.801592,269.083,38.8882,36.0941,42.6151,1.58849,34.2357,20.0823,6.96638,9.2728,2.24607,28,0.558152,0.797747,240.387,33.9657,23.3517,32.1108,2.1846,26.1452,18.3922,4.61884,6.44727,1.63146,23,0.525026,0.80457,660.369,73.4057,50.9092,29.1461,3.10931,56.0802,30.8478,9.52108,12.5601,4.75886,38,0.519461,0.910078,531.634,83.9153,66.2992,194.847,162.566,54.2481,32.5792,10.6143,35.3428,22.0693,41,0.567309,0.804082,590.585,69.5845,62.398,60.2597,2.28717,52.9562,26.0668,9.86207,16.8217,5.749,29,0.493677,1.03847
homie,4103,complete,90,18,11.3158,26.4384,0.0119741,0.0134017,427.44,60.1723,40.3755,40.3253,1.67627,45.7596,31.2072,7.28236,13.2815,1.7606,42,0.527745,0.7433,145.445,31.0753,12.6571,28.7598,1.87521,14.0004,7.89576,2.80498,5.56707,1.2494,10,0.398687,0.876756,265.883,31.3272,34.0171,85.4611,53.6809,23.6378,11.1035,4.62584,13.1386,4.52976,8,0.37066,1.35512,476.322,62.4105,45.1959,30.5786,2.02496,48.8267,30.1323,8.2218,17.335,7.84029,42,0.519101,0.744372,240.653,34.5466,28.2522,68.5425,2.59394,25.3074,16.7848,4.90332,12.1934,4.22415,22,0.422191,0.716043,417.082,56.9621,51.0242,65.0348,1.67068,43.9683,27.2017,8.56528,15.583,2.71664,31,0.558583,0.892104,368.57,55.9121,54.2381,48.2444,1.83602,43.6335,30.657,8.18704,9.50704,1.74012,38,0.557716,0.83981,354.971,54.9345,52.5502,41.1587,2.38895,42.4417,26.3097,8.65402,11.4099,5.34725,32,0.606366,1.00214,421.047,58.2502,56.3495,81.582,7.66054,47.4926,29.9464,9.14831,22.8562,11.8517,37,0.522997,0.822677,147.893,19.2031,20.4655,22.1532,2.24199,19.5639,12.0822,4.20489,7.10352,2.73462,16,0.490633,0.878102,365.104,41.0295,21.4366,23.317,3.28239,20.5644,12.4623,3.91051,8.34377,4.3609,6,0.348277,1.19244,223.342,32.686,21.3959,18.6826,1.74089,23.739,15.3624,4.82662,11.7246,5.28044,17,0.38882,0.882998,352.698,44.3906,34.4092,122.481,12.7959,30.7044,20.284,6.56915,20.5298,10.499,25,0.463262,0.806702,229.49,32.8562,30.1554,20.7504,1.55761,26.3052,18.877,4.93529,7.37177,1.49143,25,0.528029,0.760148,408.004,54.3518,48.1002,38.1654,1.40208,38.0063,21.1693,7.35177,13.974,1.71037,28,0.537065,0.953365,666.149,81.1808,136.648,261.856,8.34397,69.0334,31.2683,14.9495,31.903,8.41439,40,0.420597,0.872237,541.67,56.9642,61.7662,196.943,5.02646,43.9492,21.9839,9.82065,26.9912,7.83951,21,0.420028,1.23883,371.791,52.4175,148.022,66.5796,1.87395,34.8787,17.1384,7.76617,13.0128,3.2822,17,0.492868,1.02799
homie,4104,fell,55.8,12,14.2465,45.6356,1.70457,0.843808,222.861,33.4212,21.5278,22.6393,2.8584,22.2946,13.3155,3.64632,8.44779,3.22016,13,0.435934,0.926296,242.732,30.0045,27.3593,67.8141,2.02696,23.4041,14.6338,4.2744,11.6443,2.0552,16,0.44204,0.86355,447.357,61.1948,44.2227,22.1261,2.43996,46.3679,29.6379,7.50515,13.4592,3.68299,45,0.547097,0.72068,277.92,42.1137,24.9132,34.5392,6.83441,26.3658,17.5662,4.68732,12.5317,8.58851,22,0.440801,0.795792,278.612,40.0476,28.9201,11.5043,3.16496,29.5313,21.2643,5.20771,4.49068,4.4247,26,0.572873,0.848364,161.558,34.007,13.3124,60.3167,1.49483,14.4035,9.72401,3.56595,11.5343,3.26487,6,0.332495,1.21621,426.3,61.7311,41.9306,13.4298,2.55251,39.75,28.0979,7.16051,5.42649,4.92546,37,0.530632,0.839502,464.759,65.658,40.8538,21.0463,4.63898,45.0985,31.6282,7.37403,2.26721,4.36879,39,0.549716,0.779303,707.23,81.2377,55.7475,23.606,7.10295,54.6566,31.5689,8.60666,3.97949,5.542,42,0.47965,0.835901,468.517,73.7045,47.375,27.84,21.5897,44.9441,31.203,8.02653,3.76248,8.31004,41,0.53995,0.777163,790.84,91.883,52.7915,23.526,15.4503,56.7523,31.6142,9.82902,5.66542,7.51172,33,0.468726,1.04145,1678.87,107.059,111.409,41.5215,8.89668,55.3488,15.7244,11.3794,15.7636,7.6371,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homie,4105,fell,45.88,10,17.9634,43.4697,1.17686,1.15703,272.443,44.1907,24.789,12.7271,1.48627,29.4511,19.2328,4.72213,8.39077,1.65391,25,0.46242,0.74316,251.457,39.122,22.9381,15.4065,4.4518,26.7515,19.4533,4.86441,7.95864,5.504,24,0.496727,0.832346,240.7,38.4675,29.2803,33.3723,4.18972,26.2579,19.3401,5.01866,12.1165,6.44335,25,0.496006,0.742184,361.107,48.6112,40.4564,28.569,1.7841,41.3266,27.1701,7.55503,14.2425,5.09789,36,0.555415,0.808772,309.641,47.1859,41.6314,40.6429,1.2813,38.8013,26.4603,7.61,16.7837,3.73737,34,0.53441,0.85414,507.651,66.5474,47.2438,41.0643,1.20826,47.2987,29.7255,8.25474,14.8204,2.53307,44,0.474484,0.748984,346.461,53.1805,47.9221,57.8339,1.36643,40.0363,30.1881,7.12452,16.8305,2.67716,36,0.529232,0.813718,591.252,63.171,51.5164,45.5941,7.71225,51.3016,29.3821,8.92143,14.4442,7.61692,37,0.56608,0.842179,390.371,61.0361,45.8966,70.8789,19.541,45.7673,27.3532,10.0288,16.8045,7.83485,36,0.554955,0.931536,2105.79,185.019,125.364,314.155,149.006,68.6013,23.1289,14.9184,40.8471,16.289,2,0.550621,0.821599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
