policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
homie,4608,fell,50.76,11,13.8982,62.7762,1.59148,0.362415,365.489,33.5248,32.8142,22.0418,1.53242,40.9261,22.682,9.68595,14.9457,2.17893,19,0.57434,1.72078,289.08,31.4699,32.5835,46.534,1.77025,31.0943,20.8763,8.64515,12.4578,2.11627,16,0.515007,1.5638,440.041,53.816,36.1988,33.4562,1.79663,39.9535,22.3042,9.52113,14.5305,2.26879,17,0.43921,1.5221,320.39,41.8425,39.7615,30.1279,1.7736,39.3706,23.3091,10.1091,13.8072,2.46666,21,0.582726,1.45214,100.063,20.4503,9.35567,39.8025,2.58183,12.8242,5.91994,3.57225,8.10746,2.32705,5,0.476408,2.15892,438.848,61.3423,41.8008,20.4009,2.07668,34.31,23.2732,9.32496,15.3566,2.76723,12,0.469789,2.04719,493.465,49.0195,37.7735,20.7572,1.69259,39.9348,24.729,9.25735,16.4295,2.60417,18,0.515539,1.60747,269.341,27.8916,21.9071,14.7139,2.05829,26.2629,17.6754,6.23268,10.2778,2.82044,15,0.487974,1.31282,424.79,40.3442,44.1582,82.0447,1.99279,42.7692,22.7952,10.3424,15.7689,3.07129,22,0.557589,1.43072,541.315,52.8141,51.254,26.1333,1.97138,50.2321,24.8968,12.3551,16.0181,4.00812,26,0.473552,1.74917,2206.8,136.43,141.379,33.8814,1.41255,60.983,18.4894,13.8382,18.4525,4.26355,4,0.798546,2.19929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homie,4609,fell,68.18,14,49.3153,32.7368,2.78164,2.5407,303.017,28.6441,32.166,16.7571,1.47853,38.6886,22.6083,9.59118,14.7999,2.12054,20,0.562154,1.67949,175.956,19.0597,15.8765,17.3414,1.13246,16.5542,11.3452,4.31761,7.78731,1.32889,9,0.541849,1.37586,376.079,34.6047,33.0163,21.7955,2.03629,35.4807,19.9182,9.36042,14.4796,1.96654,21,0.506732,1.36623,240.755,25.8187,20.5083,17.3369,2.13557,25.5397,14.4112,6.33953,10.3801,1.83425,16,0.439026,1.24912,339.996,30.0351,32.8899,21.9122,2.19889,35.8393,18.4858,9.30694,14.5958,2.63668,20,0.525243,1.34369,336.885,28.367,32.0258,29.443,1.91279,34.8721,17.8662,9.09505,11.3332,2.28337,18,0.506887,1.51355,187.575,25.5141,16.4344,61.0541,2.7293,18.6084,9.73823,4.59737,11.1771,2.52025,5,0.713049,1.81103,261.438,29.3378,19.1885,56.0464,2.46708,22.6161,16.4704,5.85399,13.5019,4.66463,15,0.419981,1.23844,356.711,42.8056,32.1096,39.9389,6.34894,39.5737,17.2759,10.1613,11.4022,5.53488,19,0.487606,1.41149,479.731,65.4377,74.1684,118.499,23.1428,46.9124,23.7756,12.7535,16.7012,12.4015,18,0.526378,1.61099,310.944,31.0856,30.0678,29.9669,1.82261,33.1751,16.4524,8.67048,9.08238,2.66162,19,0.441906,1.42509,201.598,24.7344,16.1445,20.3671,1.73749,17.6075,9.98453,4.00876,5.36084,1.83461,4,0.475708,1.92469,310.307,34.193,32.102,36.9613,0.965569,36.6822,18.5723,9.08092,10.15,2.21805,23,0.427498,1.11726,5709.88,618.754,381.908,250.157,9.82433,195.062,84.914,45.8579,57.4678,16.4674,6,0.486928,3.38771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homie,4610,fell,26.14,6,26.058,45.301,1.87554,1.01311,164.778,16.0009,13.977,16.0454,1.56222,20.6263,12.567,4.98487,7.41529,1.22143,10,0.549559,1.55547,181.367,15.956,17.7334,61.7835,2.49392,17.2692,13.0566,4.55375,12.2525,3.00513,10,0.525776,1.28344,62.1591,7.96593,6.56947,19.455,2.52314,9.16209,4.77925,2.54569,5.87413,1.52542,4,0.404045,1.44466,305.919,27.0422,28.906,17.0966,3.35171,34.7314,18.8661,8.12207,14.0872,2.12823,20,0.513688,1.30933,337.681,31.6094,32.6841,21.3951,1.82892,33.6074,21.1103,8.69715,13.6592,1.88613,21,0.487957,1.39607,2757.93,226.668,164.997,43.9334,1.56386,98.6402,30.1487,24.3483,27.2046,4.4493,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homie,4611,fell,87.4,18,87.6057,50.1082,1.51803,2.60549,304.612,26.5502,29.6048,23.3387,1.82461,35.5034,19.4915,8.77356,15.5276,2.29081,21,0.509722,1.37217,464.879,46.2104,48.3892,30.3181,2.22777,40.6412,23.8679,10.0532,17.7789,2.57547,18,0.532115,1.78107,220.028,21.1944,23.4808,21.7393,1.69392,23.5115,14.4427,6.1927,10.7823,2.17664,11,0.515569,1.52347,344.107,28.5619,34.7843,56.6939,3.12977,37.9712,17.8719,9.6504,16.2383,2.65,21,0.515768,1.4109,245.083,24.2646,30.644,25.6292,1.73093,32.0332,18.1242,8.16463,10.5806,2.13813,14,0.554887,1.65799,544.761,56.003,77.7015,161.508,2.21791,46.6631,26.7699,11.0642,22.5346,3.87694,19,0.490513,1.56387,340.005,49.5612,39.9963,40.5978,2.55287,33.4708,22.7211,9.02779,11.3735,2.17786,18,0.50962,1.51892,266.223,30.5178,45.8336,126.399,4.09347,31.8109,12.7558,9.39212,20.315,5.86733,12,0.478334,1.39625,379.026,43.0367,39.0722,35.3051,2.98005,43.0607,22.7594,10.6562,11.1497,2.62773,18,0.530928,1.56807,893.16,120.131,78.4981,44.1886,3.30192,60.7912,28.4647,13.1074,17.282,2.4764,19,0.527409,1.65425,359.683,38.8429,39.4755,27.8874,3.56321,31.4245,15.3041,7.41372,10.3665,2.11131,15,0.49464,1.37362,145.578,14.6083,16.4475,19.0988,1.76772,18.0892,11.6228,4.78723,8.62681,2.05533,9,0.446576,1.36803,3819.89,469.276,250.985,315.463,18.0342,179.858,79.0295,38.8151,67.3469,14.6125,24,0.694963,1.98971,386.6,36.7676,39.6382,30.6015,1.70443,38.0694,21.1982,9.94133,14.4235,2.03898,21,0.567707,1.32035,465.385,54.1463,84.7366,96.5332,2.4587,46.1276,26.8212,12.5041,23.6431,3.6007,19,0.646707,1.56592,1264,114.809,98.7485,57.6166,1.96394,77.8922,33.454,16.2613,22.3821,3.50607,24,0.698733,1.69715,1160.99,72.5634,85.0493,43.9271,2.07724,62.8505,32.0534,14.2927,18.011,3.00126,26,0.518086,1.63398,3994.52,293.386,281.306,242.214,16.8695,147.661,66.191,32.1026,40.8057,11.3877,6,0.359873,3.02011
homie,4612,fell,57.08,12,41.1003,42.2894,1.31519,0.772028,158.787,21.7307,18.61,16.124,2.33255,24.5882,13.6497,5.73661,8.42633,1.59499,11,0.533991,1.58603,250.55,41.1274,20.643,33.5742,1.56528,23.3125,13.8664,6.27689,11.4927,2.4692,11,0.338543,2.00641,321.189,25.6868,35.5332,41.9211,2.41858,35.5313,18.2158,9.44539,15.1042,3.14976,18,0.578799,1.52954,378.912,34.4512,30.0359,18.43,2.97397,31.5008,21.6133,8.00343,9.36358,2.77486,15,0.494663,1.46065,388.353,32.7991,32.9149,61.6135,2.22517,35.1152,19.791,8.61955,13.8631,2.72678,15,0.497572,1.72318,405.801,45.7351,37.0099,26.9747,1.83734,34.7621,23.4684,8.72658,10.6937,2.15642,16,0.543293,1.6778,1083.63,78.6667,77.5138,32.9008,1.28444,72.6912,36.7141,16.4641,18.6778,3.31221,25,0.443526,1.80829,1101.15,86.0636,88.594,40.4312,2.16491,81.6004,34.9089,19.7122,23.1199,4.55569,26,0.464061,1.52454,264.896,26.8632,33.291,33.3845,2.05377,38.548,17.5284,10.1249,11.0821,2.43306,21,0.511249,1.46616,462.345,40.7232,42.7841,39.0354,2.44893,46.4074,24.0057,11.4641,17.0735,2.72208,19,0.478141,1.57904,273.79,27.0859,35.6548,153.811,10.1031,37.5434,15.8301,9.58049,20.276,7.54629,19,0.419602,1.5347,4917.98,430.287,279.316,356.26,18.04,177.508,60.7656,39.2552,65.6767,24.7666,4,0.451036,3.76214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homie,4613,fell,65.9,14,26.838,34.1908,1.24272,1.16171,177.906,14.7374,16.302,17.7251,2.33838,23.7325,13.5222,5.66151,8.25334,1.44927,12,0.502129,1.49921,161.058,22.3596,24.2223,33.8412,1.53377,24.4355,13.9586,6.73383,7.93657,1.86543,13,0.463607,1.421,247.617,37.6463,25.0825,26.2701,1.75141,23.9799,10.1492,6.4274,10.1446,2.6664,8,0.425914,1.70281,185.575,25.7394,23.1245,59.3287,2.12072,21.1,12.1742,6.00196,9.65703,2.54046,11,0.403902,1.61052,371.08,61.9129,36.9157,40.2626,2.00113,32.7595,16.7764,8.63135,11.7283,2.48743,16,0.552904,1.22488,470.555,50.3183,44.2362,53.6835,1.492,43.222,23.8561,10.2487,14.8743,2.44437,17,0.539362,1.54964,510.978,43.1528,87.5029,54.0537,1.54283,46.2582,23.215,11.7582,14.3907,2.92092,17,0.573354,1.61773,779.094,68.1318,61.9419,120.824,2.81509,64.9142,30.8969,14.5236,19.0232,5.50971,19,0.46516,1.84125,314.881,37.9135,47.211,37.0513,1.69738,43.0778,17.5623,11.244,13.1434,3.21583,15,0.508911,1.68969,904.49,64.2299,71.0371,51.042,1.73682,66.0618,28.6808,15.2043,22.8365,3.83936,21,0.424579,1.85575,1873.04,266.014,188.758,101.592,1.4394,103.749,46.1301,24.515,29.9617,3.82209,21,0.665548,1.68998,361.579,31.9061,42.2224,58.4503,1.15839,41.7279,17.6583,10.4703,16.4245,2.97281,19,0.626021,1.50334,391.475,51.2958,40.4186,89.6174,2.9012,41.5604,23.9157,11.341,15.5434,4.04979,18,0.552018,1.38337,2875.3,145.226,122.847,100.939,14.5572,106.933,26.2401,20.0442,29.0158,14.6939,2,0.265778,0.990188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homie,4614,complete,90,18,10.3465,33.7097,0.0715272,0.300218,125.336,16.7915,13.6051,27.173,2.22451,18.6892,9.13946,4.15042,8.60075,1.44051,7,0.575143,1.8287,260.763,22.5316,29.9797,30.6899,2.3426,31.9438,19.1191,8.32249,10.4336,1.97071,17,0.528982,1.50744,355.447,35.0699,33.9029,32.8146,1.51428,38.4734,21.8539,10.0546,13.9278,2.42212,16,0.541876,1.73302,244.355,21.2381,24.6057,23.0221,1.60994,23.5102,10.2149,5.77414,8.89634,1.70724,12,0.531193,1.2259,278.894,25.859,29.8503,23.5912,2.0265,32.432,20.3406,8.44198,12.9159,1.86229,18,0.575418,1.55821,68.8385,10.6683,7.44662,16.3675,1.93626,7.89967,6.49905,2.36064,3.9833,1.0143,4,0.557137,1.26451,511.121,42.6524,36.153,30.1008,2.6133,43.254,24.4919,10.5619,14.7353,3.11934,16,0.537398,1.67703,513.561,44.0972,43.6659,44.0404,2.99643,50.8295,26.2298,11.1301,16.8804,4.29791,25,0.393378,1.64645,270.962,26.96,29.8025,21.7814,1.41117,32.171,19.2578,8.53351,10.562,2.19821,17,0.528409,1.33871,706.891,79.5367,63.0044,24.1149,2.08776,50.5408,28.5673,11.6924,15.5125,2.58574,19,0.531959,1.87187,303.198,28.0678,24.8186,75.0999,3.07974,25.8899,16.609,7.00252,12.0939,2.8788,12,0.51586,1.84986,298.58,33.0008,31.4154,71.9306,1.97437,32.534,16.696,8.61794,17.5615,2.82036,16,0.454094,1.70631,278.366,25.9678,31.1727,24.0245,1.28315,34.1376,16.4262,8.14384,12.6631,1.68481,15,0.548694,1.45966,237.25,24.5852,19.0786,17.7479,2.60904,20.5014,14.7946,5.42502,8.29295,1.33102,16,0.453679,1.14025,255.88,25.666,24.4418,24.1521,1.59264,26.6428,15.3388,7.29906,9.61275,1.56483,15,0.618898,1.38143,556.543,41.0424,42.3428,98.9409,3.8714,50.2222,24.2229,11.5708,26.827,4.61555,15,0.550089,1.95903,646.666,54.0151,72.2766,139.79,12.9141,50.7948,24.6164,12.9874,28.572,8.40588,17,0.615793,1.71341,529.102,50.7202,47.3604,36.1958,1.71943,46.9213,23.3463,11.4675,15.3241,2.65041,18,0.520206,1.90287
homie,4615,complete,90,18,10.0233,32.4251,0.0159624,0.0458728,165.833,14.0499,18.8174,14.589,2.2287,24.3611,13.8256,5.79195,9.05923,1.44769,12,0.563078,1.58432,284.712,24.4584,31.072,25.4101,2.29924,30.8423,15.684,8.04112,13.7028,2.34247,16,0.526069,1.3596,276.601,32.9112,32.0706,42.6189,2.08931,30.8708,16.264,7.94277,17.1489,3.20489,14,0.61054,1.53665,275.241,30.0017,26.7187,22.2783,2.25076,27.9381,16.8853,7.47236,13.3454,2.1897,14,0.483955,1.41984,106.275,12.9984,15.3933,27.8136,1.25321,12.7583,9.2475,3.28988,6.64858,1.21796,8,0.54626,1.16492,125.558,13.5459,14.4551,28.8168,1.18429,14.5373,8.33216,4.04875,7.04943,1.29342,6,0.523991,1.59392,437.731,42.6193,62.9662,88.6175,3.5357,37.66,20.1005,9.12196,19.5945,3.55988,17,0.44606,1.87655,364.066,54.3005,40.3142,35.4234,2.84632,39.7887,19.6688,10.7234,14.66,3.06432,22,0.510641,1.25644,547.321,65.8414,61.1346,56.6493,1.58328,55.7931,22.7852,12.8135,19.8402,3.09856,19,0.531504,1.63101,542.931,73.2184,57.7858,38.4466,2.72278,42.5643,24.7228,11.7698,14.3049,2.61622,15,0.523354,1.81253,429.243,53.1847,47.913,35.3749,2.18517,44.2992,22.5,11.3986,14.1154,2.86748,23,0.61897,1.47384,361.774,34.4981,38.3925,32.1688,2.16581,40.2428,20.657,10.3718,10.7312,3.22842,19,0.525866,1.45033,403.751,53.2061,34.7426,35.7587,1.95475,33.6445,21.0474,7.70425,7.96614,1.99332,9,0.478163,2.04086,105.55,18.403,11.8664,19.4344,2.05914,12.3225,7.41427,3.75313,4.33766,1.15678,6,0.464161,1.34611,452.255,45.3618,43.2965,32.4842,1.52988,42.4748,24.5269,11.711,12.3566,1.94144,24,0.493932,1.62178,316.353,32.8583,31.4554,31.0895,1.47818,33.4562,22.6599,8.94727,10.9025,1.93101,17,0.531237,1.49964,552.658,46.7825,50.5546,131.111,20.2812,46.2188,22.5025,11.4779,25.8422,9.94477,17,0.544058,1.67001,272.236,33.9927,30.4386,30.0927,1.47686,26.6574,15.7448,7.7413,9.15517,2.0042,15,0.444903,1.39593
homie,4616,fell,81.46,17,37.2012,31.6987,3.16258,1.25843,193.764,21.4177,18.2231,17.6618,1.86677,25.2087,14.859,5.8413,8.27121,1.61817,12,0.52274,1.49377,532.591,37.796,40.7764,28.7909,2.44996,41.6715,23.7607,10.0911,12.7883,2.81476,16,0.431233,1.67242,196.82,18.1797,18.1886,22.1771,1.43589,21.0619,10.0919,5.49124,6.75737,1.42081,10,0.547084,1.4788,284.448,34.4032,31.4652,47.9188,1.76508,30.368,14.7188,7.94415,13.933,2.20295,16,0.40023,1.49276,448.402,49.4797,57.9862,73.0026,3.47317,42.1144,20.3755,9.856,18.3244,3.50765,12,0.426033,1.46162,398.155,31.996,30.2347,25.5653,1.9901,23.475,10.3662,5.13272,10.3481,1.41364,5,0.330396,2.29418,408.988,37.7593,32.9419,43.073,2.55888,34.5024,21.9913,8.33463,18.0348,2.43617,16,0.494493,1.45315,183.436,19.1429,19.4881,18.5628,1.07391,18.7565,12.2223,4.77918,8.58604,2.24466,12,0.514,1.2218,308.711,29.9082,21.3118,20.9975,1.69668,30.0192,12.3853,5.62994,8.07823,1.68521,4,0.439216,1.93472,487.799,46.9483,47.303,29.5166,2.36663,46.0291,19.3747,11.0807,16.5246,2.36138,20,0.567118,1.65036,137.473,30.6341,19.1922,18.4871,2.04768,17.8205,9.56612,4.98263,6.99066,1.54125,9,0.357502,1.3028,381.352,33.7653,38.4682,65.0732,15.2747,42.6782,20.311,11.025,22.1661,12.6246,21,0.425935,1.86441,364.668,36.5685,35.4009,21.5697,2.76391,37.0288,24.646,9.48136,12.4268,2.31288,20,0.484103,1.36064,167.106,27.1367,21.7868,19.3223,2.03974,19.5551,11.6481,4.85998,7.74227,1.65934,7,0.518733,1.75983,615.252,67.8779,72.9487,40.4172,1.52731,45.0109,26.9583,10.2774,14.9699,2.47561,15,0.417008,1.34632,976.915,159.65,77.5123,47.7194,2.76019,57.2848,34.9144,15.1044,20.372,3.20656,21,0.55005,1.73397,3698.64,294.502,289.52,88.7991,10.565,134.842,41.0727,31.644,41.4477,15.0058,3,0.380905,2.20803,,,,,,,,,,,,,
homie,4617,complete,90,18,12.2822,34.157,0.283609,0.329959,130.596,19.2679,9.21968,14.7359,1.96608,15.6789,11.0473,3.13109,5.77975,1.1718,7,0.441426,1.73379,260.735,28.3998,27.2674,20.415,1.02554,29.1202,21.941,6.96622,13.1781,1.60219,16,0.500433,1.59924,326.054,37.1771,29.9847,21.4772,0.924351,32.9671,19.2789,8.56401,12.9487,2.09617,18,0.48135,1.42737,144.563,32.4697,24.4074,28.7251,1.26247,19.7239,9.67292,5.27835,7.49836,1.68219,11,0.336217,0.977812,569.195,71.9922,47.832,37.8367,1.47934,48.0023,22.5045,12.5958,14.8967,2.65133,19,0.596358,2.04768,406.603,33.6567,38.878,31.9612,1.47735,39.767,21.6949,10.2259,13.8138,2.04201,21,0.528744,1.53413,709.403,59.7357,49.8157,43.2263,1.19632,57.9289,25.5829,13.6407,15.6852,2.6188,21,0.558227,1.66735,359.97,29.5067,27.9445,20.3315,1.66726,27.0983,12.2326,6.31608,8.21275,2.4512,7,0.267629,1.4883,690.273,32.3748,62.2794,33.4315,1.86442,51.0462,19.3607,11.1109,13.9194,2.81917,16,0.51313,1.88516,624.453,54.7564,44.9032,24.4853,1.46624,47.1315,25.4251,11.0131,12.46,3.42384,18,0.526313,1.78052,399.962,36.9738,32.6032,18.5223,1.29163,31.7176,18.5276,7.33491,11.8309,1.73687,12,0.48816,1.49524,672.517,88.8874,56.2469,60.5106,2.01493,53.3176,30.1154,12.555,18.6703,3.67937,22,0.501953,1.58954,1228.42,117.171,89.917,61.9342,2.27123,93.1669,39.5663,20.7883,29.5167,5.03076,27,0.499387,1.9116,628.915,56.7039,54.9633,70.554,2.0357,44.2794,21.977,11.3407,15.9958,4.05303,16,0.413038,1.58341,1091,138.435,106.496,57.6633,1.7642,62.0702,33.4856,15.0662,16.0271,3.38877,17,0.490161,1.60176,304.332,32.299,44.077,41.1959,2.07148,36.9926,20.8895,10.0993,12.9425,1.94377,17,0.474652,1.71285,411.547,48.198,50.4309,34.3803,1.63781,39.5289,22.9569,10.5363,13.5962,2.61734,14,0.51816,1.82763,668.503,96.3695,65.2746,119.352,4.35808,53.8873,34.3887,13.6123,16.8802,4.91445,23,0.437483,1.29539
