policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s0_stomp_j,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s1_stomp_j,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s2_stomp_j,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s3_stomp_j,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s4_stomp_j,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s5_stomp_j,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s6_stomp_j,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s7_stomp_j,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s8_stomp_j,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s9_stomp_j,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s10_stomp_j,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s11_stomp_j,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s12_stomp_j,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s13_stomp_j,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s14_stomp_j,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s15_stomp_j,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s16_stomp_j,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw,s17_stomp_j
asap,0,fell,23.14,5,174.928,31.5546,4.05949,3.3123,328.927,27.9289,8.73815,23.8264,1.39156,26.1478,26.3095,4.33841,7.38229,1.44689,15,0.600325,1.03753,2.74463,250.103,21.1178,6.6515,31.1814,1.45844,22.4171,16.7835,3.88163,7.8069,2.24668,14,0.641066,1.05686,2.66254,611.81,85.8692,24.3788,84.2237,2.60278,31.3106,35.5378,5.91318,15.1165,3.20508,25,0.494101,0.885436,2.57349,768.074,73.4651,21.7309,37.8794,2.11362,39.5071,43.9476,7.77432,13.6617,2.51128,23,0.587865,1.25762,4.38318,2706.54,209.682,83.0879,114.452,18.9848,86.0181,112.98,16.015,30.7863,12.0293,11,1.37453,1.52974,6.67986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,1,fell,53.76,11,90.8963,27.2078,1.45543,1.54161,254.388,19.9556,5.60517,12.0783,1.90658,23.1162,21.5781,3.62246,7.48322,2.184,16,0.580927,0.939378,2.29126,249.697,18.7782,5.44614,13.1224,1.28895,21.5695,16.1256,3.82328,7.59637,1.62521,12,0.642758,1.15687,2.06427,260.994,15.613,10.3857,107.137,2.12679,24.7545,20.3195,4.9135,16.4877,3.9123,12,0.587979,1.12857,2.10332,248.166,24.7061,4.95922,15.5738,1.83903,16.4965,22.6655,3.26849,5.64588,2.40232,12,0.545687,0.953811,1.40385,357.872,28.3291,11.1885,69.6408,2.38442,26.7053,34.2684,5.0837,9.54394,2.74998,28,0.417239,0.77205,2.2629,437.71,36.3074,13.853,32.174,20.8626,29.0622,32.5876,6.67112,17.3178,9.70774,24,0.377935,0.957936,3.27951,228.802,32.2474,8.0578,25.3519,1.42983,16.2165,23.7389,3.42653,5.45882,1.12849,20,0.378225,0.728323,1.13079,249.414,38.3179,12.9872,33.2266,8.88917,17.7862,24.723,4.35302,9.84425,6.05125,20,0.42058,0.738543,0.969922,384.643,56.53,13.4813,26.6005,1.3762,22.7688,27.4159,5.25586,10.7431,2.05984,22,0.452535,0.847104,2.0751,385.742,58.9101,16.3465,15.4056,1.28502,22.9856,25.6114,4.67283,7.2658,2.00425,27,0.3576,0.716266,0.985955,3816.08,234.307,160.236,69.3331,20.3078,145.561,153.018,27.9464,43.9842,19.8799,16,0.529715,1.48934,7.6027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,2,fell,25.78,6,40.7376,27.0134,1.80065,1.35258,221.188,24.0049,6.52119,17.8331,1.20264,22.45,23.3872,3.58716,6.03535,1.2225,15,0.543686,1.02367,2.55262,198.814,23.6792,3.83397,19.4456,1.46363,21.4815,17.9308,3.48788,5.7871,1.07011,13,0.680086,1.13742,2.95016,277.648,25.536,6.86337,19.7518,2.29796,22.6857,22.6431,3.9952,7.90662,1.60854,12,0.680045,1.27292,3.58565,281.316,27.743,8.48657,12.295,1.77539,21.9344,27.1506,4.05643,7.34783,2.34814,11,0.690701,1.40651,3.68165,386.808,40.5258,15.9472,19.01,1.46784,27.7171,33.7263,6.21858,7.35436,3.90365,18,0.543046,1.09712,3.2079,123.906,21.6425,10.4646,12.0952,8.46386,10.8235,15.1792,3.63056,5.92963,7.64373,4,0.483858,0.729029,1.29538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,3,fell,70.7,15,77.7546,33.3303,2.87422,3.35614,314.623,27.7358,8.16335,28.869,1.86607,24.886,26.0692,4.30168,10.7149,3.94908,18,0.660328,0.91618,3.03108,305.792,31.719,7.53531,22.205,1.14768,23.755,23.4196,4.43486,8.46689,1.51675,16,0.76244,1.04595,3.19765,274.513,24.8784,5.6962,21.9664,1.11438,21.9637,22.1902,3.5509,7.36114,1.31078,16,0.735397,0.995675,3.24955,377.451,33.5284,11.3571,29.0163,1.00632,24.7077,28.6883,4.39198,8.18896,1.57272,15,0.781404,1.02341,3.35237,296.296,33.6205,10.1239,79.5076,6.06779,25.7736,23.042,5.37258,16.8013,7.00421,16,0.758606,1.13646,3.88229,281.946,28.611,11.4232,75.7717,4.17253,24.9845,25.7733,4.91087,13.0622,5.53261,18,0.631497,0.957174,2.42803,262.709,23.874,5.94223,21.9709,1.18159,20.9711,19.6683,3.56544,7.31194,3.03989,14,0.528293,0.89968,1.80612,515.325,52.3676,22.2817,120.604,8.7859,37.4935,39.4391,5.99197,17.1093,6.67948,17,0.62062,1.22495,4.33627,686.225,61.9092,32.7628,163.229,3.57974,37.9983,47.7154,7.02261,21.6744,4.47606,15,0.597825,1.40103,5.25449,659.081,48.1435,19.1101,40.4091,0.985788,34.003,38.1715,6.2632,14.8092,1.956,16,0.801282,1.44482,4.5256,571.34,39.5619,22.3102,75.5644,2.76884,32.1879,30.1594,6.7807,20.8989,3.61234,14,0.847571,1.54319,5.16219,296.676,34.3881,7.30049,26.5354,1.21968,23.2211,29.9458,4.11963,8.56056,1.40706,14,0.807084,1.12486,4.82177,368.988,42.4911,6.75992,25.1171,0.896614,23.9557,31.3076,4.55531,9.07972,1.44073,20,0.725536,0.899876,4.22891,771.874,92.8585,19.1956,45.4929,1.04235,47.043,65.3154,9.65684,20.0013,2.05283,41,0.546041,0.890939,4.33016,3135.83,71.9935,288.58,102.58,1.292,73.4864,47.3189,13.6156,25.9834,5.5114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,4,fell,45.9,10,454.937,21.2305,1.92163,1.52464,209.61,15.7176,4.42616,13.0045,1.69826,21.1316,23.5462,3.47875,7.52827,1.96495,16,0.508662,0.912451,1.90374,462.648,45.6685,7.39065,12.8224,1.95591,28.447,40.3503,5.28367,7.91489,2.66354,16,0.700857,1.2042,5.11513,302.415,30.6273,8.73407,14.3112,1.38527,21.8253,28.8703,4.36525,6.07607,3.51679,14,0.634043,1.33588,3.95422,987.514,98.5107,20.8623,20.8856,1.64581,61.5679,83.9498,11.569,16.3376,5.65267,40,0.314248,1.07701,6.43718,940.249,100.735,25.8285,27.4076,1.77064,59.859,88.8672,13.1421,17.9253,8.66438,47,0.444234,1.1067,6.05884,784.381,84.5416,20.2684,12.74,2.35713,50.0448,65.1275,9.47085,15.4052,7.98005,39,0.494142,1.05675,5.66421,314.056,32.2411,11.8094,24.0589,1.76535,21.52,30.4584,4.39972,8.87889,4.63271,15,0.636109,1.13694,3.0558,483.79,50.1543,14.1766,24.9504,1.65498,25.5279,41.5258,5.43493,10.0486,2.03869,18,0.48435,1.10568,3.72538,1523.77,116.948,44.918,47.8211,1.72196,77.5389,99.0865,15.3237,26.229,7.76183,37,0.370014,1.28313,8.2612,1319.9,52.8664,91.9849,73.5019,2.41554,51.0286,42.0288,10.6582,26.6701,6.88652,1,1.54495,2.297,22.9076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,5,fell,47.96,10,134.243,26.3252,1.84442,1.07837,244.605,27.2193,5.93348,17.0486,1.19212,24.3805,23.5675,4.3358,7.10619,1.2287,16,0.669488,0.989134,3.01752,275.386,24.598,7.90304,36.4494,1.18371,18.0985,20.9359,3.34407,8.66858,1.82109,12,0.666826,1.12946,3.13795,518.51,44.7148,19.731,93.5947,3.7934,29.3695,37.4827,5.8284,16.2868,3.26766,22,0.682902,0.994228,4.82719,301.148,29.8131,7.03171,26.0898,1.16946,23.5102,28.7807,4.0988,8.70192,1.41128,15,0.638887,1.00833,3.06321,277.217,32.7296,11.2324,56.1538,8.75023,19.5909,27.8114,3.87834,11.652,7.36555,12,0.73169,1.12822,4.01044,363.191,42.3407,16.4427,52.521,2.62449,24.2673,30.8825,5.82329,18.3852,5.26029,12,0.743858,1.35773,4.9475,738.975,86.4133,15.8018,17.4447,2.87745,49.879,64.825,9.50682,12.4837,7.42362,48,0.47687,0.867213,4.88089,558.232,67.1471,13.4758,30.3063,1.86689,33.8879,47.7428,7.02055,11.4395,4.86912,23,0.565371,1.01467,3.96771,1265.59,138.503,24.3352,23.7032,3.31468,68.7055,86.387,14.4453,23.0397,12.3159,63,0.504943,0.851245,4.62386,675.377,58.8292,156.315,26.084,20.1288,40.7063,41.3733,10.8152,19.3205,12.5595,11,0.483679,1.57592,5.99441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,6,fell,25.8,6,122.331,45.86,1.44709,0.957162,204.153,24.3762,6.59355,15.9406,1.54412,19.6138,20.2477,3.53064,6.85701,1.50043,15,0.660289,0.981937,2.17809,285.577,21.9965,9.30851,16.8968,1.01517,21.6022,27.9862,3.87589,8.89479,1.22126,17,0.672079,0.930161,2.57284,301.055,26.9941,10.597,30.9332,1.20031,23.8218,22.9003,4.14713,9.64563,1.52192,14,0.826005,1.08616,3.01109,425.105,45.8164,18.5575,30.5522,1.13227,27.8334,40.2565,5.37149,11.5584,1.73297,21,0.602308,0.966054,3.05032,761.589,90.3234,28.9,63.0954,1.94179,38.4385,60.4487,7.85577,18.6611,3.05383,18,0.819696,1.49303,6.71841,2198.75,88.8245,70.0928,199.044,4.96619,50.588,43.8058,8.76652,27.5444,5.26109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,7,fell,73.2,15,111.125,27.0789,1.1972,0.622697,288.486,22.2488,8.77534,16.2338,2.49366,24.7397,22.2322,3.79738,9.031,3.47332,15,0.537835,1.03062,1.95712,242.668,22.3105,7.15305,12.8765,1.20372,22.6749,22.3465,4.03533,7.17153,1.49327,15,0.636144,1.11494,2.85,243.615,29.458,7.54215,10.5767,1.62619,21.0996,22.7342,3.97542,8.56047,2.49533,16,0.655645,0.958442,2.46904,271.078,20.6272,6.68521,25.3306,1.81942,21.403,17.0097,4.16112,10.8359,3.43113,16,0.515186,0.928657,2.27863,205.293,20.5309,3.79071,7.3718,0.949796,21.0795,18.0345,3.69887,6.35336,1.7542,14,0.578014,1.1133,2.58559,295.178,23.859,9.83509,140.332,5.49115,25.5567,25.1073,5.42188,19.175,7.64236,17,0.611851,1.0496,2.91463,312.328,36.5688,11.1624,18.0362,1.23388,24.3691,33.0823,4.5408,7.61527,3.57264,19,0.479374,0.876258,2.96615,444.657,45.5156,10.8688,12.8281,3.87559,29.5278,34.8151,5.43628,7.84229,9.03795,17,0.749929,1.27369,4.79645,410.189,45.8111,11.3518,55.8089,3.71699,27.2923,44.096,5.16775,15.3455,6.50702,16,0.498738,1.09231,4.60422,369.488,31.8494,12.5475,13.511,1.33121,23.5347,32.6667,4.79189,11.7423,3.75163,15,0.54651,1.31192,4.02965,579.975,46.516,25.0249,25.6067,2.50914,37.1395,47.5189,8.66002,12.8755,5.31451,15,0.658623,1.72366,5.711,591.826,38.6925,36.3565,24.145,4.33675,39.3178,41.2798,9.63813,12.5705,7.94971,18,0.555926,1.31126,3.14662,1800.1,103.706,75.5126,44.4984,8.54255,77.7624,87.9236,16.0781,24.6488,13.3411,19,0.507147,1.60977,11.637,621.065,57.7946,27.4017,115.547,16.0257,36.1874,47.7008,7.66918,21.0836,10.6787,18,0.576152,1.39588,4.88359,1123.07,80.7314,61.6671,76.4958,19.5845,59.4226,68.8151,13.4312,31.0819,9.89858,20,0.574035,0.986828,7.76985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,8,fell,39.62,8,160.291,26.6013,2.94942,2.54213,274.968,19.713,8.67275,19.0183,2.32752,25.5802,23.8156,3.89104,9.64981,3.09336,17,0.403622,0.925962,1.69168,224.324,19.9186,5.60712,12.4788,1.82717,20.1306,19.5807,3.62188,6.50221,1.45345,13,0.655199,1.06266,2.61766,405.925,32.5965,14.1077,22.1907,2.54305,26.2575,26.4568,4.9981,8.77028,3.50664,17,0.862449,1.25186,5.36495,394.243,33.6321,15.4032,62.0957,4.97939,28.0856,34.4849,5.8642,14.7106,5.84937,18,0.562712,1.04638,3.15688,347.545,41.2504,17.9817,62.2996,10.2885,25.8774,31.4005,5.81309,15.1953,9.84112,16,0.710259,1.15907,3.23349,676.251,69.2127,26.6428,15.6934,1.59855,48.2823,60.3437,10.3999,12.7821,4.93511,25,0.67718,1.27773,4.55224,671.084,62.6246,27.8569,22.2274,1.13045,40.9886,52.5809,9.33046,9.33926,4.19221,19,0.700438,1.29966,2.82578,4609.74,277.922,166.586,43.0769,7.53066,175.021,206.726,33.5036,27.8912,17.3213,20,0.921373,2.59878,23.7233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,9,fell,81.38,17,146.351,33.0293,2.61652,2.01164,197.21,14.0383,3.82565,11.7025,1.42275,21.7504,22.2012,3.63853,7.06233,1.74696,15,0.559282,0.962667,2.2275,235.287,20.0341,6.47649,14.1925,4.87737,20.9445,21.9436,4.06114,8.03999,3.59149,15,0.596454,0.990272,2.48069,284.245,19.6414,5.73414,20.1099,7.73421,17.29,26.9616,3.6168,7.02207,4.00718,14,0.703664,1.06193,2.87018,274.941,20.7764,5.5646,17.2116,1.26319,18.9209,23.1112,3.80768,8.56672,2.86609,14,0.65654,1.09531,3.17285,241.043,26.123,7.3203,32.0889,4.22766,20.081,22.1813,3.88809,8.77429,5.60957,17,0.563641,0.85436,1.71971,280.673,26.9697,6.7635,15.6525,0.940252,22.5356,26.6759,4.3155,6.87627,2.88086,16,0.707792,1.15056,3.58478,236.159,23.4834,6.16445,21.7975,3.17534,15.9651,22.7784,3.18838,7.51516,4.81336,13,0.52228,0.945304,1.70101,349.155,43.0744,6.80024,15.7835,1.20737,24.6855,32.4584,4.42599,8.0005,3.92246,16,0.670704,1.13976,5.0083,460.186,41.7461,12.2208,26.2556,1.64466,23.425,38.5415,4.70518,7.9007,2.37791,13,0.82176,1.30214,4.95187,1054.72,104.301,28.863,45.2842,1.43245,64.6936,86.0253,12.7459,18.5097,3.86283,63,0.558343,0.874511,4.58865,971.083,79.9695,21.6367,22.2639,1.72179,60.03,73.8224,11.7799,16.8358,5.88761,36,0.426001,1.34487,8.2342,431.663,41.6417,11.5165,19.4654,1.33567,27.5695,28.6467,5.40612,9.55459,2.55058,20,0.649497,1.13297,3.89856,445.806,55.3001,10.0907,26.3774,1.44287,28.6461,24.3,6.01205,11.1577,2.13568,18,0.69244,1.24921,4.34222,345.414,33.6832,7.97136,12.0862,1.28049,22.9656,26.8856,4.48061,8.35173,2.50849,14,0.752015,1.37345,4.74398,316.35,34.6526,7.6396,11.0374,1.48901,22.8273,23.9213,4.06262,8.24211,2.74684,12,0.49721,1.35367,3.10054,363.062,32.6729,9.70502,14.1631,1.49553,27.0036,27.855,5.46657,8.19278,2.56968,21,0.510398,1.03293,2.52745,3963.8,128.422,858.576,122.236,6.87591,121.823,86.1293,29.6088,52.6592,13.4715,3,0.441772,2.12441,13.3455,,,,,,,,,,,,,,
