policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
asap,0,fell,21.4,5,173.287,33.9673,1.50084,2.56844,349.559,25.1732,9.28047,22.769,2.10485,27.2701,24.8985,4.91306,7.47456,1.49749,14,0.64829,1.75877,331.214,24.465,8.08188,32.5419,2.44004,24.1955,25.8503,5.30433,8.80109,1.92847,13,0.740508,1.99408,664.004,73.0482,23.6147,78.0414,3.02238,33.8254,43.8553,6.88269,14.45,2.79284,17,0.652591,1.51501,873.619,75.0961,27.4336,36.2138,2.51597,44.5571,53.3117,10.2057,16.5228,3.13618,19,0.602093,1.70767,1767.98,53.5409,48.3845,35.0054,0.927959,47.8679,48.9571,8.79136,17.317,3.31446,4,1.27064,1.81954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,1,fell,52.94,11,75.2452,37.4899,1.46096,2.58908,292.141,16.5434,6.98908,12.2009,2.66064,25.7563,23.4594,4.88546,8.18113,1.60178,14,0.647238,1.85658,295.173,25.0526,7.0822,15.3816,1.76308,21.9536,20.8648,4.94999,7.32944,1.41074,13,0.56884,1.61607,289.414,16.673,11.6483,90.6742,2.29231,25.0767,24.0886,5.2144,10.9333,2.29854,14,0.532565,1.50436,235.61,25.629,5.48686,16.1985,2.36625,18.5309,26.3994,4.17813,5.10974,1.3058,12,0.466812,1.26656,411.832,36.3685,12.7293,70.4001,3.20201,24.6552,36.9721,5.65659,9.2385,2.54416,18,0.43735,1.41104,619.128,51.0591,22.8448,87.3806,15.5502,39.1825,51.5534,9.02743,21.0612,8.64455,20,0.483938,1.66304,511.576,51.5737,20.5745,31.8215,2.20149,32.0586,42.1204,7.94179,9.44664,1.63305,20,0.357387,1.47277,306.055,44.5801,18.7248,61.5733,6.43141,19.1488,29.8241,4.48163,8.60803,4.21371,14,0.393098,1.47425,449.756,51.1131,18.3064,39.0969,1.87,24.8491,34.6191,6.81991,11.4009,1.8392,19,0.401201,0.956477,443.673,54.3089,19.9011,20.0966,1.832,24.0239,26.9363,5.86349,7.19102,1.44439,13,0.452648,1.63913,3536.95,144.597,192.192,85.4891,2.7947,114.938,105.735,26.8694,30.0667,7.99432,10,0.648941,2.68929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,2,fell,25.56,6,47.7984,38.7155,0.585384,0.746978,224.154,22.7315,6.1471,17.0851,1.35399,21.5502,25.8859,4.01314,6.63597,1.12687,12,0.632271,1.8231,246.636,21.9242,4.45043,17.8542,2.14046,22.9869,19.8996,4.82019,7.09808,1.21985,13,0.691484,1.92825,320.192,28.2977,6.71317,18.392,3.28053,24.3323,24.2058,4.91682,8.95878,1.72463,13,0.749465,2.27724,343.085,28.7362,9.23054,14.3952,2.02107,25.0632,31.0302,5.15396,7.9484,1.60402,12,0.721823,1.93202,530.111,60.2538,20.6206,57.9716,1.38821,30.9749,39.0283,7.79265,12.6956,2.22635,13,0.784486,2.06562,91.6157,22.9945,23.2087,15.2145,0.771111,9.96231,11.9465,3.88173,14.3774,2.40987,4,0.552684,1.35584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,3,fell,70.74,15,68.3799,30.5261,2.60395,3.19984,339.453,28.8066,7.61028,41.3656,1.95689,27.6686,27.763,4.86465,11.0432,1.77095,15,0.718005,1.7894,339.748,34.9212,6.32759,20.7232,1.58495,23.9816,26.6718,5.20595,9.62334,1.665,14,0.830715,2.17308,316.638,25.6565,6.88453,21.6355,1.52857,23.5305,24.0741,4.67716,9.09233,1.42244,17,0.761366,1.44059,414.224,37.4434,12.5883,25.5772,1.63098,26.6339,35.5186,5.69855,9.56805,1.57314,12,0.684949,1.97434,343.411,38.0867,12.5219,97.1132,6.40795,25.6956,26.8212,6.0911,15.8059,4.15233,14,0.639906,2.03004,411.649,35.6415,17.2852,89.1988,5.16702,29.4569,29.9556,6.77246,12.3184,4.35519,16,0.700947,2.19151,302.136,23.3489,6.55372,22.7834,1.56602,22.1706,22.1587,4.66996,7.79001,1.70255,12,0.600418,1.78232,382.818,25.4711,20.6939,116.76,5.67119,30.111,28.1727,6.44864,15.1373,3.95289,14,0.569598,1.73791,803.054,49.1884,42.0055,156.229,3.74427,40.0387,46.9055,9.68253,23.3378,5.31664,21,0.432843,1.62682,345.165,21.8302,12.2505,33.5364,1.5181,20.6919,28.5535,4.6144,9.69872,1.41966,13,0.558899,1.26774,659.765,42.1898,21.1858,62.056,3.08242,33.9974,33.1831,7.95614,21.0149,3.74998,16,0.68924,2.21954,368.293,38.2487,9.5461,25.8822,1.69194,24.1836,35.4738,5.40612,10.0026,1.53655,14,0.690029,1.90167,389.622,41.5483,10.6326,24.8317,1.34839,25.8473,33.1401,6.07522,10.7613,1.67049,16,0.729001,1.99591,989.657,75.2639,25.3,40.6447,1.32228,50.3454,63.5898,10.5728,20.699,2.14327,16,0.549995,2.09257,2633.58,111.095,209.195,74.0079,1.10959,67.6157,69.8655,17.7244,21.5922,2.39906,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,4,fell,41,9,96.5371,18.9491,0.948148,0.629144,239.88,16.3648,5.18412,13.2468,2.10949,23.4593,21.1967,4.75988,8.75367,1.4506,14,0.603914,1.80135,438.561,38.1083,8.38538,18.3303,3.04633,26.0744,41.7193,5.66862,8.36452,1.68295,20,0.544575,1.51138,399.139,32.786,7.94631,28.5157,2.10196,24.714,36.1474,5.49635,9.14338,1.76558,15,0.50036,1.9695,575.655,39.4967,14.4659,28.7029,2.44959,32.0685,40.7832,7.754,8.62921,1.70017,23,0.423313,1.2558,1068.44,78.7242,28.3668,58.2334,2.41855,50.8795,66.8272,11.0826,16.0091,3.12811,18,0.654398,1.6943,1073.37,73.6381,26.1404,63.3201,2.36523,57.2375,67.0038,13.2804,19.3226,2.80441,33,0.643858,1.86309,439.379,32.474,15.5555,25.5538,2.03604,26.2863,31.1621,6.28522,7.54524,1.73721,15,0.709333,1.63679,385.092,31.6726,17.4576,25.538,2.16442,20.2748,28.5508,4.83262,6.64709,1.12923,11,0.643841,2.07756,751.706,52.503,40.7635,24.9822,11.841,40.9849,38.5925,8.86348,17.7004,12.8579,7,0.144549,1.50298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,5,fell,13.38,3,34.9159,9.23147,2.89738,2.50518,247.04,22.486,4.76287,16.8149,1.64902,25.5571,23.9073,4.90875,8.28026,1.26287,15,0.638754,2.06951,311.115,28.5743,7.82932,38.4742,1.48827,20.8529,23.9712,4.20397,9.73593,2.0763,13,0.625987,1.70077,420.811,46.0459,19.0602,76.9886,2.55846,21.7856,30.6153,5.25895,13.6072,2.83021,7,0.641593,3.00901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,6,fell,31.18,7,126.246,34.0921,0.0704378,0.044185,207.763,28.4089,5.86375,15.4837,2.19294,20.526,23.2081,4.14869,6.63145,1.24124,11,0.747911,2.19718,299.493,23.2364,8.7246,16.0086,1.12784,23.6018,29.2277,4.66418,10.1985,1.40518,14,0.585267,1.4814,373.327,30.439,11.4432,30.6221,1.714,25.6361,28.2826,4.89714,10.4481,1.63692,14,0.721398,1.809,380.779,31.3397,20.0338,23.5631,1.28684,25.8546,39.7358,5.48975,10.8777,1.57462,22,0.526929,1.18495,665.397,64.0123,27.3113,46.5296,2.59074,32.1586,58.078,6.80621,16.2431,2.77963,18,0.649095,1.52247,1798.99,158.739,87.3822,218.459,5.29038,83.9751,102.84,20.8926,52.1717,11.9175,34,0.597141,1.73047,72.9888,4.39618,11.2732,16.4813,1.04955,8.07298,7.53153,1.86174,6.06045,2.82038,3,0.732745,0.903966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,7,fell,76,16,49.6115,16.5102,1.7248,2.55858,330.15,23.7804,8.37337,14.3599,2.3291,26.9844,25.6751,4.7764,8.77159,1.53897,13,0.634962,1.96668,279.583,27.8828,8.61035,13.8854,1.40443,23.9461,35.3084,5.01355,7.36103,1.37494,13,0.708364,1.96925,327.37,33.6769,8.08906,31.2807,2.29991,22.8083,30.2641,4.44614,9.96578,2.12476,15,0.681981,1.71063,388.217,29.7985,8.5024,51.7738,2.27606,25.1559,24.7879,5.40988,12.4831,2.99228,16,0.595346,1.58032,237.877,22.2688,4.64247,10.6037,1.21323,20.73,20.1338,4.56207,6.44731,1.55155,12,0.616732,1.97297,401.367,29.0961,14.5581,131.303,6.00834,30.7225,25.9915,7.08737,16.3768,4.37938,11,0.722619,2.312,405.521,34.8388,12.4386,18.9735,1.83269,25.9714,37.4237,5.9375,7.98507,1.96217,16,0.654139,1.85723,483.04,47.2399,12.8928,33.287,1.6883,26.7,34.0541,5.9612,7.76205,1.49896,13,0.582821,1.81536,678.59,61.1165,22.8364,60.2696,2.18267,38.3906,50.3433,8.61949,14.5311,2.68499,17,0.632136,2.42865,448.491,40.0244,11.8448,16.7046,2.01262,25.3534,37.5785,5.86483,8.24624,1.83434,15,0.616477,2.09772,547.112,42.3397,21.584,26.0791,2.0361,31.6717,37.3202,8.56009,9.44787,2.32746,11,0.830779,3.42438,416.597,31.9189,19.6758,22.1617,1.87588,25.6818,34.3643,6.49916,6.37486,2.32369,12,0.712537,2.5602,689.755,60.4667,24.6908,48.404,2.74032,35.4795,45.0096,9.33412,13.446,3.47674,16,0.583652,2.27272,453.854,33.1867,24.8947,160.728,10.4188,29.5055,39.6446,8.84873,20.5537,6.76376,20,0.606147,1.29213,372.581,28.6881,19.3936,34.4962,2.15459,17.5769,29.6697,4.50897,9.53461,1.91744,15,0.412493,1.21853,930.353,63.7546,66.829,66.3397,3.41217,38.6823,39.9428,9.3797,19.6307,3.79092,1,0.283997,5.34942,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,8,fell,35.8,8,122.868,31.4424,1.91149,0.807815,297.903,22.7126,9.36637,16.6729,1.54924,26.9625,26.4381,4.84202,8.99812,1.58074,14,0.617451,1.74587,288.264,23.5342,6.35241,12.3989,2.52348,24.4421,28.0302,4.6538,7.8779,1.58271,13,0.712784,2.00814,447.832,33.4507,12.6582,20.2325,2.56736,26.6385,39.8231,5.85108,8.8339,2.08811,15,0.817767,2.06857,466.1,42.273,14.9782,79.6288,2.91159,27.2405,35.6101,5.8404,10.6783,2.72873,16,0.741742,1.68707,599.624,71.8266,22.8304,76.7981,3.92512,34.3558,54.7369,8.09317,12.7112,4.05909,15,0.857947,2.2763,1998.09,133.918,70.9293,43.0123,1.7371,72.6112,103.561,16.9186,20.6448,3.42895,22,0.644953,2.51669,1405.21,102.756,39.1438,43.0263,1.60319,64.5665,80.0503,14.4338,17.5388,3.10989,26,0.552162,2.15579,326.82,20.0678,18.5288,58.1382,3.63916,18.9126,16.707,4.27522,14.9208,5.41789,4,0.262463,1.13481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asap,9,complete,90,18,108.426,28.2788,0.0734011,0.0526664,203.096,12.5663,4.6182,12.0736,2.03108,23.3416,22.4039,4.3547,8.14003,1.55398,15,0.58795,1.74272,281.021,22.7233,6.73893,13.8536,2.72473,20.9611,28.3175,4.47339,7.51392,1.58141,13,0.606773,1.52087,293.881,21.5,6.9593,19.2301,2.00926,19.1226,28.698,4.31328,6.24018,1.57293,14,0.546608,1.33088,299.095,22.3921,7.53707,19.8106,0.962231,21.1132,31.4443,4.32406,5.84027,1.31131,21,0.501834,1.2273,250.841,22.5274,7.02276,27.1368,0.98193,18.5419,26.1041,4.29305,6.76216,1.38693,13,0.560755,1.27575,313.635,23.435,10.0536,16.7332,1.20337,23.5562,26.583,5.41404,7.38482,1.64735,13,0.590806,1.68459,255.777,26.3302,6.61311,20.7538,1.72693,17.1928,26.91,3.72836,5.85677,1.41911,12,0.495741,1.25936,458.564,46.5107,11.3174,16.6052,1.47722,28.8532,39.2113,6.59211,8.00815,2.18919,14,0.729449,2.67244,550.589,40.1264,15.5916,24.8279,2.27085,29.2779,44.2262,6.66023,9.65811,1.91761,13,0.828217,2.26638,881.287,62.1584,27.8767,44.9151,1.85809,51.6149,49.8459,11.9665,14.8066,2.43625,28,0.459528,2.24891,956.557,58.5856,30.374,28.5876,2.27386,51.9935,47.1002,12.4107,13.1727,3.10903,24,0.681767,2.03334,560.621,56.3894,16.7751,30.3381,2.34166,32.0571,35.642,8.06713,10.3109,2.08711,21,0.501084,1.24849,434.56,43.4281,9.99211,24.2415,1.76452,30.245,28.9982,6.88747,9.94198,1.71087,19,0.459018,1.21021,393.265,30.2674,8.86566,14.64,1.67654,24.2409,27.1083,5.30785,7.0195,1.355,15,0.56663,1.63005,492.57,44.5014,14.9335,18.9792,2.07654,28.3654,30.2855,6.83091,8.39563,1.64719,16,0.482237,1.8054,570.933,48.0999,18.2639,23.8592,2.12929,36.6673,35.3918,9.07212,11.8483,2.44125,21,0.415498,1.30101,544.785,38.6553,16.0001,19.8247,1.6826,29.795,44.6247,7.02652,10.01,1.96855,15,0.577224,1.84247,355.473,26.1219,8.1084,17.6233,2.28018,24.665,25.6821,5.50959,8.90372,1.7471,15,0.686312,1.98125
